Epoch 000	LOSS: 469.28	MAE: 220.02	RMSE: 266.08
Epoch 001	LOSS: 464.34	MAE: 219.97	RMSE: 266.03
Epoch 002	LOSS: 467.82	MAE: 219.86	RMSE: 265.94
Epoch 003	LOSS: 454.33	MAE: 219.68	RMSE: 265.79
Epoch 004	LOSS: 460.08	MAE: 219.38	RMSE: 265.54
Epoch 005	LOSS: 462.84	MAE: 218.92	RMSE: 265.16
Epoch 006	LOSS: 464.07	MAE: 218.24	RMSE: 264.59
Epoch 007	LOSS: 456.69	MAE: 217.26	RMSE: 263.78
Epoch 008	LOSS: 449.79	MAE: 215.90	RMSE: 262.63
Epoch 009	LOSS: 452.23	MAE: 214.08	RMSE: 261.11
Epoch 010	LOSS: 447.05	MAE: 211.68	RMSE: 259.07
Epoch 011	LOSS: 438.74	MAE: 208.55	RMSE: 256.41
Epoch 012	LOSS: 432.93	MAE: 204.60	RMSE: 253.01
Epoch 013	LOSS: 416.56	MAE: 199.74	RMSE: 248.81
Epoch 014	LOSS: 409.04	MAE: 193.92	RMSE: 243.71
Epoch 015	LOSS: 397.59	MAE: 187.10	RMSE: 237.63
Epoch 016	LOSS: 374.88	MAE: 179.26	RMSE: 230.47
Epoch 017	LOSS: 357.78	MAE: 170.47	RMSE: 222.14
Epoch 018	LOSS: 331.13	MAE: 161.13	RMSE: 212.88
Epoch 019	LOSS: 309.01	MAE: 151.55	RMSE: 202.74
Epoch 020	LOSS: 294.00	MAE: 142.12	RMSE: 191.86
Epoch 021	LOSS: 276.08	MAE: 133.23	RMSE: 180.50
Epoch 022	LOSS: 254.28	MAE: 125.34	RMSE: 169.13
Epoch 023	LOSS: 234.68	MAE: 118.59	RMSE: 158.18
Epoch 024	LOSS: 224.63	MAE: 113.08	RMSE: 148.34
Epoch 025	LOSS: 211.48	MAE: 109.01	RMSE: 140.48
Epoch 026	LOSS: 204.87	MAE: 106.56	RMSE: 135.37
Epoch 027	LOSS: 201.03	MAE: 105.16	RMSE: 132.80
Epoch 028	LOSS: 195.74	MAE: 103.85	RMSE: 131.57
Epoch 029	LOSS: 196.82	MAE: 102.03	RMSE: 130.45
