Epoch 000	LOSS: 139.15	MAE: 73.09	RMSE: 86.10
Epoch 001	LOSS: 134.04	MAE: 72.15	RMSE: 85.28
Epoch 002	LOSS: 118.16	MAE: 66.79	RMSE: 80.46
Epoch 003	LOSS: 90.89	MAE: 61.87	RMSE: 75.04
Epoch 004	LOSS: 66.65	MAE: 55.66	RMSE: 69.01
Epoch 005	LOSS: 54.60	MAE: 52.58	RMSE: 66.78
Epoch 006	LOSS: 41.53	MAE: 50.85	RMSE: 66.03
Epoch 007	LOSS: 32.37	MAE: 46.20	RMSE: 62.05
Epoch 008	LOSS: 28.04	MAE: 43.34	RMSE: 58.75
Epoch 009	LOSS: 27.08	MAE: 41.18	RMSE: 55.82
Epoch 010	LOSS: 26.37	MAE: 42.19	RMSE: 57.46
Epoch 011	LOSS: 26.30	MAE: 42.22	RMSE: 57.60
Epoch 012	LOSS: 26.18	MAE: 40.65	RMSE: 55.22
Epoch 013	LOSS: 25.85	MAE: 38.95	RMSE: 52.16
Epoch 014	LOSS: 25.62	MAE: 36.45	RMSE: 48.14
Epoch 015	LOSS: 25.55	MAE: 30.44	RMSE: 38.20
Epoch 016	LOSS: 25.45	MAE: 30.86	RMSE: 38.69
Epoch 017	LOSS: 25.23	MAE: 30.82	RMSE: 38.79
Epoch 018	LOSS: 24.69	MAE: 32.88	RMSE: 42.01
Epoch 019	LOSS: 24.25	MAE: 32.65	RMSE: 41.75
Epoch 020	LOSS: 24.31	MAE: 33.17	RMSE: 42.58
Epoch 021	LOSS: 24.22	MAE: 32.74	RMSE: 41.98
Epoch 022	LOSS: 23.83	MAE: 33.77	RMSE: 43.64
Epoch 023	LOSS: 23.92	MAE: 33.79	RMSE: 43.69
Epoch 024	LOSS: 23.80	MAE: 30.98	RMSE: 39.06
Epoch 025	LOSS: 23.43	MAE: 29.98	RMSE: 37.64
Epoch 026	LOSS: 23.25	MAE: 29.22	RMSE: 37.20
Epoch 027	LOSS: 23.05	MAE: 29.22	RMSE: 37.40
Epoch 028	LOSS: 23.11	MAE: 29.59	RMSE: 37.27
Epoch 029	LOSS: 23.09	MAE: 29.17	RMSE: 37.18
Epoch 030	LOSS: 23.15	MAE: 29.27	RMSE: 37.07
Epoch 031	LOSS: 22.72	MAE: 29.39	RMSE: 37.13
Epoch 032	LOSS: 22.82	MAE: 29.69	RMSE: 37.29
Epoch 033	LOSS: 22.59	MAE: 29.46	RMSE: 37.09
Epoch 034	LOSS: 22.81	MAE: 29.38	RMSE: 37.07
Epoch 035	LOSS: 22.57	MAE: 28.98	RMSE: 37.18
Epoch 036	LOSS: 22.83	MAE: 28.78	RMSE: 37.28
Epoch 037	LOSS: 22.76	MAE: 28.85	RMSE: 37.92
Epoch 038	LOSS: 22.19	MAE: 28.88	RMSE: 38.09
Epoch 039	LOSS: 22.26	MAE: 28.91	RMSE: 37.64
Epoch 040	LOSS: 22.18	MAE: 28.85	RMSE: 37.89
Epoch 041	LOSS: 22.10	MAE: 29.02	RMSE: 38.11
Epoch 042	LOSS: 22.08	MAE: 28.94	RMSE: 38.24
Epoch 043	LOSS: 22.55	MAE: 28.82	RMSE: 37.47
Epoch 044	LOSS: 22.03	MAE: 28.79	RMSE: 37.41
Epoch 045	LOSS: 21.87	MAE: 28.65	RMSE: 36.90
Epoch 046	LOSS: 21.70	MAE: 28.56	RMSE: 36.91
Epoch 047	LOSS: 21.65	MAE: 28.82	RMSE: 36.66
Epoch 048	LOSS: 21.47	MAE: 28.84	RMSE: 36.71
Epoch 049	LOSS: 21.80	MAE: 28.84	RMSE: 36.75
Epoch 050	LOSS: 21.46	MAE: 28.96	RMSE: 36.76
Epoch 051	LOSS: 21.87	MAE: 28.86	RMSE: 36.89
Epoch 052	LOSS: 21.36	MAE: 29.01	RMSE: 36.73
Epoch 053	LOSS: 21.35	MAE: 28.65	RMSE: 36.67
Epoch 054	LOSS: 21.28	MAE: 28.94	RMSE: 36.60
Epoch 055	LOSS: 21.03	MAE: 28.62	RMSE: 36.63
Epoch 056	LOSS: 20.99	MAE: 28.88	RMSE: 36.68
Epoch 057	LOSS: 20.83	MAE: 29.12	RMSE: 36.74
Epoch 058	LOSS: 20.73	MAE: 28.70	RMSE: 36.66
Epoch 059	LOSS: 21.29	MAE: 28.55	RMSE: 36.77
Epoch 060	LOSS: 20.55	MAE: 28.58	RMSE: 36.69
Epoch 061	LOSS: 20.50	MAE: 28.57	RMSE: 36.80
Epoch 062	LOSS: 20.64	MAE: 28.52	RMSE: 36.66
Epoch 063	LOSS: 20.25	MAE: 28.48	RMSE: 36.55
Epoch 064	LOSS: 20.33	MAE: 28.48	RMSE: 36.51
Epoch 065	LOSS: 20.06	MAE: 28.14	RMSE: 36.65
Epoch 066	LOSS: 20.15	MAE: 28.27	RMSE: 36.22
Epoch 067	LOSS: 19.96	MAE: 28.14	RMSE: 36.14
Epoch 068	LOSS: 19.84	MAE: 28.06	RMSE: 36.18
Epoch 069	LOSS: 19.74	MAE: 28.05	RMSE: 36.19
Epoch 070	LOSS: 19.78	MAE: 28.00	RMSE: 36.92
Epoch 071	LOSS: 19.61	MAE: 28.04	RMSE: 36.18
Epoch 072	LOSS: 19.55	MAE: 28.28	RMSE: 36.40
Epoch 073	LOSS: 19.46	MAE: 28.37	RMSE: 36.17
Epoch 074	LOSS: 19.23	MAE: 28.31	RMSE: 36.11
Epoch 075	LOSS: 19.23	MAE: 28.60	RMSE: 36.35
Epoch 076	LOSS: 18.99	MAE: 28.36	RMSE: 36.17
Epoch 077	LOSS: 18.76	MAE: 28.21	RMSE: 36.11
Epoch 078	LOSS: 19.12	MAE: 28.15	RMSE: 36.19
Epoch 079	LOSS: 18.71	MAE: 28.75	RMSE: 36.44
Epoch 080	LOSS: 18.58	MAE: 28.15	RMSE: 36.11
Epoch 081	LOSS: 18.70	MAE: 27.99	RMSE: 36.22
Epoch 082	LOSS: 18.47	MAE: 27.92	RMSE: 35.95
Epoch 083	LOSS: 18.24	MAE: 27.96	RMSE: 35.88
Epoch 084	LOSS: 18.23	MAE: 27.96	RMSE: 35.87
Epoch 085	LOSS: 18.11	MAE: 27.94	RMSE: 35.87
Epoch 086	LOSS: 18.26	MAE: 27.96	RMSE: 35.90
Epoch 087	LOSS: 17.95	MAE: 27.89	RMSE: 35.92
Epoch 088	LOSS: 18.18	MAE: 27.73	RMSE: 36.01
Epoch 089	LOSS: 18.01	MAE: 27.74	RMSE: 36.11
Epoch 090	LOSS: 17.87	MAE: 27.86	RMSE: 35.93
Epoch 091	LOSS: 17.93	MAE: 27.75	RMSE: 35.91
Epoch 092	LOSS: 17.80	MAE: 27.79	RMSE: 35.97
Epoch 093	LOSS: 17.84	MAE: 27.90	RMSE: 35.91
Epoch 094	LOSS: 17.78	MAE: 27.91	RMSE: 35.93
Epoch 095	LOSS: 17.72	MAE: 27.89	RMSE: 35.91
Epoch 096	LOSS: 17.67	MAE: 28.03	RMSE: 35.98
Epoch 097	LOSS: 17.58	MAE: 28.01	RMSE: 35.96
Epoch 098	LOSS: 17.78	MAE: 27.96	RMSE: 35.92
Epoch 099	LOSS: 17.58	MAE: 27.86	RMSE: 35.91
Epoch 100	LOSS: 17.52	MAE: 27.72	RMSE: 35.93
Epoch 101	LOSS: 17.60	MAE: 27.83	RMSE: 35.87
Epoch 102	LOSS: 17.47	MAE: 27.74	RMSE: 36.17
Epoch 103	LOSS: 17.47	MAE: 27.81	RMSE: 35.99
Epoch 104	LOSS: 17.37	MAE: 27.82	RMSE: 36.09
Epoch 105	LOSS: 17.82	MAE: 27.80	RMSE: 36.03
