Epoch 000	LOSS: 138.65	MAE: 73.11	RMSE: 86.12
Epoch 001	LOSS: 134.97	MAE: 72.41	RMSE: 85.50
Epoch 002	LOSS: 121.81	MAE: 70.18	RMSE: 83.51
Epoch 003	LOSS: 97.96	MAE: 66.05	RMSE: 79.41
Epoch 004	LOSS: 68.52	MAE: 61.81	RMSE: 75.61
Epoch 005	LOSS: 45.06	MAE: 58.76	RMSE: 74.10
Epoch 006	LOSS: 29.42	MAE: 57.08	RMSE: 74.07
Epoch 007	LOSS: 26.53	MAE: 56.83	RMSE: 74.10
Epoch 008	LOSS: 25.75	MAE: 56.75	RMSE: 74.10
Epoch 009	LOSS: 25.44	MAE: 56.70	RMSE: 74.08
Epoch 010	LOSS: 25.34	MAE: 56.72	RMSE: 74.08
Epoch 011	LOSS: 24.83	MAE: 56.63	RMSE: 74.06
Epoch 012	LOSS: 24.33	MAE: 56.55	RMSE: 74.02
Epoch 013	LOSS: 23.94	MAE: 56.49	RMSE: 73.98
Epoch 014	LOSS: 23.74	MAE: 56.43	RMSE: 73.94
Epoch 015	LOSS: 23.64	MAE: 56.41	RMSE: 73.93
Epoch 016	LOSS: 23.33	MAE: 56.38	RMSE: 73.95
Epoch 017	LOSS: 23.16	MAE: 56.33	RMSE: 73.93
Epoch 018	LOSS: 23.27	MAE: 56.30	RMSE: 73.93
Epoch 019	LOSS: 22.97	MAE: 56.28	RMSE: 73.92
Epoch 020	LOSS: 22.94	MAE: 56.26	RMSE: 73.91
Epoch 021	LOSS: 22.69	MAE: 56.22	RMSE: 73.89
Epoch 022	LOSS: 23.28	MAE: 56.21	RMSE: 73.89
Epoch 023	LOSS: 22.64	MAE: 56.23	RMSE: 73.89
Epoch 024	LOSS: 22.45	MAE: 56.16	RMSE: 73.87
Epoch 025	LOSS: 22.24	MAE: 56.15	RMSE: 73.87
Epoch 026	LOSS: 22.23	MAE: 56.17	RMSE: 73.88
Epoch 027	LOSS: 22.10	MAE: 56.14	RMSE: 73.86
Epoch 028	LOSS: 22.06	MAE: 56.13	RMSE: 73.85
Epoch 029	LOSS: 22.03	MAE: 56.15	RMSE: 73.86
Epoch 030	LOSS: 21.66	MAE: 56.09	RMSE: 73.84
Epoch 031	LOSS: 21.55	MAE: 56.09	RMSE: 73.84
Epoch 032	LOSS: 21.35	MAE: 56.07	RMSE: 73.84
Epoch 033	LOSS: 21.48	MAE: 56.08	RMSE: 73.84
Epoch 034	LOSS: 21.40	MAE: 56.06	RMSE: 73.83
Epoch 035	LOSS: 21.25	MAE: 56.04	RMSE: 73.83
Epoch 036	LOSS: 21.09	MAE: 56.03	RMSE: 73.82
Epoch 037	LOSS: 20.95	MAE: 56.02	RMSE: 73.82
Epoch 038	LOSS: 20.92	MAE: 56.01	RMSE: 73.81
Epoch 039	LOSS: 20.97	MAE: 56.01	RMSE: 73.80
Epoch 040	LOSS: 20.67	MAE: 55.97	RMSE: 73.80
Epoch 041	LOSS: 20.51	MAE: 55.93	RMSE: 73.79
Epoch 042	LOSS: 20.49	MAE: 55.89	RMSE: 73.77
Epoch 043	LOSS: 20.13	MAE: 55.87	RMSE: 73.78
Epoch 044	LOSS: 19.88	MAE: 55.82	RMSE: 73.75
Epoch 045	LOSS: 19.81	MAE: 55.78	RMSE: 73.73
Epoch 046	LOSS: 19.47	MAE: 55.73	RMSE: 73.74
Epoch 047	LOSS: 19.29	MAE: 55.69	RMSE: 73.72
Epoch 048	LOSS: 19.33	MAE: 55.69	RMSE: 73.74
Epoch 049	LOSS: 19.09	MAE: 55.67	RMSE: 73.74
Epoch 050	LOSS: 19.06	MAE: 55.64	RMSE: 73.74
Epoch 051	LOSS: 18.53	MAE: 55.61	RMSE: 73.74
Epoch 052	LOSS: 18.29	MAE: 55.56	RMSE: 73.72
Epoch 053	LOSS: 18.15	MAE: 55.52	RMSE: 73.70
Epoch 054	LOSS: 18.20	MAE: 55.57	RMSE: 73.73
Epoch 055	LOSS: 18.00	MAE: 55.51	RMSE: 73.72
Epoch 056	LOSS: 17.70	MAE: 55.47	RMSE: 73.70
Epoch 057	LOSS: 17.88	MAE: 55.49	RMSE: 73.69
Epoch 058	LOSS: 17.68	MAE: 55.43	RMSE: 73.68
