Epoch 000	LOSS: 138.82	MAE: 73.04	RMSE: 86.06
Epoch 001	LOSS: 131.87	MAE: 71.92	RMSE: 85.08
Epoch 002	LOSS: 113.06	MAE: 68.64	RMSE: 82.05
Epoch 003	LOSS: 84.72	MAE: 63.68	RMSE: 76.95
Epoch 004	LOSS: 62.22	MAE: 59.61	RMSE: 73.85
Epoch 005	LOSS: 48.82	MAE: 58.16	RMSE: 73.26
Epoch 006	LOSS: 34.24	MAE: 56.50	RMSE: 72.81
Epoch 007	LOSS: 27.22	MAE: 55.64	RMSE: 72.82
Epoch 008	LOSS: 26.52	MAE: 55.57	RMSE: 72.78
Epoch 009	LOSS: 26.07	MAE: 55.72	RMSE: 72.99
Epoch 010	LOSS: 25.88	MAE: 55.83	RMSE: 73.13
Epoch 011	LOSS: 25.74	MAE: 56.06	RMSE: 73.38
Epoch 012	LOSS: 25.25	MAE: 55.90	RMSE: 73.27
Epoch 013	LOSS: 25.62	MAE: 56.20	RMSE: 73.54
Epoch 014	LOSS: 25.31	MAE: 56.19	RMSE: 73.55
Epoch 015	LOSS: 24.18	MAE: 55.85	RMSE: 73.34
Epoch 016	LOSS: 24.17	MAE: 55.88	RMSE: 73.36
Epoch 017	LOSS: 24.24	MAE: 55.97	RMSE: 73.47
Epoch 018	LOSS: 23.68	MAE: 56.02	RMSE: 73.55
Epoch 019	LOSS: 23.59	MAE: 55.96	RMSE: 73.51
Epoch 020	LOSS: 23.48	MAE: 55.94	RMSE: 73.52
Epoch 021	LOSS: 23.45	MAE: 55.98	RMSE: 73.56
Epoch 022	LOSS: 23.88	MAE: 56.03	RMSE: 73.56
Epoch 023	LOSS: 24.28	MAE: 56.07	RMSE: 73.57
Epoch 024	LOSS: 22.99	MAE: 55.93	RMSE: 73.58
Epoch 025	LOSS: 23.38	MAE: 55.98	RMSE: 73.56
Epoch 026	LOSS: 23.17	MAE: 55.87	RMSE: 73.45
Epoch 027	LOSS: 23.16	MAE: 55.91	RMSE: 73.51
Epoch 028	LOSS: 22.76	MAE: 55.88	RMSE: 73.51
Epoch 029	LOSS: 23.24	MAE: 55.98	RMSE: 73.54
Epoch 030	LOSS: 22.12	MAE: 55.82	RMSE: 73.48
Epoch 031	LOSS: 22.62	MAE: 55.80	RMSE: 73.47
