Epoch 000	LOSS: 138.84	MAE: 73.04	RMSE: 86.06
Epoch 001	LOSS: 131.84	MAE: 71.95	RMSE: 85.10
Epoch 002	LOSS: 113.75	MAE: 68.62	RMSE: 82.04
Epoch 003	LOSS: 86.00	MAE: 63.50	RMSE: 76.81
Epoch 004	LOSS: 63.18	MAE: 59.41	RMSE: 73.64
Epoch 005	LOSS: 47.63	MAE: 57.54	RMSE: 72.74
Epoch 006	LOSS: 35.44	MAE: 56.39	RMSE: 72.65
Epoch 007	LOSS: 27.70	MAE: 56.16	RMSE: 73.33
Epoch 008	LOSS: 26.73	MAE: 56.61	RMSE: 73.87
Epoch 009	LOSS: 26.15	MAE: 56.74	RMSE: 74.04
Epoch 010	LOSS: 26.16	MAE: 56.78	RMSE: 74.09
Epoch 011	LOSS: 25.81	MAE: 56.73	RMSE: 74.08
Epoch 012	LOSS: 25.44	MAE: 56.66	RMSE: 74.07
Epoch 013	LOSS: 25.28	MAE: 56.67	RMSE: 74.07
Epoch 014	LOSS: 24.52	MAE: 56.58	RMSE: 74.03
Epoch 015	LOSS: 24.23	MAE: 56.50	RMSE: 74.00
Epoch 016	LOSS: 24.32	MAE: 56.46	RMSE: 73.96
Epoch 017	LOSS: 24.27	MAE: 56.43	RMSE: 73.93
Epoch 018	LOSS: 23.82	MAE: 56.39	RMSE: 73.92
Epoch 019	LOSS: 23.91	MAE: 56.37	RMSE: 73.90
Epoch 020	LOSS: 24.04	MAE: 56.36	RMSE: 73.90
Epoch 021	LOSS: 23.36	MAE: 56.27	RMSE: 73.87
Epoch 022	LOSS: 23.26	MAE: 56.24	RMSE: 73.86
Epoch 023	LOSS: 23.28	MAE: 56.22	RMSE: 73.85
Epoch 024	LOSS: 23.44	MAE: 56.23	RMSE: 73.82
Epoch 025	LOSS: 23.05	MAE: 56.15	RMSE: 73.78
Epoch 026	LOSS: 22.55	MAE: 56.09	RMSE: 73.75
Epoch 027	LOSS: 22.52	MAE: 56.09	RMSE: 73.75
Epoch 028	LOSS: 23.05	MAE: 56.11	RMSE: 73.74
Epoch 029	LOSS: 22.47	MAE: 56.04	RMSE: 73.72
Epoch 030	LOSS: 22.48	MAE: 56.03	RMSE: 73.72
Epoch 031	LOSS: 23.00	MAE: 56.11	RMSE: 73.74
Epoch 032	LOSS: 23.12	MAE: 56.11	RMSE: 73.71
Epoch 033	LOSS: 22.23	MAE: 55.99	RMSE: 73.68
Epoch 034	LOSS: 22.80	MAE: 56.07	RMSE: 73.69
Epoch 035	LOSS: 22.43	MAE: 56.04	RMSE: 73.69
Epoch 036	LOSS: 22.40	MAE: 56.00	RMSE: 73.66
Epoch 037	LOSS: 22.00	MAE: 55.97	RMSE: 73.65
Epoch 038	LOSS: 21.73	MAE: 55.92	RMSE: 73.63
Epoch 039	LOSS: 22.23	MAE: 55.99	RMSE: 73.64
Epoch 040	LOSS: 22.47	MAE: 56.02	RMSE: 73.63
Epoch 041	LOSS: 21.89	MAE: 55.95	RMSE: 73.62
Epoch 042	LOSS: 21.18	MAE: 55.82	RMSE: 73.57
Epoch 043	LOSS: 20.83	MAE: 55.79	RMSE: 73.56
Epoch 044	LOSS: 20.87	MAE: 55.77	RMSE: 73.53
Epoch 045	LOSS: 20.13	MAE: 55.62	RMSE: 73.48
Epoch 046	LOSS: 19.92	MAE: 55.60	RMSE: 73.49
Epoch 047	LOSS: 20.00	MAE: 55.57	RMSE: 73.49
Epoch 048	LOSS: 19.26	MAE: 55.48	RMSE: 73.47
Epoch 049	LOSS: 19.78	MAE: 55.48	RMSE: 73.44
Epoch 050	LOSS: 18.84	MAE: 55.36	RMSE: 73.41
Epoch 051	LOSS: 18.89	MAE: 55.35	RMSE: 73.41
Epoch 052	LOSS: 19.23	MAE: 55.36	RMSE: 73.40
Epoch 053	LOSS: 18.85	MAE: 55.34	RMSE: 73.42
Epoch 054	LOSS: 18.25	MAE: 55.28	RMSE: 73.41
Epoch 055	LOSS: 19.04	MAE: 55.36	RMSE: 73.41
Epoch 056	LOSS: 18.68	MAE: 55.31	RMSE: 73.40
Epoch 057	LOSS: 18.41	MAE: 55.25	RMSE: 73.39
Epoch 058	LOSS: 17.96	MAE: 55.23	RMSE: 73.39
Epoch 059	LOSS: 18.84	MAE: 55.30	RMSE: 73.42
Epoch 060	LOSS: 18.51	MAE: 55.28	RMSE: 73.41
Epoch 061	LOSS: 18.15	MAE: 55.23	RMSE: 73.39
Epoch 062	LOSS: 17.98	MAE: 55.21	RMSE: 73.38
Epoch 063	LOSS: 17.70	MAE: 55.20	RMSE: 73.40
Epoch 064	LOSS: 17.58	MAE: 55.19	RMSE: 73.39
Epoch 065	LOSS: 17.41	MAE: 55.18	RMSE: 73.40
Epoch 066	LOSS: 17.78	MAE: 55.19	RMSE: 73.40
Epoch 067	LOSS: 17.69	MAE: 55.19	RMSE: 73.39
Epoch 068	LOSS: 17.49	MAE: 55.16	RMSE: 73.38
Epoch 069	LOSS: 17.35	MAE: 55.13	RMSE: 73.36
Epoch 070	LOSS: 17.33	MAE: 55.13	RMSE: 73.36
Epoch 071	LOSS: 17.56	MAE: 55.14	RMSE: 73.36
Epoch 072	LOSS: 17.32	MAE: 55.12	RMSE: 73.35
Epoch 073	LOSS: 17.40	MAE: 55.11	RMSE: 73.34
Epoch 074	LOSS: 17.56	MAE: 55.12	RMSE: 73.35
Epoch 075	LOSS: 17.39	MAE: 55.10	RMSE: 73.34
Epoch 076	LOSS: 17.31	MAE: 55.11	RMSE: 73.33
Epoch 077	LOSS: 17.01	MAE: 55.07	RMSE: 73.33
Epoch 078	LOSS: 17.57	MAE: 55.13	RMSE: 73.33
Epoch 079	LOSS: 17.06	MAE: 55.09	RMSE: 73.34
Epoch 080	LOSS: 17.11	MAE: 55.07	RMSE: 73.32
Epoch 081	LOSS: 17.93	MAE: 55.18	RMSE: 73.34
Epoch 082	LOSS: 17.43	MAE: 55.09	RMSE: 73.31
Epoch 083	LOSS: 16.88	MAE: 55.03	RMSE: 73.30
Epoch 084	LOSS: 16.98	MAE: 55.05	RMSE: 73.32
Epoch 085	LOSS: 16.97	MAE: 55.04	RMSE: 73.31
Epoch 086	LOSS: 16.87	MAE: 55.03	RMSE: 73.30
Epoch 087	LOSS: 16.99	MAE: 55.03	RMSE: 73.29
Epoch 088	LOSS: 16.66	MAE: 54.98	RMSE: 73.27
Epoch 089	LOSS: 16.60	MAE: 54.98	RMSE: 73.27
Epoch 090	LOSS: 16.59	MAE: 54.97	RMSE: 73.26
Epoch 091	LOSS: 16.55	MAE: 54.96	RMSE: 73.25
Epoch 092	LOSS: 16.39	MAE: 54.94	RMSE: 73.24
Epoch 093	LOSS: 16.49	MAE: 54.94	RMSE: 73.23
Epoch 094	LOSS: 16.37	MAE: 54.92	RMSE: 73.23
Epoch 095	LOSS: 16.47	MAE: 54.92	RMSE: 73.23
Epoch 096	LOSS: 16.68	MAE: 54.95	RMSE: 73.22
Epoch 097	LOSS: 16.30	MAE: 54.89	RMSE: 73.21
Epoch 098	LOSS: 16.23	MAE: 54.89	RMSE: 73.20
Epoch 099	LOSS: 16.34	MAE: 54.88	RMSE: 73.19
Epoch 100	LOSS: 16.20	MAE: 54.89	RMSE: 73.20
Epoch 101	LOSS: 16.25	MAE: 54.89	RMSE: 73.20
Epoch 102	LOSS: 16.56	MAE: 54.91	RMSE: 73.20
Epoch 103	LOSS: 16.13	MAE: 54.87	RMSE: 73.20
Epoch 104	LOSS: 16.38	MAE: 54.87	RMSE: 73.18
Epoch 105	LOSS: 15.93	MAE: 54.87	RMSE: 73.21
Epoch 106	LOSS: 16.13	MAE: 54.86	RMSE: 73.19
Epoch 107	LOSS: 16.02	MAE: 54.85	RMSE: 73.18
Epoch 108	LOSS: 15.94	MAE: 54.83	RMSE: 73.17
Epoch 109	LOSS: 16.24	MAE: 54.87	RMSE: 73.19
Epoch 110	LOSS: 16.18	MAE: 54.87	RMSE: 73.19
Epoch 111	LOSS: 16.09	MAE: 54.87	RMSE: 73.20
Epoch 112	LOSS: 15.86	MAE: 54.84	RMSE: 73.18
Epoch 113	LOSS: 15.82	MAE: 54.83	RMSE: 73.18
Epoch 114	LOSS: 15.97	MAE: 54.86	RMSE: 73.20
Epoch 115	LOSS: 16.18	MAE: 54.88	RMSE: 73.21
Epoch 116	LOSS: 16.07	MAE: 54.84	RMSE: 73.19
Epoch 117	LOSS: 15.99	MAE: 54.85	RMSE: 73.20
Epoch 118	LOSS: 16.41	MAE: 54.91	RMSE: 73.23
Epoch 119	LOSS: 16.18	MAE: 54.88	RMSE: 73.22
Epoch 120	LOSS: 15.73	MAE: 54.85	RMSE: 73.22
Epoch 121	LOSS: 15.81	MAE: 54.85	RMSE: 73.21
Epoch 122	LOSS: 15.88	MAE: 54.88	RMSE: 73.24
Epoch 123	LOSS: 15.69	MAE: 54.87	RMSE: 73.23
Epoch 124	LOSS: 15.67	MAE: 54.88	RMSE: 73.25
Epoch 125	LOSS: 16.31	MAE: 54.92	RMSE: 73.24
Epoch 126	LOSS: 16.24	MAE: 54.91	RMSE: 73.25
Epoch 127	LOSS: 15.74	MAE: 54.88	RMSE: 73.25
Epoch 128	LOSS: 15.88	MAE: 54.87	RMSE: 73.23
Epoch 129	LOSS: 15.95	MAE: 54.89	RMSE: 73.25
Epoch 130	LOSS: 15.74	MAE: 54.89	RMSE: 73.25
Epoch 131	LOSS: 15.90	MAE: 54.90	RMSE: 73.26
Epoch 132	LOSS: 16.07	MAE: 54.91	RMSE: 73.26
Epoch 133	LOSS: 15.98	MAE: 54.90	RMSE: 73.25
Epoch 134	LOSS: 15.92	MAE: 54.91	RMSE: 73.27
Epoch 135	LOSS: 15.79	MAE: 54.88	RMSE: 73.24
Epoch 136	LOSS: 15.66	MAE: 54.86	RMSE: 73.23
Epoch 137	LOSS: 15.64	MAE: 54.87	RMSE: 73.24
Epoch 138	LOSS: 15.90	MAE: 54.91	RMSE: 73.27
Epoch 139	LOSS: 15.60	MAE: 54.88	RMSE: 73.25
Epoch 140	LOSS: 15.69	MAE: 54.87	RMSE: 73.25
Epoch 141	LOSS: 15.90	MAE: 54.91	RMSE: 73.27
Epoch 142	LOSS: 15.57	MAE: 54.91	RMSE: 73.28
Epoch 143	LOSS: 15.81	MAE: 54.91	RMSE: 73.28
Epoch 144	LOSS: 15.65	MAE: 54.88	RMSE: 73.26
Epoch 145	LOSS: 15.70	MAE: 54.89	RMSE: 73.27
Epoch 146	LOSS: 16.28	MAE: 54.94	RMSE: 73.28
Epoch 147	LOSS: 15.65	MAE: 54.89	RMSE: 73.28
Epoch 148	LOSS: 15.77	MAE: 54.90	RMSE: 73.28
Epoch 149	LOSS: 15.54	MAE: 54.91	RMSE: 73.30
Epoch 150	LOSS: 16.30	MAE: 54.96	RMSE: 73.30
Epoch 151	LOSS: 15.59	MAE: 54.91	RMSE: 73.29
Epoch 152	LOSS: 16.73	MAE: 54.99	RMSE: 73.30
Epoch 153	LOSS: 15.59	MAE: 54.90	RMSE: 73.28
Epoch 154	LOSS: 16.47	MAE: 54.96	RMSE: 73.29
Epoch 155	LOSS: 15.89	MAE: 54.91	RMSE: 73.29
Epoch 156	LOSS: 16.81	MAE: 55.00	RMSE: 73.29
Epoch 157	LOSS: 15.72	MAE: 54.90	RMSE: 73.28
Epoch 158	LOSS: 16.31	MAE: 54.93	RMSE: 73.29
Epoch 159	LOSS: 15.60	MAE: 54.92	RMSE: 73.31
Epoch 160	LOSS: 16.04	MAE: 54.94	RMSE: 73.29
