Epoch 000	LOSS: 138.66	MAE: 73.05	RMSE: 86.07
Epoch 001	LOSS: 132.87	MAE: 72.07	RMSE: 85.21
Epoch 002	LOSS: 116.84	MAE: 69.14	RMSE: 82.54
Epoch 003	LOSS: 90.08	MAE: 64.83	RMSE: 78.12
Epoch 004	LOSS: 64.85	MAE: 60.48	RMSE: 74.54
Epoch 005	LOSS: 47.82	MAE: 58.72	RMSE: 73.89
Epoch 006	LOSS: 30.94	MAE: 57.12	RMSE: 73.95
Epoch 007	LOSS: 27.50	MAE: 56.89	RMSE: 74.05
Epoch 008	LOSS: 26.51	MAE: 56.73	RMSE: 74.02
Epoch 009	LOSS: 25.98	MAE: 56.69	RMSE: 74.04
Epoch 010	LOSS: 26.27	MAE: 56.78	RMSE: 74.07
Epoch 011	LOSS: 25.50	MAE: 56.65	RMSE: 74.03
Epoch 012	LOSS: 25.53	MAE: 56.69	RMSE: 74.05
Epoch 013	LOSS: 25.75	MAE: 56.69	RMSE: 74.04
Epoch 014	LOSS: 24.57	MAE: 56.50	RMSE: 73.96
Epoch 015	LOSS: 24.11	MAE: 56.41	RMSE: 73.90
Epoch 016	LOSS: 24.47	MAE: 56.41	RMSE: 73.85
Epoch 017	LOSS: 24.26	MAE: 56.34	RMSE: 73.82
Epoch 018	LOSS: 24.28	MAE: 56.30	RMSE: 73.80
Epoch 019	LOSS: 23.51	MAE: 56.19	RMSE: 73.77
Epoch 020	LOSS: 23.66	MAE: 56.10	RMSE: 73.67
Epoch 021	LOSS: 23.41	MAE: 56.03	RMSE: 73.62
Epoch 022	LOSS: 23.37	MAE: 56.00	RMSE: 73.59
Epoch 023	LOSS: 23.17	MAE: 55.95	RMSE: 73.55
Epoch 024	LOSS: 23.17	MAE: 55.95	RMSE: 73.53
Epoch 025	LOSS: 22.68	MAE: 55.85	RMSE: 73.48
Epoch 026	LOSS: 23.51	MAE: 55.94	RMSE: 73.49
Epoch 027	LOSS: 22.52	MAE: 55.87	RMSE: 73.52
Epoch 028	LOSS: 22.40	MAE: 55.86	RMSE: 73.52
Epoch 029	LOSS: 23.11	MAE: 55.94	RMSE: 73.52
Epoch 030	LOSS: 22.64	MAE: 55.86	RMSE: 73.49
Epoch 031	LOSS: 22.42	MAE: 55.79	RMSE: 73.44
Epoch 032	LOSS: 21.98	MAE: 55.75	RMSE: 73.41
Epoch 033	LOSS: 22.15	MAE: 55.75	RMSE: 73.40
Epoch 034	LOSS: 22.64	MAE: 55.79	RMSE: 73.41
Epoch 035	LOSS: 22.08	MAE: 55.66	RMSE: 73.31
Epoch 036	LOSS: 22.31	MAE: 55.69	RMSE: 73.30
Epoch 037	LOSS: 21.76	MAE: 55.59	RMSE: 73.26
Epoch 038	LOSS: 22.29	MAE: 55.69	RMSE: 73.31
Epoch 039	LOSS: 21.28	MAE: 55.56	RMSE: 73.28
Epoch 040	LOSS: 21.48	MAE: 55.55	RMSE: 73.25
Epoch 041	LOSS: 21.02	MAE: 55.45	RMSE: 73.22
Epoch 042	LOSS: 20.96	MAE: 55.42	RMSE: 73.18
Epoch 043	LOSS: 20.76	MAE: 55.36	RMSE: 73.14
Epoch 044	LOSS: 21.25	MAE: 55.40	RMSE: 73.16
Epoch 045	LOSS: 21.20	MAE: 55.38	RMSE: 73.16
Epoch 046	LOSS: 20.76	MAE: 55.32	RMSE: 73.13
Epoch 047	LOSS: 20.11	MAE: 55.19	RMSE: 73.09
Epoch 048	LOSS: 20.23	MAE: 55.21	RMSE: 73.09
Epoch 049	LOSS: 19.59	MAE: 55.13	RMSE: 73.09
Epoch 050	LOSS: 19.42	MAE: 55.10	RMSE: 73.08
Epoch 051	LOSS: 19.93	MAE: 55.16	RMSE: 73.09
Epoch 052	LOSS: 19.02	MAE: 55.05	RMSE: 73.08
Epoch 053	LOSS: 19.87	MAE: 55.12	RMSE: 73.09
Epoch 054	LOSS: 19.00	MAE: 55.03	RMSE: 73.08
Epoch 055	LOSS: 18.75	MAE: 54.95	RMSE: 73.04
Epoch 056	LOSS: 18.82	MAE: 54.96	RMSE: 73.03
Epoch 057	LOSS: 18.44	MAE: 54.91	RMSE: 73.01
Epoch 058	LOSS: 18.43	MAE: 54.90	RMSE: 73.01
Epoch 059	LOSS: 18.74	MAE: 54.94	RMSE: 73.02
Epoch 060	LOSS: 18.50	MAE: 54.86	RMSE: 72.98
Epoch 061	LOSS: 18.12	MAE: 54.80	RMSE: 72.95
Epoch 062	LOSS: 18.14	MAE: 54.82	RMSE: 72.97
Epoch 063	LOSS: 17.92	MAE: 54.81	RMSE: 72.97
Epoch 064	LOSS: 17.67	MAE: 54.78	RMSE: 72.95
Epoch 065	LOSS: 18.06	MAE: 54.79	RMSE: 72.94
Epoch 066	LOSS: 18.15	MAE: 54.80	RMSE: 72.93
Epoch 067	LOSS: 17.57	MAE: 54.74	RMSE: 72.94
Epoch 068	LOSS: 17.69	MAE: 54.74	RMSE: 72.92
Epoch 069	LOSS: 17.73	MAE: 54.75	RMSE: 72.93
Epoch 070	LOSS: 17.63	MAE: 54.70	RMSE: 72.89
Epoch 071	LOSS: 17.34	MAE: 54.68	RMSE: 72.89
Epoch 072	LOSS: 17.38	MAE: 54.68	RMSE: 72.89
Epoch 073	LOSS: 17.23	MAE: 54.62	RMSE: 72.85
Epoch 074	LOSS: 17.73	MAE: 54.71	RMSE: 72.89
Epoch 075	LOSS: 17.25	MAE: 54.63	RMSE: 72.86
Epoch 076	LOSS: 17.30	MAE: 54.65	RMSE: 72.88
Epoch 077	LOSS: 17.13	MAE: 54.63	RMSE: 72.87
Epoch 078	LOSS: 17.40	MAE: 54.67	RMSE: 72.87
Epoch 079	LOSS: 17.06	MAE: 54.60	RMSE: 72.84
Epoch 080	LOSS: 17.13	MAE: 54.58	RMSE: 72.81
Epoch 081	LOSS: 17.08	MAE: 54.60	RMSE: 72.82
Epoch 082	LOSS: 17.11	MAE: 54.59	RMSE: 72.82
Epoch 083	LOSS: 17.33	MAE: 54.58	RMSE: 72.80
Epoch 084	LOSS: 16.88	MAE: 54.51	RMSE: 72.77
Epoch 085	LOSS: 16.97	MAE: 54.50	RMSE: 72.72
Epoch 086	LOSS: 17.03	MAE: 54.53	RMSE: 72.76
Epoch 087	LOSS: 16.96	MAE: 54.51	RMSE: 72.75
Epoch 088	LOSS: 16.88	MAE: 54.47	RMSE: 72.72
Epoch 089	LOSS: 16.85	MAE: 54.49	RMSE: 72.73
Epoch 090	LOSS: 17.60	MAE: 54.56	RMSE: 72.73
Epoch 091	LOSS: 16.40	MAE: 54.46	RMSE: 72.73
Epoch 092	LOSS: 17.25	MAE: 54.51	RMSE: 72.72
Epoch 093	LOSS: 16.66	MAE: 54.45	RMSE: 72.72
Epoch 094	LOSS: 16.66	MAE: 54.43	RMSE: 72.69
Epoch 095	LOSS: 16.89	MAE: 54.44	RMSE: 72.69
Epoch 096	LOSS: 16.57	MAE: 54.39	RMSE: 72.67
Epoch 097	LOSS: 16.65	MAE: 54.40	RMSE: 72.66
