Epoch 000	LOSS: 139.35	MAE: 73.06	RMSE: 86.08
Epoch 001	LOSS: 132.88	MAE: 72.09	RMSE: 85.22
Epoch 002	LOSS: 115.05	MAE: 69.10	RMSE: 82.49
Epoch 003	LOSS: 87.89	MAE: 64.42	RMSE: 77.70
Epoch 004	LOSS: 63.33	MAE: 60.05	RMSE: 74.20
Epoch 005	LOSS: 47.97	MAE: 58.39	RMSE: 73.56
Epoch 006	LOSS: 32.15	MAE: 56.93	RMSE: 73.49
Epoch 007	LOSS: 26.95	MAE: 56.76	RMSE: 73.99
Epoch 008	LOSS: 26.82	MAE: 56.82	RMSE: 74.10
Epoch 009	LOSS: 26.67	MAE: 56.85	RMSE: 74.13
Epoch 010	LOSS: 25.73	MAE: 56.71	RMSE: 74.09
Epoch 011	LOSS: 26.08	MAE: 56.80	RMSE: 74.12
Epoch 012	LOSS: 25.42	MAE: 56.71	RMSE: 74.09
Epoch 013	LOSS: 24.75	MAE: 56.59	RMSE: 74.04
Epoch 014	LOSS: 24.76	MAE: 56.51	RMSE: 73.96
Epoch 015	LOSS: 24.37	MAE: 56.43	RMSE: 73.89
Epoch 016	LOSS: 24.05	MAE: 56.40	RMSE: 73.91
Epoch 017	LOSS: 23.88	MAE: 56.40	RMSE: 73.92
Epoch 018	LOSS: 23.57	MAE: 56.30	RMSE: 73.88
Epoch 019	LOSS: 23.71	MAE: 56.28	RMSE: 73.85
Epoch 020	LOSS: 23.68	MAE: 56.21	RMSE: 73.79
Epoch 021	LOSS: 23.93	MAE: 56.23	RMSE: 73.78
Epoch 022	LOSS: 24.00	MAE: 56.19	RMSE: 73.74
Epoch 023	LOSS: 23.77	MAE: 56.13	RMSE: 73.68
Epoch 024	LOSS: 22.91	MAE: 55.99	RMSE: 73.63
Epoch 025	LOSS: 23.55	MAE: 56.02	RMSE: 73.60
Epoch 026	LOSS: 22.67	MAE: 55.90	RMSE: 73.54
Epoch 027	LOSS: 22.87	MAE: 55.92	RMSE: 73.54
Epoch 028	LOSS: 23.40	MAE: 55.99	RMSE: 73.56
Epoch 029	LOSS: 23.00	MAE: 55.97	RMSE: 73.56
Epoch 030	LOSS: 22.68	MAE: 55.88	RMSE: 73.53
Epoch 031	LOSS: 22.34	MAE: 55.84	RMSE: 73.50
Epoch 032	LOSS: 22.41	MAE: 55.86	RMSE: 73.52
Epoch 033	LOSS: 21.97	MAE: 55.80	RMSE: 73.50
Epoch 034	LOSS: 21.75	MAE: 55.75	RMSE: 73.47
Epoch 035	LOSS: 22.02	MAE: 55.78	RMSE: 73.46
Epoch 036	LOSS: 21.75	MAE: 55.74	RMSE: 73.45
Epoch 037	LOSS: 21.50	MAE: 55.67	RMSE: 73.40
Epoch 038	LOSS: 22.11	MAE: 55.73	RMSE: 73.38
Epoch 039	LOSS: 21.78	MAE: 55.71	RMSE: 73.41
Epoch 040	LOSS: 21.58	MAE: 55.67	RMSE: 73.41
Epoch 041	LOSS: 21.35	MAE: 55.65	RMSE: 73.40
Epoch 042	LOSS: 20.79	MAE: 55.58	RMSE: 73.40
Epoch 043	LOSS: 21.14	MAE: 55.60	RMSE: 73.40
Epoch 044	LOSS: 20.91	MAE: 55.57	RMSE: 73.41
Epoch 045	LOSS: 20.62	MAE: 55.55	RMSE: 73.43
Epoch 046	LOSS: 20.52	MAE: 55.52	RMSE: 73.43
Epoch 047	LOSS: 20.41	MAE: 55.49	RMSE: 73.40
Epoch 048	LOSS: 19.46	MAE: 55.37	RMSE: 73.39
Epoch 049	LOSS: 19.49	MAE: 55.39	RMSE: 73.41
Epoch 050	LOSS: 19.43	MAE: 55.36	RMSE: 73.40
Epoch 051	LOSS: 20.36	MAE: 55.46	RMSE: 73.40
Epoch 052	LOSS: 19.86	MAE: 55.41	RMSE: 73.41
Epoch 053	LOSS: 19.19	MAE: 55.31	RMSE: 73.40
Epoch 054	LOSS: 18.71	MAE: 55.26	RMSE: 73.38
Epoch 055	LOSS: 18.57	MAE: 55.22	RMSE: 73.37
Epoch 056	LOSS: 19.33	MAE: 55.32	RMSE: 73.39
Epoch 057	LOSS: 18.56	MAE: 55.24	RMSE: 73.38
Epoch 058	LOSS: 18.27	MAE: 55.21	RMSE: 73.39
Epoch 059	LOSS: 18.37	MAE: 55.21	RMSE: 73.38
Epoch 060	LOSS: 18.54	MAE: 55.24	RMSE: 73.39
Epoch 061	LOSS: 18.58	MAE: 55.25	RMSE: 73.40
Epoch 062	LOSS: 18.32	MAE: 55.21	RMSE: 73.40
Epoch 063	LOSS: 18.16	MAE: 55.22	RMSE: 73.41
Epoch 064	LOSS: 18.46	MAE: 55.24	RMSE: 73.41
Epoch 065	LOSS: 17.51	MAE: 55.15	RMSE: 73.40
Epoch 066	LOSS: 18.00	MAE: 55.22	RMSE: 73.43
Epoch 067	LOSS: 17.77	MAE: 55.19	RMSE: 73.43
Epoch 068	LOSS: 17.72	MAE: 55.17	RMSE: 73.42
