Epoch 000	LOSS: 145.27	MAE: 71.18	RMSE: 83.59
Epoch 001	LOSS: 138.11	MAE: 68.26	RMSE: 81.03
Epoch 002	LOSS: 116.35	MAE: 57.96	RMSE: 70.82
Epoch 003	LOSS: 84.44	MAE: 41.55	RMSE: 49.11
Epoch 004	LOSS: 73.78	MAE: 36.26	RMSE: 44.89
Epoch 005	LOSS: 67.63	MAE: 33.15	RMSE: 40.12
Epoch 006	LOSS: 63.67	MAE: 31.94	RMSE: 37.98
Epoch 007	LOSS: 54.31	MAE: 28.76	RMSE: 34.74
Epoch 008	LOSS: 43.03	MAE: 24.51	RMSE: 30.23
Epoch 009	LOSS: 34.55	MAE: 20.61	RMSE: 26.78
Epoch 010	LOSS: 30.12	MAE: 17.85	RMSE: 24.71
Epoch 011	LOSS: 29.13	MAE: 16.89	RMSE: 23.51
Epoch 012	LOSS: 29.32	MAE: 16.64	RMSE: 23.32
Epoch 013	LOSS: 28.91	MAE: 16.36	RMSE: 23.15
Epoch 014	LOSS: 28.98	MAE: 17.15	RMSE: 23.78
Epoch 015	LOSS: 28.27	MAE: 16.55	RMSE: 23.23
Epoch 016	LOSS: 27.59	MAE: 15.99	RMSE: 22.93
Epoch 017	LOSS: 27.65	MAE: 16.03	RMSE: 22.76
Epoch 018	LOSS: 27.38	MAE: 15.86	RMSE: 22.72
Epoch 019	LOSS: 27.06	MAE: 15.54	RMSE: 22.34
Epoch 020	LOSS: 26.88	MAE: 15.59	RMSE: 22.38
Epoch 021	LOSS: 26.14	MAE: 15.26	RMSE: 22.15
Epoch 022	LOSS: 25.96	MAE: 15.10	RMSE: 22.01
Epoch 023	LOSS: 25.61	MAE: 15.16	RMSE: 22.45
Epoch 024	LOSS: 25.70	MAE: 14.97	RMSE: 21.92
Epoch 025	LOSS: 25.40	MAE: 14.68	RMSE: 21.59
Epoch 026	LOSS: 26.33	MAE: 15.08	RMSE: 22.13
Epoch 027	LOSS: 25.23	MAE: 14.59	RMSE: 21.64
Epoch 028	LOSS: 25.11	MAE: 14.50	RMSE: 21.53
Epoch 029	LOSS: 24.94	MAE: 14.46	RMSE: 21.41
Epoch 030	LOSS: 24.75	MAE: 14.29	RMSE: 21.21
Epoch 031	LOSS: 24.35	MAE: 14.14	RMSE: 21.09
Epoch 032	LOSS: 24.70	MAE: 14.17	RMSE: 21.10
Epoch 033	LOSS: 24.49	MAE: 14.14	RMSE: 21.05
Epoch 034	LOSS: 24.54	MAE: 14.07	RMSE: 21.07
Epoch 035	LOSS: 24.07	MAE: 13.90	RMSE: 21.00
Epoch 036	LOSS: 24.07	MAE: 14.01	RMSE: 21.06
Epoch 037	LOSS: 24.35	MAE: 13.90	RMSE: 20.95
Epoch 038	LOSS: 24.29	MAE: 13.91	RMSE: 20.97
Epoch 039	LOSS: 24.43	MAE: 13.87	RMSE: 20.75
Epoch 040	LOSS: 23.64	MAE: 13.70	RMSE: 20.56
