Epoch 000	LOSS: 145.16	MAE: 71.24	RMSE: 83.64
Epoch 001	LOSS: 138.45	MAE: 68.61	RMSE: 81.33
Epoch 002	LOSS: 117.89	MAE: 59.52	RMSE: 72.48
Epoch 003	LOSS: 85.67	MAE: 43.93	RMSE: 52.87
Epoch 004	LOSS: 73.09	MAE: 37.74	RMSE: 47.10
Epoch 005	LOSS: 63.24	MAE: 34.26	RMSE: 42.87
Epoch 006	LOSS: 52.75	MAE: 32.12	RMSE: 41.25
Epoch 007	LOSS: 39.38	MAE: 27.83	RMSE: 38.39
Epoch 008	LOSS: 28.99	MAE: 22.99	RMSE: 35.69
Epoch 009	LOSS: 27.82	MAE: 21.73	RMSE: 35.17
Epoch 010	LOSS: 27.30	MAE: 21.42	RMSE: 35.07
Epoch 011	LOSS: 27.06	MAE: 21.22	RMSE: 34.97
Epoch 012	LOSS: 26.96	MAE: 21.28	RMSE: 35.10
Epoch 013	LOSS: 26.62	MAE: 20.90	RMSE: 34.87
Epoch 014	LOSS: 26.10	MAE: 20.77	RMSE: 34.78
Epoch 015	LOSS: 26.05	MAE: 20.69	RMSE: 34.74
Epoch 016	LOSS: 25.75	MAE: 20.52	RMSE: 34.65
Epoch 017	LOSS: 25.40	MAE: 20.37	RMSE: 34.58
Epoch 018	LOSS: 24.99	MAE: 20.16	RMSE: 34.46
Epoch 019	LOSS: 24.57	MAE: 19.99	RMSE: 34.39
Epoch 020	LOSS: 24.42	MAE: 19.84	RMSE: 34.27
Epoch 021	LOSS: 24.14	MAE: 19.77	RMSE: 34.21
Epoch 022	LOSS: 24.08	MAE: 19.70	RMSE: 34.18
Epoch 023	LOSS: 24.08	MAE: 19.64	RMSE: 34.16
Epoch 024	LOSS: 23.89	MAE: 19.52	RMSE: 34.09
Epoch 025	LOSS: 23.84	MAE: 19.49	RMSE: 34.07
Epoch 026	LOSS: 23.56	MAE: 19.39	RMSE: 34.00
Epoch 027	LOSS: 23.35	MAE: 19.34	RMSE: 33.96
Epoch 028	LOSS: 23.38	MAE: 19.26	RMSE: 33.90
Epoch 029	LOSS: 23.29	MAE: 19.31	RMSE: 33.92
Epoch 030	LOSS: 23.35	MAE: 19.23	RMSE: 33.88
Epoch 031	LOSS: 23.60	MAE: 19.27	RMSE: 33.91
Epoch 032	LOSS: 23.11	MAE: 19.12	RMSE: 33.82
Epoch 033	LOSS: 22.88	MAE: 19.10	RMSE: 33.82
Epoch 034	LOSS: 23.24	MAE: 19.10	RMSE: 33.81
Epoch 035	LOSS: 22.82	MAE: 19.06	RMSE: 33.78
Epoch 036	LOSS: 22.62	MAE: 18.96	RMSE: 33.73
Epoch 037	LOSS: 23.04	MAE: 18.94	RMSE: 33.72
Epoch 038	LOSS: 22.51	MAE: 18.88	RMSE: 33.67
Epoch 039	LOSS: 22.58	MAE: 18.96	RMSE: 33.70
Epoch 040	LOSS: 22.41	MAE: 18.89	RMSE: 33.66
Epoch 041	LOSS: 22.25	MAE: 18.82	RMSE: 33.62
Epoch 042	LOSS: 22.37	MAE: 18.84	RMSE: 33.63
