Epoch 000	LOSS: 145.49	MAE: 71.23	RMSE: 83.63
Epoch 001	LOSS: 139.39	MAE: 68.60	RMSE: 81.33
Epoch 002	LOSS: 119.51	MAE: 59.51	RMSE: 72.50
Epoch 003	LOSS: 87.57	MAE: 44.15	RMSE: 52.95
Epoch 004	LOSS: 74.21	MAE: 37.78	RMSE: 46.83
Epoch 005	LOSS: 66.00	MAE: 34.65	RMSE: 42.99
Epoch 006	LOSS: 56.50	MAE: 32.61	RMSE: 40.95
Epoch 007	LOSS: 41.17	MAE: 27.82	RMSE: 37.43
Epoch 008	LOSS: 29.70	MAE: 22.77	RMSE: 35.00
Epoch 009	LOSS: 28.20	MAE: 21.80	RMSE: 34.84
Epoch 010	LOSS: 27.83	MAE: 21.19	RMSE: 34.50
Epoch 011	LOSS: 27.26	MAE: 21.00	RMSE: 34.44
Epoch 012	LOSS: 27.52	MAE: 20.87	RMSE: 34.35
Epoch 013	LOSS: 26.66	MAE: 20.67	RMSE: 34.26
Epoch 014	LOSS: 26.27	MAE: 20.43	RMSE: 34.21
Epoch 015	LOSS: 26.22	MAE: 20.34	RMSE: 34.10
Epoch 016	LOSS: 25.95	MAE: 20.12	RMSE: 34.04
Epoch 017	LOSS: 25.92	MAE: 19.91	RMSE: 33.94
Epoch 018	LOSS: 25.54	MAE: 19.71	RMSE: 33.85
Epoch 019	LOSS: 25.61	MAE: 19.92	RMSE: 34.02
Epoch 020	LOSS: 25.14	MAE: 19.68	RMSE: 33.90
Epoch 021	LOSS: 24.25	MAE: 19.39	RMSE: 33.77
Epoch 022	LOSS: 25.05	MAE: 19.68	RMSE: 33.94
Epoch 023	LOSS: 24.25	MAE: 19.33	RMSE: 33.80
Epoch 024	LOSS: 24.06	MAE: 19.33	RMSE: 33.79
Epoch 025	LOSS: 24.23	MAE: 19.35	RMSE: 33.75
Epoch 026	LOSS: 24.55	MAE: 19.36	RMSE: 33.76
Epoch 027	LOSS: 24.04	MAE: 19.22	RMSE: 33.68
Epoch 028	LOSS: 23.71	MAE: 19.08	RMSE: 33.60
Epoch 029	LOSS: 23.55	MAE: 19.10	RMSE: 33.61
Epoch 030	LOSS: 24.70	MAE: 19.18	RMSE: 33.66
Epoch 031	LOSS: 23.74	MAE: 18.94	RMSE: 33.54
Epoch 032	LOSS: 23.25	MAE: 18.91	RMSE: 33.51
Epoch 033	LOSS: 23.65	MAE: 18.99	RMSE: 33.55
Epoch 034	LOSS: 23.45	MAE: 18.88	RMSE: 33.48
Epoch 035	LOSS: 23.13	MAE: 18.83	RMSE: 33.48
Epoch 036	LOSS: 23.16	MAE: 18.86	RMSE: 33.53
Epoch 037	LOSS: 23.14	MAE: 18.75	RMSE: 33.47
Epoch 038	LOSS: 22.99	MAE: 18.71	RMSE: 33.46
Epoch 039	LOSS: 22.89	MAE: 18.81	RMSE: 33.51
Epoch 040	LOSS: 23.06	MAE: 18.89	RMSE: 33.54
Epoch 041	LOSS: 21.89	MAE: 18.55	RMSE: 33.35
Epoch 042	LOSS: 21.88	MAE: 18.44	RMSE: 33.30
Epoch 043	LOSS: 21.78	MAE: 18.40	RMSE: 33.28
Epoch 044	LOSS: 22.00	MAE: 18.37	RMSE: 33.26
Epoch 045	LOSS: 22.24	MAE: 18.32	RMSE: 33.24
Epoch 046	LOSS: 21.06	MAE: 18.13	RMSE: 33.14
Epoch 047	LOSS: 21.78	MAE: 18.13	RMSE: 33.13
Epoch 048	LOSS: 21.30	MAE: 18.09	RMSE: 33.11
Epoch 049	LOSS: 21.95	MAE: 18.39	RMSE: 33.30
Epoch 050	LOSS: 20.73	MAE: 18.09	RMSE: 33.12
Epoch 051	LOSS: 22.48	MAE: 18.21	RMSE: 33.18
Epoch 052	LOSS: 21.24	MAE: 18.04	RMSE: 33.08
Epoch 053	LOSS: 21.33	MAE: 18.09	RMSE: 33.12
Epoch 054	LOSS: 20.70	MAE: 18.03	RMSE: 33.10
Epoch 055	LOSS: 20.37	MAE: 18.00	RMSE: 33.06
Epoch 056	LOSS: 20.47	MAE: 17.97	RMSE: 33.06
Epoch 057	LOSS: 20.48	MAE: 17.90	RMSE: 33.03
Epoch 058	LOSS: 20.30	MAE: 17.88	RMSE: 33.00
Epoch 059	LOSS: 20.75	MAE: 18.06	RMSE: 33.14
Epoch 060	LOSS: 20.92	MAE: 17.95	RMSE: 33.07
Epoch 061	LOSS: 19.79	MAE: 17.83	RMSE: 32.98
Epoch 062	LOSS: 20.88	MAE: 17.92	RMSE: 33.04
Epoch 063	LOSS: 19.98	MAE: 17.70	RMSE: 32.92
Epoch 064	LOSS: 20.15	MAE: 17.75	RMSE: 32.96
Epoch 065	LOSS: 20.11	MAE: 17.76	RMSE: 32.95
Epoch 066	LOSS: 19.25	MAE: 17.63	RMSE: 32.89
Epoch 067	LOSS: 19.55	MAE: 17.63	RMSE: 32.89
Epoch 068	LOSS: 19.12	MAE: 17.50	RMSE: 32.81
Epoch 069	LOSS: 18.86	MAE: 17.51	RMSE: 32.81
Epoch 070	LOSS: 18.90	MAE: 17.48	RMSE: 32.83
Epoch 071	LOSS: 18.92	MAE: 17.44	RMSE: 32.81
Epoch 072	LOSS: 18.84	MAE: 17.43	RMSE: 32.79
Epoch 073	LOSS: 18.76	MAE: 17.43	RMSE: 32.80
Epoch 074	LOSS: 18.18	MAE: 17.39	RMSE: 32.77
