Epoch 000	LOSS: 144.32	MAE: 71.16	RMSE: 83.58
Epoch 001	LOSS: 136.99	MAE: 67.95	RMSE: 80.75
Epoch 002	LOSS: 113.72	MAE: 57.31	RMSE: 70.04
Epoch 003	LOSS: 80.63	MAE: 41.44	RMSE: 49.39
Epoch 004	LOSS: 74.00	MAE: 37.35	RMSE: 46.80
Epoch 005	LOSS: 66.25	MAE: 35.36	RMSE: 43.33
Epoch 006	LOSS: 59.84	MAE: 33.57	RMSE: 41.97
Epoch 007	LOSS: 45.95	MAE: 29.10	RMSE: 38.28
Epoch 008	LOSS: 33.82	MAE: 24.45	RMSE: 35.48
Epoch 009	LOSS: 28.54	MAE: 21.60	RMSE: 34.74
Epoch 010	LOSS: 28.04	MAE: 21.56	RMSE: 34.98
Epoch 011	LOSS: 27.81	MAE: 21.28	RMSE: 34.84
Epoch 012	LOSS: 27.38	MAE: 21.19	RMSE: 34.88
Epoch 013	LOSS: 27.21	MAE: 20.89	RMSE: 34.75
Epoch 014	LOSS: 26.59	MAE: 20.88	RMSE: 34.72
Epoch 015	LOSS: 26.80	MAE: 20.72	RMSE: 34.56
Epoch 016	LOSS: 26.74	MAE: 20.83	RMSE: 34.68
Epoch 017	LOSS: 25.97	MAE: 20.51	RMSE: 34.56
Epoch 018	LOSS: 25.94	MAE: 20.25	RMSE: 34.43
Epoch 019	LOSS: 25.84	MAE: 20.12	RMSE: 34.31
Epoch 020	LOSS: 25.54	MAE: 20.00	RMSE: 34.23
Epoch 021	LOSS: 25.32	MAE: 19.92	RMSE: 34.19
Epoch 022	LOSS: 24.78	MAE: 19.63	RMSE: 34.05
Epoch 023	LOSS: 25.75	MAE: 19.85	RMSE: 34.16
Epoch 024	LOSS: 25.07	MAE: 19.60	RMSE: 34.00
Epoch 025	LOSS: 25.12	MAE: 19.57	RMSE: 33.97
Epoch 026	LOSS: 24.88	MAE: 19.42	RMSE: 33.90
Epoch 027	LOSS: 25.12	MAE: 19.44	RMSE: 33.90
Epoch 028	LOSS: 24.20	MAE: 19.21	RMSE: 33.74
Epoch 029	LOSS: 23.97	MAE: 19.10	RMSE: 33.70
Epoch 030	LOSS: 23.80	MAE: 19.09	RMSE: 33.70
Epoch 031	LOSS: 23.52	MAE: 19.05	RMSE: 33.67
Epoch 032	LOSS: 23.59	MAE: 19.04	RMSE: 33.68
Epoch 033	LOSS: 23.89	MAE: 19.10	RMSE: 33.69
Epoch 034	LOSS: 23.06	MAE: 18.96	RMSE: 33.61
Epoch 035	LOSS: 23.38	MAE: 19.01	RMSE: 33.67
Epoch 036	LOSS: 23.63	MAE: 18.96	RMSE: 33.65
Epoch 037	LOSS: 23.07	MAE: 18.90	RMSE: 33.60
Epoch 038	LOSS: 22.80	MAE: 18.82	RMSE: 33.55
Epoch 039	LOSS: 23.96	MAE: 19.09	RMSE: 33.70
Epoch 040	LOSS: 22.97	MAE: 18.82	RMSE: 33.53
Epoch 041	LOSS: 22.79	MAE: 18.77	RMSE: 33.48
Epoch 042	LOSS: 22.95	MAE: 18.93	RMSE: 33.60
Epoch 043	LOSS: 22.54	MAE: 18.75	RMSE: 33.49
Epoch 044	LOSS: 23.39	MAE: 18.88	RMSE: 33.55
Epoch 045	LOSS: 23.04	MAE: 18.75	RMSE: 33.49
Epoch 046	LOSS: 22.44	MAE: 18.72	RMSE: 33.49
Epoch 047	LOSS: 22.31	MAE: 18.62	RMSE: 33.41
Epoch 048	LOSS: 21.92	MAE: 18.56	RMSE: 33.38
Epoch 049	LOSS: 22.27	MAE: 18.56	RMSE: 33.37
Epoch 050	LOSS: 22.11	MAE: 18.51	RMSE: 33.36
Epoch 051	LOSS: 21.94	MAE: 18.56	RMSE: 33.39
Epoch 052	LOSS: 21.96	MAE: 18.43	RMSE: 33.28
Epoch 053	LOSS: 21.77	MAE: 18.43	RMSE: 33.29
Epoch 054	LOSS: 21.37	MAE: 18.33	RMSE: 33.23
Epoch 055	LOSS: 21.51	MAE: 18.24	RMSE: 33.18
Epoch 056	LOSS: 21.16	MAE: 18.20	RMSE: 33.13
Epoch 057	LOSS: 20.66	MAE: 18.11	RMSE: 33.08
Epoch 058	LOSS: 21.33	MAE: 18.02	RMSE: 33.04
Epoch 059	LOSS: 20.68	MAE: 18.00	RMSE: 33.03
Epoch 060	LOSS: 21.68	MAE: 18.14	RMSE: 33.11
Epoch 061	LOSS: 20.78	MAE: 17.99	RMSE: 33.00
Epoch 062	LOSS: 21.61	MAE: 18.18	RMSE: 33.11
Epoch 063	LOSS: 20.96	MAE: 17.89	RMSE: 32.95
Epoch 064	LOSS: 20.44	MAE: 17.82	RMSE: 32.90
Epoch 065	LOSS: 20.77	MAE: 17.93	RMSE: 32.98
Epoch 066	LOSS: 20.51	MAE: 17.77	RMSE: 32.89
Epoch 067	LOSS: 19.80	MAE: 17.69	RMSE: 32.83
Epoch 068	LOSS: 20.17	MAE: 17.72	RMSE: 32.85
Epoch 069	LOSS: 19.87	MAE: 17.71	RMSE: 32.84
Epoch 070	LOSS: 19.70	MAE: 17.68	RMSE: 32.83
Epoch 071	LOSS: 19.33	MAE: 17.65	RMSE: 32.79
Epoch 072	LOSS: 19.67	MAE: 17.63	RMSE: 32.77
Epoch 073	LOSS: 19.61	MAE: 17.57	RMSE: 32.76
Epoch 074	LOSS: 19.14	MAE: 17.49	RMSE: 32.72
Epoch 075	LOSS: 19.03	MAE: 17.54	RMSE: 32.73
Epoch 076	LOSS: 18.86	MAE: 17.49	RMSE: 32.71
Epoch 077	LOSS: 18.75	MAE: 17.41	RMSE: 32.65
Epoch 078	LOSS: 18.89	MAE: 17.48	RMSE: 32.68
Epoch 079	LOSS: 18.45	MAE: 17.37	RMSE: 32.60
Epoch 080	LOSS: 18.75	MAE: 17.30	RMSE: 32.56
Epoch 081	LOSS: 18.69	MAE: 17.25	RMSE: 32.50
Epoch 082	LOSS: 18.13	MAE: 17.31	RMSE: 32.55
Epoch 083	LOSS: 18.13	MAE: 17.25	RMSE: 32.52
Epoch 084	LOSS: 18.27	MAE: 17.27	RMSE: 32.52
