Epoch 000	LOSS: 145.57	MAE: 71.25	RMSE: 83.65
Epoch 001	LOSS: 138.94	MAE: 68.62	RMSE: 81.34
Epoch 002	LOSS: 118.35	MAE: 59.33	RMSE: 72.29
Epoch 003	LOSS: 85.74	MAE: 43.74	RMSE: 52.47
Epoch 004	LOSS: 74.21	MAE: 37.78	RMSE: 47.12
Epoch 005	LOSS: 65.56	MAE: 34.65	RMSE: 43.04
Epoch 006	LOSS: 58.55	MAE: 32.76	RMSE: 41.27
Epoch 007	LOSS: 46.04	MAE: 28.53	RMSE: 37.96
Epoch 008	LOSS: 34.11	MAE: 23.92	RMSE: 34.98
Epoch 009	LOSS: 28.96	MAE: 21.94	RMSE: 34.80
Epoch 010	LOSS: 27.94	MAE: 21.33	RMSE: 34.50
Epoch 011	LOSS: 27.92	MAE: 21.08	RMSE: 34.42
Epoch 012	LOSS: 27.26	MAE: 20.96	RMSE: 34.37
Epoch 013	LOSS: 27.22	MAE: 20.88	RMSE: 34.40
Epoch 014	LOSS: 26.57	MAE: 20.66	RMSE: 34.39
Epoch 015	LOSS: 26.37	MAE: 20.59	RMSE: 34.38
Epoch 016	LOSS: 26.27	MAE: 20.40	RMSE: 34.25
Epoch 017	LOSS: 25.92	MAE: 20.31	RMSE: 34.22
Epoch 018	LOSS: 25.72	MAE: 20.12	RMSE: 34.13
Epoch 019	LOSS: 25.32	MAE: 20.00	RMSE: 34.11
Epoch 020	LOSS: 25.34	MAE: 20.13	RMSE: 34.16
Epoch 021	LOSS: 25.13	MAE: 20.01	RMSE: 34.09
Epoch 022	LOSS: 24.79	MAE: 19.82	RMSE: 34.03
Epoch 023	LOSS: 24.57	MAE: 19.74	RMSE: 33.94
Epoch 024	LOSS: 25.79	MAE: 19.90	RMSE: 34.07
Epoch 025	LOSS: 25.14	MAE: 19.64	RMSE: 33.94
Epoch 026	LOSS: 24.31	MAE: 19.64	RMSE: 33.98
Epoch 027	LOSS: 23.98	MAE: 19.36	RMSE: 33.82
Epoch 028	LOSS: 23.87	MAE: 19.42	RMSE: 33.84
Epoch 029	LOSS: 24.10	MAE: 19.35	RMSE: 33.78
Epoch 030	LOSS: 24.05	MAE: 19.35	RMSE: 33.79
Epoch 031	LOSS: 23.80	MAE: 19.26	RMSE: 33.75
Epoch 032	LOSS: 23.71	MAE: 19.35	RMSE: 33.75
Epoch 033	LOSS: 23.94	MAE: 19.37	RMSE: 33.81
Epoch 034	LOSS: 23.97	MAE: 19.36	RMSE: 33.81
Epoch 035	LOSS: 23.38	MAE: 19.10	RMSE: 33.69
Epoch 036	LOSS: 23.42	MAE: 19.13	RMSE: 33.71
Epoch 037	LOSS: 23.19	MAE: 19.25	RMSE: 33.75
Epoch 038	LOSS: 22.69	MAE: 18.81	RMSE: 33.48
Epoch 039	LOSS: 22.60	MAE: 18.82	RMSE: 33.49
Epoch 040	LOSS: 22.47	MAE: 18.80	RMSE: 33.47
