Epoch 000	LOSS: 93.05	MAE: 53.97	RMSE: 57.52
Epoch 001	LOSS: 40.39	MAE: 51.03	RMSE: 55.47
Epoch 002	LOSS: 31.71	MAE: 49.35	RMSE: 54.65
Epoch 003	LOSS: 19.16	MAE: 48.24	RMSE: 54.56
Epoch 004	LOSS: 16.53	MAE: 48.29	RMSE: 54.71
Epoch 005	LOSS: 16.69	MAE: 48.46	RMSE: 54.86
Epoch 006	LOSS: 17.91	MAE: 48.74	RMSE: 54.98
Epoch 007	LOSS: 11.85	MAE: 48.14	RMSE: 54.98
Epoch 008	LOSS: 14.96	MAE: 48.51	RMSE: 55.04
Epoch 009	LOSS: 13.84	MAE: 48.40	RMSE: 55.05
Epoch 010	LOSS: 14.47	MAE: 48.47	RMSE: 55.07
Epoch 011	LOSS: 14.14	MAE: 48.49	RMSE: 55.08
Epoch 012	LOSS: 18.76	MAE: 49.04	RMSE: 55.16
Epoch 013	LOSS: 19.06	MAE: 49.09	RMSE: 55.17
Epoch 014	LOSS: 12.90	MAE: 48.35	RMSE: 55.08
Epoch 015	LOSS: 12.84	MAE: 48.31	RMSE: 55.07
Epoch 016	LOSS: 14.34	MAE: 48.54	RMSE: 55.10
Epoch 017	LOSS: 17.34	MAE: 48.91	RMSE: 55.15
Epoch 018	LOSS: 17.28	MAE: 48.89	RMSE: 55.15
Epoch 019	LOSS: 15.74	MAE: 48.74	RMSE: 55.13
Epoch 020	LOSS: 15.62	MAE: 48.70	RMSE: 55.13
Epoch 021	LOSS: 17.96	MAE: 48.97	RMSE: 55.16
Epoch 022	LOSS: 15.20	MAE: 48.64	RMSE: 55.12
Epoch 023	LOSS: 16.34	MAE: 48.82	RMSE: 55.16
Epoch 024	LOSS: 20.17	MAE: 49.26	RMSE: 55.23
Epoch 025	LOSS: 18.25	MAE: 49.08	RMSE: 55.21
Epoch 026	LOSS: 17.34	MAE: 48.96	RMSE: 55.20
Epoch 027	LOSS: 16.33	MAE: 48.86	RMSE: 55.19
Epoch 028	LOSS: 15.66	MAE: 48.77	RMSE: 55.18
Epoch 029	LOSS: 14.11	MAE: 48.63	RMSE: 55.18
Epoch 030	LOSS: 14.44	MAE: 48.63	RMSE: 55.19
Epoch 031	LOSS: 15.00	MAE: 48.75	RMSE: 55.22
Epoch 032	LOSS: 15.91	MAE: 48.85	RMSE: 55.24
Epoch 033	LOSS: 15.51	MAE: 48.81	RMSE: 55.24
Epoch 034	LOSS: 15.01	MAE: 48.76	RMSE: 55.23
Epoch 035	LOSS: 16.17	MAE: 48.88	RMSE: 55.25
Epoch 036	LOSS: 16.60	MAE: 48.96	RMSE: 55.26
Epoch 037	LOSS: 16.43	MAE: 48.93	RMSE: 55.26
Epoch 038	LOSS: 15.09	MAE: 48.77	RMSE: 55.24
Epoch 039	LOSS: 12.44	MAE: 48.44	RMSE: 55.19
Epoch 040	LOSS: 13.31	MAE: 48.50	RMSE: 55.20
Epoch 041	LOSS: 25.59	MAE: 50.12	RMSE: 55.48
Epoch 042	LOSS: 13.73	MAE: 48.51	RMSE: 55.20
Epoch 043	LOSS: 14.40	MAE: 48.66	RMSE: 55.22
Epoch 044	LOSS: 19.29	MAE: 49.30	RMSE: 55.31
Epoch 045	LOSS: 19.87	MAE: 49.37	RMSE: 55.32
Epoch 046	LOSS: 14.41	MAE: 48.65	RMSE: 55.21
Epoch 047	LOSS: 11.47	MAE: 48.32	RMSE: 55.17
Epoch 048	LOSS: 12.76	MAE: 48.45	RMSE: 55.19
Epoch 049	LOSS: 15.01	MAE: 48.76	RMSE: 55.22
Epoch 050	LOSS: 14.39	MAE: 48.67	RMSE: 55.21
Epoch 051	LOSS: 17.85	MAE: 49.14	RMSE: 55.27
Epoch 052	LOSS: 14.72	MAE: 48.71	RMSE: 55.21
Epoch 053	LOSS: 15.72	MAE: 48.82	RMSE: 55.22
Epoch 054	LOSS: 15.41	MAE: 48.81	RMSE: 55.21
Epoch 055	LOSS: 13.65	MAE: 48.58	RMSE: 55.18
Epoch 056	LOSS: 12.85	MAE: 48.48	RMSE: 55.17
Epoch 057	LOSS: 15.47	MAE: 48.81	RMSE: 55.20
Epoch 058	LOSS: 13.21	MAE: 48.52	RMSE: 55.16
Epoch 059	LOSS: 18.26	MAE: 49.16	RMSE: 55.25
Epoch 060	LOSS: 15.23	MAE: 48.76	RMSE: 55.19
Epoch 061	LOSS: 15.97	MAE: 48.88	RMSE: 55.20
Epoch 062	LOSS: 16.68	MAE: 48.97	RMSE: 55.21
Epoch 063	LOSS: 12.87	MAE: 48.47	RMSE: 55.15
Epoch 064	LOSS: 11.54	MAE: 48.31	RMSE: 55.13
Epoch 065	LOSS: 14.84	MAE: 48.74	RMSE: 55.18
Epoch 066	LOSS: 15.83	MAE: 48.85	RMSE: 55.20
Epoch 067	LOSS: 13.29	MAE: 48.54	RMSE: 55.16
Epoch 068	LOSS: 12.27	MAE: 48.40	RMSE: 55.14
Epoch 069	LOSS: 15.33	MAE: 48.80	RMSE: 55.19
Epoch 070	LOSS: 15.28	MAE: 48.79	RMSE: 55.19
Epoch 071	LOSS: 14.06	MAE: 48.66	RMSE: 55.17
Epoch 072	LOSS: 10.34	MAE: 48.18	RMSE: 55.12
Epoch 073	LOSS: 14.92	MAE: 48.69	RMSE: 55.18
Epoch 074	LOSS: 17.27	MAE: 49.03	RMSE: 55.22
Epoch 075	LOSS: 14.05	MAE: 48.63	RMSE: 55.17
Epoch 076	LOSS: 14.61	MAE: 48.70	RMSE: 55.18
Epoch 077	LOSS: 15.72	MAE: 48.86	RMSE: 55.20
Epoch 078	LOSS: 12.09	MAE: 48.41	RMSE: 55.15
Epoch 079	LOSS: 12.29	MAE: 48.43	RMSE: 55.15
Epoch 080	LOSS: 15.77	MAE: 48.86	RMSE: 55.20
Epoch 081	LOSS: 15.16	MAE: 48.80	RMSE: 55.19
Epoch 082	LOSS: 12.59	MAE: 48.46	RMSE: 55.15
Epoch 083	LOSS: 13.56	MAE: 48.60	RMSE: 55.16
Epoch 084	LOSS: 9.97	MAE: 48.13	RMSE: 55.12
Epoch 085	LOSS: 12.08	MAE: 48.38	RMSE: 55.14
Epoch 086	LOSS: 14.96	MAE: 48.76	RMSE: 55.18
Epoch 087	LOSS: 14.56	MAE: 48.70	RMSE: 55.18
Epoch 088	LOSS: 13.67	MAE: 48.62	RMSE: 55.16
Epoch 089	LOSS: 16.39	MAE: 48.98	RMSE: 55.21
Epoch 090	LOSS: 16.24	MAE: 48.92	RMSE: 55.21
Epoch 091	LOSS: 11.80	MAE: 48.36	RMSE: 55.14
Epoch 092	LOSS: 12.08	MAE: 48.41	RMSE: 55.14
Epoch 093	LOSS: 15.42	MAE: 48.83	RMSE: 55.19
Epoch 094	LOSS: 15.64	MAE: 48.86	RMSE: 55.19
Epoch 095	LOSS: 12.10	MAE: 48.40	RMSE: 55.14
Epoch 096	LOSS: 12.45	MAE: 48.45	RMSE: 55.14
Epoch 097	LOSS: 15.09	MAE: 48.81	RMSE: 55.19
Epoch 098	LOSS: 14.76	MAE: 48.75	RMSE: 55.18
Epoch 099	LOSS: 11.52	MAE: 48.34	RMSE: 55.13
Epoch 100	LOSS: 12.96	MAE: 48.52	RMSE: 55.15
Epoch 101	LOSS: 13.13	MAE: 48.54	RMSE: 55.15
Epoch 102	LOSS: 13.98	MAE: 48.64	RMSE: 55.16
Epoch 103	LOSS: 9.64	MAE: 47.93	RMSE: 55.10
Epoch 104	LOSS: 19.76	MAE: 49.36	RMSE: 55.28
Epoch 105	LOSS: 14.64	MAE: 48.70	RMSE: 55.18
Epoch 106	LOSS: 13.50	MAE: 48.59	RMSE: 55.16
Epoch 107	LOSS: 9.64	MAE: 48.09	RMSE: 55.11
Epoch 108	LOSS: 12.68	MAE: 48.47	RMSE: 55.15
Epoch 109	LOSS: 16.44	MAE: 48.93	RMSE: 55.21
Epoch 110	LOSS: 17.39	MAE: 49.08	RMSE: 55.22
Epoch 111	LOSS: 14.86	MAE: 48.73	RMSE: 55.18
Epoch 112	LOSS: 13.69	MAE: 48.62	RMSE: 55.16
Epoch 113	LOSS: 10.71	MAE: 48.22	RMSE: 55.12
Epoch 114	LOSS: 15.74	MAE: 48.86	RMSE: 55.20
Epoch 115	LOSS: 16.47	MAE: 48.95	RMSE: 55.21
Epoch 116	LOSS: 14.02	MAE: 48.64	RMSE: 55.17
Epoch 117	LOSS: 12.52	MAE: 48.48	RMSE: 55.15
Epoch 118	LOSS: 12.11	MAE: 48.41	RMSE: 55.14
Epoch 119	LOSS: 15.54	MAE: 48.87	RMSE: 55.20
Epoch 120	LOSS: 15.10	MAE: 48.79	RMSE: 55.19
Epoch 121	LOSS: 12.99	MAE: 48.52	RMSE: 55.16
Epoch 122	LOSS: 10.56	MAE: 48.26	RMSE: 55.13
Epoch 123	LOSS: 15.07	MAE: 48.79	RMSE: 55.19
Epoch 124	LOSS: 10.65	MAE: 48.25	RMSE: 55.13
Epoch 125	LOSS: 14.83	MAE: 48.78	RMSE: 55.19
Epoch 126	LOSS: 14.78	MAE: 48.77	RMSE: 55.19
Epoch 127	LOSS: 16.34	MAE: 48.95	RMSE: 55.22
Epoch 128	LOSS: 13.85	MAE: 48.64	RMSE: 55.17
Epoch 129	LOSS: 16.55	MAE: 49.01	RMSE: 55.23
Epoch 130	LOSS: 14.03	MAE: 48.69	RMSE: 55.18
Epoch 131	LOSS: 14.81	MAE: 48.77	RMSE: 55.20
Epoch 132	LOSS: 11.68	MAE: 48.37	RMSE: 55.15
Epoch 133	LOSS: 12.02	MAE: 48.41	RMSE: 55.15
Epoch 134	LOSS: 11.78	MAE: 48.35	RMSE: 55.14
Epoch 135	LOSS: 11.89	MAE: 48.40	RMSE: 55.15
Epoch 136	LOSS: 14.45	MAE: 48.72	RMSE: 55.19
Epoch 137	LOSS: 15.04	MAE: 48.85	RMSE: 55.20
Epoch 138	LOSS: 11.32	MAE: 48.34	RMSE: 55.14
Epoch 139	LOSS: 11.97	MAE: 48.42	RMSE: 55.15
Epoch 140	LOSS: 13.98	MAE: 48.67	RMSE: 55.18
Epoch 141	LOSS: 14.98	MAE: 48.81	RMSE: 55.19
Epoch 142	LOSS: 10.77	MAE: 48.30	RMSE: 55.14
Epoch 143	LOSS: 10.49	MAE: 48.22	RMSE: 55.13
Epoch 144	LOSS: 13.32	MAE: 48.57	RMSE: 55.17
Epoch 145	LOSS: 13.29	MAE: 48.57	RMSE: 55.17
Epoch 146	LOSS: 14.96	MAE: 48.83	RMSE: 55.20
Epoch 147	LOSS: 13.02	MAE: 48.56	RMSE: 55.17
Epoch 148	LOSS: 11.57	MAE: 48.36	RMSE: 55.14
Epoch 149	LOSS: 12.20	MAE: 48.44	RMSE: 55.15
Epoch 150	LOSS: 14.19	MAE: 48.72	RMSE: 55.18
Epoch 151	LOSS: 12.08	MAE: 48.43	RMSE: 55.15
Epoch 152	LOSS: 12.22	MAE: 48.44	RMSE: 55.15
Epoch 153	LOSS: 13.11	MAE: 48.60	RMSE: 55.17
Epoch 154	LOSS: 13.31	MAE: 48.61	RMSE: 55.17
Epoch 155	LOSS: 14.52	MAE: 48.75	RMSE: 55.18
Epoch 156	LOSS: 15.46	MAE: 48.87	RMSE: 55.20
Epoch 157	LOSS: 10.92	MAE: 48.30	RMSE: 55.13
Epoch 158	LOSS: 11.96	MAE: 48.43	RMSE: 55.15
