Epoch 000	LOSS: 94.66	MAE: 55.77	RMSE: 59.07
Epoch 001	LOSS: 44.58	MAE: 51.66	RMSE: 55.86
Epoch 002	LOSS: 29.84	MAE: 49.20	RMSE: 54.71
Epoch 003	LOSS: 20.94	MAE: 48.67	RMSE: 54.63
Epoch 004	LOSS: 16.73	MAE: 48.29	RMSE: 54.71
Epoch 005	LOSS: 15.75	MAE: 48.37	RMSE: 54.84
Epoch 006	LOSS: 17.84	MAE: 48.62	RMSE: 54.94
Epoch 007	LOSS: 14.80	MAE: 48.47	RMSE: 54.98
Epoch 008	LOSS: 14.74	MAE: 48.46	RMSE: 55.01
Epoch 009	LOSS: 15.57	MAE: 48.58	RMSE: 55.04
Epoch 010	LOSS: 15.95	MAE: 48.64	RMSE: 55.07
Epoch 011	LOSS: 16.12	MAE: 48.70	RMSE: 55.09
Epoch 012	LOSS: 15.75	MAE: 48.65	RMSE: 55.09
Epoch 013	LOSS: 13.81	MAE: 48.45	RMSE: 55.08
Epoch 014	LOSS: 15.99	MAE: 48.72	RMSE: 55.12
Epoch 015	LOSS: 16.99	MAE: 48.87	RMSE: 55.15
Epoch 016	LOSS: 15.02	MAE: 48.64	RMSE: 55.12
Epoch 017	LOSS: 15.81	MAE: 48.76	RMSE: 55.15
Epoch 018	LOSS: 14.32	MAE: 48.60	RMSE: 55.15
Epoch 019	LOSS: 13.88	MAE: 48.55	RMSE: 55.15
Epoch 020	LOSS: 16.17	MAE: 48.83	RMSE: 55.19
Epoch 021	LOSS: 15.16	MAE: 48.73	RMSE: 55.19
Epoch 022	LOSS: 17.24	MAE: 48.98	RMSE: 55.24
Epoch 023	LOSS: 18.28	MAE: 49.14	RMSE: 55.27
Epoch 024	LOSS: 12.58	MAE: 48.48	RMSE: 55.19
Epoch 025	LOSS: 13.70	MAE: 48.60	RMSE: 55.21
Epoch 026	LOSS: 16.04	MAE: 48.88	RMSE: 55.26
Epoch 027	LOSS: 14.07	MAE: 48.67	RMSE: 55.23
Epoch 028	LOSS: 12.12	MAE: 48.40	RMSE: 55.20
Epoch 029	LOSS: 15.56	MAE: 48.87	RMSE: 55.27
Epoch 030	LOSS: 17.54	MAE: 49.06	RMSE: 55.29
Epoch 031	LOSS: 14.26	MAE: 48.67	RMSE: 55.24
Epoch 032	LOSS: 9.91	MAE: 48.17	RMSE: 55.18
Epoch 033	LOSS: 12.06	MAE: 48.42	RMSE: 55.21
Epoch 034	LOSS: 18.36	MAE: 49.17	RMSE: 55.31
Epoch 035	LOSS: 18.92	MAE: 49.24	RMSE: 55.32
Epoch 036	LOSS: 16.72	MAE: 48.97	RMSE: 55.28
Epoch 037	LOSS: 12.74	MAE: 48.49	RMSE: 55.21
Epoch 038	LOSS: 10.43	MAE: 48.21	RMSE: 55.19
Epoch 039	LOSS: 12.79	MAE: 48.50	RMSE: 55.22
Epoch 040	LOSS: 14.91	MAE: 48.74	RMSE: 55.25
Epoch 041	LOSS: 13.92	MAE: 48.66	RMSE: 55.24
Epoch 042	LOSS: 15.14	MAE: 48.78	RMSE: 55.26
Epoch 043	LOSS: 15.99	MAE: 48.89	RMSE: 55.27
Epoch 044	LOSS: 14.12	MAE: 48.66	RMSE: 55.24
Epoch 045	LOSS: 15.30	MAE: 48.81	RMSE: 55.26
Epoch 046	LOSS: 17.24	MAE: 49.05	RMSE: 55.29
Epoch 047	LOSS: 16.56	MAE: 48.96	RMSE: 55.28
Epoch 048	LOSS: 13.76	MAE: 48.61	RMSE: 55.23
Epoch 049	LOSS: 16.83	MAE: 48.99	RMSE: 55.28
Epoch 050	LOSS: 17.79	MAE: 49.15	RMSE: 55.31
Epoch 051	LOSS: 12.35	MAE: 48.45	RMSE: 55.21
Epoch 052	LOSS: 15.56	MAE: 48.86	RMSE: 55.26
Epoch 053	LOSS: 15.43	MAE: 48.82	RMSE: 55.25
Epoch 054	LOSS: 13.94	MAE: 48.65	RMSE: 55.22
Epoch 055	LOSS: 12.84	MAE: 48.53	RMSE: 55.21
Epoch 056	LOSS: 16.02	MAE: 48.87	RMSE: 55.25
Epoch 057	LOSS: 15.86	MAE: 48.87	RMSE: 55.24
Epoch 058	LOSS: 12.73	MAE: 48.49	RMSE: 55.20
Epoch 059	LOSS: 14.43	MAE: 48.72	RMSE: 55.22
Epoch 060	LOSS: 13.50	MAE: 48.59	RMSE: 55.20
Epoch 061	LOSS: 12.30	MAE: 48.43	RMSE: 55.18
Epoch 062	LOSS: 11.31	MAE: 48.32	RMSE: 55.17
Epoch 063	LOSS: 15.95	MAE: 48.92	RMSE: 55.24
Epoch 064	LOSS: 15.36	MAE: 48.85	RMSE: 55.23
Epoch 065	LOSS: 12.31	MAE: 48.44	RMSE: 55.18
Epoch 066	LOSS: 11.87	MAE: 48.38	RMSE: 55.17
Epoch 067	LOSS: 13.15	MAE: 48.55	RMSE: 55.19
Epoch 068	LOSS: 13.70	MAE: 48.62	RMSE: 55.19
Epoch 069	LOSS: 14.17	MAE: 48.68	RMSE: 55.20
Epoch 070	LOSS: 16.34	MAE: 48.93	RMSE: 55.23
Epoch 071	LOSS: 11.93	MAE: 48.40	RMSE: 55.17
Epoch 072	LOSS: 12.44	MAE: 48.46	RMSE: 55.17
Epoch 073	LOSS: 15.75	MAE: 48.87	RMSE: 55.22
Epoch 074	LOSS: 14.05	MAE: 48.65	RMSE: 55.19
Epoch 075	LOSS: 13.64	MAE: 48.62	RMSE: 55.19
Epoch 076	LOSS: 11.45	MAE: 48.33	RMSE: 55.16
Epoch 077	LOSS: 16.88	MAE: 49.02	RMSE: 55.24
Epoch 078	LOSS: 15.56	MAE: 48.85	RMSE: 55.22
Epoch 079	LOSS: 11.18	MAE: 48.29	RMSE: 55.15
Epoch 080	LOSS: 11.88	MAE: 48.39	RMSE: 55.16
Epoch 081	LOSS: 16.32	MAE: 48.95	RMSE: 55.23
Epoch 082	LOSS: 16.09	MAE: 48.94	RMSE: 55.23
Epoch 083	LOSS: 11.88	MAE: 48.40	RMSE: 55.16
Epoch 084	LOSS: 12.11	MAE: 48.44	RMSE: 55.17
Epoch 085	LOSS: 15.20	MAE: 48.81	RMSE: 55.21
Epoch 086	LOSS: 14.59	MAE: 48.75	RMSE: 55.20
