Epoch 000	LOSS: 88.27	MAE: 54.97	RMSE: 58.35
Epoch 001	LOSS: 46.00	MAE: 50.62	RMSE: 55.23
Epoch 002	LOSS: 31.93	MAE: 48.80	RMSE: 54.46
Epoch 003	LOSS: 18.17	MAE: 48.11	RMSE: 54.50
Epoch 004	LOSS: 16.47	MAE: 48.21	RMSE: 54.63
Epoch 005	LOSS: 14.51	MAE: 48.13	RMSE: 54.77
Epoch 006	LOSS: 13.89	MAE: 48.22	RMSE: 54.88
Epoch 007	LOSS: 16.84	MAE: 48.62	RMSE: 54.99
Epoch 008	LOSS: 15.86	MAE: 48.63	RMSE: 55.04
Epoch 009	LOSS: 14.56	MAE: 48.45	RMSE: 55.04
Epoch 010	LOSS: 14.96	MAE: 48.53	RMSE: 55.07
Epoch 011	LOSS: 16.13	MAE: 48.71	RMSE: 55.10
Epoch 012	LOSS: 16.29	MAE: 48.73	RMSE: 55.11
Epoch 013	LOSS: 13.35	MAE: 48.43	RMSE: 55.08
Epoch 014	LOSS: 14.16	MAE: 48.51	RMSE: 55.09
Epoch 015	LOSS: 16.58	MAE: 48.81	RMSE: 55.13
Epoch 016	LOSS: 17.28	MAE: 48.91	RMSE: 55.15
Epoch 017	LOSS: 14.62	MAE: 48.60	RMSE: 55.12
Epoch 018	LOSS: 14.59	MAE: 48.61	RMSE: 55.12
Epoch 019	LOSS: 16.68	MAE: 48.85	RMSE: 55.15
Epoch 020	LOSS: 16.39	MAE: 48.85	RMSE: 55.16
Epoch 021	LOSS: 14.91	MAE: 48.65	RMSE: 55.14
Epoch 022	LOSS: 14.27	MAE: 48.58	RMSE: 55.13
Epoch 023	LOSS: 15.75	MAE: 48.77	RMSE: 55.16
Epoch 024	LOSS: 16.33	MAE: 48.85	RMSE: 55.17
Epoch 025	LOSS: 13.02	MAE: 48.43	RMSE: 55.12
Epoch 026	LOSS: 15.44	MAE: 48.75	RMSE: 55.16
Epoch 027	LOSS: 13.23	MAE: 48.48	RMSE: 55.13
Epoch 028	LOSS: 11.68	MAE: 48.30	RMSE: 55.11
Epoch 029	LOSS: 17.24	MAE: 48.99	RMSE: 55.20
Epoch 030	LOSS: 18.37	MAE: 49.12	RMSE: 55.22
Epoch 031	LOSS: 18.03	MAE: 49.08	RMSE: 55.22
Epoch 032	LOSS: 14.50	MAE: 48.63	RMSE: 55.16
Epoch 033	LOSS: 13.15	MAE: 48.44	RMSE: 55.13
Epoch 034	LOSS: 11.34	MAE: 48.25	RMSE: 55.12
Epoch 035	LOSS: 18.43	MAE: 49.12	RMSE: 55.24
Epoch 036	LOSS: 17.44	MAE: 49.02	RMSE: 55.22
Epoch 037	LOSS: 16.45	MAE: 48.88	RMSE: 55.20
Epoch 038	LOSS: 17.90	MAE: 49.09	RMSE: 55.24
Epoch 039	LOSS: 14.55	MAE: 48.67	RMSE: 55.17
Epoch 040	LOSS: 14.77	MAE: 48.66	RMSE: 55.18
Epoch 041	LOSS: 17.32	MAE: 49.01	RMSE: 55.23
Epoch 042	LOSS: 17.63	MAE: 49.06	RMSE: 55.25
Epoch 043	LOSS: 14.47	MAE: 48.66	RMSE: 55.19
Epoch 044	LOSS: 13.95	MAE: 48.63	RMSE: 55.19
Epoch 045	LOSS: 16.59	MAE: 48.94	RMSE: 55.24
Epoch 046	LOSS: 16.82	MAE: 48.95	RMSE: 55.25
Epoch 047	LOSS: 14.16	MAE: 48.65	RMSE: 55.21
Epoch 048	LOSS: 13.81	MAE: 48.62	RMSE: 55.21
Epoch 049	LOSS: 17.48	MAE: 49.05	RMSE: 55.27
Epoch 050	LOSS: 17.27	MAE: 49.03	RMSE: 55.26
Epoch 051	LOSS: 13.73	MAE: 48.59	RMSE: 55.20
Epoch 052	LOSS: 13.92	MAE: 48.64	RMSE: 55.21
Epoch 053	LOSS: 17.10	MAE: 49.02	RMSE: 55.26
Epoch 054	LOSS: 16.86	MAE: 48.99	RMSE: 55.26
Epoch 055	LOSS: 13.95	MAE: 48.62	RMSE: 55.20
Epoch 056	LOSS: 14.10	MAE: 48.64	RMSE: 55.20
Epoch 057	LOSS: 16.26	MAE: 48.91	RMSE: 55.24
Epoch 058	LOSS: 16.39	MAE: 48.93	RMSE: 55.24
Epoch 059	LOSS: 13.70	MAE: 48.62	RMSE: 55.19
Epoch 060	LOSS: 13.68	MAE: 48.57	RMSE: 55.18
Epoch 061	LOSS: 14.22	MAE: 48.66	RMSE: 55.19
Epoch 062	LOSS: 16.13	MAE: 48.90	RMSE: 55.22
Epoch 063	LOSS: 13.17	MAE: 48.54	RMSE: 55.17
Epoch 064	LOSS: 13.72	MAE: 48.60	RMSE: 55.18
Epoch 065	LOSS: 13.66	MAE: 48.61	RMSE: 55.18
Epoch 066	LOSS: 14.65	MAE: 48.72	RMSE: 55.20
Epoch 067	LOSS: 12.64	MAE: 48.46	RMSE: 55.17
Epoch 068	LOSS: 16.57	MAE: 48.98	RMSE: 55.23
Epoch 069	LOSS: 17.08	MAE: 49.05	RMSE: 55.24
Epoch 070	LOSS: 14.49	MAE: 48.74	RMSE: 55.20
Epoch 071	LOSS: 16.65	MAE: 48.96	RMSE: 55.23
Epoch 072	LOSS: 12.63	MAE: 48.39	RMSE: 55.16
Epoch 073	LOSS: 12.34	MAE: 48.42	RMSE: 55.16
Epoch 074	LOSS: 11.66	MAE: 48.34	RMSE: 55.16
Epoch 075	LOSS: 12.68	MAE: 48.47	RMSE: 55.17
Epoch 076	LOSS: 12.96	MAE: 48.53	RMSE: 55.18
Epoch 077	LOSS: 15.74	MAE: 48.90	RMSE: 55.22
Epoch 078	LOSS: 15.09	MAE: 48.80	RMSE: 55.21
Epoch 079	LOSS: 12.65	MAE: 48.50	RMSE: 55.17
Epoch 080	LOSS: 12.86	MAE: 48.50	RMSE: 55.17
Epoch 081	LOSS: 15.55	MAE: 48.86	RMSE: 55.22
Epoch 082	LOSS: 16.19	MAE: 48.96	RMSE: 55.23
Epoch 083	LOSS: 12.25	MAE: 48.45	RMSE: 55.17
