Epoch 000	LOSS: 86.29	MAE: 55.14	RMSE: 58.54
Epoch 001	LOSS: 45.93	MAE: 51.75	RMSE: 55.87
Epoch 002	LOSS: 26.55	MAE: 49.15	RMSE: 54.67
Epoch 003	LOSS: 17.81	MAE: 48.07	RMSE: 54.49
Epoch 004	LOSS: 14.15	MAE: 48.10	RMSE: 54.50
Epoch 005	LOSS: 10.97	MAE: 47.51	RMSE: 54.26
Epoch 006	LOSS: 10.38	MAE: 47.07	RMSE: 53.86
Epoch 007	LOSS: 10.23	MAE: 46.17	RMSE: 53.02
Epoch 008	LOSS: 9.61	MAE: 44.79	RMSE: 52.26
Epoch 009	LOSS: 9.79	MAE: 44.49	RMSE: 52.01
Epoch 010	LOSS: 9.48	MAE: 44.36	RMSE: 52.05
Epoch 011	LOSS: 9.29	MAE: 43.70	RMSE: 51.58
Epoch 012	LOSS: 8.87	MAE: 43.88	RMSE: 51.69
Epoch 013	LOSS: 8.82	MAE: 43.85	RMSE: 51.71
Epoch 014	LOSS: 10.14	MAE: 44.20	RMSE: 51.86
Epoch 015	LOSS: 8.82	MAE: 44.17	RMSE: 51.90
Epoch 016	LOSS: 8.78	MAE: 43.95	RMSE: 51.75
Epoch 017	LOSS: 9.04	MAE: 43.42	RMSE: 51.37
Epoch 018	LOSS: 8.95	MAE: 43.40	RMSE: 51.34
Epoch 019	LOSS: 8.18	MAE: 44.62	RMSE: 52.05
Epoch 020	LOSS: 8.79	MAE: 44.85	RMSE: 52.24
Epoch 021	LOSS: 8.64	MAE: 44.79	RMSE: 52.18
Epoch 022	LOSS: 8.26	MAE: 44.10	RMSE: 51.80
Epoch 023	LOSS: 8.28	MAE: 43.49	RMSE: 51.44
Epoch 024	LOSS: 9.30	MAE: 44.55	RMSE: 52.01
Epoch 025	LOSS: 8.63	MAE: 44.39	RMSE: 51.96
Epoch 026	LOSS: 8.46	MAE: 43.17	RMSE: 51.22
Epoch 027	LOSS: 9.35	MAE: 43.22	RMSE: 51.27
Epoch 028	LOSS: 9.56	MAE: 44.36	RMSE: 51.84
Epoch 029	LOSS: 8.04	MAE: 44.73	RMSE: 52.14
Epoch 030	LOSS: 8.32	MAE: 43.72	RMSE: 51.61
Epoch 031	LOSS: 8.00	MAE: 43.51	RMSE: 51.46
Epoch 032	LOSS: 8.85	MAE: 43.38	RMSE: 51.35
Epoch 033	LOSS: 9.03	MAE: 43.64	RMSE: 51.51
Epoch 034	LOSS: 10.10	MAE: 44.38	RMSE: 51.86
Epoch 035	LOSS: 8.21	MAE: 44.35	RMSE: 51.86
Epoch 036	LOSS: 10.15	MAE: 44.00	RMSE: 51.58
Epoch 037	LOSS: 8.22	MAE: 42.93	RMSE: 51.02
Epoch 038	LOSS: 11.88	MAE: 43.73	RMSE: 51.36
Epoch 039	LOSS: 10.02	MAE: 43.92	RMSE: 51.43
Epoch 040	LOSS: 8.51	MAE: 43.50	RMSE: 51.34
