Epoch 000	LOSS: 86.59	MAE: 53.91	RMSE: 57.49
Epoch 001	LOSS: 45.30	MAE: 51.28	RMSE: 55.52
Epoch 002	LOSS: 25.72	MAE: 48.65	RMSE: 54.54
Epoch 003	LOSS: 17.75	MAE: 48.57	RMSE: 54.70
Epoch 004	LOSS: 13.87	MAE: 48.28	RMSE: 54.75
Epoch 005	LOSS: 11.37	MAE: 48.28	RMSE: 54.88
Epoch 006	LOSS: 10.98	MAE: 48.43	RMSE: 54.98
Epoch 007	LOSS: 9.63	MAE: 48.08	RMSE: 54.99
Epoch 008	LOSS: 10.18	MAE: 48.24	RMSE: 55.04
Epoch 009	LOSS: 9.54	MAE: 48.35	RMSE: 55.07
Epoch 010	LOSS: 9.82	MAE: 48.23	RMSE: 55.07
Epoch 011	LOSS: 8.48	MAE: 48.14	RMSE: 55.07
Epoch 012	LOSS: 8.79	MAE: 48.13	RMSE: 55.08
Epoch 013	LOSS: 8.69	MAE: 48.07	RMSE: 55.08
Epoch 014	LOSS: 9.29	MAE: 48.06	RMSE: 55.09
Epoch 015	LOSS: 8.54	MAE: 48.06	RMSE: 55.09
Epoch 016	LOSS: 8.50	MAE: 48.15	RMSE: 55.11
Epoch 017	LOSS: 8.51	MAE: 48.08	RMSE: 55.11
Epoch 018	LOSS: 8.20	MAE: 48.07	RMSE: 55.11
Epoch 019	LOSS: 8.18	MAE: 48.08	RMSE: 55.12
Epoch 020	LOSS: 8.36	MAE: 48.09	RMSE: 55.12
Epoch 021	LOSS: 8.43	MAE: 48.05	RMSE: 55.12
Epoch 022	LOSS: 11.61	MAE: 48.23	RMSE: 55.14
Epoch 023	LOSS: 11.10	MAE: 48.50	RMSE: 55.15
Epoch 024	LOSS: 8.85	MAE: 48.16	RMSE: 55.13
Epoch 025	LOSS: 8.38	MAE: 48.08	RMSE: 55.13
Epoch 026	LOSS: 10.47	MAE: 48.14	RMSE: 55.15
Epoch 027	LOSS: 9.19	MAE: 48.07	RMSE: 55.14
Epoch 028	LOSS: 8.51	MAE: 48.18	RMSE: 55.14
Epoch 029	LOSS: 9.58	MAE: 48.30	RMSE: 55.15
Epoch 030	LOSS: 9.33	MAE: 48.21	RMSE: 55.15
Epoch 031	LOSS: 8.11	MAE: 48.04	RMSE: 55.15
Epoch 032	LOSS: 8.88	MAE: 48.07	RMSE: 55.16
Epoch 033	LOSS: 8.27	MAE: 48.05	RMSE: 55.15
Epoch 034	LOSS: 9.09	MAE: 48.27	RMSE: 55.16
Epoch 035	LOSS: 9.35	MAE: 48.26	RMSE: 55.16
Epoch 036	LOSS: 8.24	MAE: 48.14	RMSE: 55.16
