Epoch 000	LOSS: 95.35	MAE: 44.18	RMSE: 49.13
Epoch 001	LOSS: 46.56	MAE: 41.87	RMSE: 45.77
Epoch 002	LOSS: 38.57	MAE: 35.09	RMSE: 40.04
Epoch 003	LOSS: 21.21	MAE: 34.61	RMSE: 40.11
Epoch 004	LOSS: 17.47	MAE: 31.09	RMSE: 37.73
Epoch 005	LOSS: 15.65	MAE: 25.02	RMSE: 34.86
Epoch 006	LOSS: 17.56	MAE: 24.43	RMSE: 34.43
Epoch 007	LOSS: 15.07	MAE: 23.32	RMSE: 33.98
Epoch 008	LOSS: 13.27	MAE: 22.78	RMSE: 33.39
Epoch 009	LOSS: 15.24	MAE: 22.31	RMSE: 32.43
Epoch 010	LOSS: 15.52	MAE: 20.72	RMSE: 30.53
Epoch 011	LOSS: 15.44	MAE: 19.81	RMSE: 29.45
Epoch 012	LOSS: 12.68	MAE: 18.81	RMSE: 28.85
Epoch 013	LOSS: 12.89	MAE: 18.92	RMSE: 28.88
Epoch 014	LOSS: 15.64	MAE: 19.47	RMSE: 29.16
Epoch 015	LOSS: 16.58	MAE: 20.01	RMSE: 29.66
Epoch 016	LOSS: 13.18	MAE: 19.40	RMSE: 29.38
Epoch 017	LOSS: 12.35	MAE: 18.31	RMSE: 28.41
Epoch 018	LOSS: 17.07	MAE: 18.99	RMSE: 28.56
Epoch 019	LOSS: 12.77	MAE: 18.63	RMSE: 28.77
Epoch 020	LOSS: 14.85	MAE: 18.87	RMSE: 28.70
Epoch 021	LOSS: 14.97	MAE: 18.78	RMSE: 28.61
Epoch 022	LOSS: 13.17	MAE: 18.43	RMSE: 28.51
Epoch 023	LOSS: 14.66	MAE: 18.63	RMSE: 28.72
Epoch 024	LOSS: 17.78	MAE: 19.86	RMSE: 28.99
Epoch 025	LOSS: 17.06	MAE: 18.80	RMSE: 28.52
Epoch 026	LOSS: 15.54	MAE: 18.64	RMSE: 28.45
Epoch 027	LOSS: 16.55	MAE: 18.94	RMSE: 28.68
Epoch 028	LOSS: 13.57	MAE: 18.72	RMSE: 28.74
Epoch 029	LOSS: 16.11	MAE: 18.85	RMSE: 28.68
Epoch 030	LOSS: 20.08	MAE: 19.71	RMSE: 28.87
Epoch 031	LOSS: 16.85	MAE: 18.93	RMSE: 28.67
Epoch 032	LOSS: 15.41	MAE: 18.52	RMSE: 28.38
Epoch 033	LOSS: 13.19	MAE: 18.84	RMSE: 28.80
Epoch 034	LOSS: 13.84	MAE: 18.35	RMSE: 28.35
Epoch 035	LOSS: 14.94	MAE: 18.74	RMSE: 28.64
Epoch 036	LOSS: 11.85	MAE: 18.05	RMSE: 28.48
Epoch 037	LOSS: 15.39	MAE: 19.02	RMSE: 28.75
Epoch 038	LOSS: 11.02	MAE: 18.16	RMSE: 28.72
Epoch 039	LOSS: 13.33	MAE: 18.50	RMSE: 28.57
Epoch 040	LOSS: 16.45	MAE: 18.89	RMSE: 28.78
Epoch 041	LOSS: 18.08	MAE: 19.55	RMSE: 28.94
Epoch 042	LOSS: 21.21	MAE: 19.95	RMSE: 29.12
Epoch 043	LOSS: 14.28	MAE: 18.69	RMSE: 28.94
Epoch 044	LOSS: 12.83	MAE: 18.72	RMSE: 28.72
Epoch 045	LOSS: 11.43	MAE: 18.23	RMSE: 28.80
Epoch 046	LOSS: 21.38	MAE: 20.20	RMSE: 29.25
