Epoch 000	LOSS: 85.44	MAE: 57.62	RMSE: 59.53
Epoch 001	LOSS: 67.81	MAE: 51.69	RMSE: 55.77
Epoch 002	LOSS: 25.31	MAE: 48.90	RMSE: 54.65
Epoch 003	LOSS: 17.97	MAE: 48.11	RMSE: 54.52
Epoch 004	LOSS: 17.85	MAE: 48.26	RMSE: 54.63
Epoch 005	LOSS: 16.12	MAE: 48.29	RMSE: 54.75
Epoch 006	LOSS: 14.69	MAE: 48.30	RMSE: 54.86
Epoch 007	LOSS: 13.53	MAE: 48.24	RMSE: 54.92
Epoch 008	LOSS: 12.45	MAE: 48.21	RMSE: 54.97
Epoch 009	LOSS: 12.22	MAE: 48.19	RMSE: 55.00
Epoch 010	LOSS: 19.32	MAE: 49.00	RMSE: 55.13
Epoch 011	LOSS: 16.99	MAE: 48.81	RMSE: 55.12
Epoch 012	LOSS: 14.55	MAE: 48.55	RMSE: 55.10
Epoch 013	LOSS: 14.82	MAE: 48.54	RMSE: 55.10
Epoch 014	LOSS: 14.18	MAE: 48.51	RMSE: 55.11
Epoch 015	LOSS: 13.84	MAE: 48.48	RMSE: 55.11
Epoch 016	LOSS: 18.18	MAE: 48.98	RMSE: 55.17
Epoch 017	LOSS: 18.26	MAE: 49.03	RMSE: 55.18
Epoch 018	LOSS: 13.66	MAE: 48.49	RMSE: 55.12
Epoch 019	LOSS: 12.89	MAE: 48.39	RMSE: 55.11
Epoch 020	LOSS: 13.34	MAE: 48.45	RMSE: 55.12
Epoch 021	LOSS: 16.88	MAE: 48.86	RMSE: 55.17
Epoch 022	LOSS: 15.77	MAE: 48.72	RMSE: 55.16
Epoch 023	LOSS: 16.44	MAE: 48.83	RMSE: 55.18
Epoch 024	LOSS: 16.42	MAE: 48.84	RMSE: 55.18
Epoch 025	LOSS: 16.00	MAE: 48.80	RMSE: 55.18
Epoch 026	LOSS: 16.18	MAE: 48.81	RMSE: 55.19
Epoch 027	LOSS: 16.73	MAE: 48.90	RMSE: 55.21
Epoch 028	LOSS: 16.71	MAE: 48.91	RMSE: 55.21
Epoch 029	LOSS: 15.90	MAE: 48.84	RMSE: 55.21
Epoch 030	LOSS: 16.78	MAE: 48.93	RMSE: 55.22
Epoch 031	LOSS: 17.06	MAE: 48.97	RMSE: 55.23
Epoch 032	LOSS: 14.98	MAE: 48.71	RMSE: 55.20
Epoch 033	LOSS: 15.27	MAE: 48.78	RMSE: 55.22
Epoch 034	LOSS: 16.70	MAE: 48.97	RMSE: 55.25
Epoch 035	LOSS: 19.82	MAE: 49.32	RMSE: 55.31
Epoch 036	LOSS: 12.90	MAE: 48.50	RMSE: 55.19
Epoch 037	LOSS: 13.19	MAE: 48.52	RMSE: 55.20
Epoch 038	LOSS: 16.80	MAE: 48.98	RMSE: 55.26
Epoch 039	LOSS: 21.63	MAE: 49.59	RMSE: 55.37
Epoch 040	LOSS: 18.80	MAE: 49.24	RMSE: 55.31
Epoch 041	LOSS: 17.45	MAE: 49.06	RMSE: 55.28
Epoch 042	LOSS: 16.25	MAE: 48.92	RMSE: 55.26
Epoch 043	LOSS: 16.59	MAE: 48.96	RMSE: 55.26
Epoch 044	LOSS: 16.03	MAE: 48.91	RMSE: 55.26
Epoch 045	LOSS: 17.11	MAE: 49.03	RMSE: 55.27
Epoch 046	LOSS: 14.81	MAE: 48.74	RMSE: 55.23
Epoch 047	LOSS: 15.17	MAE: 48.80	RMSE: 55.24
Epoch 048	LOSS: 18.36	MAE: 49.18	RMSE: 55.30
Epoch 049	LOSS: 17.93	MAE: 49.14	RMSE: 55.29
Epoch 050	LOSS: 14.53	MAE: 48.72	RMSE: 55.23
Epoch 051	LOSS: 14.90	MAE: 48.76	RMSE: 55.24
Epoch 052	LOSS: 18.52	MAE: 49.20	RMSE: 55.30
Epoch 053	LOSS: 18.15	MAE: 49.17	RMSE: 55.30
Epoch 054	LOSS: 14.30	MAE: 48.68	RMSE: 55.23
Epoch 055	LOSS: 14.74	MAE: 48.73	RMSE: 55.23
Epoch 056	LOSS: 18.92	MAE: 49.28	RMSE: 55.32
Epoch 057	LOSS: 18.46	MAE: 49.21	RMSE: 55.31
Epoch 058	LOSS: 14.49	MAE: 48.71	RMSE: 55.23
Epoch 059	LOSS: 14.58	MAE: 48.71	RMSE: 55.23
Epoch 060	LOSS: 18.37	MAE: 49.19	RMSE: 55.30
Epoch 061	LOSS: 18.27	MAE: 49.18	RMSE: 55.30
Epoch 062	LOSS: 14.12	MAE: 48.68	RMSE: 55.22
Epoch 063	LOSS: 14.67	MAE: 48.72	RMSE: 55.22
Epoch 064	LOSS: 18.54	MAE: 49.21	RMSE: 55.29
Epoch 065	LOSS: 17.72	MAE: 49.11	RMSE: 55.27
Epoch 066	LOSS: 13.91	MAE: 48.63	RMSE: 55.20
Epoch 067	LOSS: 14.60	MAE: 48.71	RMSE: 55.21
Epoch 068	LOSS: 18.11	MAE: 49.15	RMSE: 55.27
Epoch 069	LOSS: 16.98	MAE: 49.01	RMSE: 55.24
Epoch 070	LOSS: 14.67	MAE: 48.72	RMSE: 55.20
Epoch 071	LOSS: 14.16	MAE: 48.63	RMSE: 55.18
Epoch 072	LOSS: 17.79	MAE: 49.13	RMSE: 55.25
Epoch 073	LOSS: 15.97	MAE: 48.88	RMSE: 55.21
Epoch 074	LOSS: 14.33	MAE: 48.68	RMSE: 55.18
Epoch 075	LOSS: 14.80	MAE: 48.71	RMSE: 55.19
Epoch 076	LOSS: 15.75	MAE: 48.85	RMSE: 55.20
Epoch 077	LOSS: 14.89	MAE: 48.77	RMSE: 55.19
Epoch 078	LOSS: 16.32	MAE: 48.91	RMSE: 55.21
Epoch 079	LOSS: 14.01	MAE: 48.64	RMSE: 55.17
Epoch 080	LOSS: 13.70	MAE: 48.57	RMSE: 55.16
Epoch 081	LOSS: 18.40	MAE: 49.19	RMSE: 55.25
Epoch 082	LOSS: 16.57	MAE: 48.96	RMSE: 55.21
Epoch 083	LOSS: 16.42	MAE: 48.92	RMSE: 55.21
Epoch 084	LOSS: 16.75	MAE: 48.98	RMSE: 55.22
Epoch 085	LOSS: 13.88	MAE: 48.60	RMSE: 55.16
Epoch 086	LOSS: 14.18	MAE: 48.67	RMSE: 55.17
Epoch 087	LOSS: 15.14	MAE: 48.76	RMSE: 55.19
Epoch 088	LOSS: 15.85	MAE: 48.89	RMSE: 55.20
Epoch 089	LOSS: 17.28	MAE: 49.06	RMSE: 55.23
Epoch 090	LOSS: 15.70	MAE: 48.85	RMSE: 55.20
Epoch 091	LOSS: 13.73	MAE: 48.61	RMSE: 55.17
Epoch 092	LOSS: 14.10	MAE: 48.64	RMSE: 55.17
Epoch 093	LOSS: 16.47	MAE: 48.95	RMSE: 55.21
Epoch 094	LOSS: 16.53	MAE: 48.96	RMSE: 55.21
Epoch 095	LOSS: 13.91	MAE: 48.62	RMSE: 55.17
Epoch 096	LOSS: 13.73	MAE: 48.61	RMSE: 55.17
Epoch 097	LOSS: 16.68	MAE: 48.98	RMSE: 55.21
Epoch 098	LOSS: 16.40	MAE: 48.95	RMSE: 55.21
Epoch 099	LOSS: 14.13	MAE: 48.66	RMSE: 55.17
Epoch 100	LOSS: 13.40	MAE: 48.57	RMSE: 55.16
Epoch 101	LOSS: 16.80	MAE: 49.00	RMSE: 55.22
Epoch 102	LOSS: 14.38	MAE: 48.69	RMSE: 55.17
Epoch 103	LOSS: 13.80	MAE: 48.62	RMSE: 55.17
Epoch 104	LOSS: 15.96	MAE: 48.90	RMSE: 55.20
Epoch 105	LOSS: 16.77	MAE: 49.00	RMSE: 55.22
Epoch 106	LOSS: 14.14	MAE: 48.66	RMSE: 55.17
Epoch 107	LOSS: 14.04	MAE: 48.64	RMSE: 55.17
Epoch 108	LOSS: 15.47	MAE: 48.84	RMSE: 55.19
Epoch 109	LOSS: 16.95	MAE: 49.04	RMSE: 55.22
Epoch 110	LOSS: 12.89	MAE: 48.49	RMSE: 55.15
Epoch 111	LOSS: 13.73	MAE: 48.61	RMSE: 55.16
Epoch 112	LOSS: 16.59	MAE: 48.98	RMSE: 55.21
Epoch 113	LOSS: 15.87	MAE: 48.88	RMSE: 55.20
Epoch 114	LOSS: 13.47	MAE: 48.61	RMSE: 55.16
Epoch 115	LOSS: 13.97	MAE: 48.66	RMSE: 55.17
Epoch 116	LOSS: 15.92	MAE: 48.91	RMSE: 55.20
Epoch 117	LOSS: 16.38	MAE: 48.97	RMSE: 55.21
Epoch 118	LOSS: 12.08	MAE: 48.42	RMSE: 55.14
Epoch 119	LOSS: 15.80	MAE: 48.88	RMSE: 55.20
Epoch 120	LOSS: 16.86	MAE: 49.01	RMSE: 55.22
Epoch 121	LOSS: 16.71	MAE: 49.01	RMSE: 55.21
Epoch 122	LOSS: 15.41	MAE: 48.86	RMSE: 55.19
Epoch 123	LOSS: 13.59	MAE: 48.61	RMSE: 55.16
Epoch 124	LOSS: 13.75	MAE: 48.64	RMSE: 55.17
Epoch 125	LOSS: 15.57	MAE: 48.87	RMSE: 55.20
Epoch 126	LOSS: 16.36	MAE: 48.97	RMSE: 55.21
Epoch 127	LOSS: 15.65	MAE: 48.87	RMSE: 55.20
Epoch 128	LOSS: 14.78	MAE: 48.77	RMSE: 55.19
Epoch 129	LOSS: 15.84	MAE: 48.91	RMSE: 55.20
Epoch 130	LOSS: 12.93	MAE: 48.51	RMSE: 55.15
Epoch 131	LOSS: 14.51	MAE: 48.74	RMSE: 55.18
Epoch 132	LOSS: 14.44	MAE: 48.74	RMSE: 55.18
Epoch 133	LOSS: 13.26	MAE: 48.59	RMSE: 55.16
Epoch 134	LOSS: 13.39	MAE: 48.60	RMSE: 55.16
Epoch 135	LOSS: 14.89	MAE: 48.79	RMSE: 55.19
Epoch 136	LOSS: 15.05	MAE: 48.81	RMSE: 55.19
Epoch 137	LOSS: 14.70	MAE: 48.79	RMSE: 55.19
Epoch 138	LOSS: 16.91	MAE: 49.06	RMSE: 55.23
Epoch 139	LOSS: 16.07	MAE: 48.94	RMSE: 55.21
Epoch 140	LOSS: 14.31	MAE: 48.71	RMSE: 55.18
Epoch 141	LOSS: 13.32	MAE: 48.61	RMSE: 55.17
Epoch 142	LOSS: 15.85	MAE: 48.93	RMSE: 55.21
Epoch 143	LOSS: 16.00	MAE: 48.95	RMSE: 55.21
Epoch 144	LOSS: 13.77	MAE: 48.64	RMSE: 55.17
Epoch 145	LOSS: 12.98	MAE: 48.56	RMSE: 55.16
Epoch 146	LOSS: 17.20	MAE: 49.16	RMSE: 55.24
Epoch 147	LOSS: 13.85	MAE: 48.64	RMSE: 55.18
Epoch 148	LOSS: 14.58	MAE: 48.75	RMSE: 55.19
Epoch 149	LOSS: 14.52	MAE: 48.74	RMSE: 55.18
Epoch 150	LOSS: 17.87	MAE: 49.16	RMSE: 55.24
Epoch 151	LOSS: 15.61	MAE: 48.87	RMSE: 55.20
Epoch 152	LOSS: 13.06	MAE: 48.54	RMSE: 55.16
Epoch 153	LOSS: 14.12	MAE: 48.69	RMSE: 55.18
Epoch 154	LOSS: 14.60	MAE: 48.74	RMSE: 55.19
Epoch 155	LOSS: 14.61	MAE: 48.74	RMSE: 55.18
Epoch 156	LOSS: 14.27	MAE: 48.72	RMSE: 55.17
Epoch 157	LOSS: 14.42	MAE: 48.73	RMSE: 55.18
Epoch 158	LOSS: 15.14	MAE: 48.82	RMSE: 55.19
Epoch 159	LOSS: 14.17	MAE: 48.69	RMSE: 55.17
Epoch 160	LOSS: 13.84	MAE: 48.66	RMSE: 55.17
Epoch 161	LOSS: 15.18	MAE: 48.84	RMSE: 55.19
Epoch 162	LOSS: 15.22	MAE: 48.86	RMSE: 55.19
Epoch 163	LOSS: 14.16	MAE: 48.71	RMSE: 55.17
Epoch 164	LOSS: 14.57	MAE: 48.77	RMSE: 55.18
Epoch 165	LOSS: 14.96	MAE: 48.81	RMSE: 55.18
Epoch 166	LOSS: 14.39	MAE: 48.73	RMSE: 55.17
Epoch 167	LOSS: 13.78	MAE: 48.65	RMSE: 55.16
Epoch 168	LOSS: 14.66	MAE: 48.78	RMSE: 55.18
Epoch 169	LOSS: 15.19	MAE: 48.84	RMSE: 55.19
Epoch 170	LOSS: 14.43	MAE: 48.74	RMSE: 55.17
Epoch 171	LOSS: 14.78	MAE: 48.79	RMSE: 55.18
Epoch 172	LOSS: 16.37	MAE: 49.00	RMSE: 55.21
Epoch 173	LOSS: 15.70	MAE: 48.91	RMSE: 55.20
Epoch 174	LOSS: 12.90	MAE: 48.56	RMSE: 55.15
Epoch 175	LOSS: 13.79	MAE: 48.65	RMSE: 55.16
Epoch 176	LOSS: 15.29	MAE: 48.86	RMSE: 55.19
Epoch 177	LOSS: 15.30	MAE: 48.88	RMSE: 55.19
Epoch 178	LOSS: 13.35	MAE: 48.60	RMSE: 55.16
Epoch 179	LOSS: 16.11	MAE: 48.97	RMSE: 55.20
Epoch 180	LOSS: 15.87	MAE: 48.94	RMSE: 55.20
Epoch 181	LOSS: 12.53	MAE: 48.48	RMSE: 55.14
Epoch 182	LOSS: 13.55	MAE: 48.63	RMSE: 55.16
Epoch 183	LOSS: 15.81	MAE: 48.93	RMSE: 55.20
Epoch 184	LOSS: 15.84	MAE: 48.94	RMSE: 55.20
Epoch 185	LOSS: 13.49	MAE: 48.63	RMSE: 55.16
Epoch 186	LOSS: 13.79	MAE: 48.66	RMSE: 55.16
Epoch 187	LOSS: 15.87	MAE: 48.93	RMSE: 55.20
Epoch 188	LOSS: 15.93	MAE: 48.94	RMSE: 55.20
Epoch 189	LOSS: 14.67	MAE: 48.78	RMSE: 55.18
Epoch 190	LOSS: 17.65	MAE: 49.16	RMSE: 55.23
Epoch 191	LOSS: 17.39	MAE: 49.13	RMSE: 55.23
Epoch 192	LOSS: 13.45	MAE: 48.61	RMSE: 55.16
