Epoch 000	LOSS: 92.57	MAE: 44.91	RMSE: 49.66
Epoch 001	LOSS: 45.50	MAE: 41.36	RMSE: 45.27
Epoch 002	LOSS: 42.05	MAE: 30.39	RMSE: 36.85
Epoch 003	LOSS: 20.91	MAE: 29.04	RMSE: 36.34
Epoch 004	LOSS: 19.20	MAE: 24.69	RMSE: 34.34
Epoch 005	LOSS: 19.38	MAE: 24.25	RMSE: 33.86
Epoch 006	LOSS: 13.68	MAE: 23.06	RMSE: 33.40
Epoch 007	LOSS: 12.34	MAE: 21.82	RMSE: 32.04
Epoch 008	LOSS: 14.91	MAE: 21.09	RMSE: 30.07
Epoch 009	LOSS: 17.83	MAE: 17.25	RMSE: 25.69
Epoch 010	LOSS: 11.57	MAE: 17.50	RMSE: 25.50
Epoch 011	LOSS: 14.26	MAE: 14.44	RMSE: 23.51
Epoch 012	LOSS: 13.28	MAE: 14.40	RMSE: 23.31
Epoch 013	LOSS: 10.49	MAE: 15.14	RMSE: 23.72
Epoch 014	LOSS: 13.39	MAE: 15.33	RMSE: 23.78
Epoch 015	LOSS: 12.79	MAE: 15.89	RMSE: 24.54
Epoch 016	LOSS: 13.53	MAE: 14.65	RMSE: 23.44
Epoch 017	LOSS: 10.43	MAE: 14.60	RMSE: 22.72
Epoch 018	LOSS: 10.39	MAE: 15.46	RMSE: 23.96
Epoch 019	LOSS: 11.37	MAE: 14.49	RMSE: 22.78
Epoch 020	LOSS: 10.78	MAE: 13.04	RMSE: 21.95
Epoch 021	LOSS: 10.17	MAE: 13.55	RMSE: 22.35
Epoch 022	LOSS: 13.05	MAE: 13.34	RMSE: 21.90
Epoch 023	LOSS: 13.13	MAE: 12.66	RMSE: 21.58
Epoch 024	LOSS: 11.18	MAE: 12.60	RMSE: 21.50
Epoch 025	LOSS: 11.53	MAE: 12.49	RMSE: 21.59
Epoch 026	LOSS: 12.21	MAE: 12.44	RMSE: 21.57
Epoch 027	LOSS: 11.74	MAE: 12.30	RMSE: 21.37
Epoch 028	LOSS: 11.72	MAE: 12.72	RMSE: 21.43
Epoch 029	LOSS: 10.15	MAE: 12.67	RMSE: 21.53
Epoch 030	LOSS: 10.03	MAE: 12.08	RMSE: 21.26
Epoch 031	LOSS: 12.34	MAE: 12.10	RMSE: 21.33
Epoch 032	LOSS: 12.62	MAE: 12.59	RMSE: 21.59
Epoch 033	LOSS: 11.03	MAE: 12.23	RMSE: 21.46
Epoch 034	LOSS: 11.06	MAE: 12.03	RMSE: 21.32
Epoch 035	LOSS: 11.55	MAE: 12.87	RMSE: 21.80
Epoch 036	LOSS: 11.44	MAE: 12.77	RMSE: 21.77
Epoch 037	LOSS: 10.09	MAE: 12.30	RMSE: 21.22
Epoch 038	LOSS: 11.90	MAE: 11.81	RMSE: 21.31
Epoch 039	LOSS: 9.55	MAE: 12.44	RMSE: 21.60
Epoch 040	LOSS: 9.59	MAE: 11.57	RMSE: 20.92
Epoch 041	LOSS: 9.58	MAE: 12.17	RMSE: 21.15
Epoch 042	LOSS: 9.63	MAE: 11.62	RMSE: 20.85
Epoch 043	LOSS: 10.47	MAE: 12.40	RMSE: 21.53
Epoch 044	LOSS: 11.88	MAE: 11.68	RMSE: 21.22
Epoch 045	LOSS: 11.39	MAE: 12.06	RMSE: 21.16
Epoch 046	LOSS: 11.20	MAE: 11.42	RMSE: 20.82
Epoch 047	LOSS: 10.48	MAE: 11.98	RMSE: 21.09
Epoch 048	LOSS: 9.41	MAE: 11.62	RMSE: 20.73
