Epoch 000	LOSS: 86.58	MAE: 46.98	RMSE: 51.07
Epoch 001	LOSS: 50.93	MAE: 38.81	RMSE: 43.43
Epoch 002	LOSS: 33.97	MAE: 35.56	RMSE: 40.53
Epoch 003	LOSS: 22.14	MAE: 34.68	RMSE: 40.10
Epoch 004	LOSS: 18.50	MAE: 30.27	RMSE: 37.12
Epoch 005	LOSS: 16.66	MAE: 24.78	RMSE: 34.63
Epoch 006	LOSS: 16.64	MAE: 23.91	RMSE: 34.22
Epoch 007	LOSS: 15.88	MAE: 23.51	RMSE: 33.86
Epoch 008	LOSS: 20.95	MAE: 23.49	RMSE: 33.09
Epoch 009	LOSS: 19.06	MAE: 22.61	RMSE: 32.45
Epoch 010	LOSS: 16.10	MAE: 21.54	RMSE: 31.22
Epoch 011	LOSS: 17.68	MAE: 19.41	RMSE: 28.96
Epoch 012	LOSS: 17.62	MAE: 18.02	RMSE: 27.80
Epoch 013	LOSS: 18.60	MAE: 18.82	RMSE: 28.36
Epoch 014	LOSS: 13.84	MAE: 18.54	RMSE: 28.48
Epoch 015	LOSS: 15.97	MAE: 18.74	RMSE: 28.47
Epoch 016	LOSS: 14.56	MAE: 18.19	RMSE: 28.19
Epoch 017	LOSS: 19.23	MAE: 18.90	RMSE: 28.12
Epoch 018	LOSS: 18.23	MAE: 18.92	RMSE: 28.34
Epoch 019	LOSS: 14.24	MAE: 18.39	RMSE: 28.26
Epoch 020	LOSS: 13.58	MAE: 17.99	RMSE: 28.13
Epoch 021	LOSS: 19.60	MAE: 19.12	RMSE: 28.25
Epoch 022	LOSS: 18.29	MAE: 18.80	RMSE: 28.22
Epoch 023	LOSS: 13.21	MAE: 18.07	RMSE: 27.98
Epoch 024	LOSS: 13.48	MAE: 17.87	RMSE: 27.90
Epoch 025	LOSS: 18.19	MAE: 18.96	RMSE: 28.18
Epoch 026	LOSS: 17.41	MAE: 18.62	RMSE: 28.12
Epoch 027	LOSS: 13.00	MAE: 17.50	RMSE: 27.73
Epoch 028	LOSS: 13.98	MAE: 17.99	RMSE: 27.87
Epoch 029	LOSS: 16.78	MAE: 18.50	RMSE: 28.02
Epoch 030	LOSS: 16.39	MAE: 18.23	RMSE: 27.85
Epoch 031	LOSS: 22.53	MAE: 20.08	RMSE: 28.29
Epoch 032	LOSS: 18.19	MAE: 18.81	RMSE: 28.07
Epoch 033	LOSS: 16.02	MAE: 18.40	RMSE: 27.96
Epoch 034	LOSS: 13.95	MAE: 17.79	RMSE: 27.76
Epoch 035	LOSS: 14.19	MAE: 17.72	RMSE: 27.85
Epoch 036	LOSS: 16.55	MAE: 18.79	RMSE: 28.18
Epoch 037	LOSS: 17.70	MAE: 18.37	RMSE: 27.88
Epoch 038	LOSS: 13.94	MAE: 18.22	RMSE: 28.16
Epoch 039	LOSS: 14.04	MAE: 18.18	RMSE: 28.21
Epoch 040	LOSS: 17.55	MAE: 18.90	RMSE: 28.41
Epoch 041	LOSS: 18.38	MAE: 18.98	RMSE: 28.30
Epoch 042	LOSS: 12.81	MAE: 18.13	RMSE: 28.32
Epoch 043	LOSS: 13.86	MAE: 18.19	RMSE: 28.30
Epoch 044	LOSS: 16.49	MAE: 18.69	RMSE: 28.45
Epoch 045	LOSS: 14.68	MAE: 18.50	RMSE: 28.44
Epoch 046	LOSS: 10.99	MAE: 18.05	RMSE: 28.55
