Epoch 000	LOSS: 89.18	MAE: 46.66	RMSE: 51.09
Epoch 001	LOSS: 49.77	MAE: 40.46	RMSE: 44.70
Epoch 002	LOSS: 36.97	MAE: 36.41	RMSE: 41.16
Epoch 003	LOSS: 23.09	MAE: 35.85	RMSE: 40.98
Epoch 004	LOSS: 19.60	MAE: 32.66	RMSE: 38.63
Epoch 005	LOSS: 16.10	MAE: 28.27	RMSE: 36.00
Epoch 006	LOSS: 15.99	MAE: 23.69	RMSE: 34.02
Epoch 007	LOSS: 14.30	MAE: 23.41	RMSE: 33.72
Epoch 008	LOSS: 16.11	MAE: 22.92	RMSE: 33.13
Epoch 009	LOSS: 16.88	MAE: 22.18	RMSE: 32.12
Epoch 010	LOSS: 16.67	MAE: 20.73	RMSE: 30.31
Epoch 011	LOSS: 17.10	MAE: 19.00	RMSE: 28.59
Epoch 012	LOSS: 20.96	MAE: 19.52	RMSE: 28.64
Epoch 013	LOSS: 19.93	MAE: 20.18	RMSE: 29.32
Epoch 014	LOSS: 15.35	MAE: 19.27	RMSE: 29.04
Epoch 015	LOSS: 14.16	MAE: 19.08	RMSE: 29.04
Epoch 016	LOSS: 17.31	MAE: 19.82	RMSE: 29.24
Epoch 017	LOSS: 19.05	MAE: 19.98	RMSE: 29.23
Epoch 018	LOSS: 14.76	MAE: 19.08	RMSE: 28.94
Epoch 019	LOSS: 15.19	MAE: 18.95	RMSE: 28.85
Epoch 020	LOSS: 15.69	MAE: 18.98	RMSE: 28.66
Epoch 021	LOSS: 16.13	MAE: 18.47	RMSE: 28.54
Epoch 022	LOSS: 13.97	MAE: 18.76	RMSE: 28.70
Epoch 023	LOSS: 19.69	MAE: 19.41	RMSE: 28.60
Epoch 024	LOSS: 17.48	MAE: 19.07	RMSE: 28.48
Epoch 025	LOSS: 17.27	MAE: 18.76	RMSE: 28.41
Epoch 026	LOSS: 15.54	MAE: 18.79	RMSE: 28.47
Epoch 027	LOSS: 13.88	MAE: 18.21	RMSE: 28.29
Epoch 028	LOSS: 14.58	MAE: 18.33	RMSE: 28.37
Epoch 029	LOSS: 18.49	MAE: 19.57	RMSE: 28.68
Epoch 030	LOSS: 13.19	MAE: 18.15	RMSE: 28.47
Epoch 031	LOSS: 16.91	MAE: 19.22	RMSE: 28.61
Epoch 032	LOSS: 18.85	MAE: 19.47	RMSE: 28.84
Epoch 033	LOSS: 19.20	MAE: 19.27	RMSE: 28.63
Epoch 034	LOSS: 16.79	MAE: 19.27	RMSE: 28.77
Epoch 035	LOSS: 14.72	MAE: 18.91	RMSE: 28.85
Epoch 036	LOSS: 17.43	MAE: 19.11	RMSE: 28.82
Epoch 037	LOSS: 14.68	MAE: 19.17	RMSE: 29.01
Epoch 038	LOSS: 17.57	MAE: 18.76	RMSE: 28.68
Epoch 039	LOSS: 17.15	MAE: 20.21	RMSE: 29.57
Epoch 040	LOSS: 13.51	MAE: 18.94	RMSE: 29.34
Epoch 041	LOSS: 11.52	MAE: 17.99	RMSE: 28.62
Epoch 042	LOSS: 17.73	MAE: 19.03	RMSE: 28.93
Epoch 043	LOSS: 13.52	MAE: 18.98	RMSE: 29.24
Epoch 044	LOSS: 11.11	MAE: 18.85	RMSE: 29.47
Epoch 045	LOSS: 25.17	MAE: 21.55	RMSE: 30.04
Epoch 046	LOSS: 14.13	MAE: 18.77	RMSE: 29.34
Epoch 047	LOSS: 16.79	MAE: 19.54	RMSE: 29.38
Epoch 048	LOSS: 18.57	MAE: 20.18	RMSE: 29.59
Epoch 049	LOSS: 17.04	MAE: 19.57	RMSE: 29.49
Epoch 050	LOSS: 13.65	MAE: 19.24	RMSE: 29.38
Epoch 051	LOSS: 14.95	MAE: 19.14	RMSE: 29.57
Epoch 052	LOSS: 15.12	MAE: 19.22	RMSE: 29.46
Epoch 053	LOSS: 12.49	MAE: 18.88	RMSE: 29.43
Epoch 054	LOSS: 13.45	MAE: 19.09	RMSE: 29.61
Epoch 055	LOSS: 16.62	MAE: 19.78	RMSE: 29.58
Epoch 056	LOSS: 15.09	MAE: 19.81	RMSE: 29.93
Epoch 057	LOSS: 13.23	MAE: 19.51	RMSE: 29.83
Epoch 058	LOSS: 19.02	MAE: 20.04	RMSE: 29.60
Epoch 059	LOSS: 17.28	MAE: 20.34	RMSE: 30.10
Epoch 060	LOSS: 13.44	MAE: 19.53	RMSE: 29.89
Epoch 061	LOSS: 13.98	MAE: 19.25	RMSE: 29.66
Epoch 062	LOSS: 18.12	MAE: 20.00	RMSE: 29.77
Epoch 063	LOSS: 16.67	MAE: 19.98	RMSE: 29.89
Epoch 064	LOSS: 13.53	MAE: 19.27	RMSE: 29.79
Epoch 065	LOSS: 13.96	MAE: 19.60	RMSE: 29.77
Epoch 066	LOSS: 15.94	MAE: 19.83	RMSE: 29.89
Epoch 067	LOSS: 15.13	MAE: 19.81	RMSE: 29.78
Epoch 068	LOSS: 15.73	MAE: 19.69	RMSE: 29.83
Epoch 069	LOSS: 13.24	MAE: 19.36	RMSE: 29.78
Epoch 070	LOSS: 14.30	MAE: 19.49	RMSE: 29.77
Epoch 071	LOSS: 12.21	MAE: 19.23	RMSE: 29.91
Epoch 072	LOSS: 12.74	MAE: 19.23	RMSE: 29.83
Epoch 073	LOSS: 15.25	MAE: 19.98	RMSE: 29.91
Epoch 074	LOSS: 15.80	MAE: 19.84	RMSE: 29.91
Epoch 075	LOSS: 12.76	MAE: 19.42	RMSE: 29.96
Epoch 076	LOSS: 14.09	MAE: 19.39	RMSE: 29.71
Epoch 077	LOSS: 13.57	MAE: 19.27	RMSE: 29.75
Epoch 078	LOSS: 10.26	MAE: 18.82	RMSE: 29.88
Epoch 079	LOSS: 13.41	MAE: 19.26	RMSE: 29.73
Epoch 080	LOSS: 15.62	MAE: 19.82	RMSE: 29.90
Epoch 081	LOSS: 14.51	MAE: 19.50	RMSE: 29.86
Epoch 082	LOSS: 15.33	MAE: 19.46	RMSE: 29.79
Epoch 083	LOSS: 15.68	MAE: 20.45	RMSE: 30.20
Epoch 084	LOSS: 16.67	MAE: 20.24	RMSE: 30.09
Epoch 085	LOSS: 13.43	MAE: 19.38	RMSE: 29.69
Epoch 086	LOSS: 11.70	MAE: 19.04	RMSE: 29.87
Epoch 087	LOSS: 16.36	MAE: 20.11	RMSE: 29.97
Epoch 088	LOSS: 15.72	MAE: 19.82	RMSE: 29.79
Epoch 089	LOSS: 13.24	MAE: 19.26	RMSE: 29.73
Epoch 090	LOSS: 12.88	MAE: 19.40	RMSE: 29.80
Epoch 091	LOSS: 16.39	MAE: 19.79	RMSE: 29.79
Epoch 092	LOSS: 15.83	MAE: 19.49	RMSE: 29.47
Epoch 093	LOSS: 12.63	MAE: 19.54	RMSE: 30.00
Epoch 094	LOSS: 11.70	MAE: 19.00	RMSE: 29.75
Epoch 095	LOSS: 16.05	MAE: 19.67	RMSE: 29.59
Epoch 096	LOSS: 16.06	MAE: 19.79	RMSE: 29.64
Epoch 097	LOSS: 11.84	MAE: 18.90	RMSE: 29.62
Epoch 098	LOSS: 13.55	MAE: 19.09	RMSE: 29.51
Epoch 099	LOSS: 13.96	MAE: 19.09	RMSE: 29.35
Epoch 100	LOSS: 15.46	MAE: 19.55	RMSE: 29.60
Epoch 101	LOSS: 14.94	MAE: 19.41	RMSE: 29.62
Epoch 102	LOSS: 13.79	MAE: 19.65	RMSE: 29.63
Epoch 103	LOSS: 14.97	MAE: 19.43	RMSE: 29.57
Epoch 104	LOSS: 13.49	MAE: 18.99	RMSE: 29.40
Epoch 105	LOSS: 15.04	MAE: 19.53	RMSE: 29.57
Epoch 106	LOSS: 15.21	MAE: 19.54	RMSE: 29.64
Epoch 107	LOSS: 12.55	MAE: 18.88	RMSE: 29.35
Epoch 108	LOSS: 12.82	MAE: 19.00	RMSE: 29.44
Epoch 109	LOSS: 14.38	MAE: 19.21	RMSE: 29.53
Epoch 110	LOSS: 14.80	MAE: 19.36	RMSE: 29.51
Epoch 111	LOSS: 12.96	MAE: 18.99	RMSE: 29.40
Epoch 112	LOSS: 13.52	MAE: 18.88	RMSE: 29.41
Epoch 113	LOSS: 14.24	MAE: 19.32	RMSE: 29.48
Epoch 114	LOSS: 14.86	MAE: 19.46	RMSE: 29.50
Epoch 115	LOSS: 12.63	MAE: 18.74	RMSE: 29.35
Epoch 116	LOSS: 14.22	MAE: 19.54	RMSE: 29.55
Epoch 117	LOSS: 14.12	MAE: 19.07	RMSE: 29.40
Epoch 118	LOSS: 13.37	MAE: 18.95	RMSE: 29.38
Epoch 119	LOSS: 12.37	MAE: 18.80	RMSE: 29.36
Epoch 120	LOSS: 14.17	MAE: 19.45	RMSE: 29.48
Epoch 121	LOSS: 14.42	MAE: 19.35	RMSE: 29.50
Epoch 122	LOSS: 16.30	MAE: 19.74	RMSE: 29.46
Epoch 123	LOSS: 14.89	MAE: 19.25	RMSE: 29.45
Epoch 124	LOSS: 12.93	MAE: 19.33	RMSE: 29.53
Epoch 125	LOSS: 12.44	MAE: 18.83	RMSE: 29.44
Epoch 126	LOSS: 15.23	MAE: 19.73	RMSE: 29.51
Epoch 127	LOSS: 14.82	MAE: 19.58	RMSE: 29.48
Epoch 128	LOSS: 13.50	MAE: 19.20	RMSE: 29.53
Epoch 129	LOSS: 15.16	MAE: 19.64	RMSE: 29.49
Epoch 130	LOSS: 17.44	MAE: 20.16	RMSE: 29.57
Epoch 131	LOSS: 17.50	MAE: 20.20	RMSE: 29.82
Epoch 132	LOSS: 12.82	MAE: 18.90	RMSE: 29.57
Epoch 133	LOSS: 12.14	MAE: 18.82	RMSE: 29.30
Epoch 134	LOSS: 9.61	MAE: 18.18	RMSE: 29.32
Epoch 135	LOSS: 14.58	MAE: 19.70	RMSE: 29.66
Epoch 136	LOSS: 15.14	MAE: 19.43	RMSE: 29.48
Epoch 137	LOSS: 13.03	MAE: 18.94	RMSE: 29.41
Epoch 138	LOSS: 11.22	MAE: 18.63	RMSE: 29.47
Epoch 139	LOSS: 15.34	MAE: 19.69	RMSE: 29.46
Epoch 140	LOSS: 15.27	MAE: 19.56	RMSE: 29.51
Epoch 141	LOSS: 13.30	MAE: 19.17	RMSE: 29.42
Epoch 142	LOSS: 12.37	MAE: 18.86	RMSE: 29.35
Epoch 143	LOSS: 16.11	MAE: 20.26	RMSE: 29.69
Epoch 144	LOSS: 14.74	MAE: 19.51	RMSE: 29.41
Epoch 145	LOSS: 12.53	MAE: 18.83	RMSE: 29.47
Epoch 146	LOSS: 10.46	MAE: 18.40	RMSE: 29.34
Epoch 147	LOSS: 12.73	MAE: 18.72	RMSE: 29.37
Epoch 148	LOSS: 14.37	MAE: 19.65	RMSE: 29.59
Epoch 149	LOSS: 13.72	MAE: 19.17	RMSE: 29.48
Epoch 150	LOSS: 12.20	MAE: 18.92	RMSE: 29.40
Epoch 151	LOSS: 16.36	MAE: 19.68	RMSE: 29.42
Epoch 152	LOSS: 17.47	MAE: 20.20	RMSE: 29.70
Epoch 153	LOSS: 17.15	MAE: 20.18	RMSE: 29.66
Epoch 154	LOSS: 12.55	MAE: 18.82	RMSE: 29.39
Epoch 155	LOSS: 12.13	MAE: 18.64	RMSE: 29.40
Epoch 156	LOSS: 15.15	MAE: 19.61	RMSE: 29.46
Epoch 157	LOSS: 15.08	MAE: 20.05	RMSE: 29.72
Epoch 158	LOSS: 13.23	MAE: 18.90	RMSE: 29.39
Epoch 159	LOSS: 13.11	MAE: 19.39	RMSE: 29.53
Epoch 160	LOSS: 13.39	MAE: 19.42	RMSE: 29.66
Epoch 161	LOSS: 13.96	MAE: 19.28	RMSE: 29.44
Epoch 162	LOSS: 13.56	MAE: 19.04	RMSE: 29.35
Epoch 163	LOSS: 14.36	MAE: 19.58	RMSE: 29.59
Epoch 164	LOSS: 14.59	MAE: 19.58	RMSE: 29.68
Epoch 165	LOSS: 12.59	MAE: 19.03	RMSE: 29.46
Epoch 166	LOSS: 11.34	MAE: 18.33	RMSE: 29.22
Epoch 167	LOSS: 15.23	MAE: 19.57	RMSE: 29.59
Epoch 168	LOSS: 16.45	MAE: 20.57	RMSE: 29.79
Epoch 169	LOSS: 14.76	MAE: 19.61	RMSE: 29.62
Epoch 170	LOSS: 11.92	MAE: 18.97	RMSE: 29.46
Epoch 171	LOSS: 11.89	MAE: 18.62	RMSE: 29.41
Epoch 172	LOSS: 11.22	MAE: 19.03	RMSE: 29.48
Epoch 173	LOSS: 12.23	MAE: 19.13	RMSE: 29.65
Epoch 174	LOSS: 10.38	MAE: 18.63	RMSE: 29.49
Epoch 175	LOSS: 14.13	MAE: 19.73	RMSE: 29.58
Epoch 176	LOSS: 16.67	MAE: 19.86	RMSE: 29.64
Epoch 177	LOSS: 10.71	MAE: 18.57	RMSE: 29.40
Epoch 178	LOSS: 13.51	MAE: 19.09	RMSE: 29.54
Epoch 179	LOSS: 18.21	MAE: 20.29	RMSE: 29.69
Epoch 180	LOSS: 12.70	MAE: 19.12	RMSE: 29.53
Epoch 181	LOSS: 9.53	MAE: 18.29	RMSE: 29.57
Epoch 182	LOSS: 11.13	MAE: 18.57	RMSE: 29.46
Epoch 183	LOSS: 14.32	MAE: 19.45	RMSE: 29.67
Epoch 184	LOSS: 16.75	MAE: 20.11	RMSE: 29.73
Epoch 185	LOSS: 14.16	MAE: 19.12	RMSE: 29.46
Epoch 186	LOSS: 13.08	MAE: 19.42	RMSE: 29.77
Epoch 187	LOSS: 10.36	MAE: 18.23	RMSE: 29.53
Epoch 188	LOSS: 21.37	MAE: 21.18	RMSE: 29.97
