Epoch 000	LOSS: 93.91	MAE: 44.47	RMSE: 49.05
Epoch 001	LOSS: 46.69	MAE: 41.34	RMSE: 45.25
Epoch 002	LOSS: 36.72	MAE: 35.05	RMSE: 40.02
Epoch 003	LOSS: 22.05	MAE: 33.96	RMSE: 39.64
Epoch 004	LOSS: 19.04	MAE: 29.92	RMSE: 37.05
Epoch 005	LOSS: 16.41	MAE: 24.25	RMSE: 34.78
Epoch 006	LOSS: 18.41	MAE: 24.55	RMSE: 34.77
Epoch 007	LOSS: 18.81	MAE: 23.93	RMSE: 34.47
Epoch 008	LOSS: 17.35	MAE: 23.52	RMSE: 34.03
Epoch 009	LOSS: 21.30	MAE: 23.48	RMSE: 33.49
Epoch 010	LOSS: 20.13	MAE: 23.11	RMSE: 33.06
Epoch 011	LOSS: 16.31	MAE: 22.35	RMSE: 32.37
Epoch 012	LOSS: 15.18	MAE: 21.47	RMSE: 31.45
Epoch 013	LOSS: 14.12	MAE: 20.84	RMSE: 30.92
Epoch 014	LOSS: 21.70	MAE: 21.60	RMSE: 30.43
Epoch 015	LOSS: 15.75	MAE: 19.29	RMSE: 29.04
Epoch 016	LOSS: 14.56	MAE: 18.87	RMSE: 28.79
Epoch 017	LOSS: 16.06	MAE: 19.37	RMSE: 29.15
Epoch 018	LOSS: 17.39	MAE: 19.54	RMSE: 29.05
Epoch 019	LOSS: 24.30	MAE: 20.39	RMSE: 29.11
Epoch 020	LOSS: 16.67	MAE: 18.96	RMSE: 28.77
Epoch 021	LOSS: 17.60	MAE: 19.25	RMSE: 28.71
Epoch 022	LOSS: 17.84	MAE: 19.14	RMSE: 28.79
Epoch 023	LOSS: 18.35	MAE: 19.24	RMSE: 28.90
Epoch 024	LOSS: 18.27	MAE: 19.43	RMSE: 28.83
Epoch 025	LOSS: 19.51	MAE: 19.18	RMSE: 28.81
Epoch 026	LOSS: 15.73	MAE: 18.99	RMSE: 28.72
Epoch 027	LOSS: 14.31	MAE: 18.73	RMSE: 28.76
Epoch 028	LOSS: 13.56	MAE: 18.58	RMSE: 28.59
Epoch 029	LOSS: 14.18	MAE: 18.47	RMSE: 28.54
Epoch 030	LOSS: 16.66	MAE: 19.12	RMSE: 28.83
Epoch 031	LOSS: 15.81	MAE: 18.75	RMSE: 28.72
Epoch 032	LOSS: 15.93	MAE: 18.94	RMSE: 28.75
Epoch 033	LOSS: 18.48	MAE: 19.50	RMSE: 28.94
Epoch 034	LOSS: 25.38	MAE: 21.07	RMSE: 29.38
Epoch 035	LOSS: 17.06	MAE: 19.02	RMSE: 28.88
Epoch 036	LOSS: 16.88	MAE: 19.66	RMSE: 29.23
