Epoch 000	LOSS: 422.20	MAE: 251.13	RMSE: 294.62
Epoch 001	LOSS: 332.86	MAE: 235.29	RMSE: 282.12
Epoch 002	LOSS: 318.66	MAE: 221.90	RMSE: 266.31
Epoch 003	LOSS: 277.90	MAE: 213.80	RMSE: 259.93
Epoch 004	LOSS: 182.02	MAE: 208.21	RMSE: 257.25
Epoch 005	LOSS: 148.36	MAE: 208.23	RMSE: 258.07
Epoch 006	LOSS: 121.24	MAE: 202.85	RMSE: 254.05
Epoch 007	LOSS: 111.64	MAE: 198.56	RMSE: 250.81
Epoch 008	LOSS: 92.82	MAE: 197.11	RMSE: 250.48
Epoch 009	LOSS: 88.59	MAE: 197.87	RMSE: 250.95
Epoch 010	LOSS: 83.48	MAE: 194.80	RMSE: 249.52
Epoch 011	LOSS: 79.75	MAE: 194.06	RMSE: 249.16
Epoch 012	LOSS: 74.01	MAE: 194.01	RMSE: 249.11
Epoch 013	LOSS: 73.59	MAE: 193.21	RMSE: 248.41
Epoch 014	LOSS: 71.59	MAE: 193.12	RMSE: 248.18
Epoch 015	LOSS: 70.50	MAE: 191.98	RMSE: 247.28
Epoch 016	LOSS: 70.51	MAE: 191.79	RMSE: 246.98
Epoch 017	LOSS: 69.03	MAE: 190.47	RMSE: 245.82
Epoch 018	LOSS: 68.23	MAE: 188.78	RMSE: 244.49
Epoch 019	LOSS: 68.89	MAE: 187.65	RMSE: 243.48
Epoch 020	LOSS: 67.88	MAE: 185.93	RMSE: 242.03
Epoch 021	LOSS: 67.93	MAE: 182.92	RMSE: 239.77
Epoch 022	LOSS: 66.99	MAE: 180.21	RMSE: 238.00
Epoch 023	LOSS: 66.84	MAE: 179.26	RMSE: 237.40
Epoch 024	LOSS: 69.79	MAE: 178.26	RMSE: 236.67
Epoch 025	LOSS: 69.02	MAE: 180.76	RMSE: 238.15
Epoch 026	LOSS: 66.53	MAE: 180.64	RMSE: 238.01
Epoch 027	LOSS: 65.20	MAE: 177.89	RMSE: 236.16
Epoch 028	LOSS: 67.40	MAE: 175.89	RMSE: 234.78
Epoch 029	LOSS: 66.14	MAE: 174.29	RMSE: 233.63
Epoch 030	LOSS: 66.34	MAE: 174.31	RMSE: 233.51
Epoch 031	LOSS: 67.86	MAE: 175.04	RMSE: 234.05
Epoch 032	LOSS: 68.13	MAE: 177.20	RMSE: 235.72
Epoch 033	LOSS: 66.61	MAE: 179.01	RMSE: 236.96
Epoch 034	LOSS: 66.08	MAE: 181.04	RMSE: 238.31
Epoch 035	LOSS: 65.94	MAE: 182.04	RMSE: 238.91
Epoch 036	LOSS: 66.02	MAE: 179.64	RMSE: 237.19
Epoch 037	LOSS: 67.18	MAE: 178.32	RMSE: 236.29
Epoch 038	LOSS: 65.00	MAE: 176.26	RMSE: 235.25
Epoch 039	LOSS: 67.03	MAE: 176.41	RMSE: 235.29
Epoch 040	LOSS: 66.06	MAE: 176.17	RMSE: 235.06
Epoch 041	LOSS: 66.58	MAE: 175.93	RMSE: 234.68
Epoch 042	LOSS: 65.30	MAE: 175.25	RMSE: 234.20
Epoch 043	LOSS: 67.38	MAE: 174.64	RMSE: 233.61
Epoch 044	LOSS: 68.62	MAE: 173.52	RMSE: 232.78
Epoch 045	LOSS: 67.87	MAE: 173.24	RMSE: 232.74
Epoch 046	LOSS: 68.39	MAE: 174.25	RMSE: 233.19
Epoch 047	LOSS: 64.66	MAE: 174.43	RMSE: 233.50
Epoch 048	LOSS: 69.09	MAE: 175.74	RMSE: 234.44
Epoch 049	LOSS: 66.08	MAE: 176.94	RMSE: 235.33
Epoch 050	LOSS: 65.81	MAE: 178.21	RMSE: 235.98
Epoch 051	LOSS: 65.90	MAE: 176.62	RMSE: 234.98
Epoch 052	LOSS: 64.55	MAE: 174.56	RMSE: 233.67
Epoch 053	LOSS: 65.12	MAE: 172.81	RMSE: 232.21
Epoch 054	LOSS: 66.14	MAE: 173.15	RMSE: 232.50
Epoch 055	LOSS: 66.42	MAE: 174.12	RMSE: 233.23
Epoch 056	LOSS: 67.32	MAE: 174.81	RMSE: 233.91
Epoch 057	LOSS: 64.33	MAE: 175.76	RMSE: 234.62
Epoch 058	LOSS: 68.75	MAE: 174.11	RMSE: 233.19
Epoch 059	LOSS: 65.78	MAE: 173.33	RMSE: 232.82
Epoch 060	LOSS: 65.92	MAE: 177.07	RMSE: 235.22
Epoch 061	LOSS: 66.97	MAE: 180.95	RMSE: 237.87
Epoch 062	LOSS: 65.96	MAE: 181.16	RMSE: 238.23
Epoch 063	LOSS: 65.55	MAE: 179.41	RMSE: 237.23
Epoch 064	LOSS: 65.81	MAE: 179.55	RMSE: 237.36
Epoch 065	LOSS: 65.08	MAE: 179.18	RMSE: 237.25
Epoch 066	LOSS: 63.60	MAE: 182.23	RMSE: 239.12
Epoch 067	LOSS: 63.76	MAE: 184.16	RMSE: 240.50
Epoch 068	LOSS: 64.45	MAE: 184.46	RMSE: 240.71
Epoch 069	LOSS: 64.31	MAE: 183.28	RMSE: 239.72
Epoch 070	LOSS: 63.97	MAE: 179.04	RMSE: 236.86
Epoch 071	LOSS: 63.22	MAE: 174.96	RMSE: 234.22
Epoch 072	LOSS: 64.45	MAE: 173.54	RMSE: 232.98
Epoch 073	LOSS: 63.74	MAE: 171.96	RMSE: 231.88
Epoch 074	LOSS: 64.75	MAE: 173.06	RMSE: 232.53
Epoch 075	LOSS: 62.96	MAE: 173.27	RMSE: 232.96
Epoch 076	LOSS: 62.88	MAE: 175.06	RMSE: 234.14
Epoch 077	LOSS: 63.20	MAE: 175.64	RMSE: 234.39
Epoch 078	LOSS: 63.62	MAE: 174.79	RMSE: 233.88
Epoch 079	LOSS: 61.74	MAE: 174.01	RMSE: 233.44
Epoch 080	LOSS: 61.65	MAE: 173.22	RMSE: 232.97
Epoch 081	LOSS: 62.41	MAE: 173.61	RMSE: 233.08
Epoch 082	LOSS: 61.59	MAE: 172.34	RMSE: 232.29
Epoch 083	LOSS: 62.19	MAE: 173.00	RMSE: 232.62
Epoch 084	LOSS: 60.58	MAE: 173.25	RMSE: 232.90
Epoch 085	LOSS: 66.83	MAE: 173.73	RMSE: 232.92
Epoch 086	LOSS: 59.08	MAE: 174.25	RMSE: 233.66
Epoch 087	LOSS: 64.33	MAE: 175.39	RMSE: 234.36
Epoch 088	LOSS: 59.78	MAE: 175.22	RMSE: 234.34
Epoch 089	LOSS: 62.12	MAE: 174.38	RMSE: 233.70
Epoch 090	LOSS: 60.77	MAE: 174.69	RMSE: 233.84
Epoch 091	LOSS: 59.05	MAE: 173.68	RMSE: 233.32
Epoch 092	LOSS: 58.62	MAE: 172.44	RMSE: 232.61
Epoch 093	LOSS: 59.69	MAE: 172.92	RMSE: 232.83
Epoch 094	LOSS: 57.72	MAE: 172.74	RMSE: 232.81
Epoch 095	LOSS: 56.43	MAE: 173.15	RMSE: 233.12
Epoch 096	LOSS: 57.10	MAE: 175.08	RMSE: 234.31
Epoch 097	LOSS: 55.70	MAE: 177.14	RMSE: 235.63
Epoch 098	LOSS: 56.41	MAE: 178.36	RMSE: 236.51
Epoch 099	LOSS: 55.52	MAE: 178.82	RMSE: 236.82
Epoch 100	LOSS: 55.67	MAE: 176.68	RMSE: 235.48
Epoch 101	LOSS: 54.82	MAE: 174.37	RMSE: 234.01
Epoch 102	LOSS: 54.38	MAE: 172.81	RMSE: 233.03
Epoch 103	LOSS: 53.47	MAE: 171.67	RMSE: 232.28
Epoch 104	LOSS: 54.57	MAE: 171.98	RMSE: 232.40
Epoch 105	LOSS: 53.03	MAE: 171.70	RMSE: 232.33
Epoch 106	LOSS: 53.37	MAE: 172.16	RMSE: 232.62
Epoch 107	LOSS: 52.53	MAE: 172.68	RMSE: 233.07
Epoch 108	LOSS: 53.65	MAE: 174.08	RMSE: 233.81
Epoch 109	LOSS: 52.82	MAE: 173.06	RMSE: 233.32
Epoch 110	LOSS: 52.20	MAE: 172.23	RMSE: 232.72
Epoch 111	LOSS: 52.27	MAE: 171.29	RMSE: 232.11
Epoch 112	LOSS: 52.50	MAE: 171.55	RMSE: 232.28
Epoch 113	LOSS: 51.94	MAE: 171.72	RMSE: 232.51
Epoch 114	LOSS: 52.24	MAE: 172.19	RMSE: 232.80
Epoch 115	LOSS: 50.97	MAE: 172.05	RMSE: 232.69
Epoch 116	LOSS: 51.34	MAE: 171.52	RMSE: 232.38
Epoch 117	LOSS: 51.45	MAE: 171.17	RMSE: 232.14
Epoch 118	LOSS: 49.78	MAE: 171.01	RMSE: 232.05
Epoch 119	LOSS: 50.89	MAE: 171.06	RMSE: 232.00
Epoch 120	LOSS: 49.77	MAE: 170.87	RMSE: 231.98
Epoch 121	LOSS: 49.75	MAE: 171.72	RMSE: 232.50
Epoch 122	LOSS: 49.85	MAE: 171.93	RMSE: 232.69
Epoch 123	LOSS: 48.97	MAE: 172.55	RMSE: 233.05
Epoch 124	LOSS: 49.26	MAE: 172.27	RMSE: 232.90
Epoch 125	LOSS: 48.43	MAE: 171.90	RMSE: 232.66
Epoch 126	LOSS: 49.68	MAE: 171.26	RMSE: 232.23
Epoch 127	LOSS: 48.98	MAE: 171.44	RMSE: 232.30
Epoch 128	LOSS: 49.37	MAE: 171.27	RMSE: 232.25
Epoch 129	LOSS: 48.72	MAE: 171.69	RMSE: 232.47
Epoch 130	LOSS: 47.98	MAE: 171.40	RMSE: 232.36
Epoch 131	LOSS: 48.90	MAE: 171.59	RMSE: 232.38
Epoch 132	LOSS: 49.14	MAE: 171.10	RMSE: 232.12
Epoch 133	LOSS: 48.15	MAE: 171.71	RMSE: 232.46
Epoch 134	LOSS: 49.08	MAE: 171.25	RMSE: 232.25
Epoch 135	LOSS: 48.11	MAE: 171.71	RMSE: 232.45
Epoch 136	LOSS: 48.10	MAE: 171.01	RMSE: 232.08
Epoch 137	LOSS: 49.10	MAE: 170.92	RMSE: 232.04
Epoch 138	LOSS: 48.02	MAE: 170.57	RMSE: 231.76
Epoch 139	LOSS: 47.59	MAE: 170.46	RMSE: 231.69
Epoch 140	LOSS: 47.68	MAE: 170.43	RMSE: 231.66
Epoch 141	LOSS: 48.58	MAE: 170.34	RMSE: 231.57
Epoch 142	LOSS: 47.30	MAE: 170.65	RMSE: 231.76
Epoch 143	LOSS: 47.48	MAE: 171.17	RMSE: 232.16
Epoch 144	LOSS: 47.54	MAE: 171.17	RMSE: 232.07
Epoch 145	LOSS: 49.39	MAE: 170.38	RMSE: 231.55
