Epoch 000	LOSS: 421.87	MAE: 252.38	RMSE: 294.91
Epoch 001	LOSS: 349.09	MAE: 239.47	RMSE: 282.29
Epoch 002	LOSS: 306.00	MAE: 210.97	RMSE: 258.96
Epoch 003	LOSS: 307.71	MAE: 208.12	RMSE: 255.11
Epoch 004	LOSS: 205.08	MAE: 203.07	RMSE: 251.82
Epoch 005	LOSS: 158.06	MAE: 205.28	RMSE: 255.04
Epoch 006	LOSS: 143.70	MAE: 205.03	RMSE: 254.95
Epoch 007	LOSS: 109.47	MAE: 197.00	RMSE: 250.21
Epoch 008	LOSS: 106.97	MAE: 195.22	RMSE: 248.98
Epoch 009	LOSS: 93.34	MAE: 196.44	RMSE: 250.01
Epoch 010	LOSS: 92.23	MAE: 197.77	RMSE: 250.73
Epoch 011	LOSS: 80.78	MAE: 195.80	RMSE: 249.88
Epoch 012	LOSS: 78.97	MAE: 195.58	RMSE: 250.10
Epoch 013	LOSS: 75.69	MAE: 195.62	RMSE: 250.45
Epoch 014	LOSS: 71.93	MAE: 195.38	RMSE: 250.51
Epoch 015	LOSS: 71.55	MAE: 195.33	RMSE: 250.72
Epoch 016	LOSS: 71.89	MAE: 196.23	RMSE: 251.22
Epoch 017	LOSS: 68.26	MAE: 195.70	RMSE: 251.14
Epoch 018	LOSS: 69.10	MAE: 196.21	RMSE: 251.47
Epoch 019	LOSS: 66.78	MAE: 195.69	RMSE: 251.42
Epoch 020	LOSS: 67.33	MAE: 195.74	RMSE: 251.53
Epoch 021	LOSS: 66.82	MAE: 196.03	RMSE: 251.69
Epoch 022	LOSS: 66.83	MAE: 196.33	RMSE: 251.87
Epoch 023	LOSS: 66.77	MAE: 196.29	RMSE: 251.95
Epoch 024	LOSS: 66.00	MAE: 196.35	RMSE: 252.08
Epoch 025	LOSS: 65.72	MAE: 196.30	RMSE: 252.19
Epoch 026	LOSS: 66.52	MAE: 196.28	RMSE: 252.27
Epoch 027	LOSS: 66.02	MAE: 196.41	RMSE: 252.40
Epoch 028	LOSS: 64.67	MAE: 196.51	RMSE: 252.50
Epoch 029	LOSS: 65.45	MAE: 196.60	RMSE: 252.59
Epoch 030	LOSS: 65.02	MAE: 196.71	RMSE: 252.68
Epoch 031	LOSS: 65.05	MAE: 196.67	RMSE: 252.70
Epoch 032	LOSS: 64.81	MAE: 196.74	RMSE: 252.76
Epoch 033	LOSS: 65.31	MAE: 196.81	RMSE: 252.83
Epoch 034	LOSS: 64.79	MAE: 196.69	RMSE: 252.82
Epoch 035	LOSS: 66.02	MAE: 196.75	RMSE: 252.85
Epoch 036	LOSS: 65.46	MAE: 196.78	RMSE: 252.88
Epoch 037	LOSS: 66.04	MAE: 196.71	RMSE: 252.87
Epoch 038	LOSS: 64.59	MAE: 196.69	RMSE: 252.85
Epoch 039	LOSS: 64.85	MAE: 196.92	RMSE: 252.94
Epoch 040	LOSS: 64.40	MAE: 196.65	RMSE: 252.88
Epoch 041	LOSS: 63.98	MAE: 196.67	RMSE: 252.90
Epoch 042	LOSS: 65.09	MAE: 196.73	RMSE: 252.90
Epoch 043	LOSS: 66.04	MAE: 196.86	RMSE: 252.95
Epoch 044	LOSS: 65.42	MAE: 196.63	RMSE: 252.90
