Epoch 000	LOSS: 430.50	MAE: 253.12	RMSE: 296.37
Epoch 001	LOSS: 347.68	MAE: 243.76	RMSE: 288.17
Epoch 002	LOSS: 335.24	MAE: 223.70	RMSE: 272.11
Epoch 003	LOSS: 347.28	MAE: 217.26	RMSE: 265.28
Epoch 004	LOSS: 218.64	MAE: 210.08	RMSE: 259.67
Epoch 005	LOSS: 157.93	MAE: 210.97	RMSE: 260.97
Epoch 006	LOSS: 132.55	MAE: 207.01	RMSE: 257.77
Epoch 007	LOSS: 124.71	MAE: 200.92	RMSE: 252.03
Epoch 008	LOSS: 131.72	MAE: 199.93	RMSE: 250.62
Epoch 009	LOSS: 96.60	MAE: 198.00	RMSE: 250.90
Epoch 010	LOSS: 86.68	MAE: 197.60	RMSE: 251.09
Epoch 011	LOSS: 93.37	MAE: 196.39	RMSE: 250.09
Epoch 012	LOSS: 93.09	MAE: 196.30	RMSE: 250.12
Epoch 013	LOSS: 78.87	MAE: 195.47	RMSE: 250.31
Epoch 014	LOSS: 79.92	MAE: 196.33	RMSE: 250.66
Epoch 015	LOSS: 84.50	MAE: 197.18	RMSE: 251.07
Epoch 016	LOSS: 80.35	MAE: 196.86	RMSE: 251.25
Epoch 017	LOSS: 74.66	MAE: 196.58	RMSE: 251.31
Epoch 018	LOSS: 86.94	MAE: 198.27	RMSE: 251.67
Epoch 019	LOSS: 73.25	MAE: 196.41	RMSE: 251.42
Epoch 020	LOSS: 75.02	MAE: 196.68	RMSE: 251.50
Epoch 021	LOSS: 91.78	MAE: 198.92	RMSE: 251.93
Epoch 022	LOSS: 72.70	MAE: 196.17	RMSE: 251.60
Epoch 023	LOSS: 76.35	MAE: 196.85	RMSE: 251.74
Epoch 024	LOSS: 80.87	MAE: 197.69	RMSE: 251.91
Epoch 025	LOSS: 78.16	MAE: 197.18	RMSE: 251.90
Epoch 026	LOSS: 76.76	MAE: 197.06	RMSE: 251.93
Epoch 027	LOSS: 84.05	MAE: 198.28	RMSE: 252.23
Epoch 028	LOSS: 72.84	MAE: 197.06	RMSE: 252.07
Epoch 029	LOSS: 81.30	MAE: 198.60	RMSE: 252.39
Epoch 030	LOSS: 76.79	MAE: 197.61	RMSE: 252.22
Epoch 031	LOSS: 84.01	MAE: 198.45	RMSE: 252.37
Epoch 032	LOSS: 72.53	MAE: 196.72	RMSE: 252.14
Epoch 033	LOSS: 81.38	MAE: 197.97	RMSE: 252.34
Epoch 034	LOSS: 75.90	MAE: 197.26	RMSE: 252.28
Epoch 035	LOSS: 80.38	MAE: 197.99	RMSE: 252.44
Epoch 036	LOSS: 76.33	MAE: 197.47	RMSE: 252.40
Epoch 037	LOSS: 80.47	MAE: 198.41	RMSE: 252.60
Epoch 038	LOSS: 76.39	MAE: 197.92	RMSE: 252.54
Epoch 039	LOSS: 76.93	MAE: 197.96	RMSE: 252.54
Epoch 040	LOSS: 76.97	MAE: 197.75	RMSE: 252.50
Epoch 041	LOSS: 80.14	MAE: 198.00	RMSE: 252.54
Epoch 042	LOSS: 74.40	MAE: 197.21	RMSE: 252.43
Epoch 043	LOSS: 84.20	MAE: 198.66	RMSE: 252.68
Epoch 044	LOSS: 72.41	MAE: 197.08	RMSE: 252.43
Epoch 045	LOSS: 81.17	MAE: 198.41	RMSE: 252.64
Epoch 046	LOSS: 72.69	MAE: 197.40	RMSE: 252.48
Epoch 047	LOSS: 81.84	MAE: 198.82	RMSE: 252.74
Epoch 048	LOSS: 73.09	MAE: 197.35	RMSE: 252.48
Epoch 049	LOSS: 81.11	MAE: 198.39	RMSE: 252.68
Epoch 050	LOSS: 75.87	MAE: 197.68	RMSE: 252.57
Epoch 051	LOSS: 78.51	MAE: 198.04	RMSE: 252.64
Epoch 052	LOSS: 80.01	MAE: 198.11	RMSE: 252.67
Epoch 053	LOSS: 73.28	MAE: 197.40	RMSE: 252.57
Epoch 054	LOSS: 86.17	MAE: 199.26	RMSE: 252.93
Epoch 055	LOSS: 70.56	MAE: 196.99	RMSE: 252.56
Epoch 056	LOSS: 75.72	MAE: 197.77	RMSE: 252.71
Epoch 057	LOSS: 84.78	MAE: 199.14	RMSE: 252.99
Epoch 058	LOSS: 75.85	MAE: 197.93	RMSE: 252.79
Epoch 059	LOSS: 71.22	MAE: 197.30	RMSE: 252.71
Epoch 060	LOSS: 83.80	MAE: 199.04	RMSE: 253.07
Epoch 061	LOSS: 75.48	MAE: 197.88	RMSE: 252.88
Epoch 062	LOSS: 78.83	MAE: 198.36	RMSE: 253.00
Epoch 063	LOSS: 72.38	MAE: 197.68	RMSE: 252.92
Epoch 064	LOSS: 80.02	MAE: 198.74	RMSE: 253.15
Epoch 065	LOSS: 72.84	MAE: 197.61	RMSE: 252.95
Epoch 066	LOSS: 75.58	MAE: 197.99	RMSE: 253.04
Epoch 067	LOSS: 69.13	MAE: 197.18	RMSE: 252.92
Epoch 068	LOSS: 79.18	MAE: 198.60	RMSE: 253.19
Epoch 069	LOSS: 71.89	MAE: 197.40	RMSE: 252.97
Epoch 070	LOSS: 75.45	MAE: 198.14	RMSE: 253.13
Epoch 071	LOSS: 68.77	MAE: 196.87	RMSE: 252.90
Epoch 072	LOSS: 81.30	MAE: 198.27	RMSE: 253.18
Epoch 073	LOSS: 71.51	MAE: 197.11	RMSE: 252.97
Epoch 074	LOSS: 73.30	MAE: 197.56	RMSE: 253.06
Epoch 075	LOSS: 77.12	MAE: 198.37	RMSE: 253.25
Epoch 076	LOSS: 66.92	MAE: 196.58	RMSE: 252.92
Epoch 077	LOSS: 82.76	MAE: 199.54	RMSE: 253.57
Epoch 078	LOSS: 73.27	MAE: 198.24	RMSE: 253.28
Epoch 079	LOSS: 67.77	MAE: 196.57	RMSE: 252.94
Epoch 080	LOSS: 74.60	MAE: 198.00	RMSE: 253.21
Epoch 081	LOSS: 69.12	MAE: 197.42	RMSE: 253.12
Epoch 082	LOSS: 70.24	MAE: 197.39	RMSE: 253.05
Epoch 083	LOSS: 69.71	MAE: 197.17	RMSE: 253.03
Epoch 084	LOSS: 69.05	MAE: 197.00	RMSE: 253.07
Epoch 085	LOSS: 72.34	MAE: 197.29	RMSE: 253.08
Epoch 086	LOSS: 68.52	MAE: 196.57	RMSE: 252.93
Epoch 087	LOSS: 69.64	MAE: 197.65	RMSE: 253.18
Epoch 088	LOSS: 62.91	MAE: 195.99	RMSE: 252.81
Epoch 089	LOSS: 72.53	MAE: 197.51	RMSE: 253.11
Epoch 090	LOSS: 58.62	MAE: 195.48	RMSE: 252.75
Epoch 091	LOSS: 69.77	MAE: 197.16	RMSE: 253.09
Epoch 092	LOSS: 62.64	MAE: 196.17	RMSE: 252.87
Epoch 093	LOSS: 67.11	MAE: 196.73	RMSE: 252.97
Epoch 094	LOSS: 63.96	MAE: 196.34	RMSE: 252.88
Epoch 095	LOSS: 65.79	MAE: 196.14	RMSE: 252.84
