Epoch 000	LOSS: 426.37	MAE: 253.36	RMSE: 296.10
Epoch 001	LOSS: 356.08	MAE: 243.07	RMSE: 286.62
Epoch 002	LOSS: 316.71	MAE: 217.38	RMSE: 265.44
Epoch 003	LOSS: 359.66	MAE: 213.12	RMSE: 259.35
Epoch 004	LOSS: 243.95	MAE: 206.59	RMSE: 254.62
Epoch 005	LOSS: 161.08	MAE: 205.70	RMSE: 255.35
Epoch 006	LOSS: 140.59	MAE: 204.11	RMSE: 254.40
Epoch 007	LOSS: 119.74	MAE: 197.64	RMSE: 250.24
Epoch 008	LOSS: 130.65	MAE: 198.39	RMSE: 249.50
Epoch 009	LOSS: 101.32	MAE: 195.21	RMSE: 249.30
Epoch 010	LOSS: 86.79	MAE: 195.92	RMSE: 250.22
Epoch 011	LOSS: 90.35	MAE: 194.97	RMSE: 249.63
Epoch 012	LOSS: 95.73	MAE: 195.85	RMSE: 249.87
Epoch 013	LOSS: 79.24	MAE: 195.36	RMSE: 250.14
Epoch 014	LOSS: 80.65	MAE: 195.81	RMSE: 250.37
Epoch 015	LOSS: 82.25	MAE: 196.51	RMSE: 250.60
Epoch 016	LOSS: 79.48	MAE: 196.41	RMSE: 250.80
Epoch 017	LOSS: 75.22	MAE: 196.11	RMSE: 250.96
Epoch 018	LOSS: 81.53	MAE: 197.17	RMSE: 251.28
Epoch 019	LOSS: 72.24	MAE: 196.01	RMSE: 251.29
Epoch 020	LOSS: 85.29	MAE: 197.52	RMSE: 251.59
Epoch 021	LOSS: 69.32	MAE: 195.89	RMSE: 251.49
Epoch 022	LOSS: 77.78	MAE: 196.93	RMSE: 251.66
Epoch 023	LOSS: 79.34	MAE: 197.60	RMSE: 251.84
Epoch 024	LOSS: 68.57	MAE: 196.33	RMSE: 251.76
Epoch 025	LOSS: 85.94	MAE: 198.63	RMSE: 252.15
Epoch 026	LOSS: 73.41	MAE: 196.74	RMSE: 251.89
Epoch 027	LOSS: 79.14	MAE: 197.62	RMSE: 252.04
Epoch 028	LOSS: 72.94	MAE: 196.82	RMSE: 251.96
Epoch 029	LOSS: 83.97	MAE: 198.28	RMSE: 252.20
Epoch 030	LOSS: 73.11	MAE: 196.74	RMSE: 252.01
Epoch 031	LOSS: 78.96	MAE: 197.89	RMSE: 252.20
Epoch 032	LOSS: 71.91	MAE: 196.86	RMSE: 252.11
Epoch 033	LOSS: 82.03	MAE: 198.61	RMSE: 252.44
Epoch 034	LOSS: 73.16	MAE: 197.26	RMSE: 252.25
Epoch 035	LOSS: 81.51	MAE: 198.44	RMSE: 252.45
Epoch 036	LOSS: 71.92	MAE: 196.94	RMSE: 252.21
Epoch 037	LOSS: 81.37	MAE: 198.14	RMSE: 252.40
Epoch 038	LOSS: 72.63	MAE: 197.01	RMSE: 252.23
Epoch 039	LOSS: 81.62	MAE: 198.42	RMSE: 252.45
Epoch 040	LOSS: 72.63	MAE: 197.01	RMSE: 252.25
Epoch 041	LOSS: 81.85	MAE: 198.26	RMSE: 252.45
Epoch 042	LOSS: 72.99	MAE: 197.09	RMSE: 252.27
Epoch 043	LOSS: 81.77	MAE: 198.31	RMSE: 252.45
Epoch 044	LOSS: 73.01	MAE: 197.17	RMSE: 252.25
