Epoch 000	LOSS: 431.20	MAE: 252.45	RMSE: 295.74
Epoch 001	LOSS: 361.48	MAE: 241.38	RMSE: 286.46
Epoch 002	LOSS: 317.28	MAE: 223.47	RMSE: 269.27
Epoch 003	LOSS: 348.51	MAE: 219.56	RMSE: 263.81
Epoch 004	LOSS: 247.96	MAE: 209.57	RMSE: 256.06
Epoch 005	LOSS: 152.35	MAE: 205.88	RMSE: 255.98
Epoch 006	LOSS: 133.13	MAE: 205.56	RMSE: 255.59
Epoch 007	LOSS: 112.43	MAE: 198.54	RMSE: 250.93
Epoch 008	LOSS: 131.62	MAE: 197.80	RMSE: 249.59
Epoch 009	LOSS: 101.64	MAE: 196.18	RMSE: 249.65
Epoch 010	LOSS: 84.21	MAE: 196.18	RMSE: 250.47
Epoch 011	LOSS: 89.34	MAE: 195.07	RMSE: 249.77
Epoch 012	LOSS: 96.84	MAE: 196.65	RMSE: 250.10
Epoch 013	LOSS: 76.61	MAE: 195.10	RMSE: 250.31
Epoch 014	LOSS: 79.61	MAE: 195.72	RMSE: 250.52
Epoch 015	LOSS: 89.69	MAE: 197.72	RMSE: 251.05
Epoch 016	LOSS: 72.61	MAE: 195.90	RMSE: 250.99
Epoch 017	LOSS: 78.95	MAE: 196.86	RMSE: 251.32
Epoch 018	LOSS: 84.69	MAE: 197.98	RMSE: 251.69
Epoch 019	LOSS: 75.70	MAE: 196.89	RMSE: 251.63
Epoch 020	LOSS: 73.24	MAE: 196.71	RMSE: 251.73
Epoch 021	LOSS: 88.15	MAE: 198.84	RMSE: 252.18
Epoch 022	LOSS: 75.33	MAE: 197.03	RMSE: 251.90
Epoch 023	LOSS: 76.27	MAE: 197.09	RMSE: 251.93
Epoch 024	LOSS: 89.26	MAE: 198.84	RMSE: 252.26
Epoch 025	LOSS: 70.49	MAE: 196.31	RMSE: 251.96
Epoch 026	LOSS: 76.46	MAE: 196.97	RMSE: 252.09
Epoch 027	LOSS: 82.56	MAE: 197.96	RMSE: 252.32
Epoch 028	LOSS: 75.89	MAE: 197.26	RMSE: 252.27
Epoch 029	LOSS: 72.71	MAE: 197.22	RMSE: 252.32
Epoch 030	LOSS: 86.27	MAE: 199.24	RMSE: 252.75
Epoch 031	LOSS: 73.00	MAE: 197.33	RMSE: 252.43
Epoch 032	LOSS: 76.04	MAE: 197.86	RMSE: 252.55
Epoch 033	LOSS: 85.21	MAE: 198.97	RMSE: 252.79
Epoch 034	LOSS: 73.63	MAE: 197.38	RMSE: 252.52
Epoch 035	LOSS: 72.52	MAE: 197.21	RMSE: 252.53
Epoch 036	LOSS: 86.44	MAE: 199.14	RMSE: 252.91
Epoch 037	LOSS: 71.96	MAE: 197.21	RMSE: 252.62
Epoch 038	LOSS: 78.74	MAE: 198.21	RMSE: 252.81
Epoch 039	LOSS: 80.90	MAE: 198.54	RMSE: 252.92
Epoch 040	LOSS: 73.14	MAE: 197.58	RMSE: 252.75
Epoch 041	LOSS: 79.81	MAE: 198.48	RMSE: 252.91
Epoch 042	LOSS: 77.24	MAE: 198.15	RMSE: 252.87
Epoch 043	LOSS: 75.04	MAE: 197.83	RMSE: 252.83
Epoch 044	LOSS: 82.49	MAE: 199.05	RMSE: 253.09
Epoch 045	LOSS: 71.58	MAE: 197.31	RMSE: 252.82
Epoch 046	LOSS: 83.49	MAE: 199.05	RMSE: 253.17
Epoch 047	LOSS: 77.97	MAE: 198.13	RMSE: 253.03
Epoch 048	LOSS: 78.54	MAE: 198.36	RMSE: 253.08
Epoch 049	LOSS: 76.62	MAE: 198.14	RMSE: 253.08
Epoch 050	LOSS: 82.36	MAE: 199.07	RMSE: 253.26
Epoch 051	LOSS: 74.45	MAE: 197.94	RMSE: 253.07
Epoch 052	LOSS: 81.84	MAE: 199.12	RMSE: 253.31
Epoch 053	LOSS: 71.70	MAE: 197.65	RMSE: 253.07
Epoch 054	LOSS: 79.78	MAE: 198.78	RMSE: 253.28
Epoch 055	LOSS: 73.72	MAE: 197.81	RMSE: 253.12
Epoch 056	LOSS: 80.81	MAE: 199.10	RMSE: 253.39
Epoch 057	LOSS: 74.70	MAE: 198.14	RMSE: 253.23
Epoch 058	LOSS: 83.70	MAE: 199.40	RMSE: 253.52
Epoch 059	LOSS: 76.42	MAE: 198.29	RMSE: 253.32
Epoch 060	LOSS: 80.96	MAE: 199.08	RMSE: 253.50
Epoch 061	LOSS: 72.84	MAE: 198.00	RMSE: 253.30
Epoch 062	LOSS: 80.37	MAE: 199.20	RMSE: 253.54
Epoch 063	LOSS: 72.52	MAE: 198.00	RMSE: 253.30
Epoch 064	LOSS: 80.88	MAE: 199.29	RMSE: 253.57
Epoch 065	LOSS: 73.13	MAE: 197.96	RMSE: 253.32
Epoch 066	LOSS: 79.68	MAE: 198.84	RMSE: 253.50
Epoch 067	LOSS: 70.63	MAE: 197.75	RMSE: 253.30
Epoch 068	LOSS: 78.46	MAE: 198.92	RMSE: 253.54
Epoch 069	LOSS: 74.15	MAE: 198.07	RMSE: 253.33
Epoch 070	LOSS: 78.34	MAE: 198.61	RMSE: 253.44
Epoch 071	LOSS: 74.77	MAE: 198.01	RMSE: 253.28
Epoch 072	LOSS: 73.55	MAE: 198.00	RMSE: 253.27
Epoch 073	LOSS: 73.72	MAE: 198.19	RMSE: 253.32
Epoch 074	LOSS: 75.90	MAE: 198.38	RMSE: 253.34
Epoch 075	LOSS: 72.60	MAE: 198.03	RMSE: 253.28
Epoch 076	LOSS: 73.47	MAE: 197.84	RMSE: 253.22
Epoch 077	LOSS: 74.04	MAE: 197.98	RMSE: 253.29
Epoch 078	LOSS: 70.91	MAE: 197.19	RMSE: 253.08
