Epoch 000	LOSS: 435.35	MAE: 254.16	RMSE: 297.19
Epoch 001	LOSS: 386.55	MAE: 248.02	RMSE: 291.65
Epoch 002	LOSS: 313.77	MAE: 229.99	RMSE: 275.79
Epoch 003	LOSS: 348.06	MAE: 215.25	RMSE: 262.17
Epoch 004	LOSS: 303.99	MAE: 209.41	RMSE: 256.77
Epoch 005	LOSS: 188.51	MAE: 205.64	RMSE: 254.46
Epoch 006	LOSS: 148.23	MAE: 206.13	RMSE: 255.14
Epoch 007	LOSS: 126.16	MAE: 200.24	RMSE: 251.41
Epoch 008	LOSS: 121.44	MAE: 197.61	RMSE: 249.32
Epoch 009	LOSS: 122.64	MAE: 198.21	RMSE: 249.38
Epoch 010	LOSS: 93.32	MAE: 195.52	RMSE: 249.18
Epoch 011	LOSS: 93.10	MAE: 195.14	RMSE: 249.36
Epoch 012	LOSS: 91.09	MAE: 195.71	RMSE: 249.56
Epoch 013	LOSS: 93.16	MAE: 195.97	RMSE: 249.89
Epoch 014	LOSS: 84.57	MAE: 196.10	RMSE: 250.20
Epoch 015	LOSS: 78.29	MAE: 195.76	RMSE: 250.35
Epoch 016	LOSS: 85.73	MAE: 196.78	RMSE: 250.65
Epoch 017	LOSS: 79.08	MAE: 196.18	RMSE: 250.71
Epoch 018	LOSS: 76.21	MAE: 196.02	RMSE: 250.86
Epoch 019	LOSS: 84.93	MAE: 197.49	RMSE: 251.22
Epoch 020	LOSS: 74.73	MAE: 196.25	RMSE: 251.22
Epoch 021	LOSS: 81.47	MAE: 197.33	RMSE: 251.47
Epoch 022	LOSS: 75.08	MAE: 196.59	RMSE: 251.49
Epoch 023	LOSS: 85.98	MAE: 198.19	RMSE: 251.87
Epoch 024	LOSS: 75.33	MAE: 196.89	RMSE: 251.75
Epoch 025	LOSS: 81.85	MAE: 198.03	RMSE: 252.02
Epoch 026	LOSS: 72.33	MAE: 197.05	RMSE: 251.94
Epoch 027	LOSS: 84.07	MAE: 198.69	RMSE: 252.27
Epoch 028	LOSS: 77.58	MAE: 197.50	RMSE: 252.12
Epoch 029	LOSS: 85.03	MAE: 198.59	RMSE: 252.37
Epoch 030	LOSS: 75.48	MAE: 197.12	RMSE: 252.18
Epoch 031	LOSS: 83.10	MAE: 198.20	RMSE: 252.40
Epoch 032	LOSS: 76.40	MAE: 197.46	RMSE: 252.33
Epoch 033	LOSS: 85.76	MAE: 199.00	RMSE: 252.66
Epoch 034	LOSS: 77.16	MAE: 197.85	RMSE: 252.48
Epoch 035	LOSS: 83.55	MAE: 198.82	RMSE: 252.70
Epoch 036	LOSS: 75.45	MAE: 197.62	RMSE: 252.51
Epoch 037	LOSS: 82.69	MAE: 198.74	RMSE: 252.74
Epoch 038	LOSS: 78.39	MAE: 197.95	RMSE: 252.61
Epoch 039	LOSS: 80.00	MAE: 198.29	RMSE: 252.69
Epoch 040	LOSS: 81.58	MAE: 198.61	RMSE: 252.74
Epoch 041	LOSS: 78.80	MAE: 198.17	RMSE: 252.67
Epoch 042	LOSS: 82.75	MAE: 198.86	RMSE: 252.85
Epoch 043	LOSS: 76.86	MAE: 197.81	RMSE: 252.68
Epoch 044	LOSS: 83.64	MAE: 198.86	RMSE: 252.89
Epoch 045	LOSS: 77.11	MAE: 198.27	RMSE: 252.78
Epoch 046	LOSS: 85.35	MAE: 199.24	RMSE: 252.97
Epoch 047	LOSS: 76.98	MAE: 198.09	RMSE: 252.73
Epoch 048	LOSS: 79.24	MAE: 198.47	RMSE: 252.80
Epoch 049	LOSS: 77.31	MAE: 197.94	RMSE: 252.72
Epoch 050	LOSS: 83.17	MAE: 198.88	RMSE: 252.91
Epoch 051	LOSS: 77.20	MAE: 198.20	RMSE: 252.77
Epoch 052	LOSS: 81.90	MAE: 198.82	RMSE: 252.89
Epoch 053	LOSS: 74.10	MAE: 197.82	RMSE: 252.70
Epoch 054	LOSS: 85.38	MAE: 199.35	RMSE: 253.01
Epoch 055	LOSS: 72.13	MAE: 197.41	RMSE: 252.66
Epoch 056	LOSS: 79.78	MAE: 198.59	RMSE: 252.88
Epoch 057	LOSS: 78.92	MAE: 198.59	RMSE: 252.84
Epoch 058	LOSS: 76.81	MAE: 198.08	RMSE: 252.76
Epoch 059	LOSS: 79.69	MAE: 198.48	RMSE: 252.78
Epoch 060	LOSS: 80.00	MAE: 198.43	RMSE: 252.77
Epoch 061	LOSS: 74.85	MAE: 197.82	RMSE: 252.64
Epoch 062	LOSS: 79.58	MAE: 198.51	RMSE: 252.78
Epoch 063	LOSS: 75.38	MAE: 198.07	RMSE: 252.70
Epoch 064	LOSS: 82.23	MAE: 199.06	RMSE: 252.86
Epoch 065	LOSS: 73.17	MAE: 197.74	RMSE: 252.64
Epoch 066	LOSS: 79.88	MAE: 198.63	RMSE: 252.80
Epoch 067	LOSS: 73.07	MAE: 197.55	RMSE: 252.57
Epoch 068	LOSS: 77.32	MAE: 198.14	RMSE: 252.68
Epoch 069	LOSS: 74.31	MAE: 197.94	RMSE: 252.61
Epoch 070	LOSS: 71.20	MAE: 197.20	RMSE: 252.50
Epoch 071	LOSS: 81.56	MAE: 198.59	RMSE: 252.75
Epoch 072	LOSS: 70.21	MAE: 197.02	RMSE: 252.46
Epoch 073	LOSS: 76.03	MAE: 197.75	RMSE: 252.59
Epoch 074	LOSS: 70.56	MAE: 197.06	RMSE: 252.49
Epoch 075	LOSS: 72.73	MAE: 197.34	RMSE: 252.54
Epoch 076	LOSS: 75.34	MAE: 197.83	RMSE: 252.63
Epoch 077	LOSS: 70.54	MAE: 196.89	RMSE: 252.46
Epoch 078	LOSS: 72.57	MAE: 197.10	RMSE: 252.50
Epoch 079	LOSS: 70.23	MAE: 196.90	RMSE: 252.47
Epoch 080	LOSS: 73.55	MAE: 197.26	RMSE: 252.53
Epoch 081	LOSS: 66.86	MAE: 196.48	RMSE: 252.42
Epoch 082	LOSS: 70.68	MAE: 196.87	RMSE: 252.50
Epoch 083	LOSS: 67.94	MAE: 196.76	RMSE: 252.52
Epoch 084	LOSS: 71.51	MAE: 196.74	RMSE: 252.53
Epoch 085	LOSS: 68.03	MAE: 196.63	RMSE: 252.56
Epoch 086	LOSS: 70.14	MAE: 197.10	RMSE: 252.71
Epoch 087	LOSS: 66.47	MAE: 196.48	RMSE: 252.57
Epoch 088	LOSS: 69.83	MAE: 196.91	RMSE: 252.70
Epoch 089	LOSS: 63.96	MAE: 196.24	RMSE: 252.60
Epoch 090	LOSS: 68.63	MAE: 196.67	RMSE: 252.71
Epoch 091	LOSS: 64.38	MAE: 196.52	RMSE: 252.76
Epoch 092	LOSS: 68.56	MAE: 196.42	RMSE: 252.72
Epoch 093	LOSS: 67.08	MAE: 196.68	RMSE: 252.79
Epoch 094	LOSS: 66.10	MAE: 196.54	RMSE: 252.79
Epoch 095	LOSS: 66.35	MAE: 196.20	RMSE: 252.72
Epoch 096	LOSS: 67.12	MAE: 196.79	RMSE: 252.91
Epoch 097	LOSS: 66.63	MAE: 196.28	RMSE: 252.78
Epoch 098	LOSS: 64.24	MAE: 196.63	RMSE: 252.88
Epoch 099	LOSS: 68.07	MAE: 196.44	RMSE: 252.82
Epoch 100	LOSS: 64.91	MAE: 196.79	RMSE: 252.93
Epoch 101	LOSS: 66.10	MAE: 196.23	RMSE: 252.79
Epoch 102	LOSS: 65.70	MAE: 196.81	RMSE: 252.93
Epoch 103	LOSS: 64.48	MAE: 196.08	RMSE: 252.78
Epoch 104	LOSS: 67.06	MAE: 196.82	RMSE: 252.96
Epoch 105	LOSS: 66.72	MAE: 196.50	RMSE: 252.87
Epoch 106	LOSS: 65.27	MAE: 196.65	RMSE: 252.94
Epoch 107	LOSS: 65.46	MAE: 196.45	RMSE: 252.89
Epoch 108	LOSS: 68.69	MAE: 196.80	RMSE: 252.98
Epoch 109	LOSS: 65.95	MAE: 196.62	RMSE: 252.93
Epoch 110	LOSS: 68.08	MAE: 196.77	RMSE: 252.97
Epoch 111	LOSS: 66.13	MAE: 196.79	RMSE: 253.01
Epoch 112	LOSS: 70.01	MAE: 197.13	RMSE: 253.06
Epoch 113	LOSS: 64.76	MAE: 196.58	RMSE: 252.94
Epoch 114	LOSS: 60.56	MAE: 195.55	RMSE: 252.75
Epoch 115	LOSS: 73.52	MAE: 197.58	RMSE: 253.16
Epoch 116	LOSS: 58.32	MAE: 195.43	RMSE: 252.71
Epoch 117	LOSS: 71.72	MAE: 197.39	RMSE: 253.12
Epoch 118	LOSS: 60.39	MAE: 195.98	RMSE: 252.85
Epoch 119	LOSS: 71.07	MAE: 197.60	RMSE: 253.19
Epoch 120	LOSS: 57.83	MAE: 195.67	RMSE: 252.80
Epoch 121	LOSS: 70.10	MAE: 197.36	RMSE: 253.13
Epoch 122	LOSS: 59.59	MAE: 195.53	RMSE: 252.74
Epoch 123	LOSS: 72.62	MAE: 197.49	RMSE: 253.15
Epoch 124	LOSS: 60.53	MAE: 195.79	RMSE: 252.79
Epoch 125	LOSS: 69.45	MAE: 197.28	RMSE: 253.11
Epoch 126	LOSS: 61.98	MAE: 196.09	RMSE: 252.88
Epoch 127	LOSS: 66.44	MAE: 196.42	RMSE: 252.93
Epoch 128	LOSS: 65.53	MAE: 196.68	RMSE: 252.98
Epoch 129	LOSS: 63.45	MAE: 196.23	RMSE: 252.86
Epoch 130	LOSS: 65.91	MAE: 196.83	RMSE: 253.02
Epoch 131	LOSS: 62.47	MAE: 196.11	RMSE: 252.87
Epoch 132	LOSS: 66.58	MAE: 196.58	RMSE: 252.96
Epoch 133	LOSS: 62.88	MAE: 196.29	RMSE: 252.91
Epoch 134	LOSS: 63.67	MAE: 196.48	RMSE: 252.94
Epoch 135	LOSS: 61.33	MAE: 196.02	RMSE: 252.84
Epoch 136	LOSS: 70.33	MAE: 197.23	RMSE: 253.09
Epoch 137	LOSS: 62.06	MAE: 196.12	RMSE: 252.85
Epoch 138	LOSS: 66.76	MAE: 196.91	RMSE: 253.03
Epoch 139	LOSS: 60.52	MAE: 195.88	RMSE: 252.83
Epoch 140	LOSS: 67.80	MAE: 196.87	RMSE: 253.00
Epoch 141	LOSS: 61.69	MAE: 196.01	RMSE: 252.84
Epoch 142	LOSS: 66.95	MAE: 196.92	RMSE: 253.03
Epoch 143	LOSS: 61.45	MAE: 195.80	RMSE: 252.80
Epoch 144	LOSS: 69.67	MAE: 197.37	RMSE: 253.12
Epoch 145	LOSS: 59.82	MAE: 195.74	RMSE: 252.76
Epoch 146	LOSS: 69.56	MAE: 197.19	RMSE: 253.10
Epoch 147	LOSS: 58.64	MAE: 195.52	RMSE: 252.74
Epoch 148	LOSS: 67.72	MAE: 197.07	RMSE: 253.06
