Epoch 000	LOSS: 445.36	MAE: 214.97	RMSE: 261.46
Epoch 001	LOSS: 379.82	MAE: 192.86	RMSE: 241.27
Epoch 002	LOSS: 317.12	MAE: 140.48	RMSE: 188.78
Epoch 003	LOSS: 382.05	MAE: 121.49	RMSE: 164.91
Epoch 004	LOSS: 295.87	MAE: 105.43	RMSE: 145.98
Epoch 005	LOSS: 172.34	MAE: 105.49	RMSE: 146.76
Epoch 006	LOSS: 149.68	MAE: 117.25	RMSE: 157.88
Epoch 007	LOSS: 121.78	MAE: 103.91	RMSE: 142.23
Epoch 008	LOSS: 138.57	MAE: 78.28	RMSE: 114.17
Epoch 009	LOSS: 138.02	MAE: 69.13	RMSE: 105.12
Epoch 010	LOSS: 96.58	MAE: 71.60	RMSE: 108.28
Epoch 011	LOSS: 99.97	MAE: 77.43	RMSE: 113.92
Epoch 012	LOSS: 88.51	MAE: 62.21	RMSE: 100.40
Epoch 013	LOSS: 96.88	MAE: 62.79	RMSE: 99.00
Epoch 014	LOSS: 84.52	MAE: 58.90	RMSE: 97.57
Epoch 015	LOSS: 81.93	MAE: 59.76	RMSE: 99.77
Epoch 016	LOSS: 82.16	MAE: 57.21	RMSE: 97.55
Epoch 017	LOSS: 81.88	MAE: 57.06	RMSE: 97.57
Epoch 018	LOSS: 75.92	MAE: 59.68	RMSE: 100.35
Epoch 019	LOSS: 76.73	MAE: 56.88	RMSE: 97.85
Epoch 020	LOSS: 78.85	MAE: 56.78	RMSE: 97.03
Epoch 021	LOSS: 77.47	MAE: 56.23	RMSE: 96.93
Epoch 022	LOSS: 75.83	MAE: 55.56	RMSE: 95.57
Epoch 023	LOSS: 76.83	MAE: 56.09	RMSE: 94.82
Epoch 024	LOSS: 75.15	MAE: 55.35	RMSE: 94.94
Epoch 025	LOSS: 75.20	MAE: 54.29	RMSE: 93.18
Epoch 026	LOSS: 73.61	MAE: 53.68	RMSE: 91.89
Epoch 027	LOSS: 80.65	MAE: 52.89	RMSE: 90.28
Epoch 028	LOSS: 73.94	MAE: 52.70	RMSE: 89.58
Epoch 029	LOSS: 75.45	MAE: 52.05	RMSE: 87.92
Epoch 030	LOSS: 87.47	MAE: 51.98	RMSE: 86.69
Epoch 031	LOSS: 77.92	MAE: 50.19	RMSE: 84.73
Epoch 032	LOSS: 76.03	MAE: 53.38	RMSE: 87.55
Epoch 033	LOSS: 72.55	MAE: 50.87	RMSE: 84.78
Epoch 034	LOSS: 83.74	MAE: 49.49	RMSE: 81.62
Epoch 035	LOSS: 71.52	MAE: 48.81	RMSE: 81.94
Epoch 036	LOSS: 71.44	MAE: 47.21	RMSE: 79.51
Epoch 037	LOSS: 73.22	MAE: 46.70	RMSE: 78.72
Epoch 038	LOSS: 71.20	MAE: 47.95	RMSE: 79.61
Epoch 039	LOSS: 71.92	MAE: 45.52	RMSE: 76.91
Epoch 040	LOSS: 70.65	MAE: 43.60	RMSE: 74.00
Epoch 041	LOSS: 73.99	MAE: 43.30	RMSE: 73.19
Epoch 042	LOSS: 73.30	MAE: 42.68	RMSE: 72.78
Epoch 043	LOSS: 71.45	MAE: 42.89	RMSE: 73.02
Epoch 044	LOSS: 71.16	MAE: 43.91	RMSE: 73.91
Epoch 045	LOSS: 75.73	MAE: 43.62	RMSE: 73.19
Epoch 046	LOSS: 76.10	MAE: 43.86	RMSE: 73.22
Epoch 047	LOSS: 71.33	MAE: 43.49	RMSE: 73.42
Epoch 048	LOSS: 70.75	MAE: 42.83	RMSE: 72.81
Epoch 049	LOSS: 77.30	MAE: 43.29	RMSE: 73.58
Epoch 050	LOSS: 73.84	MAE: 43.17	RMSE: 73.50
Epoch 051	LOSS: 70.67	MAE: 44.10	RMSE: 74.41
Epoch 052	LOSS: 72.62	MAE: 42.93	RMSE: 72.73
Epoch 053	LOSS: 72.31	MAE: 42.80	RMSE: 72.80
Epoch 054	LOSS: 71.49	MAE: 42.16	RMSE: 71.98
Epoch 055	LOSS: 70.53	MAE: 42.62	RMSE: 72.86
Epoch 056	LOSS: 70.08	MAE: 42.92	RMSE: 73.37
Epoch 057	LOSS: 71.02	MAE: 42.81	RMSE: 73.20
Epoch 058	LOSS: 71.23	MAE: 42.51	RMSE: 72.62
Epoch 059	LOSS: 70.03	MAE: 42.52	RMSE: 72.68
Epoch 060	LOSS: 71.33	MAE: 42.35	RMSE: 72.44
Epoch 061	LOSS: 69.70	MAE: 42.56	RMSE: 72.70
Epoch 062	LOSS: 70.99	MAE: 42.47	RMSE: 72.69
Epoch 063	LOSS: 71.13	MAE: 42.12	RMSE: 72.30
Epoch 064	LOSS: 70.30	MAE: 42.09	RMSE: 72.36
Epoch 065	LOSS: 70.69	MAE: 41.47	RMSE: 71.32
Epoch 066	LOSS: 70.34	MAE: 41.23	RMSE: 70.69
Epoch 067	LOSS: 74.55	MAE: 42.91	RMSE: 71.64
Epoch 068	LOSS: 70.22	MAE: 42.30	RMSE: 70.88
Epoch 069	LOSS: 69.39	MAE: 42.04	RMSE: 70.77
Epoch 070	LOSS: 82.62	MAE: 42.72	RMSE: 71.26
Epoch 071	LOSS: 72.33	MAE: 41.59	RMSE: 70.50
