Epoch 000	LOSS: 442.16	MAE: 215.91	RMSE: 261.79
Epoch 001	LOSS: 392.15	MAE: 198.08	RMSE: 244.56
Epoch 002	LOSS: 317.96	MAE: 151.22	RMSE: 198.37
Epoch 003	LOSS: 321.65	MAE: 120.12	RMSE: 163.25
Epoch 004	LOSS: 259.34	MAE: 110.03	RMSE: 151.92
Epoch 005	LOSS: 177.66	MAE: 119.21	RMSE: 161.96
Epoch 006	LOSS: 161.55	MAE: 128.97	RMSE: 170.36
Epoch 007	LOSS: 135.76	MAE: 115.19	RMSE: 155.13
Epoch 008	LOSS: 123.94	MAE: 95.65	RMSE: 133.76
Epoch 009	LOSS: 113.45	MAE: 93.28	RMSE: 130.82
Epoch 010	LOSS: 108.70	MAE: 99.55	RMSE: 137.31
Epoch 011	LOSS: 102.33	MAE: 91.31	RMSE: 129.15
Epoch 012	LOSS: 90.14	MAE: 77.95	RMSE: 116.03
Epoch 013	LOSS: 86.80	MAE: 73.11	RMSE: 111.64
Epoch 014	LOSS: 84.46	MAE: 68.84	RMSE: 108.03
Epoch 015	LOSS: 78.87	MAE: 60.82	RMSE: 101.50
Epoch 016	LOSS: 76.94	MAE: 58.69	RMSE: 99.94
Epoch 017	LOSS: 77.95	MAE: 60.69	RMSE: 102.14
Epoch 018	LOSS: 74.93	MAE: 58.36	RMSE: 100.39
Epoch 019	LOSS: 74.81	MAE: 61.35	RMSE: 103.18
Epoch 020	LOSS: 73.61	MAE: 60.71	RMSE: 102.74
Epoch 021	LOSS: 74.10	MAE: 59.33	RMSE: 101.69
Epoch 022	LOSS: 74.97	MAE: 60.68	RMSE: 102.77
Epoch 023	LOSS: 72.12	MAE: 57.82	RMSE: 100.56
Epoch 024	LOSS: 72.81	MAE: 59.03	RMSE: 101.68
Epoch 025	LOSS: 71.72	MAE: 58.38	RMSE: 101.23
Epoch 026	LOSS: 71.24	MAE: 57.18	RMSE: 100.25
Epoch 027	LOSS: 72.74	MAE: 59.20	RMSE: 101.87
Epoch 028	LOSS: 70.90	MAE: 56.89	RMSE: 100.00
Epoch 029	LOSS: 71.33	MAE: 57.77	RMSE: 100.72
Epoch 030	LOSS: 71.40	MAE: 57.01	RMSE: 100.04
Epoch 031	LOSS: 70.19	MAE: 56.53	RMSE: 99.57
Epoch 032	LOSS: 70.88	MAE: 57.21	RMSE: 99.95
Epoch 033	LOSS: 70.37	MAE: 55.93	RMSE: 98.65
Epoch 034	LOSS: 73.26	MAE: 57.93	RMSE: 100.21
Epoch 035	LOSS: 70.27	MAE: 56.76	RMSE: 99.16
Epoch 036	LOSS: 74.85	MAE: 55.72	RMSE: 97.47
Epoch 037	LOSS: 71.10	MAE: 56.04	RMSE: 98.21
Epoch 038	LOSS: 71.29	MAE: 56.73	RMSE: 98.61
Epoch 039	LOSS: 69.54	MAE: 55.14	RMSE: 97.11
Epoch 040	LOSS: 70.34	MAE: 56.37	RMSE: 97.91
Epoch 041	LOSS: 70.13	MAE: 54.95	RMSE: 96.45
Epoch 042	LOSS: 71.66	MAE: 54.57	RMSE: 95.88
Epoch 043	LOSS: 71.70	MAE: 54.63	RMSE: 95.54
Epoch 044	LOSS: 71.83	MAE: 55.35	RMSE: 95.83
Epoch 045	LOSS: 70.75	MAE: 53.50	RMSE: 93.84
Epoch 046	LOSS: 69.19	MAE: 53.96	RMSE: 93.92
Epoch 047	LOSS: 72.86	MAE: 55.66	RMSE: 94.68
Epoch 048	LOSS: 70.87	MAE: 52.04	RMSE: 90.88
Epoch 049	LOSS: 69.85	MAE: 51.94	RMSE: 90.80
Epoch 050	LOSS: 71.43	MAE: 53.95	RMSE: 92.58
Epoch 051	LOSS: 68.58	MAE: 52.31	RMSE: 91.23
Epoch 052	LOSS: 68.26	MAE: 52.68	RMSE: 91.54
Epoch 053	LOSS: 69.52	MAE: 51.92	RMSE: 90.82
Epoch 054	LOSS: 69.07	MAE: 52.11	RMSE: 90.97
Epoch 055	LOSS: 68.31	MAE: 51.62	RMSE: 90.48
Epoch 056	LOSS: 69.06	MAE: 52.51	RMSE: 91.17
Epoch 057	LOSS: 68.87	MAE: 52.07	RMSE: 90.93
Epoch 058	LOSS: 68.94	MAE: 51.78	RMSE: 90.51
Epoch 059	LOSS: 68.30	MAE: 51.75	RMSE: 90.40
Epoch 060	LOSS: 67.77	MAE: 51.81	RMSE: 90.50
Epoch 061	LOSS: 68.29	MAE: 52.23	RMSE: 90.72
Epoch 062	LOSS: 67.97	MAE: 51.22	RMSE: 89.76
Epoch 063	LOSS: 69.29	MAE: 51.13	RMSE: 89.63
Epoch 064	LOSS: 67.61	MAE: 52.08	RMSE: 90.56
Epoch 065	LOSS: 67.47	MAE: 52.05	RMSE: 90.85
Epoch 066	LOSS: 69.03	MAE: 51.16	RMSE: 90.07
Epoch 067	LOSS: 69.24	MAE: 53.67	RMSE: 92.48
Epoch 068	LOSS: 69.10	MAE: 53.52	RMSE: 92.52
Epoch 069	LOSS: 68.87	MAE: 51.51	RMSE: 90.96
Epoch 070	LOSS: 67.86	MAE: 53.20	RMSE: 92.42
Epoch 071	LOSS: 67.21	MAE: 51.99	RMSE: 91.48
Epoch 072	LOSS: 67.76	MAE: 51.25	RMSE: 90.96
Epoch 073	LOSS: 67.14	MAE: 53.82	RMSE: 93.24
Epoch 074	LOSS: 65.43	MAE: 52.53	RMSE: 92.25
Epoch 075	LOSS: 66.05	MAE: 51.30	RMSE: 91.22
Epoch 076	LOSS: 66.82	MAE: 52.27	RMSE: 91.98
Epoch 077	LOSS: 65.58	MAE: 52.12	RMSE: 91.98
Epoch 078	LOSS: 65.87	MAE: 50.63	RMSE: 90.58
