Epoch 000	LOSS: 446.94	MAE: 215.30	RMSE: 261.79
Epoch 001	LOSS: 373.23	MAE: 193.92	RMSE: 242.81
Epoch 002	LOSS: 345.81	MAE: 149.97	RMSE: 200.68
Epoch 003	LOSS: 350.19	MAE: 130.29	RMSE: 177.58
Epoch 004	LOSS: 254.59	MAE: 120.18	RMSE: 165.65
Epoch 005	LOSS: 186.56	MAE: 127.56	RMSE: 172.26
Epoch 006	LOSS: 158.92	MAE: 121.60	RMSE: 164.55
Epoch 007	LOSS: 150.51	MAE: 98.94	RMSE: 139.19
Epoch 008	LOSS: 150.36	MAE: 88.42	RMSE: 126.74
Epoch 009	LOSS: 115.07	MAE: 90.16	RMSE: 128.28
Epoch 010	LOSS: 101.05	MAE: 85.09	RMSE: 122.64
Epoch 011	LOSS: 104.89	MAE: 70.76	RMSE: 108.43
Epoch 012	LOSS: 97.82	MAE: 65.62	RMSE: 104.27
Epoch 013	LOSS: 90.62	MAE: 60.51	RMSE: 100.36
Epoch 014	LOSS: 88.32	MAE: 58.53	RMSE: 98.90
Epoch 015	LOSS: 83.48	MAE: 58.20	RMSE: 99.04
Epoch 016	LOSS: 86.70	MAE: 58.30	RMSE: 99.46
Epoch 017	LOSS: 82.17	MAE: 58.25	RMSE: 99.91
Epoch 018	LOSS: 84.48	MAE: 58.21	RMSE: 100.22
Epoch 019	LOSS: 86.15	MAE: 58.30	RMSE: 100.43
Epoch 020	LOSS: 82.79	MAE: 57.92	RMSE: 100.54
Epoch 021	LOSS: 86.63	MAE: 58.19	RMSE: 100.63
Epoch 022	LOSS: 83.37	MAE: 57.88	RMSE: 100.49
Epoch 023	LOSS: 80.34	MAE: 57.76	RMSE: 100.24
Epoch 024	LOSS: 79.59	MAE: 57.30	RMSE: 99.93
Epoch 025	LOSS: 81.59	MAE: 57.03	RMSE: 99.62
Epoch 026	LOSS: 86.67	MAE: 57.77	RMSE: 99.53
Epoch 027	LOSS: 79.58	MAE: 56.45	RMSE: 98.69
Epoch 028	LOSS: 85.58	MAE: 57.57	RMSE: 98.65
Epoch 029	LOSS: 79.58	MAE: 56.45	RMSE: 97.94
Epoch 030	LOSS: 83.77	MAE: 57.05	RMSE: 97.84
Epoch 031	LOSS: 77.01	MAE: 55.55	RMSE: 97.10
Epoch 032	LOSS: 90.12	MAE: 58.05	RMSE: 97.66
Epoch 033	LOSS: 85.99	MAE: 56.97	RMSE: 96.70
Epoch 034	LOSS: 72.74	MAE: 54.49	RMSE: 95.60
Epoch 035	LOSS: 85.64	MAE: 56.30	RMSE: 95.46
Epoch 036	LOSS: 79.78	MAE: 54.99	RMSE: 94.72
Epoch 037	LOSS: 79.85	MAE: 54.35	RMSE: 94.10
Epoch 038	LOSS: 85.06	MAE: 55.86	RMSE: 94.47
Epoch 039	LOSS: 87.53	MAE: 56.14	RMSE: 94.07
Epoch 040	LOSS: 74.70	MAE: 53.15	RMSE: 92.72
Epoch 041	LOSS: 83.98	MAE: 54.09	RMSE: 92.53
Epoch 042	LOSS: 84.24	MAE: 54.26	RMSE: 91.99
Epoch 043	LOSS: 73.85	MAE: 52.41	RMSE: 90.54
Epoch 044	LOSS: 81.76	MAE: 53.92	RMSE: 90.52
Epoch 045	LOSS: 84.44	MAE: 53.83	RMSE: 90.09
Epoch 046	LOSS: 75.47	MAE: 51.36	RMSE: 88.63
Epoch 047	LOSS: 81.53	MAE: 51.72	RMSE: 87.82
Epoch 048	LOSS: 86.36	MAE: 52.51	RMSE: 87.11
Epoch 049	LOSS: 74.46	MAE: 49.23	RMSE: 84.78
Epoch 050	LOSS: 76.61	MAE: 49.13	RMSE: 83.98
Epoch 051	LOSS: 105.94	MAE: 54.94	RMSE: 87.06
Epoch 052	LOSS: 79.39	MAE: 48.75	RMSE: 83.51
Epoch 053	LOSS: 72.05	MAE: 48.73	RMSE: 84.20
Epoch 054	LOSS: 89.49	MAE: 51.63	RMSE: 85.41
Epoch 055	LOSS: 80.28	MAE: 50.08	RMSE: 84.87
Epoch 056	LOSS: 78.11	MAE: 49.58	RMSE: 84.98
Epoch 057	LOSS: 83.09	MAE: 50.51	RMSE: 85.45
Epoch 058	LOSS: 82.51	MAE: 50.44	RMSE: 85.21
Epoch 059	LOSS: 77.18	MAE: 48.95	RMSE: 84.30
Epoch 060	LOSS: 77.00	MAE: 49.16	RMSE: 84.12
Epoch 061	LOSS: 92.80	MAE: 52.46	RMSE: 85.70
Epoch 062	LOSS: 70.00	MAE: 48.47	RMSE: 83.99
Epoch 063	LOSS: 71.20	MAE: 48.43	RMSE: 83.98
Epoch 064	LOSS: 90.76	MAE: 51.67	RMSE: 85.26
Epoch 065	LOSS: 80.03	MAE: 49.33	RMSE: 83.98
Epoch 066	LOSS: 77.93	MAE: 48.90	RMSE: 83.78
Epoch 067	LOSS: 78.76	MAE: 49.26	RMSE: 83.91
Epoch 068	LOSS: 80.97	MAE: 49.80	RMSE: 84.18
Epoch 069	LOSS: 73.78	MAE: 48.47	RMSE: 83.58
Epoch 070	LOSS: 79.47	MAE: 48.97	RMSE: 83.61
Epoch 071	LOSS: 82.08	MAE: 48.83	RMSE: 83.36
Epoch 072	LOSS: 73.65	MAE: 47.81	RMSE: 82.52
Epoch 073	LOSS: 83.93	MAE: 49.73	RMSE: 83.01
Epoch 074	LOSS: 72.30	MAE: 47.36	RMSE: 82.07
Epoch 075	LOSS: 81.01	MAE: 48.50	RMSE: 82.24
Epoch 076	LOSS: 75.83	MAE: 47.84	RMSE: 81.55
Epoch 077	LOSS: 75.91	MAE: 47.16	RMSE: 80.71
Epoch 078	LOSS: 73.89	MAE: 46.30	RMSE: 80.09
Epoch 079	LOSS: 78.88	MAE: 46.79	RMSE: 80.11
Epoch 080	LOSS: 69.75	MAE: 45.30	RMSE: 79.48
Epoch 081	LOSS: 83.15	MAE: 48.19	RMSE: 80.79
Epoch 082	LOSS: 70.43	MAE: 45.45	RMSE: 79.46
Epoch 083	LOSS: 73.91	MAE: 46.04	RMSE: 79.55
Epoch 084	LOSS: 76.46	MAE: 46.21	RMSE: 79.69
Epoch 085	LOSS: 70.56	MAE: 45.14	RMSE: 78.93
Epoch 086	LOSS: 75.58	MAE: 46.08	RMSE: 79.11
Epoch 087	LOSS: 70.60	MAE: 44.33	RMSE: 78.14
Epoch 088	LOSS: 78.18	MAE: 46.36	RMSE: 78.80
Epoch 089	LOSS: 66.05	MAE: 43.59	RMSE: 77.66
Epoch 090	LOSS: 79.94	MAE: 46.26	RMSE: 79.07
Epoch 091	LOSS: 67.38	MAE: 43.98	RMSE: 78.20
Epoch 092	LOSS: 74.23	MAE: 44.93	RMSE: 78.45
Epoch 093	LOSS: 69.75	MAE: 43.73	RMSE: 77.84
Epoch 094	LOSS: 70.49	MAE: 44.17	RMSE: 77.79
Epoch 095	LOSS: 69.72	MAE: 43.47	RMSE: 77.58
Epoch 096	LOSS: 72.47	MAE: 43.44	RMSE: 77.47
Epoch 097	LOSS: 68.79	MAE: 43.68	RMSE: 77.56
Epoch 098	LOSS: 71.07	MAE: 44.42	RMSE: 77.84
Epoch 099	LOSS: 69.94	MAE: 43.73	RMSE: 77.54
Epoch 100	LOSS: 68.34	MAE: 43.13	RMSE: 77.44
Epoch 101	LOSS: 68.91	MAE: 43.23	RMSE: 77.29
