Epoch 000	LOSS: 447.46	MAE: 215.81	RMSE: 261.85
Epoch 001	LOSS: 385.35	MAE: 196.73	RMSE: 243.36
Epoch 002	LOSS: 338.72	MAE: 146.32	RMSE: 194.63
Epoch 003	LOSS: 362.86	MAE: 123.02	RMSE: 168.86
Epoch 004	LOSS: 270.90	MAE: 112.92	RMSE: 157.11
Epoch 005	LOSS: 186.12	MAE: 122.76	RMSE: 166.80
Epoch 006	LOSS: 161.48	MAE: 124.40	RMSE: 166.74
Epoch 007	LOSS: 141.42	MAE: 106.40	RMSE: 146.33
Epoch 008	LOSS: 148.24	MAE: 93.35	RMSE: 130.98
Epoch 009	LOSS: 116.39	MAE: 94.75	RMSE: 133.10
Epoch 010	LOSS: 101.82	MAE: 95.45	RMSE: 133.71
Epoch 011	LOSS: 106.53	MAE: 78.97	RMSE: 116.17
Epoch 012	LOSS: 98.31	MAE: 71.33	RMSE: 109.18
Epoch 013	LOSS: 84.55	MAE: 68.77	RMSE: 107.62
Epoch 014	LOSS: 93.78	MAE: 58.77	RMSE: 98.96
Epoch 015	LOSS: 83.69	MAE: 58.06	RMSE: 98.87
Epoch 016	LOSS: 80.68	MAE: 58.04	RMSE: 99.16
Epoch 017	LOSS: 87.66	MAE: 58.61	RMSE: 99.58
Epoch 018	LOSS: 77.89	MAE: 58.15	RMSE: 100.11
Epoch 019	LOSS: 82.00	MAE: 57.89	RMSE: 99.81
Epoch 020	LOSS: 80.15	MAE: 57.57	RMSE: 99.52
Epoch 021	LOSS: 82.00	MAE: 57.39	RMSE: 99.24
Epoch 022	LOSS: 77.63	MAE: 56.98	RMSE: 99.22
Epoch 023	LOSS: 91.50	MAE: 58.23	RMSE: 99.34
Epoch 024	LOSS: 78.01	MAE: 56.86	RMSE: 99.06
Epoch 025	LOSS: 81.72	MAE: 57.13	RMSE: 98.99
Epoch 026	LOSS: 78.73	MAE: 57.07	RMSE: 98.90
Epoch 027	LOSS: 83.01	MAE: 57.23	RMSE: 98.77
Epoch 028	LOSS: 79.07	MAE: 56.45	RMSE: 98.36
Epoch 029	LOSS: 81.66	MAE: 57.23	RMSE: 98.30
Epoch 030	LOSS: 78.56	MAE: 56.27	RMSE: 97.81
Epoch 031	LOSS: 82.81	MAE: 56.48	RMSE: 97.46
Epoch 032	LOSS: 79.85	MAE: 55.82	RMSE: 96.73
Epoch 033	LOSS: 78.54	MAE: 55.55	RMSE: 96.45
Epoch 034	LOSS: 89.75	MAE: 57.80	RMSE: 96.96
Epoch 035	LOSS: 76.11	MAE: 55.13	RMSE: 95.61
Epoch 036	LOSS: 81.01	MAE: 55.87	RMSE: 95.33
Epoch 037	LOSS: 72.36	MAE: 54.02	RMSE: 94.46
Epoch 038	LOSS: 83.77	MAE: 54.81	RMSE: 93.80
Epoch 039	LOSS: 78.64	MAE: 53.90	RMSE: 92.43
Epoch 040	LOSS: 75.78	MAE: 53.33	RMSE: 92.02
Epoch 041	LOSS: 89.61	MAE: 55.01	RMSE: 92.12
Epoch 042	LOSS: 71.94	MAE: 52.56	RMSE: 91.23
Epoch 043	LOSS: 72.73	MAE: 52.20	RMSE: 90.50
Epoch 044	LOSS: 84.24	MAE: 53.24	RMSE: 90.48
Epoch 045	LOSS: 77.87	MAE: 52.68	RMSE: 90.23
Epoch 046	LOSS: 78.78	MAE: 52.50	RMSE: 89.68
Epoch 047	LOSS: 76.45	MAE: 51.47	RMSE: 88.52
Epoch 048	LOSS: 76.34	MAE: 50.99	RMSE: 87.39
Epoch 049	LOSS: 77.17	MAE: 50.73	RMSE: 86.49
Epoch 050	LOSS: 74.94	MAE: 50.28	RMSE: 86.41
Epoch 051	LOSS: 90.15	MAE: 52.67	RMSE: 86.83
Epoch 052	LOSS: 71.70	MAE: 49.85	RMSE: 85.90
Epoch 053	LOSS: 80.48	MAE: 50.51	RMSE: 85.46
Epoch 054	LOSS: 74.97	MAE: 49.44	RMSE: 84.78
Epoch 055	LOSS: 87.29	MAE: 50.61	RMSE: 84.34
Epoch 056	LOSS: 74.95	MAE: 48.48	RMSE: 83.25
Epoch 057	LOSS: 77.20	MAE: 48.39	RMSE: 82.90
Epoch 058	LOSS: 77.78	MAE: 48.44	RMSE: 82.61
Epoch 059	LOSS: 75.86	MAE: 48.56	RMSE: 83.12
Epoch 060	LOSS: 80.13	MAE: 49.05	RMSE: 83.22
Epoch 061	LOSS: 73.80	MAE: 48.32	RMSE: 82.95
Epoch 062	LOSS: 80.35	MAE: 49.25	RMSE: 83.06
Epoch 063	LOSS: 76.04	MAE: 48.46	RMSE: 82.76
Epoch 064	LOSS: 75.86	MAE: 47.88	RMSE: 82.05
Epoch 065	LOSS: 79.05	MAE: 47.97	RMSE: 81.80
Epoch 066	LOSS: 76.45	MAE: 47.74	RMSE: 81.54
Epoch 067	LOSS: 71.87	MAE: 47.29	RMSE: 81.44
Epoch 068	LOSS: 75.69	MAE: 47.44	RMSE: 81.54
Epoch 069	LOSS: 79.56	MAE: 47.80	RMSE: 81.57
Epoch 070	LOSS: 71.55	MAE: 47.26	RMSE: 81.49
Epoch 071	LOSS: 75.87	MAE: 47.26	RMSE: 81.12
Epoch 072	LOSS: 70.07	MAE: 46.85	RMSE: 80.94
Epoch 073	LOSS: 80.56	MAE: 47.72	RMSE: 80.82
Epoch 074	LOSS: 66.88	MAE: 46.90	RMSE: 81.13
Epoch 075	LOSS: 72.29	MAE: 46.72	RMSE: 81.00
Epoch 076	LOSS: 88.08	MAE: 48.37	RMSE: 81.68
Epoch 077	LOSS: 68.55	MAE: 46.71	RMSE: 81.32
Epoch 078	LOSS: 72.99	MAE: 46.67	RMSE: 80.87
Epoch 079	LOSS: 78.52	MAE: 46.75	RMSE: 80.72
Epoch 080	LOSS: 72.66	MAE: 46.26	RMSE: 80.50
Epoch 081	LOSS: 64.82	MAE: 46.64	RMSE: 81.12
Epoch 082	LOSS: 82.89	MAE: 47.22	RMSE: 80.50
Epoch 083	LOSS: 78.33	MAE: 46.78	RMSE: 80.20
Epoch 084	LOSS: 62.61	MAE: 46.17	RMSE: 80.82
Epoch 085	LOSS: 74.35	MAE: 45.77	RMSE: 79.99
Epoch 086	LOSS: 72.34	MAE: 45.49	RMSE: 79.77
Epoch 087	LOSS: 67.82	MAE: 44.87	RMSE: 79.46
Epoch 088	LOSS: 70.34	MAE: 44.83	RMSE: 79.33
Epoch 089	LOSS: 65.53	MAE: 44.89	RMSE: 79.51
Epoch 090	LOSS: 75.68	MAE: 45.47	RMSE: 79.48
Epoch 091	LOSS: 64.09	MAE: 44.30	RMSE: 79.64
Epoch 092	LOSS: 67.77	MAE: 44.31	RMSE: 79.33
Epoch 093	LOSS: 67.54	MAE: 44.36	RMSE: 79.52
Epoch 094	LOSS: 66.72	MAE: 43.90	RMSE: 79.17
Epoch 095	LOSS: 66.44	MAE: 43.35	RMSE: 78.75
Epoch 096	LOSS: 61.66	MAE: 43.53	RMSE: 79.06
Epoch 097	LOSS: 68.10	MAE: 43.07	RMSE: 78.14
Epoch 098	LOSS: 60.48	MAE: 42.34	RMSE: 78.13
Epoch 099	LOSS: 66.43	MAE: 42.97	RMSE: 77.98
Epoch 100	LOSS: 62.19	MAE: 42.26	RMSE: 78.00
Epoch 101	LOSS: 63.02	MAE: 42.19	RMSE: 78.06
Epoch 102	LOSS: 64.56	MAE: 42.07	RMSE: 77.86
Epoch 103	LOSS: 58.24	MAE: 41.35	RMSE: 77.61
Epoch 104	LOSS: 60.97	MAE: 41.43	RMSE: 77.29
Epoch 105	LOSS: 62.59	MAE: 41.44	RMSE: 77.34
Epoch 106	LOSS: 61.14	MAE: 41.28	RMSE: 77.17
Epoch 107	LOSS: 60.68	MAE: 41.24	RMSE: 76.83
