Epoch 000	LOSS: 446.06	MAE: 216.23	RMSE: 262.73
Epoch 001	LOSS: 384.08	MAE: 199.11	RMSE: 246.47
Epoch 002	LOSS: 336.55	MAE: 157.88	RMSE: 204.47
Epoch 003	LOSS: 359.53	MAE: 130.94	RMSE: 176.68
Epoch 004	LOSS: 279.30	MAE: 116.33	RMSE: 158.40
Epoch 005	LOSS: 179.82	MAE: 120.23	RMSE: 162.32
Epoch 006	LOSS: 153.74	MAE: 121.96	RMSE: 163.42
Epoch 007	LOSS: 136.38	MAE: 105.61	RMSE: 144.80
Epoch 008	LOSS: 137.83	MAE: 92.64	RMSE: 129.59
Epoch 009	LOSS: 122.48	MAE: 91.08	RMSE: 128.05
Epoch 010	LOSS: 102.29	MAE: 89.22	RMSE: 126.51
Epoch 011	LOSS: 100.68	MAE: 78.37	RMSE: 115.83
Epoch 012	LOSS: 96.76	MAE: 70.12	RMSE: 108.49
Epoch 013	LOSS: 90.02	MAE: 62.82	RMSE: 102.71
Epoch 014	LOSS: 83.51	MAE: 59.05	RMSE: 99.89
Epoch 015	LOSS: 88.93	MAE: 59.94	RMSE: 100.10
Epoch 016	LOSS: 84.10	MAE: 59.25	RMSE: 100.30
Epoch 017	LOSS: 87.45	MAE: 59.31	RMSE: 100.66
Epoch 018	LOSS: 81.85	MAE: 58.21	RMSE: 100.61
Epoch 019	LOSS: 84.63	MAE: 58.35	RMSE: 100.93
Epoch 020	LOSS: 81.59	MAE: 58.11	RMSE: 101.08
Epoch 021	LOSS: 87.37	MAE: 58.62	RMSE: 101.22
Epoch 022	LOSS: 77.56	MAE: 57.76	RMSE: 101.10
Epoch 023	LOSS: 89.63	MAE: 59.93	RMSE: 101.91
Epoch 024	LOSS: 80.04	MAE: 58.10	RMSE: 101.23
Epoch 025	LOSS: 85.41	MAE: 58.60	RMSE: 101.40
Epoch 026	LOSS: 82.63	MAE: 58.07	RMSE: 101.15
Epoch 027	LOSS: 83.68	MAE: 58.24	RMSE: 101.11
Epoch 028	LOSS: 84.40	MAE: 58.33	RMSE: 100.98
Epoch 029	LOSS: 79.69	MAE: 57.50	RMSE: 100.55
Epoch 030	LOSS: 90.53	MAE: 59.63	RMSE: 101.30
Epoch 031	LOSS: 76.96	MAE: 56.88	RMSE: 100.09
Epoch 032	LOSS: 86.41	MAE: 58.48	RMSE: 100.49
Epoch 033	LOSS: 80.44	MAE: 57.51	RMSE: 99.75
Epoch 034	LOSS: 78.23	MAE: 57.14	RMSE: 99.27
Epoch 035	LOSS: 82.25	MAE: 57.40	RMSE: 99.00
Epoch 036	LOSS: 78.85	MAE: 56.49	RMSE: 98.21
Epoch 037	LOSS: 83.70	MAE: 57.29	RMSE: 97.98
Epoch 038	LOSS: 74.72	MAE: 55.09	RMSE: 96.68
Epoch 039	LOSS: 84.43	MAE: 56.63	RMSE: 96.86
Epoch 040	LOSS: 79.17	MAE: 55.58	RMSE: 96.23
Epoch 041	LOSS: 86.30	MAE: 55.93	RMSE: 95.90
Epoch 042	LOSS: 77.88	MAE: 55.54	RMSE: 95.78
Epoch 043	LOSS: 85.55	MAE: 56.82	RMSE: 96.28
Epoch 044	LOSS: 78.02	MAE: 54.85	RMSE: 95.21
Epoch 045	LOSS: 84.90	MAE: 56.62	RMSE: 95.59
Epoch 046	LOSS: 75.16	MAE: 54.35	RMSE: 94.15
Epoch 047	LOSS: 86.14	MAE: 56.40	RMSE: 94.40
Epoch 048	LOSS: 76.62	MAE: 53.92	RMSE: 92.87
Epoch 049	LOSS: 85.51	MAE: 55.96	RMSE: 93.27
Epoch 050	LOSS: 74.87	MAE: 52.78	RMSE: 91.64
Epoch 051	LOSS: 84.30	MAE: 54.47	RMSE: 91.80
Epoch 052	LOSS: 76.50	MAE: 52.60	RMSE: 90.47
Epoch 053	LOSS: 83.91	MAE: 54.26	RMSE: 90.50
Epoch 054	LOSS: 75.50	MAE: 51.80	RMSE: 89.08
Epoch 055	LOSS: 80.94	MAE: 52.48	RMSE: 88.87
Epoch 056	LOSS: 73.44	MAE: 50.79	RMSE: 87.63
Epoch 057	LOSS: 80.89	MAE: 52.36	RMSE: 87.76
Epoch 058	LOSS: 74.03	MAE: 50.26	RMSE: 86.88
Epoch 059	LOSS: 79.86	MAE: 50.82	RMSE: 86.95
Epoch 060	LOSS: 75.82	MAE: 50.19	RMSE: 86.26
Epoch 061	LOSS: 83.58	MAE: 51.86	RMSE: 86.59
Epoch 062	LOSS: 75.81	MAE: 49.78	RMSE: 85.46
Epoch 063	LOSS: 85.63	MAE: 51.73	RMSE: 86.12
Epoch 064	LOSS: 75.83	MAE: 49.65	RMSE: 84.95
Epoch 065	LOSS: 78.79	MAE: 49.58	RMSE: 84.75
Epoch 066	LOSS: 78.32	MAE: 49.28	RMSE: 84.56
Epoch 067	LOSS: 80.22	MAE: 49.79	RMSE: 84.82
Epoch 068	LOSS: 72.36	MAE: 48.60	RMSE: 84.27
Epoch 069	LOSS: 80.15	MAE: 50.24	RMSE: 84.88
Epoch 070	LOSS: 73.85	MAE: 48.63	RMSE: 84.14
Epoch 071	LOSS: 79.39	MAE: 49.84	RMSE: 84.70
Epoch 072	LOSS: 78.27	MAE: 49.44	RMSE: 84.58
Epoch 073	LOSS: 75.31	MAE: 48.69	RMSE: 84.13
Epoch 074	LOSS: 76.56	MAE: 49.10	RMSE: 84.12
Epoch 075	LOSS: 73.79	MAE: 48.60	RMSE: 83.80
Epoch 076	LOSS: 83.05	MAE: 51.13	RMSE: 85.07
Epoch 077	LOSS: 71.14	MAE: 47.68	RMSE: 83.45
Epoch 078	LOSS: 79.48	MAE: 49.25	RMSE: 84.02
Epoch 079	LOSS: 72.38	MAE: 47.64	RMSE: 83.50
Epoch 080	LOSS: 74.00	MAE: 48.54	RMSE: 83.72
Epoch 081	LOSS: 78.79	MAE: 48.86	RMSE: 83.73
Epoch 082	LOSS: 69.96	MAE: 46.69	RMSE: 82.76
Epoch 083	LOSS: 73.14	MAE: 47.82	RMSE: 82.94
Epoch 084	LOSS: 70.34	MAE: 47.34	RMSE: 82.68
Epoch 085	LOSS: 74.13	MAE: 47.54	RMSE: 82.86
Epoch 086	LOSS: 67.40	MAE: 46.22	RMSE: 82.76
Epoch 087	LOSS: 74.14	MAE: 47.69	RMSE: 83.17
Epoch 088	LOSS: 66.88	MAE: 46.56	RMSE: 82.53
Epoch 089	LOSS: 69.60	MAE: 46.91	RMSE: 82.55
Epoch 090	LOSS: 71.38	MAE: 46.22	RMSE: 82.23
Epoch 091	LOSS: 62.83	MAE: 44.82	RMSE: 81.67
Epoch 092	LOSS: 73.16	MAE: 47.95	RMSE: 82.69
Epoch 093	LOSS: 61.18	MAE: 44.43	RMSE: 81.40
Epoch 094	LOSS: 70.55	MAE: 45.78	RMSE: 81.97
Epoch 095	LOSS: 65.64	MAE: 44.97	RMSE: 81.70
Epoch 096	LOSS: 69.36	MAE: 45.89	RMSE: 82.05
Epoch 097	LOSS: 64.87	MAE: 45.63	RMSE: 81.82
