Epoch 000	LOSS: 455.18	MAE: 217.13	RMSE: 263.24
Epoch 001	LOSS: 410.37	MAE: 203.67	RMSE: 250.16
Epoch 002	LOSS: 315.84	MAE: 161.07	RMSE: 207.81
Epoch 003	LOSS: 348.60	MAE: 123.19	RMSE: 165.79
Epoch 004	LOSS: 329.76	MAE: 110.45	RMSE: 151.72
Epoch 005	LOSS: 213.32	MAE: 104.64	RMSE: 144.76
Epoch 006	LOSS: 149.45	MAE: 116.61	RMSE: 158.00
Epoch 007	LOSS: 134.25	MAE: 111.11	RMSE: 151.29
Epoch 008	LOSS: 125.52	MAE: 94.68	RMSE: 132.74
Epoch 009	LOSS: 126.08	MAE: 87.39	RMSE: 124.32
Epoch 010	LOSS: 113.81	MAE: 85.40	RMSE: 122.28
Epoch 011	LOSS: 103.00	MAE: 79.30	RMSE: 116.33
Epoch 012	LOSS: 92.19	MAE: 73.06	RMSE: 110.84
Epoch 013	LOSS: 99.01	MAE: 62.50	RMSE: 102.01
Epoch 014	LOSS: 91.49	MAE: 59.93	RMSE: 100.18
Epoch 015	LOSS: 80.71	MAE: 59.95	RMSE: 100.81
Epoch 016	LOSS: 95.12	MAE: 60.54	RMSE: 100.50
Epoch 017	LOSS: 81.97	MAE: 58.73	RMSE: 100.56
Epoch 018	LOSS: 86.06	MAE: 58.80	RMSE: 100.94
Epoch 019	LOSS: 82.03	MAE: 58.82	RMSE: 101.45
Epoch 020	LOSS: 82.78	MAE: 58.71	RMSE: 101.51
Epoch 021	LOSS: 82.85	MAE: 58.29	RMSE: 101.35
Epoch 022	LOSS: 85.46	MAE: 58.51	RMSE: 101.41
Epoch 023	LOSS: 84.44	MAE: 58.81	RMSE: 101.48
Epoch 024	LOSS: 80.26	MAE: 58.26	RMSE: 101.22
Epoch 025	LOSS: 86.47	MAE: 58.82	RMSE: 101.41
Epoch 026	LOSS: 84.54	MAE: 58.51	RMSE: 101.29
Epoch 027	LOSS: 83.16	MAE: 58.11	RMSE: 101.02
Epoch 028	LOSS: 88.35	MAE: 59.12	RMSE: 101.34
Epoch 029	LOSS: 74.92	MAE: 56.94	RMSE: 100.45
Epoch 030	LOSS: 85.41	MAE: 58.62	RMSE: 100.84
Epoch 031	LOSS: 79.96	MAE: 57.68	RMSE: 100.32
Epoch 032	LOSS: 84.41	MAE: 58.47	RMSE: 100.48
Epoch 033	LOSS: 84.83	MAE: 58.22	RMSE: 100.15
Epoch 034	LOSS: 81.93	MAE: 57.58	RMSE: 99.51
Epoch 035	LOSS: 83.07	MAE: 58.11	RMSE: 99.22
Epoch 036	LOSS: 83.93	MAE: 58.08	RMSE: 98.80
Epoch 037	LOSS: 84.10	MAE: 56.81	RMSE: 97.81
Epoch 038	LOSS: 82.49	MAE: 56.67	RMSE: 97.34
Epoch 039	LOSS: 83.16	MAE: 57.08	RMSE: 96.85
Epoch 040	LOSS: 83.03	MAE: 56.35	RMSE: 95.90
Epoch 041	LOSS: 79.08	MAE: 54.62	RMSE: 94.70
Epoch 042	LOSS: 87.08	MAE: 55.93	RMSE: 94.66
Epoch 043	LOSS: 77.65	MAE: 53.82	RMSE: 93.22
Epoch 044	LOSS: 81.07	MAE: 55.18	RMSE: 93.02
Epoch 045	LOSS: 79.90	MAE: 54.08	RMSE: 91.89
Epoch 046	LOSS: 86.50	MAE: 54.64	RMSE: 91.71
Epoch 047	LOSS: 78.67	MAE: 52.75	RMSE: 90.77
Epoch 048	LOSS: 87.65	MAE: 55.12	RMSE: 91.31
Epoch 049	LOSS: 77.79	MAE: 52.84	RMSE: 89.68
Epoch 050	LOSS: 82.25	MAE: 53.03	RMSE: 89.09
Epoch 051	LOSS: 82.85	MAE: 52.88	RMSE: 88.43
Epoch 052	LOSS: 78.86	MAE: 51.24	RMSE: 87.12
Epoch 053	LOSS: 84.21	MAE: 52.59	RMSE: 87.11
Epoch 054	LOSS: 75.88	MAE: 49.89	RMSE: 85.50
Epoch 055	LOSS: 91.77	MAE: 53.80	RMSE: 87.20
Epoch 056	LOSS: 82.52	MAE: 50.85	RMSE: 85.29
Epoch 057	LOSS: 68.81	MAE: 48.41	RMSE: 84.17
Epoch 058	LOSS: 89.39	MAE: 52.64	RMSE: 85.82
Epoch 059	LOSS: 88.96	MAE: 52.37	RMSE: 85.55
Epoch 060	LOSS: 75.34	MAE: 48.83	RMSE: 83.51
Epoch 061	LOSS: 83.91	MAE: 50.66	RMSE: 84.64
Epoch 062	LOSS: 77.38	MAE: 49.22	RMSE: 84.04
Epoch 063	LOSS: 82.13	MAE: 50.85	RMSE: 84.86
Epoch 064	LOSS: 78.68	MAE: 49.84	RMSE: 84.18
Epoch 065	LOSS: 77.64	MAE: 49.31	RMSE: 83.86
Epoch 066	LOSS: 82.46	MAE: 50.15	RMSE: 84.26
Epoch 067	LOSS: 73.14	MAE: 48.35	RMSE: 83.37
Epoch 068	LOSS: 84.21	MAE: 51.27	RMSE: 84.81
Epoch 069	LOSS: 74.55	MAE: 48.37	RMSE: 83.30
Epoch 070	LOSS: 84.86	MAE: 50.63	RMSE: 84.34
Epoch 071	LOSS: 74.46	MAE: 48.12	RMSE: 82.96
Epoch 072	LOSS: 79.35	MAE: 49.50	RMSE: 83.71
Epoch 073	LOSS: 72.90	MAE: 47.55	RMSE: 83.15
Epoch 074	LOSS: 80.62	MAE: 49.06	RMSE: 83.93
Epoch 075	LOSS: 77.42	MAE: 49.52	RMSE: 83.95
Epoch 076	LOSS: 73.24	MAE: 48.87	RMSE: 83.68
Epoch 077	LOSS: 78.66	MAE: 49.11	RMSE: 83.58
Epoch 078	LOSS: 74.64	MAE: 47.66	RMSE: 82.74
Epoch 079	LOSS: 76.27	MAE: 47.95	RMSE: 82.77
Epoch 080	LOSS: 72.68	MAE: 47.53	RMSE: 82.23
Epoch 081	LOSS: 74.77	MAE: 47.63	RMSE: 82.05
Epoch 082	LOSS: 70.23	MAE: 46.06	RMSE: 81.20
Epoch 083	LOSS: 72.85	MAE: 46.70	RMSE: 81.41
Epoch 084	LOSS: 76.79	MAE: 48.11	RMSE: 82.10
Epoch 085	LOSS: 64.71	MAE: 45.07	RMSE: 80.93
Epoch 086	LOSS: 76.88	MAE: 47.81	RMSE: 82.17
Epoch 087	LOSS: 68.53	MAE: 45.35	RMSE: 81.19
Epoch 088	LOSS: 74.49	MAE: 47.02	RMSE: 81.83
Epoch 089	LOSS: 69.86	MAE: 45.69	RMSE: 81.14
Epoch 090	LOSS: 68.02	MAE: 44.74	RMSE: 80.54
Epoch 091	LOSS: 73.40	MAE: 46.78	RMSE: 81.28
Epoch 092	LOSS: 66.26	MAE: 44.96	RMSE: 80.24
Epoch 093	LOSS: 70.18	MAE: 45.32	RMSE: 80.40
Epoch 094	LOSS: 70.16	MAE: 45.00	RMSE: 80.22
Epoch 095	LOSS: 66.33	MAE: 43.80	RMSE: 79.74
Epoch 096	LOSS: 75.92	MAE: 46.74	RMSE: 81.05
Epoch 097	LOSS: 62.34	MAE: 43.01	RMSE: 79.32
Epoch 098	LOSS: 76.02	MAE: 46.35	RMSE: 80.96
Epoch 099	LOSS: 65.30	MAE: 43.72	RMSE: 79.60
Epoch 100	LOSS: 66.67	MAE: 44.12	RMSE: 79.63
Epoch 101	LOSS: 69.33	MAE: 44.47	RMSE: 80.15
Epoch 102	LOSS: 65.75	MAE: 43.23	RMSE: 79.40
Epoch 103	LOSS: 71.28	MAE: 45.39	RMSE: 80.39
Epoch 104	LOSS: 63.58	MAE: 43.27	RMSE: 79.55
Epoch 105	LOSS: 70.22	MAE: 45.09	RMSE: 80.23
Epoch 106	LOSS: 63.61	MAE: 42.98	RMSE: 79.26
Epoch 107	LOSS: 69.94	MAE: 45.22	RMSE: 80.08
Epoch 108	LOSS: 64.13	MAE: 43.22	RMSE: 79.12
Epoch 109	LOSS: 67.64	MAE: 43.49	RMSE: 79.51
Epoch 110	LOSS: 66.11	MAE: 43.28	RMSE: 79.34
Epoch 111	LOSS: 68.15	MAE: 44.96	RMSE: 80.08
Epoch 112	LOSS: 64.79	MAE: 43.77	RMSE: 79.44
Epoch 113	LOSS: 65.85	MAE: 43.45	RMSE: 79.33
Epoch 114	LOSS: 64.46	MAE: 43.14	RMSE: 79.17
Epoch 115	LOSS: 69.28	MAE: 44.89	RMSE: 80.03
Epoch 116	LOSS: 65.24	MAE: 43.57	RMSE: 79.40
Epoch 117	LOSS: 67.50	MAE: 44.00	RMSE: 79.68
Epoch 118	LOSS: 61.26	MAE: 42.26	RMSE: 78.83
Epoch 119	LOSS: 68.63	MAE: 44.65	RMSE: 79.67
Epoch 120	LOSS: 60.69	MAE: 42.06	RMSE: 78.48
Epoch 121	LOSS: 73.23	MAE: 45.47	RMSE: 80.04
Epoch 122	LOSS: 63.03	MAE: 42.39	RMSE: 78.51
Epoch 123	LOSS: 65.90	MAE: 43.82	RMSE: 79.17
Epoch 124	LOSS: 64.19	MAE: 43.06	RMSE: 79.03
Epoch 125	LOSS: 67.49	MAE: 44.37	RMSE: 79.90
Epoch 126	LOSS: 66.24	MAE: 43.68	RMSE: 79.24
Epoch 127	LOSS: 62.72	MAE: 42.49	RMSE: 78.57
Epoch 128	LOSS: 66.82	MAE: 43.76	RMSE: 78.93
Epoch 129	LOSS: 64.82	MAE: 43.29	RMSE: 78.50
Epoch 130	LOSS: 61.94	MAE: 42.05	RMSE: 77.82
Epoch 131	LOSS: 68.60	MAE: 43.83	RMSE: 78.30
Epoch 132	LOSS: 61.68	MAE: 42.42	RMSE: 77.53
Epoch 133	LOSS: 71.58	MAE: 44.02	RMSE: 78.33
Epoch 134	LOSS: 60.71	MAE: 40.95	RMSE: 77.21
Epoch 135	LOSS: 70.13	MAE: 44.46	RMSE: 78.91
Epoch 136	LOSS: 64.53	MAE: 43.89	RMSE: 78.76
Epoch 137	LOSS: 65.44	MAE: 43.30	RMSE: 78.72
Epoch 138	LOSS: 63.87	MAE: 42.37	RMSE: 78.43
Epoch 139	LOSS: 65.10	MAE: 43.47	RMSE: 78.86
Epoch 140	LOSS: 64.43	MAE: 43.65	RMSE: 79.06
Epoch 141	LOSS: 66.65	MAE: 43.86	RMSE: 78.98
Epoch 142	LOSS: 61.20	MAE: 42.04	RMSE: 78.05
Epoch 143	LOSS: 66.22	MAE: 43.46	RMSE: 78.63
Epoch 144	LOSS: 60.78	MAE: 41.93	RMSE: 77.85
Epoch 145	LOSS: 67.24	MAE: 43.68	RMSE: 78.60
Epoch 146	LOSS: 60.26	MAE: 41.77	RMSE: 77.94
Epoch 147	LOSS: 69.36	MAE: 44.26	RMSE: 79.08
Epoch 148	LOSS: 59.60	MAE: 41.64	RMSE: 78.00
Epoch 149	LOSS: 72.09	MAE: 46.06	RMSE: 80.19
Epoch 150	LOSS: 58.07	MAE: 41.39	RMSE: 78.16
Epoch 151	LOSS: 69.03	MAE: 44.17	RMSE: 79.36
Epoch 152	LOSS: 56.66	MAE: 41.55	RMSE: 78.22
Epoch 153	LOSS: 70.63	MAE: 46.14	RMSE: 80.34
Epoch 154	LOSS: 58.71	MAE: 41.47	RMSE: 78.13
Epoch 155	LOSS: 71.10	MAE: 44.10	RMSE: 79.22
Epoch 156	LOSS: 57.90	MAE: 41.30	RMSE: 77.91
Epoch 157	LOSS: 71.10	MAE: 45.62	RMSE: 79.91
Epoch 158	LOSS: 58.48	MAE: 41.70	RMSE: 78.20
Epoch 159	LOSS: 68.55	MAE: 44.51	RMSE: 79.66
Epoch 160	LOSS: 57.00	MAE: 41.23	RMSE: 78.45
Epoch 161	LOSS: 68.86	MAE: 44.97	RMSE: 80.00
Epoch 162	LOSS: 57.55	MAE: 41.57	RMSE: 78.65
Epoch 163	LOSS: 69.74	MAE: 45.02	RMSE: 80.18
Epoch 164	LOSS: 58.31	MAE: 41.88	RMSE: 78.78
Epoch 165	LOSS: 70.52	MAE: 45.07	RMSE: 80.32
Epoch 166	LOSS: 59.75	MAE: 41.92	RMSE: 78.88
Epoch 167	LOSS: 68.91	MAE: 44.33	RMSE: 79.89
Epoch 168	LOSS: 58.82	MAE: 41.44	RMSE: 78.46
Epoch 169	LOSS: 66.18	MAE: 43.37	RMSE: 79.20
Epoch 170	LOSS: 59.50	MAE: 41.71	RMSE: 78.50
Epoch 171	LOSS: 65.31	MAE: 43.61	RMSE: 79.39
Epoch 172	LOSS: 59.91	MAE: 41.68	RMSE: 78.73
Epoch 173	LOSS: 70.49	MAE: 45.78	RMSE: 80.61
