Epoch 000	LOSS: 62.22	MAE: 59.15	RMSE: 74.92
Epoch 001	LOSS: 29.66	MAE: 56.64	RMSE: 73.78
Epoch 002	LOSS: 28.83	MAE: 56.71	RMSE: 73.93
Epoch 003	LOSS: 25.54	MAE: 56.55	RMSE: 73.97
Epoch 004	LOSS: 27.22	MAE: 56.74	RMSE: 74.06
Epoch 005	LOSS: 25.52	MAE: 56.64	RMSE: 74.05
Epoch 006	LOSS: 25.84	MAE: 56.68	RMSE: 74.08
Epoch 007	LOSS: 27.43	MAE: 56.92	RMSE: 74.16
Epoch 008	LOSS: 27.10	MAE: 56.91	RMSE: 74.15
Epoch 009	LOSS: 25.13	MAE: 56.60	RMSE: 74.05
Epoch 010	LOSS: 24.83	MAE: 56.56	RMSE: 74.04
Epoch 011	LOSS: 26.53	MAE: 56.74	RMSE: 74.08
Epoch 012	LOSS: 25.16	MAE: 56.57	RMSE: 74.03
Epoch 013	LOSS: 23.90	MAE: 56.38	RMSE: 73.98
Epoch 014	LOSS: 22.13	MAE: 56.04	RMSE: 73.87
Epoch 015	LOSS: 23.09	MAE: 56.22	RMSE: 73.93
Epoch 016	LOSS: 20.88	MAE: 55.89	RMSE: 73.86
Epoch 017	LOSS: 21.33	MAE: 55.99	RMSE: 73.89
Epoch 018	LOSS: 21.24	MAE: 55.94	RMSE: 73.89
Epoch 019	LOSS: 21.17	MAE: 55.89	RMSE: 73.89
Epoch 020	LOSS: 21.71	MAE: 56.00	RMSE: 73.92
Epoch 021	LOSS: 19.40	MAE: 55.78	RMSE: 73.86
Epoch 022	LOSS: 19.19	MAE: 55.70	RMSE: 73.85
Epoch 023	LOSS: 21.68	MAE: 56.02	RMSE: 73.93
Epoch 024	LOSS: 19.53	MAE: 55.77	RMSE: 73.88
Epoch 025	LOSS: 20.83	MAE: 55.93	RMSE: 73.92
Epoch 026	LOSS: 20.91	MAE: 55.95	RMSE: 73.93
Epoch 027	LOSS: 22.57	MAE: 56.17	RMSE: 73.98
Epoch 028	LOSS: 20.95	MAE: 55.95	RMSE: 73.93
Epoch 029	LOSS: 19.69	MAE: 55.80	RMSE: 73.90
Epoch 030	LOSS: 22.28	MAE: 56.23	RMSE: 73.99
Epoch 031	LOSS: 21.52	MAE: 56.07	RMSE: 73.95
Epoch 032	LOSS: 18.65	MAE: 55.70	RMSE: 73.87
Epoch 033	LOSS: 19.04	MAE: 55.77	RMSE: 73.89
Epoch 034	LOSS: 24.14	MAE: 56.45	RMSE: 74.04
Epoch 035	LOSS: 19.69	MAE: 55.79	RMSE: 73.89
Epoch 036	LOSS: 19.39	MAE: 55.87	RMSE: 73.90
Epoch 037	LOSS: 21.59	MAE: 56.05	RMSE: 73.95
Epoch 038	LOSS: 20.59	MAE: 56.00	RMSE: 73.94
Epoch 039	LOSS: 17.99	MAE: 55.65	RMSE: 73.86
Epoch 040	LOSS: 18.97	MAE: 55.74	RMSE: 73.87
Epoch 041	LOSS: 20.70	MAE: 55.97	RMSE: 73.92
Epoch 042	LOSS: 21.23	MAE: 56.03	RMSE: 73.94
Epoch 043	LOSS: 17.73	MAE: 55.58	RMSE: 73.84
Epoch 044	LOSS: 18.35	MAE: 55.64	RMSE: 73.86
Epoch 045	LOSS: 20.34	MAE: 55.89	RMSE: 73.91
Epoch 046	LOSS: 21.63	MAE: 56.05	RMSE: 73.94
Epoch 047	LOSS: 18.48	MAE: 55.65	RMSE: 73.85
