Epoch 000	LOSS: 62.13	MAE: 60.64	RMSE: 76.37
Epoch 001	LOSS: 31.99	MAE: 56.98	RMSE: 73.91
Epoch 002	LOSS: 26.70	MAE: 56.54	RMSE: 73.85
Epoch 003	LOSS: 24.97	MAE: 56.50	RMSE: 73.94
Epoch 004	LOSS: 26.30	MAE: 56.66	RMSE: 74.01
Epoch 005	LOSS: 24.95	MAE: 56.57	RMSE: 74.01
Epoch 006	LOSS: 26.84	MAE: 56.79	RMSE: 74.09
Epoch 007	LOSS: 24.67	MAE: 56.51	RMSE: 74.01
Epoch 008	LOSS: 27.57	MAE: 56.85	RMSE: 74.12
Epoch 009	LOSS: 24.77	MAE: 56.57	RMSE: 74.04
Epoch 010	LOSS: 24.13	MAE: 56.46	RMSE: 74.01
Epoch 011	LOSS: 24.01	MAE: 56.46	RMSE: 74.02
Epoch 012	LOSS: 24.05	MAE: 56.46	RMSE: 74.03
Epoch 013	LOSS: 23.88	MAE: 56.44	RMSE: 74.03
Epoch 014	LOSS: 21.48	MAE: 56.08	RMSE: 73.94
Epoch 015	LOSS: 23.01	MAE: 56.22	RMSE: 73.97
Epoch 016	LOSS: 21.72	MAE: 56.06	RMSE: 73.95
Epoch 017	LOSS: 21.29	MAE: 56.03	RMSE: 73.94
Epoch 018	LOSS: 20.40	MAE: 55.86	RMSE: 73.91
Epoch 019	LOSS: 21.19	MAE: 55.98	RMSE: 73.93
Epoch 020	LOSS: 19.78	MAE: 55.78	RMSE: 73.89
Epoch 021	LOSS: 20.04	MAE: 55.83	RMSE: 73.90
Epoch 022	LOSS: 21.27	MAE: 55.97	RMSE: 73.94
Epoch 023	LOSS: 21.67	MAE: 56.03	RMSE: 73.95
Epoch 024	LOSS: 19.59	MAE: 55.80	RMSE: 73.90
Epoch 025	LOSS: 20.64	MAE: 55.91	RMSE: 73.92
Epoch 026	LOSS: 19.56	MAE: 55.76	RMSE: 73.89
Epoch 027	LOSS: 22.72	MAE: 56.10	RMSE: 73.96
Epoch 028	LOSS: 21.08	MAE: 55.93	RMSE: 73.92
Epoch 029	LOSS: 18.54	MAE: 55.64	RMSE: 73.86
Epoch 030	LOSS: 19.13	MAE: 55.75	RMSE: 73.88
Epoch 031	LOSS: 22.11	MAE: 56.11	RMSE: 73.96
Epoch 032	LOSS: 20.00	MAE: 55.82	RMSE: 73.90
Epoch 033	LOSS: 19.29	MAE: 55.74	RMSE: 73.88
Epoch 034	LOSS: 19.23	MAE: 55.77	RMSE: 73.88
Epoch 035	LOSS: 20.79	MAE: 55.94	RMSE: 73.92
Epoch 036	LOSS: 18.56	MAE: 55.67	RMSE: 73.86
Epoch 037	LOSS: 18.20	MAE: 55.63	RMSE: 73.85
Epoch 038	LOSS: 19.17	MAE: 55.72	RMSE: 73.87
Epoch 039	LOSS: 18.68	MAE: 55.70	RMSE: 73.86
Epoch 040	LOSS: 19.74	MAE: 55.75	RMSE: 73.87
Epoch 041	LOSS: 20.92	MAE: 55.98	RMSE: 73.92
Epoch 042	LOSS: 17.69	MAE: 55.58	RMSE: 73.84
