Epoch 000	LOSS: 66.93	MAE: 60.24	RMSE: 75.66
Epoch 001	LOSS: 33.71	MAE: 56.90	RMSE: 73.84
Epoch 002	LOSS: 26.07	MAE: 56.49	RMSE: 73.84
Epoch 003	LOSS: 28.27	MAE: 56.79	RMSE: 74.03
Epoch 004	LOSS: 27.56	MAE: 56.84	RMSE: 74.09
Epoch 005	LOSS: 27.48	MAE: 56.91	RMSE: 74.15
Epoch 006	LOSS: 28.39	MAE: 57.02	RMSE: 74.19
Epoch 007	LOSS: 25.76	MAE: 56.71	RMSE: 74.11
Epoch 008	LOSS: 26.67	MAE: 56.85	RMSE: 74.15
Epoch 009	LOSS: 26.63	MAE: 56.86	RMSE: 74.16
Epoch 010	LOSS: 24.49	MAE: 56.56	RMSE: 74.08
Epoch 011	LOSS: 23.70	MAE: 56.48	RMSE: 74.07
Epoch 012	LOSS: 24.79	MAE: 56.59	RMSE: 74.10
Epoch 013	LOSS: 24.42	MAE: 56.52	RMSE: 74.08
Epoch 014	LOSS: 23.61	MAE: 56.42	RMSE: 74.06
Epoch 015	LOSS: 23.14	MAE: 56.23	RMSE: 74.02
Epoch 016	LOSS: 21.44	MAE: 56.00	RMSE: 73.96
Epoch 017	LOSS: 22.32	MAE: 56.18	RMSE: 74.01
Epoch 018	LOSS: 20.43	MAE: 55.88	RMSE: 73.94
Epoch 019	LOSS: 20.98	MAE: 55.96	RMSE: 73.96
Epoch 020	LOSS: 21.73	MAE: 56.06	RMSE: 73.98
Epoch 021	LOSS: 20.79	MAE: 55.92	RMSE: 73.94
Epoch 022	LOSS: 20.36	MAE: 55.85	RMSE: 73.93
Epoch 023	LOSS: 20.71	MAE: 55.86	RMSE: 73.93
Epoch 024	LOSS: 22.71	MAE: 56.27	RMSE: 74.01
Epoch 025	LOSS: 21.41	MAE: 55.96	RMSE: 73.95
Epoch 026	LOSS: 23.13	MAE: 56.31	RMSE: 74.03
Epoch 027	LOSS: 21.89	MAE: 56.10	RMSE: 73.97
Epoch 028	LOSS: 20.14	MAE: 55.89	RMSE: 73.92
Epoch 029	LOSS: 21.16	MAE: 55.94	RMSE: 73.94
Epoch 030	LOSS: 20.36	MAE: 55.85	RMSE: 73.92
Epoch 031	LOSS: 19.39	MAE: 55.76	RMSE: 73.90
Epoch 032	LOSS: 21.90	MAE: 56.11	RMSE: 73.97
Epoch 033	LOSS: 19.66	MAE: 55.83	RMSE: 73.91
Epoch 034	LOSS: 19.95	MAE: 55.89	RMSE: 73.92
Epoch 035	LOSS: 19.17	MAE: 55.74	RMSE: 73.90
Epoch 036	LOSS: 19.18	MAE: 55.76	RMSE: 73.90
Epoch 037	LOSS: 21.62	MAE: 56.05	RMSE: 73.96
Epoch 038	LOSS: 20.05	MAE: 55.82	RMSE: 73.91
Epoch 039	LOSS: 20.06	MAE: 55.82	RMSE: 73.92
Epoch 040	LOSS: 20.22	MAE: 55.91	RMSE: 73.93
Epoch 041	LOSS: 21.42	MAE: 56.05	RMSE: 73.96
Epoch 042	LOSS: 19.20	MAE: 55.75	RMSE: 73.90
Epoch 043	LOSS: 20.99	MAE: 55.99	RMSE: 73.95
Epoch 044	LOSS: 19.04	MAE: 55.76	RMSE: 73.89
Epoch 045	LOSS: 19.20	MAE: 55.77	RMSE: 73.90
Epoch 046	LOSS: 21.52	MAE: 56.01	RMSE: 73.95
Epoch 047	LOSS: 21.09	MAE: 55.98	RMSE: 73.95
Epoch 048	LOSS: 18.42	MAE: 55.64	RMSE: 73.87
Epoch 049	LOSS: 19.09	MAE: 55.75	RMSE: 73.89
Epoch 050	LOSS: 21.48	MAE: 56.04	RMSE: 73.96
Epoch 051	LOSS: 21.18	MAE: 56.03	RMSE: 73.95
Epoch 052	LOSS: 19.01	MAE: 55.73	RMSE: 73.89
Epoch 053	LOSS: 19.04	MAE: 55.69	RMSE: 73.88
Epoch 054	LOSS: 19.94	MAE: 55.78	RMSE: 73.90
Epoch 055	LOSS: 21.72	MAE: 55.98	RMSE: 73.94
