Epoch 000	LOSS: 59.88	MAE: 60.20	RMSE: 75.68
Epoch 001	LOSS: 31.64	MAE: 57.14	RMSE: 73.99
Epoch 002	LOSS: 25.12	MAE: 56.49	RMSE: 73.90
Epoch 003	LOSS: 24.17	MAE: 56.51	RMSE: 73.98
Epoch 004	LOSS: 23.74	MAE: 56.51	RMSE: 74.01
Epoch 005	LOSS: 23.52	MAE: 56.48	RMSE: 74.02
Epoch 006	LOSS: 23.51	MAE: 56.54	RMSE: 74.04
Epoch 007	LOSS: 23.48	MAE: 56.48	RMSE: 74.03
Epoch 008	LOSS: 22.74	MAE: 56.42	RMSE: 74.02
Epoch 009	LOSS: 22.10	MAE: 56.29	RMSE: 73.99
Epoch 010	LOSS: 21.13	MAE: 56.17	RMSE: 73.96
Epoch 011	LOSS: 19.95	MAE: 55.96	RMSE: 73.92
Epoch 012	LOSS: 19.01	MAE: 55.82	RMSE: 73.89
Epoch 013	LOSS: 18.26	MAE: 55.74	RMSE: 73.88
Epoch 014	LOSS: 17.52	MAE: 55.66	RMSE: 73.87
Epoch 015	LOSS: 17.13	MAE: 55.68	RMSE: 73.87
Epoch 016	LOSS: 16.95	MAE: 55.64	RMSE: 73.86
Epoch 017	LOSS: 16.93	MAE: 55.68	RMSE: 73.87
Epoch 018	LOSS: 16.63	MAE: 55.57	RMSE: 73.86
Epoch 019	LOSS: 16.66	MAE: 55.54	RMSE: 73.85
Epoch 020	LOSS: 16.36	MAE: 55.55	RMSE: 73.85
Epoch 021	LOSS: 16.36	MAE: 55.60	RMSE: 73.86
Epoch 022	LOSS: 16.02	MAE: 55.49	RMSE: 73.84
Epoch 023	LOSS: 16.00	MAE: 55.52	RMSE: 73.84
Epoch 024	LOSS: 15.88	MAE: 55.47	RMSE: 73.84
Epoch 025	LOSS: 15.84	MAE: 55.53	RMSE: 73.84
Epoch 026	LOSS: 15.66	MAE: 55.49	RMSE: 73.84
Epoch 027	LOSS: 15.64	MAE: 55.43	RMSE: 73.83
Epoch 028	LOSS: 15.36	MAE: 55.42	RMSE: 73.83
Epoch 029	LOSS: 15.53	MAE: 55.48	RMSE: 73.83
Epoch 030	LOSS: 15.26	MAE: 55.48	RMSE: 73.83
Epoch 031	LOSS: 15.14	MAE: 55.43	RMSE: 73.82
Epoch 032	LOSS: 15.12	MAE: 55.42	RMSE: 73.82
Epoch 033	LOSS: 15.20	MAE: 55.40	RMSE: 73.82
Epoch 034	LOSS: 15.12	MAE: 55.40	RMSE: 73.82
Epoch 035	LOSS: 14.98	MAE: 55.41	RMSE: 73.82
Epoch 036	LOSS: 14.90	MAE: 55.40	RMSE: 73.82
Epoch 037	LOSS: 15.30	MAE: 55.48	RMSE: 73.83
Epoch 038	LOSS: 14.83	MAE: 55.42	RMSE: 73.82
Epoch 039	LOSS: 15.03	MAE: 55.35	RMSE: 73.81
Epoch 040	LOSS: 15.37	MAE: 55.51	RMSE: 73.83
Epoch 041	LOSS: 15.14	MAE: 55.39	RMSE: 73.82
Epoch 042	LOSS: 14.78	MAE: 55.37	RMSE: 73.81
Epoch 043	LOSS: 14.68	MAE: 55.38	RMSE: 73.82
Epoch 044	LOSS: 14.51	MAE: 55.35	RMSE: 73.81
Epoch 045	LOSS: 14.60	MAE: 55.34	RMSE: 73.81
Epoch 046	LOSS: 14.72	MAE: 55.39	RMSE: 73.82
Epoch 047	LOSS: 14.74	MAE: 55.41	RMSE: 73.82
Epoch 048	LOSS: 14.68	MAE: 55.30	RMSE: 73.81
Epoch 049	LOSS: 14.45	MAE: 55.30	RMSE: 73.81
Epoch 050	LOSS: 14.52	MAE: 55.37	RMSE: 73.81
Epoch 051	LOSS: 14.40	MAE: 55.37	RMSE: 73.81
Epoch 052	LOSS: 14.38	MAE: 55.29	RMSE: 73.80
Epoch 053	LOSS: 14.34	MAE: 55.29	RMSE: 73.80
Epoch 054	LOSS: 14.38	MAE: 55.39	RMSE: 73.81
Epoch 055	LOSS: 14.18	MAE: 55.32	RMSE: 73.80
Epoch 056	LOSS: 14.36	MAE: 55.28	RMSE: 73.80
Epoch 057	LOSS: 14.08	MAE: 55.29	RMSE: 73.80
Epoch 058	LOSS: 14.11	MAE: 55.33	RMSE: 73.81
