Epoch 000	LOSS: 75.72	MAE: 59.77	RMSE: 75.27
Epoch 001	LOSS: 36.53	MAE: 57.09	RMSE: 73.93
Epoch 002	LOSS: 27.26	MAE: 56.53	RMSE: 73.83
Epoch 003	LOSS: 28.19	MAE: 56.86	RMSE: 74.05
Epoch 004	LOSS: 25.21	MAE: 56.58	RMSE: 74.00
Epoch 005	LOSS: 27.08	MAE: 56.81	RMSE: 74.10
Epoch 006	LOSS: 26.69	MAE: 56.72	RMSE: 74.08
Epoch 007	LOSS: 27.35	MAE: 56.86	RMSE: 74.13
Epoch 008	LOSS: 25.52	MAE: 56.67	RMSE: 74.08
Epoch 009	LOSS: 25.78	MAE: 56.64	RMSE: 74.07
Epoch 010	LOSS: 24.15	MAE: 56.39	RMSE: 74.01
Epoch 011	LOSS: 23.05	MAE: 56.22	RMSE: 73.97
Epoch 012	LOSS: 24.06	MAE: 56.32	RMSE: 74.00
Epoch 013	LOSS: 22.42	MAE: 56.11	RMSE: 73.95
Epoch 014	LOSS: 23.14	MAE: 56.27	RMSE: 74.00
Epoch 015	LOSS: 21.47	MAE: 56.02	RMSE: 73.95
Epoch 016	LOSS: 22.42	MAE: 56.13	RMSE: 73.97
Epoch 017	LOSS: 22.01	MAE: 56.09	RMSE: 73.98
Epoch 018	LOSS: 19.77	MAE: 55.82	RMSE: 73.92
Epoch 019	LOSS: 21.85	MAE: 56.06	RMSE: 73.98
Epoch 020	LOSS: 21.34	MAE: 56.03	RMSE: 73.97
Epoch 021	LOSS: 21.22	MAE: 55.97	RMSE: 73.96
Epoch 022	LOSS: 20.32	MAE: 55.87	RMSE: 73.94
Epoch 023	LOSS: 22.69	MAE: 56.15	RMSE: 74.00
Epoch 024	LOSS: 21.14	MAE: 55.97	RMSE: 73.96
Epoch 025	LOSS: 19.58	MAE: 55.79	RMSE: 73.92
Epoch 026	LOSS: 19.17	MAE: 55.76	RMSE: 73.91
Epoch 027	LOSS: 19.94	MAE: 55.85	RMSE: 73.93
Epoch 028	LOSS: 19.29	MAE: 55.79	RMSE: 73.92
Epoch 029	LOSS: 20.80	MAE: 56.01	RMSE: 73.96
Epoch 030	LOSS: 20.36	MAE: 55.94	RMSE: 73.95
Epoch 031	LOSS: 18.83	MAE: 55.69	RMSE: 73.90
Epoch 032	LOSS: 18.93	MAE: 55.72	RMSE: 73.90
Epoch 033	LOSS: 21.98	MAE: 56.16	RMSE: 74.00
Epoch 034	LOSS: 21.44	MAE: 56.09	RMSE: 73.98
Epoch 035	LOSS: 18.43	MAE: 55.70	RMSE: 73.90
Epoch 036	LOSS: 18.51	MAE: 55.70	RMSE: 73.90
Epoch 037	LOSS: 18.94	MAE: 55.76	RMSE: 73.91
Epoch 038	LOSS: 19.65	MAE: 55.84	RMSE: 73.92
Epoch 039	LOSS: 20.98	MAE: 55.98	RMSE: 73.95
Epoch 040	LOSS: 18.23	MAE: 55.70	RMSE: 73.89
Epoch 041	LOSS: 18.99	MAE: 55.77	RMSE: 73.91
Epoch 042	LOSS: 19.57	MAE: 55.85	RMSE: 73.93
Epoch 043	LOSS: 19.62	MAE: 55.85	RMSE: 73.93
Epoch 044	LOSS: 20.00	MAE: 55.86	RMSE: 73.93
Epoch 045	LOSS: 20.01	MAE: 55.87	RMSE: 73.93
Epoch 046	LOSS: 18.42	MAE: 55.67	RMSE: 73.89
Epoch 047	LOSS: 21.57	MAE: 56.12	RMSE: 73.98
Epoch 048	LOSS: 20.27	MAE: 55.87	RMSE: 73.93
Epoch 049	LOSS: 18.09	MAE: 55.63	RMSE: 73.88
Epoch 050	LOSS: 18.47	MAE: 55.70	RMSE: 73.90
Epoch 051	LOSS: 20.40	MAE: 55.91	RMSE: 73.94
Epoch 052	LOSS: 20.42	MAE: 55.92	RMSE: 73.94
Epoch 053	LOSS: 18.08	MAE: 55.65	RMSE: 73.89
Epoch 054	LOSS: 18.31	MAE: 55.68	RMSE: 73.89
Epoch 055	LOSS: 20.66	MAE: 55.97	RMSE: 73.95
Epoch 056	LOSS: 20.46	MAE: 55.91	RMSE: 73.94
Epoch 057	LOSS: 17.87	MAE: 55.60	RMSE: 73.88
Epoch 058	LOSS: 17.94	MAE: 55.59	RMSE: 73.87
Epoch 059	LOSS: 20.82	MAE: 55.93	RMSE: 73.95
Epoch 060	LOSS: 20.64	MAE: 55.96	RMSE: 73.95
Epoch 061	LOSS: 19.83	MAE: 55.83	RMSE: 73.92
Epoch 062	LOSS: 18.60	MAE: 55.68	RMSE: 73.89
Epoch 063	LOSS: 20.37	MAE: 55.92	RMSE: 73.94
Epoch 064	LOSS: 20.09	MAE: 55.87	RMSE: 73.93
Epoch 065	LOSS: 17.83	MAE: 55.62	RMSE: 73.88
Epoch 066	LOSS: 18.53	MAE: 55.69	RMSE: 73.89
Epoch 067	LOSS: 20.21	MAE: 55.91	RMSE: 73.94
Epoch 068	LOSS: 20.32	MAE: 55.90	RMSE: 73.94
Epoch 069	LOSS: 18.31	MAE: 55.62	RMSE: 73.88
Epoch 070	LOSS: 18.72	MAE: 55.73	RMSE: 73.90
Epoch 071	LOSS: 18.29	MAE: 55.69	RMSE: 73.89
Epoch 072	LOSS: 18.48	MAE: 55.67	RMSE: 73.89
Epoch 073	LOSS: 18.73	MAE: 55.67	RMSE: 73.89
Epoch 074	LOSS: 18.55	MAE: 55.64	RMSE: 73.88
Epoch 075	LOSS: 20.07	MAE: 55.76	RMSE: 73.91
Epoch 076	LOSS: 19.19	MAE: 55.73	RMSE: 73.90
Epoch 077	LOSS: 20.36	MAE: 55.90	RMSE: 73.93
Epoch 078	LOSS: 19.12	MAE: 55.72	RMSE: 73.90
Epoch 079	LOSS: 17.43	MAE: 55.54	RMSE: 73.86
Epoch 080	LOSS: 17.99	MAE: 55.59	RMSE: 73.87
Epoch 081	LOSS: 20.44	MAE: 55.92	RMSE: 73.94
Epoch 082	LOSS: 20.08	MAE: 55.88	RMSE: 73.93
Epoch 083	LOSS: 17.54	MAE: 55.56	RMSE: 73.86
Epoch 084	LOSS: 17.78	MAE: 55.59	RMSE: 73.87
Epoch 085	LOSS: 20.27	MAE: 55.87	RMSE: 73.93
Epoch 086	LOSS: 20.12	MAE: 55.86	RMSE: 73.93
Epoch 087	LOSS: 17.29	MAE: 55.52	RMSE: 73.85
Epoch 088	LOSS: 17.67	MAE: 55.59	RMSE: 73.87
Epoch 089	LOSS: 20.61	MAE: 55.94	RMSE: 73.94
Epoch 090	LOSS: 19.34	MAE: 55.80	RMSE: 73.91
Epoch 091	LOSS: 17.49	MAE: 55.56	RMSE: 73.86
Epoch 092	LOSS: 17.92	MAE: 55.61	RMSE: 73.87
Epoch 093	LOSS: 19.64	MAE: 55.82	RMSE: 73.91
Epoch 094	LOSS: 19.82	MAE: 55.89	RMSE: 73.93
Epoch 095	LOSS: 19.42	MAE: 55.79	RMSE: 73.91
Epoch 096	LOSS: 16.78	MAE: 55.46	RMSE: 73.84
Epoch 097	LOSS: 20.06	MAE: 55.87	RMSE: 73.92
Epoch 098	LOSS: 19.81	MAE: 55.85	RMSE: 73.92
Epoch 099	LOSS: 17.15	MAE: 55.48	RMSE: 73.85
Epoch 100	LOSS: 17.74	MAE: 55.55	RMSE: 73.86
Epoch 101	LOSS: 19.98	MAE: 55.85	RMSE: 73.92
Epoch 102	LOSS: 19.83	MAE: 55.87	RMSE: 73.92
Epoch 103	LOSS: 17.22	MAE: 55.53	RMSE: 73.85
Epoch 104	LOSS: 17.65	MAE: 55.58	RMSE: 73.86
Epoch 105	LOSS: 20.20	MAE: 55.87	RMSE: 73.92
Epoch 106	LOSS: 19.55	MAE: 55.77	RMSE: 73.90
Epoch 107	LOSS: 17.50	MAE: 55.55	RMSE: 73.86
Epoch 108	LOSS: 16.98	MAE: 55.49	RMSE: 73.85
Epoch 109	LOSS: 19.17	MAE: 55.76	RMSE: 73.90
Epoch 110	LOSS: 19.39	MAE: 55.82	RMSE: 73.91
Epoch 111	LOSS: 17.26	MAE: 55.51	RMSE: 73.85
Epoch 112	LOSS: 17.38	MAE: 55.53	RMSE: 73.86
Epoch 113	LOSS: 19.66	MAE: 55.85	RMSE: 73.92
Epoch 114	LOSS: 19.46	MAE: 55.81	RMSE: 73.91
Epoch 115	LOSS: 17.21	MAE: 55.51	RMSE: 73.85
Epoch 116	LOSS: 17.86	MAE: 55.63	RMSE: 73.87
Epoch 117	LOSS: 20.84	MAE: 55.96	RMSE: 73.94
Epoch 118	LOSS: 19.05	MAE: 55.74	RMSE: 73.89
Epoch 119	LOSS: 18.20	MAE: 55.62	RMSE: 73.87
Epoch 120	LOSS: 17.77	MAE: 55.59	RMSE: 73.86
Epoch 121	LOSS: 18.43	MAE: 55.70	RMSE: 73.88
Epoch 122	LOSS: 18.59	MAE: 55.70	RMSE: 73.88
Epoch 123	LOSS: 17.95	MAE: 55.59	RMSE: 73.86
Epoch 124	LOSS: 20.30	MAE: 55.88	RMSE: 73.92
Epoch 125	LOSS: 19.76	MAE: 55.83	RMSE: 73.91
Epoch 126	LOSS: 17.72	MAE: 55.55	RMSE: 73.85
Epoch 127	LOSS: 16.25	MAE: 55.39	RMSE: 73.82
Epoch 128	LOSS: 17.89	MAE: 55.57	RMSE: 73.86
Epoch 129	LOSS: 19.61	MAE: 55.77	RMSE: 73.90
Epoch 130	LOSS: 17.22	MAE: 55.50	RMSE: 73.84
Epoch 131	LOSS: 17.10	MAE: 55.47	RMSE: 73.84
Epoch 132	LOSS: 19.56	MAE: 55.77	RMSE: 73.90
Epoch 133	LOSS: 18.82	MAE: 55.71	RMSE: 73.88
Epoch 134	LOSS: 17.45	MAE: 55.53	RMSE: 73.85
Epoch 135	LOSS: 17.03	MAE: 55.49	RMSE: 73.84
Epoch 136	LOSS: 19.86	MAE: 55.82	RMSE: 73.90
