Epoch 000	LOSS: 67.89	MAE: 49.67	RMSE: 62.73
Epoch 001	LOSS: 37.68	MAE: 42.25	RMSE: 55.30
Epoch 002	LOSS: 28.45	MAE: 29.20	RMSE: 45.12
Epoch 003	LOSS: 26.78	MAE: 28.38	RMSE: 43.74
Epoch 004	LOSS: 26.35	MAE: 24.53	RMSE: 38.69
Epoch 005	LOSS: 25.25	MAE: 23.40	RMSE: 37.22
Epoch 006	LOSS: 24.79	MAE: 23.21	RMSE: 37.25
Epoch 007	LOSS: 24.74	MAE: 22.73	RMSE: 36.82
Epoch 008	LOSS: 24.15	MAE: 22.81	RMSE: 36.88
Epoch 009	LOSS: 23.63	MAE: 22.61	RMSE: 36.80
Epoch 010	LOSS: 22.96	MAE: 22.56	RMSE: 36.78
Epoch 011	LOSS: 22.06	MAE: 22.36	RMSE: 36.64
Epoch 012	LOSS: 21.56	MAE: 22.57	RMSE: 36.87
Epoch 013	LOSS: 20.11	MAE: 22.20	RMSE: 36.69
Epoch 014	LOSS: 19.49	MAE: 22.03	RMSE: 36.64
Epoch 015	LOSS: 18.77	MAE: 21.95	RMSE: 36.61
Epoch 016	LOSS: 18.20	MAE: 21.54	RMSE: 36.37
Epoch 017	LOSS: 18.15	MAE: 21.83	RMSE: 36.69
Epoch 018	LOSS: 17.82	MAE: 21.44	RMSE: 36.43
Epoch 019	LOSS: 18.49	MAE: 21.21	RMSE: 36.29
Epoch 020	LOSS: 17.72	MAE: 21.69	RMSE: 36.69
Epoch 021	LOSS: 17.61	MAE: 21.24	RMSE: 36.44
Epoch 022	LOSS: 17.56	MAE: 21.68	RMSE: 36.78
Epoch 023	LOSS: 17.09	MAE: 21.37	RMSE: 36.58
Epoch 024	LOSS: 17.13	MAE: 21.23	RMSE: 36.51
Epoch 025	LOSS: 16.95	MAE: 21.22	RMSE: 36.52
Epoch 026	LOSS: 16.92	MAE: 21.30	RMSE: 36.60
Epoch 027	LOSS: 16.79	MAE: 21.03	RMSE: 36.33
Epoch 028	LOSS: 16.62	MAE: 20.91	RMSE: 36.25
Epoch 029	LOSS: 16.66	MAE: 20.64	RMSE: 36.07
Epoch 030	LOSS: 16.45	MAE: 20.64	RMSE: 36.07
Epoch 031	LOSS: 16.33	MAE: 20.90	RMSE: 36.24
Epoch 032	LOSS: 16.59	MAE: 20.68	RMSE: 36.05
Epoch 033	LOSS: 16.29	MAE: 20.89	RMSE: 36.32
Epoch 034	LOSS: 16.09	MAE: 20.68	RMSE: 36.17
