Epoch 000	LOSS: 75.42	MAE: 47.01	RMSE: 60.42
Epoch 001	LOSS: 39.56	MAE: 39.74	RMSE: 53.01
Epoch 002	LOSS: 29.78	MAE: 29.55	RMSE: 45.37
Epoch 003	LOSS: 33.24	MAE: 28.43	RMSE: 43.77
Epoch 004	LOSS: 27.73	MAE: 25.91	RMSE: 40.59
Epoch 005	LOSS: 28.31	MAE: 23.43	RMSE: 37.26
Epoch 006	LOSS: 26.19	MAE: 22.55	RMSE: 36.47
Epoch 007	LOSS: 27.01	MAE: 22.51	RMSE: 36.38
Epoch 008	LOSS: 25.78	MAE: 22.51	RMSE: 36.50
Epoch 009	LOSS: 27.74	MAE: 22.28	RMSE: 36.11
Epoch 010	LOSS: 27.04	MAE: 22.58	RMSE: 36.46
Epoch 011	LOSS: 26.23	MAE: 22.02	RMSE: 35.96
Epoch 012	LOSS: 25.79	MAE: 22.10	RMSE: 36.14
Epoch 013	LOSS: 25.97	MAE: 21.83	RMSE: 35.91
Epoch 014	LOSS: 25.31	MAE: 21.80	RMSE: 35.99
Epoch 015	LOSS: 23.92	MAE: 21.37	RMSE: 35.71
Epoch 016	LOSS: 23.58	MAE: 21.54	RMSE: 35.77
Epoch 017	LOSS: 22.49	MAE: 21.15	RMSE: 35.61
Epoch 018	LOSS: 23.02	MAE: 21.02	RMSE: 35.46
Epoch 019	LOSS: 21.34	MAE: 20.93	RMSE: 35.54
Epoch 020	LOSS: 22.96	MAE: 21.02	RMSE: 35.60
Epoch 021	LOSS: 21.25	MAE: 20.52	RMSE: 35.33
Epoch 022	LOSS: 21.74	MAE: 21.01	RMSE: 35.79
Epoch 023	LOSS: 20.35	MAE: 20.62	RMSE: 35.58
Epoch 024	LOSS: 19.54	MAE: 20.38	RMSE: 35.40
Epoch 025	LOSS: 23.18	MAE: 20.75	RMSE: 35.58
Epoch 026	LOSS: 19.57	MAE: 20.28	RMSE: 35.36
Epoch 027	LOSS: 20.89	MAE: 20.51	RMSE: 35.57
Epoch 028	LOSS: 20.18	MAE: 20.30	RMSE: 35.37
Epoch 029	LOSS: 19.36	MAE: 20.12	RMSE: 35.27
Epoch 030	LOSS: 20.02	MAE: 20.17	RMSE: 35.24
Epoch 031	LOSS: 21.60	MAE: 20.46	RMSE: 35.40
Epoch 032	LOSS: 18.30	MAE: 20.12	RMSE: 35.39
Epoch 033	LOSS: 18.98	MAE: 20.17	RMSE: 35.35
Epoch 034	LOSS: 17.93	MAE: 20.18	RMSE: 35.49
Epoch 035	LOSS: 20.84	MAE: 20.20	RMSE: 35.39
Epoch 036	LOSS: 19.86	MAE: 20.35	RMSE: 35.55
Epoch 037	LOSS: 19.89	MAE: 20.24	RMSE: 35.50
Epoch 038	LOSS: 21.41	MAE: 20.47	RMSE: 35.47
Epoch 039	LOSS: 20.43	MAE: 20.35	RMSE: 35.65
Epoch 040	LOSS: 18.72	MAE: 20.25	RMSE: 35.59
Epoch 041	LOSS: 19.39	MAE: 20.18	RMSE: 35.58
Epoch 042	LOSS: 19.41	MAE: 20.10	RMSE: 35.46
Epoch 043	LOSS: 18.08	MAE: 20.25	RMSE: 35.68
Epoch 044	LOSS: 19.38	MAE: 20.03	RMSE: 35.42
Epoch 045	LOSS: 20.17	MAE: 20.24	RMSE: 35.56
Epoch 046	LOSS: 21.76	MAE: 20.48	RMSE: 35.75
Epoch 047	LOSS: 20.36	MAE: 20.01	RMSE: 35.43
Epoch 048	LOSS: 17.68	MAE: 20.10	RMSE: 35.72
Epoch 049	LOSS: 17.36	MAE: 20.16	RMSE: 35.82
Epoch 050	LOSS: 17.62	MAE: 20.11	RMSE: 35.76
Epoch 051	LOSS: 19.09	MAE: 20.17	RMSE: 35.75
Epoch 052	LOSS: 20.35	MAE: 20.56	RMSE: 36.05
Epoch 053	LOSS: 20.03	MAE: 20.28	RMSE: 35.87
Epoch 054	LOSS: 17.58	MAE: 20.15	RMSE: 35.89
Epoch 055	LOSS: 18.81	MAE: 20.17	RMSE: 35.86
Epoch 056	LOSS: 18.01	MAE: 20.17	RMSE: 35.93
Epoch 057	LOSS: 18.59	MAE: 20.47	RMSE: 36.21
Epoch 058	LOSS: 20.28	MAE: 20.39	RMSE: 35.96
Epoch 059	LOSS: 18.51	MAE: 20.06	RMSE: 35.79
Epoch 060	LOSS: 19.63	MAE: 20.24	RMSE: 35.93
Epoch 061	LOSS: 17.87	MAE: 20.12	RMSE: 35.94
Epoch 062	LOSS: 17.89	MAE: 20.14	RMSE: 36.07
Epoch 063	LOSS: 21.99	MAE: 20.56	RMSE: 36.11
Epoch 064	LOSS: 19.42	MAE: 20.37	RMSE: 36.04
Epoch 065	LOSS: 18.39	MAE: 20.28	RMSE: 36.14
Epoch 066	LOSS: 19.85	MAE: 20.43	RMSE: 36.16
Epoch 067	LOSS: 19.48	MAE: 20.22	RMSE: 36.03
Epoch 068	LOSS: 19.87	MAE: 20.37	RMSE: 36.09
Epoch 069	LOSS: 20.41	MAE: 20.36	RMSE: 36.08
Epoch 070	LOSS: 16.59	MAE: 20.12	RMSE: 36.13
Epoch 071	LOSS: 17.23	MAE: 20.06	RMSE: 36.07
Epoch 072	LOSS: 20.05	MAE: 20.43	RMSE: 36.26
Epoch 073	LOSS: 19.60	MAE: 20.35	RMSE: 36.25
Epoch 074	LOSS: 16.97	MAE: 20.18	RMSE: 36.23
Epoch 075	LOSS: 17.24	MAE: 20.21	RMSE: 36.24
Epoch 076	LOSS: 19.97	MAE: 20.44	RMSE: 36.25
Epoch 077	LOSS: 18.83	MAE: 20.26	RMSE: 36.23
Epoch 078	LOSS: 16.27	MAE: 20.12	RMSE: 36.19
Epoch 079	LOSS: 18.43	MAE: 20.24	RMSE: 36.25
Epoch 080	LOSS: 19.66	MAE: 20.30	RMSE: 36.29
Epoch 081	LOSS: 16.92	MAE: 20.13	RMSE: 36.24
Epoch 082	LOSS: 17.03	MAE: 20.13	RMSE: 36.23
Epoch 083	LOSS: 17.30	MAE: 20.22	RMSE: 36.32
Epoch 084	LOSS: 20.37	MAE: 20.47	RMSE: 36.34
Epoch 085	LOSS: 19.29	MAE: 20.23	RMSE: 36.22
Epoch 086	LOSS: 16.67	MAE: 20.15	RMSE: 36.30
