Epoch 000	LOSS: 72.31	MAE: 47.26	RMSE: 60.42
Epoch 001	LOSS: 35.77	MAE: 40.75	RMSE: 53.93
Epoch 002	LOSS: 32.41	MAE: 28.80	RMSE: 44.61
Epoch 003	LOSS: 29.09	MAE: 27.35	RMSE: 42.69
Epoch 004	LOSS: 27.69	MAE: 23.46	RMSE: 37.36
Epoch 005	LOSS: 27.42	MAE: 23.10	RMSE: 36.94
Epoch 006	LOSS: 25.72	MAE: 22.27	RMSE: 36.19
Epoch 007	LOSS: 29.69	MAE: 22.70	RMSE: 36.31
Epoch 008	LOSS: 26.11	MAE: 22.29	RMSE: 36.15
Epoch 009	LOSS: 26.47	MAE: 22.35	RMSE: 36.25
Epoch 010	LOSS: 27.26	MAE: 22.20	RMSE: 35.97
Epoch 011	LOSS: 25.23	MAE: 22.04	RMSE: 36.02
Epoch 012	LOSS: 23.31	MAE: 21.88	RMSE: 36.00
Epoch 013	LOSS: 23.02	MAE: 21.51	RMSE: 35.72
Epoch 014	LOSS: 22.29	MAE: 21.70	RMSE: 36.04
Epoch 015	LOSS: 22.18	MAE: 21.65	RMSE: 36.15
Epoch 016	LOSS: 22.57	MAE: 21.44	RMSE: 35.85
Epoch 017	LOSS: 23.47	MAE: 21.39	RMSE: 35.91
Epoch 018	LOSS: 22.88	MAE: 21.28	RMSE: 35.84
Epoch 019	LOSS: 21.93	MAE: 21.05	RMSE: 35.71
Epoch 020	LOSS: 19.33	MAE: 21.18	RMSE: 36.05
Epoch 021	LOSS: 21.04	MAE: 21.48	RMSE: 36.39
Epoch 022	LOSS: 19.99	MAE: 21.16	RMSE: 36.20
Epoch 023	LOSS: 21.02	MAE: 21.18	RMSE: 36.29
Epoch 024	LOSS: 21.74	MAE: 21.13	RMSE: 36.24
Epoch 025	LOSS: 21.25	MAE: 21.23	RMSE: 36.40
Epoch 026	LOSS: 19.82	MAE: 21.10	RMSE: 36.36
Epoch 027	LOSS: 22.21	MAE: 20.92	RMSE: 36.14
Epoch 028	LOSS: 22.16	MAE: 21.17	RMSE: 36.43
Epoch 029	LOSS: 19.69	MAE: 21.05	RMSE: 36.45
Epoch 030	LOSS: 19.31	MAE: 21.03	RMSE: 36.52
Epoch 031	LOSS: 21.95	MAE: 20.91	RMSE: 36.22
Epoch 032	LOSS: 20.51	MAE: 21.06	RMSE: 36.51
Epoch 033	LOSS: 20.78	MAE: 20.88	RMSE: 36.25
Epoch 034	LOSS: 18.14	MAE: 20.68	RMSE: 36.20
Epoch 035	LOSS: 19.30	MAE: 20.38	RMSE: 35.82
Epoch 036	LOSS: 18.65	MAE: 20.85	RMSE: 36.41
Epoch 037	LOSS: 21.54	MAE: 21.08	RMSE: 36.59
Epoch 038	LOSS: 20.67	MAE: 20.78	RMSE: 36.34
Epoch 039	LOSS: 18.82	MAE: 20.51	RMSE: 36.12
Epoch 040	LOSS: 18.09	MAE: 20.61	RMSE: 36.29
Epoch 041	LOSS: 19.97	MAE: 20.69	RMSE: 36.31
Epoch 042	LOSS: 19.83	MAE: 20.90	RMSE: 36.55
Epoch 043	LOSS: 18.44	MAE: 20.68	RMSE: 36.38
Epoch 044	LOSS: 18.42	MAE: 20.66	RMSE: 36.34
Epoch 045	LOSS: 21.57	MAE: 20.74	RMSE: 36.33
Epoch 046	LOSS: 21.63	MAE: 20.77	RMSE: 36.41
Epoch 047	LOSS: 21.09	MAE: 20.84	RMSE: 36.45
Epoch 048	LOSS: 18.39	MAE: 20.63	RMSE: 36.39
Epoch 049	LOSS: 18.09	MAE: 20.69	RMSE: 36.48
