Epoch 000	LOSS: 72.77	MAE: 48.08	RMSE: 61.37
Epoch 001	LOSS: 36.52	MAE: 38.86	RMSE: 52.33
Epoch 002	LOSS: 31.39	MAE: 29.12	RMSE: 44.87
Epoch 003	LOSS: 30.59	MAE: 27.95	RMSE: 43.69
Epoch 004	LOSS: 28.57	MAE: 24.81	RMSE: 38.97
Epoch 005	LOSS: 26.78	MAE: 22.56	RMSE: 36.42
Epoch 006	LOSS: 28.46	MAE: 23.45	RMSE: 37.21
Epoch 007	LOSS: 27.69	MAE: 22.45	RMSE: 36.24
Epoch 008	LOSS: 26.29	MAE: 22.66	RMSE: 36.59
Epoch 009	LOSS: 27.33	MAE: 22.83	RMSE: 36.56
Epoch 010	LOSS: 26.34	MAE: 22.56	RMSE: 36.44
Epoch 011	LOSS: 26.48	MAE: 22.54	RMSE: 36.52
Epoch 012	LOSS: 26.33	MAE: 22.41	RMSE: 36.43
Epoch 013	LOSS: 23.84	MAE: 22.08	RMSE: 36.39
Epoch 014	LOSS: 23.48	MAE: 21.82	RMSE: 36.16
Epoch 015	LOSS: 21.97	MAE: 21.34	RMSE: 35.93
Epoch 016	LOSS: 22.33	MAE: 21.26	RMSE: 35.87
Epoch 017	LOSS: 22.39	MAE: 21.27	RMSE: 35.92
Epoch 018	LOSS: 22.26	MAE: 21.05	RMSE: 35.84
Epoch 019	LOSS: 23.23	MAE: 21.07	RMSE: 35.80
Epoch 020	LOSS: 22.84	MAE: 21.12	RMSE: 35.89
Epoch 021	LOSS: 21.00	MAE: 20.95	RMSE: 35.93
Epoch 022	LOSS: 22.20	MAE: 20.96	RMSE: 35.88
Epoch 023	LOSS: 22.39	MAE: 21.13	RMSE: 36.01
Epoch 024	LOSS: 19.70	MAE: 20.71	RMSE: 35.90
Epoch 025	LOSS: 22.00	MAE: 20.93	RMSE: 36.02
Epoch 026	LOSS: 20.13	MAE: 20.72	RMSE: 35.96
Epoch 027	LOSS: 21.55	MAE: 20.90	RMSE: 36.06
Epoch 028	LOSS: 20.62	MAE: 20.82	RMSE: 35.94
Epoch 029	LOSS: 21.28	MAE: 21.00	RMSE: 36.08
Epoch 030	LOSS: 22.42	MAE: 20.96	RMSE: 36.06
Epoch 031	LOSS: 23.68	MAE: 21.38	RMSE: 36.29
Epoch 032	LOSS: 20.62	MAE: 20.69	RMSE: 35.96
Epoch 033	LOSS: 20.65	MAE: 20.53	RMSE: 35.90
Epoch 034	LOSS: 19.62	MAE: 20.30	RMSE: 35.71
Epoch 035	LOSS: 18.60	MAE: 20.42	RMSE: 35.94
Epoch 036	LOSS: 21.41	MAE: 20.66	RMSE: 35.88
Epoch 037	LOSS: 21.49	MAE: 20.72	RMSE: 35.99
Epoch 038	LOSS: 19.60	MAE: 20.39	RMSE: 35.79
Epoch 039	LOSS: 20.11	MAE: 20.52	RMSE: 35.83
Epoch 040	LOSS: 22.01	MAE: 20.72	RMSE: 35.89
Epoch 041	LOSS: 18.95	MAE: 20.22	RMSE: 35.67
Epoch 042	LOSS: 22.20	MAE: 20.82	RMSE: 36.02
Epoch 043	LOSS: 20.03	MAE: 20.31	RMSE: 35.89
Epoch 044	LOSS: 20.83	MAE: 20.49	RMSE: 35.87
Epoch 045	LOSS: 22.53	MAE: 20.73	RMSE: 35.94
Epoch 046	LOSS: 18.63	MAE: 20.14	RMSE: 35.80
Epoch 047	LOSS: 18.34	MAE: 20.17	RMSE: 35.83
Epoch 048	LOSS: 23.09	MAE: 20.69	RMSE: 36.09
Epoch 049	LOSS: 19.38	MAE: 20.23	RMSE: 35.85
Epoch 050	LOSS: 22.59	MAE: 20.93	RMSE: 36.16
Epoch 051	LOSS: 22.30	MAE: 20.54	RMSE: 35.89
Epoch 052	LOSS: 18.46	MAE: 20.18	RMSE: 35.97
Epoch 053	LOSS: 18.94	MAE: 20.46	RMSE: 36.26
Epoch 054	LOSS: 20.79	MAE: 20.58	RMSE: 36.09
Epoch 055	LOSS: 20.56	MAE: 20.63	RMSE: 36.12
Epoch 056	LOSS: 19.35	MAE: 20.20	RMSE: 35.97
Epoch 057	LOSS: 19.62	MAE: 20.35	RMSE: 36.04
Epoch 058	LOSS: 20.57	MAE: 20.54	RMSE: 36.16
Epoch 059	LOSS: 18.03	MAE: 20.27	RMSE: 36.10
Epoch 060	LOSS: 20.90	MAE: 20.70	RMSE: 36.23
Epoch 061	LOSS: 20.54	MAE: 20.48	RMSE: 36.14
Epoch 062	LOSS: 18.39	MAE: 20.30	RMSE: 36.13
Epoch 063	LOSS: 18.22	MAE: 20.40	RMSE: 36.28
Epoch 064	LOSS: 18.10	MAE: 20.25	RMSE: 36.06
Epoch 065	LOSS: 21.12	MAE: 20.63	RMSE: 36.28
Epoch 066	LOSS: 20.63	MAE: 20.67	RMSE: 36.29
Epoch 067	LOSS: 18.22	MAE: 20.32	RMSE: 36.19
Epoch 068	LOSS: 18.11	MAE: 20.30	RMSE: 36.20
Epoch 069	LOSS: 21.39	MAE: 20.68	RMSE: 36.30
Epoch 070	LOSS: 20.77	MAE: 20.65	RMSE: 36.36
Epoch 071	LOSS: 18.15	MAE: 20.25	RMSE: 36.22
Epoch 072	LOSS: 18.32	MAE: 20.34	RMSE: 36.27
Epoch 073	LOSS: 20.47	MAE: 20.62	RMSE: 36.33
Epoch 074	LOSS: 20.72	MAE: 20.73	RMSE: 36.47
Epoch 075	LOSS: 20.37	MAE: 20.82	RMSE: 36.58
Epoch 076	LOSS: 19.11	MAE: 20.48	RMSE: 36.47
Epoch 077	LOSS: 18.37	MAE: 20.40	RMSE: 36.27
Epoch 078	LOSS: 20.71	MAE: 20.75	RMSE: 36.37
Epoch 079	LOSS: 17.71	MAE: 20.34	RMSE: 36.42
Epoch 080	LOSS: 17.02	MAE: 20.45	RMSE: 36.49
Epoch 081	LOSS: 21.51	MAE: 21.05	RMSE: 36.57
Epoch 082	LOSS: 21.17	MAE: 21.07	RMSE: 36.61
Epoch 083	LOSS: 17.58	MAE: 20.45	RMSE: 36.49
Epoch 084	LOSS: 17.72	MAE: 20.42	RMSE: 36.48
Epoch 085	LOSS: 21.27	MAE: 21.01	RMSE: 36.65
Epoch 086	LOSS: 21.26	MAE: 21.11	RMSE: 36.71
Epoch 087	LOSS: 17.29	MAE: 20.52	RMSE: 36.51
Epoch 088	LOSS: 17.90	MAE: 20.62	RMSE: 36.67
Epoch 089	LOSS: 20.94	MAE: 20.97	RMSE: 36.60
Epoch 090	LOSS: 20.24	MAE: 20.77	RMSE: 36.59
Epoch 091	LOSS: 17.88	MAE: 20.45	RMSE: 36.49
Epoch 092	LOSS: 17.48	MAE: 20.62	RMSE: 36.68
Epoch 093	LOSS: 19.63	MAE: 20.86	RMSE: 36.71
Epoch 094	LOSS: 19.30	MAE: 20.74	RMSE: 36.65
Epoch 095	LOSS: 17.02	MAE: 20.41	RMSE: 36.55
Epoch 096	LOSS: 19.94	MAE: 20.90	RMSE: 36.73
Epoch 097	LOSS: 17.91	MAE: 20.62	RMSE: 36.67
Epoch 098	LOSS: 20.28	MAE: 20.82	RMSE: 36.75
Epoch 099	LOSS: 20.31	MAE: 20.94	RMSE: 36.83
Epoch 100	LOSS: 17.58	MAE: 20.50	RMSE: 36.67
Epoch 101	LOSS: 17.13	MAE: 20.53	RMSE: 36.66
Epoch 102	LOSS: 21.23	MAE: 21.24	RMSE: 36.87
Epoch 103	LOSS: 20.68	MAE: 21.10	RMSE: 36.83
Epoch 104	LOSS: 16.85	MAE: 20.53	RMSE: 36.75
Epoch 105	LOSS: 17.65	MAE: 20.55	RMSE: 36.66
Epoch 106	LOSS: 20.55	MAE: 21.16	RMSE: 36.90
Epoch 107	LOSS: 20.08	MAE: 21.03	RMSE: 36.89
Epoch 108	LOSS: 17.12	MAE: 20.58	RMSE: 36.82
Epoch 109	LOSS: 17.47	MAE: 20.71	RMSE: 36.86
Epoch 110	LOSS: 20.36	MAE: 21.17	RMSE: 36.95
Epoch 111	LOSS: 19.36	MAE: 21.00	RMSE: 36.90
Epoch 112	LOSS: 16.15	MAE: 20.64	RMSE: 36.89
Epoch 113	LOSS: 19.41	MAE: 20.85	RMSE: 36.92
Epoch 114	LOSS: 18.71	MAE: 20.76	RMSE: 36.84
Epoch 115	LOSS: 18.10	MAE: 20.66	RMSE: 36.83
Epoch 116	LOSS: 18.32	MAE: 20.80	RMSE: 36.90
Epoch 117	LOSS: 19.44	MAE: 20.90	RMSE: 36.91
Epoch 118	LOSS: 17.29	MAE: 20.86	RMSE: 36.98
Epoch 119	LOSS: 18.06	MAE: 20.73	RMSE: 36.82
Epoch 120	LOSS: 20.42	MAE: 21.00	RMSE: 36.89
Epoch 121	LOSS: 19.83	MAE: 20.88	RMSE: 36.79
Epoch 122	LOSS: 17.36	MAE: 20.71	RMSE: 36.84
Epoch 123	LOSS: 17.54	MAE: 20.80	RMSE: 36.92
Epoch 124	LOSS: 19.72	MAE: 21.22	RMSE: 37.05
Epoch 125	LOSS: 19.88	MAE: 21.24	RMSE: 37.12
Epoch 126	LOSS: 17.75	MAE: 20.97	RMSE: 37.17
Epoch 127	LOSS: 17.64	MAE: 20.91	RMSE: 37.05
Epoch 128	LOSS: 17.72	MAE: 20.85	RMSE: 37.05
Epoch 129	LOSS: 20.00	MAE: 21.07	RMSE: 37.01
Epoch 130	LOSS: 20.04	MAE: 21.17	RMSE: 37.05
Epoch 131	LOSS: 17.89	MAE: 20.80	RMSE: 36.97
Epoch 132	LOSS: 19.03	MAE: 21.02	RMSE: 37.11
Epoch 133	LOSS: 17.71	MAE: 20.86	RMSE: 37.03
Epoch 134	LOSS: 18.26	MAE: 20.88	RMSE: 37.01
Epoch 135	LOSS: 19.56	MAE: 21.10	RMSE: 37.10
Epoch 136	LOSS: 19.45	MAE: 21.20	RMSE: 37.17
Epoch 137	LOSS: 17.66	MAE: 20.86	RMSE: 37.11
Epoch 138	LOSS: 17.02	MAE: 20.73	RMSE: 37.05
Epoch 139	LOSS: 19.83	MAE: 21.09	RMSE: 37.08
Epoch 140	LOSS: 20.46	MAE: 21.21	RMSE: 37.18
Epoch 141	LOSS: 17.23	MAE: 20.74	RMSE: 37.00
Epoch 142	LOSS: 17.63	MAE: 20.92	RMSE: 37.09
Epoch 143	LOSS: 19.48	MAE: 21.21	RMSE: 37.20
Epoch 144	LOSS: 19.86	MAE: 21.26	RMSE: 37.22
Epoch 145	LOSS: 16.85	MAE: 20.74	RMSE: 37.05
Epoch 146	LOSS: 17.09	MAE: 20.84	RMSE: 37.11
Epoch 147	LOSS: 19.87	MAE: 21.38	RMSE: 37.30
Epoch 148	LOSS: 19.36	MAE: 21.21	RMSE: 37.24
Epoch 149	LOSS: 17.25	MAE: 20.91	RMSE: 37.18
Epoch 150	LOSS: 17.17	MAE: 20.84	RMSE: 37.19
Epoch 151	LOSS: 19.79	MAE: 21.13	RMSE: 37.21
Epoch 152	LOSS: 20.02	MAE: 21.24	RMSE: 37.23
