Epoch 000	LOSS: 68.27	MAE: 46.34	RMSE: 59.40
Epoch 001	LOSS: 35.71	MAE: 39.03	RMSE: 52.38
Epoch 002	LOSS: 33.04	MAE: 28.56	RMSE: 44.45
Epoch 003	LOSS: 29.09	MAE: 27.57	RMSE: 43.08
Epoch 004	LOSS: 30.28	MAE: 24.63	RMSE: 38.39
Epoch 005	LOSS: 28.13	MAE: 22.42	RMSE: 36.21
Epoch 006	LOSS: 27.83	MAE: 22.55	RMSE: 36.34
Epoch 007	LOSS: 26.02	MAE: 22.46	RMSE: 36.40
Epoch 008	LOSS: 26.92	MAE: 22.17	RMSE: 36.02
Epoch 009	LOSS: 25.78	MAE: 22.14	RMSE: 35.97
Epoch 010	LOSS: 24.37	MAE: 21.60	RMSE: 35.67
Epoch 011	LOSS: 24.92	MAE: 21.10	RMSE: 35.21
Epoch 012	LOSS: 26.13	MAE: 21.59	RMSE: 35.54
Epoch 013	LOSS: 25.48	MAE: 21.00	RMSE: 35.13
Epoch 014	LOSS: 23.62	MAE: 20.84	RMSE: 35.11
Epoch 015	LOSS: 23.76	MAE: 20.88	RMSE: 35.15
Epoch 016	LOSS: 22.90	MAE: 20.69	RMSE: 35.03
Epoch 017	LOSS: 23.46	MAE: 21.03	RMSE: 35.36
Epoch 018	LOSS: 23.13	MAE: 20.85	RMSE: 35.26
Epoch 019	LOSS: 23.16	MAE: 20.80	RMSE: 35.23
Epoch 020	LOSS: 23.28	MAE: 20.90	RMSE: 35.35
Epoch 021	LOSS: 21.66	MAE: 20.70	RMSE: 35.34
Epoch 022	LOSS: 21.61	MAE: 20.62	RMSE: 35.33
Epoch 023	LOSS: 21.39	MAE: 20.55	RMSE: 35.35
Epoch 024	LOSS: 21.16	MAE: 20.13	RMSE: 35.08
Epoch 025	LOSS: 23.07	MAE: 20.66	RMSE: 35.36
Epoch 026	LOSS: 21.96	MAE: 20.41	RMSE: 35.31
Epoch 027	LOSS: 20.47	MAE: 20.26	RMSE: 35.25
Epoch 028	LOSS: 22.33	MAE: 20.51	RMSE: 35.38
Epoch 029	LOSS: 22.03	MAE: 20.29	RMSE: 35.36
Epoch 030	LOSS: 19.97	MAE: 20.21	RMSE: 35.37
Epoch 031	LOSS: 25.11	MAE: 20.74	RMSE: 35.64
Epoch 032	LOSS: 22.94	MAE: 20.50	RMSE: 35.52
Epoch 033	LOSS: 19.59	MAE: 20.03	RMSE: 35.32
Epoch 034	LOSS: 19.91	MAE: 20.25	RMSE: 35.54
Epoch 035	LOSS: 22.98	MAE: 20.57	RMSE: 35.58
Epoch 036	LOSS: 22.18	MAE: 20.52	RMSE: 35.60
Epoch 037	LOSS: 19.41	MAE: 19.98	RMSE: 35.37
Epoch 038	LOSS: 19.96	MAE: 20.13	RMSE: 35.46
Epoch 039	LOSS: 23.07	MAE: 20.67	RMSE: 35.69
Epoch 040	LOSS: 23.54	MAE: 20.70	RMSE: 35.73
Epoch 041	LOSS: 22.09	MAE: 20.42	RMSE: 35.59
Epoch 042	LOSS: 20.24	MAE: 20.05	RMSE: 35.49
Epoch 043	LOSS: 20.43	MAE: 20.22	RMSE: 35.62
Epoch 044	LOSS: 21.43	MAE: 20.67	RMSE: 35.83
Epoch 045	LOSS: 20.81	MAE: 20.30	RMSE: 35.68
Epoch 046	LOSS: 20.83	MAE: 20.40	RMSE: 35.75
Epoch 047	LOSS: 21.44	MAE: 20.49	RMSE: 35.86
Epoch 048	LOSS: 20.68	MAE: 20.13	RMSE: 35.60
Epoch 049	LOSS: 20.94	MAE: 20.12	RMSE: 35.58
Epoch 050	LOSS: 22.07	MAE: 20.52	RMSE: 35.73
Epoch 051	LOSS: 19.94	MAE: 20.22	RMSE: 35.62
Epoch 052	LOSS: 21.85	MAE: 20.47	RMSE: 35.78
Epoch 053	LOSS: 21.75	MAE: 20.48	RMSE: 35.73
Epoch 054	LOSS: 20.20	MAE: 20.22	RMSE: 35.71
Epoch 055	LOSS: 17.98	MAE: 19.94	RMSE: 35.70
Epoch 056	LOSS: 22.29	MAE: 20.49	RMSE: 35.82
Epoch 057	LOSS: 22.39	MAE: 20.65	RMSE: 35.89
Epoch 058	LOSS: 19.11	MAE: 20.23	RMSE: 35.95
Epoch 059	LOSS: 19.55	MAE: 20.09	RMSE: 35.73
Epoch 060	LOSS: 21.44	MAE: 20.29	RMSE: 35.77
Epoch 061	LOSS: 21.96	MAE: 20.44	RMSE: 35.88
Epoch 062	LOSS: 19.08	MAE: 19.98	RMSE: 35.73
Epoch 063	LOSS: 21.68	MAE: 20.52	RMSE: 35.97
Epoch 064	LOSS: 18.87	MAE: 20.09	RMSE: 35.85
Epoch 065	LOSS: 19.35	MAE: 20.33	RMSE: 35.94
Epoch 066	LOSS: 21.53	MAE: 20.73	RMSE: 36.16
Epoch 067	LOSS: 21.34	MAE: 20.61	RMSE: 36.18
Epoch 068	LOSS: 18.79	MAE: 19.97	RMSE: 35.80
Epoch 069	LOSS: 18.87	MAE: 20.11	RMSE: 35.88
Epoch 070	LOSS: 21.03	MAE: 20.59	RMSE: 36.11
Epoch 071	LOSS: 21.13	MAE: 20.68	RMSE: 36.23
Epoch 072	LOSS: 18.60	MAE: 20.18	RMSE: 36.07
Epoch 073	LOSS: 18.75	MAE: 20.27	RMSE: 36.14
Epoch 074	LOSS: 21.85	MAE: 20.61	RMSE: 36.19
Epoch 075	LOSS: 21.83	MAE: 20.50	RMSE: 36.04
Epoch 076	LOSS: 18.44	MAE: 20.18	RMSE: 36.10
Epoch 077	LOSS: 19.43	MAE: 20.29	RMSE: 36.12
Epoch 078	LOSS: 21.36	MAE: 20.56	RMSE: 36.23
Epoch 079	LOSS: 21.62	MAE: 20.70	RMSE: 36.29
Epoch 080	LOSS: 18.73	MAE: 20.28	RMSE: 36.25
Epoch 081	LOSS: 18.73	MAE: 20.43	RMSE: 36.31
Epoch 082	LOSS: 20.92	MAE: 20.86	RMSE: 36.44
Epoch 083	LOSS: 20.67	MAE: 20.64	RMSE: 36.33
Epoch 084	LOSS: 18.80	MAE: 20.39	RMSE: 36.28
Epoch 085	LOSS: 18.14	MAE: 20.23	RMSE: 36.27
Epoch 086	LOSS: 18.92	MAE: 20.37	RMSE: 36.36
Epoch 087	LOSS: 19.26	MAE: 20.45	RMSE: 36.33
Epoch 088	LOSS: 18.18	MAE: 20.36	RMSE: 36.41
Epoch 089	LOSS: 21.33	MAE: 20.88	RMSE: 36.52
Epoch 090	LOSS: 19.44	MAE: 20.50	RMSE: 36.38
Epoch 091	LOSS: 19.27	MAE: 20.48	RMSE: 36.32
Epoch 092	LOSS: 20.36	MAE: 20.47	RMSE: 36.25
Epoch 093	LOSS: 19.25	MAE: 20.43	RMSE: 36.39
Epoch 094	LOSS: 20.85	MAE: 20.96	RMSE: 36.65
Epoch 095	LOSS: 20.33	MAE: 20.75	RMSE: 36.49
Epoch 096	LOSS: 18.27	MAE: 20.14	RMSE: 36.15
Epoch 097	LOSS: 18.12	MAE: 20.60	RMSE: 36.65
Epoch 098	LOSS: 22.47	MAE: 21.13	RMSE: 36.60
Epoch 099	LOSS: 21.82	MAE: 21.04	RMSE: 36.64
Epoch 100	LOSS: 17.91	MAE: 20.40	RMSE: 36.43
Epoch 101	LOSS: 17.82	MAE: 20.45	RMSE: 36.54
Epoch 102	LOSS: 22.01	MAE: 21.25	RMSE: 36.78
Epoch 103	LOSS: 21.03	MAE: 21.18	RMSE: 36.90
Epoch 104	LOSS: 17.99	MAE: 20.49	RMSE: 36.55
Epoch 105	LOSS: 17.87	MAE: 20.56	RMSE: 36.67
Epoch 106	LOSS: 19.68	MAE: 20.97	RMSE: 36.82
Epoch 107	LOSS: 19.30	MAE: 20.69	RMSE: 36.65
Epoch 108	LOSS: 18.96	MAE: 20.79	RMSE: 36.76
Epoch 109	LOSS: 20.99	MAE: 21.10	RMSE: 36.89
Epoch 110	LOSS: 21.23	MAE: 21.19	RMSE: 36.93
Epoch 111	LOSS: 17.85	MAE: 20.55	RMSE: 36.77
Epoch 112	LOSS: 18.66	MAE: 20.79	RMSE: 36.87
Epoch 113	LOSS: 21.06	MAE: 21.35	RMSE: 37.03
Epoch 114	LOSS: 20.17	MAE: 21.05	RMSE: 36.92
Epoch 115	LOSS: 18.15	MAE: 20.76	RMSE: 36.87
Epoch 116	LOSS: 18.10	MAE: 20.71	RMSE: 36.92
Epoch 117	LOSS: 20.96	MAE: 21.28	RMSE: 37.06
Epoch 118	LOSS: 20.61	MAE: 21.13	RMSE: 36.99
Epoch 119	LOSS: 18.36	MAE: 20.78	RMSE: 36.92
Epoch 120	LOSS: 18.50	MAE: 20.87	RMSE: 36.95
Epoch 121	LOSS: 21.01	MAE: 21.27	RMSE: 36.98
Epoch 122	LOSS: 20.62	MAE: 21.23	RMSE: 37.10
Epoch 123	LOSS: 17.70	MAE: 20.72	RMSE: 36.93
Epoch 124	LOSS: 17.52	MAE: 20.66	RMSE: 36.94
Epoch 125	LOSS: 20.64	MAE: 21.23	RMSE: 37.07
Epoch 126	LOSS: 20.23	MAE: 21.14	RMSE: 37.07
Epoch 127	LOSS: 18.26	MAE: 20.75	RMSE: 36.93
Epoch 128	LOSS: 19.25	MAE: 21.06	RMSE: 37.05
Epoch 129	LOSS: 17.71	MAE: 20.71	RMSE: 36.96
Epoch 130	LOSS: 19.39	MAE: 20.93	RMSE: 36.94
Epoch 131	LOSS: 17.48	MAE: 20.58	RMSE: 36.89
Epoch 132	LOSS: 17.36	MAE: 20.71	RMSE: 36.96
Epoch 133	LOSS: 19.44	MAE: 20.97	RMSE: 37.01
Epoch 134	LOSS: 20.54	MAE: 21.21	RMSE: 37.04
Epoch 135	LOSS: 20.25	MAE: 21.19	RMSE: 37.08
Epoch 136	LOSS: 18.53	MAE: 20.75	RMSE: 36.95
Epoch 137	LOSS: 19.59	MAE: 20.96	RMSE: 36.96
Epoch 138	LOSS: 20.50	MAE: 21.29	RMSE: 37.11
Epoch 139	LOSS: 18.86	MAE: 20.94	RMSE: 37.07
Epoch 140	LOSS: 18.66	MAE: 20.77	RMSE: 36.92
Epoch 141	LOSS: 19.92	MAE: 21.35	RMSE: 37.25
Epoch 142	LOSS: 20.70	MAE: 21.38	RMSE: 37.23
Epoch 143	LOSS: 17.23	MAE: 20.71	RMSE: 37.03
Epoch 144	LOSS: 17.94	MAE: 20.53	RMSE: 36.85
Epoch 145	LOSS: 20.60	MAE: 21.16	RMSE: 37.02
Epoch 146	LOSS: 20.86	MAE: 21.16	RMSE: 37.05
Epoch 147	LOSS: 17.73	MAE: 20.74	RMSE: 36.97
Epoch 148	LOSS: 18.87	MAE: 21.06	RMSE: 37.03
Epoch 149	LOSS: 19.82	MAE: 21.17	RMSE: 37.10
Epoch 150	LOSS: 19.58	MAE: 21.13	RMSE: 37.13
Epoch 151	LOSS: 21.01	MAE: 21.42	RMSE: 37.21
Epoch 152	LOSS: 20.82	MAE: 21.34	RMSE: 37.18
Epoch 153	LOSS: 17.20	MAE: 20.69	RMSE: 37.03
Epoch 154	LOSS: 17.45	MAE: 20.67	RMSE: 36.99
Epoch 155	LOSS: 20.19	MAE: 21.19	RMSE: 37.19
Epoch 156	LOSS: 20.00	MAE: 21.21	RMSE: 37.20
Epoch 157	LOSS: 17.69	MAE: 20.84	RMSE: 37.11
Epoch 158	LOSS: 17.25	MAE: 20.76	RMSE: 37.05
Epoch 159	LOSS: 20.72	MAE: 21.41	RMSE: 37.21
Epoch 160	LOSS: 20.38	MAE: 21.33	RMSE: 37.19
Epoch 161	LOSS: 17.61	MAE: 20.83	RMSE: 37.10
Epoch 162	LOSS: 17.35	MAE: 20.88	RMSE: 37.14
Epoch 163	LOSS: 20.16	MAE: 21.35	RMSE: 37.27
Epoch 164	LOSS: 20.65	MAE: 21.35	RMSE: 37.27
Epoch 165	LOSS: 17.52	MAE: 20.79	RMSE: 37.04
Epoch 166	LOSS: 18.60	MAE: 21.08	RMSE: 37.21
Epoch 167	LOSS: 18.26	MAE: 21.09	RMSE: 37.21
Epoch 168	LOSS: 18.40	MAE: 21.07	RMSE: 37.22
Epoch 169	LOSS: 19.45	MAE: 21.09	RMSE: 37.23
Epoch 170	LOSS: 19.38	MAE: 21.20	RMSE: 37.23
Epoch 171	LOSS: 19.29	MAE: 21.25	RMSE: 37.22
Epoch 172	LOSS: 18.63	MAE: 21.28	RMSE: 37.49
Epoch 173	LOSS: 18.09	MAE: 20.64	RMSE: 36.89
Epoch 174	LOSS: 18.73	MAE: 20.97	RMSE: 37.10
Epoch 175	LOSS: 18.16	MAE: 20.86	RMSE: 37.12
Epoch 176	LOSS: 20.39	MAE: 21.11	RMSE: 37.16
Epoch 177	LOSS: 19.56	MAE: 21.19	RMSE: 37.20
Epoch 178	LOSS: 17.44	MAE: 20.77	RMSE: 37.11
Epoch 179	LOSS: 17.48	MAE: 20.81	RMSE: 37.12
Epoch 180	LOSS: 17.92	MAE: 20.87	RMSE: 37.17
Epoch 181	LOSS: 18.35	MAE: 21.17	RMSE: 37.29
Epoch 182	LOSS: 18.95	MAE: 21.16	RMSE: 37.18
Epoch 183	LOSS: 18.14	MAE: 21.00	RMSE: 37.19
Epoch 184	LOSS: 20.80	MAE: 21.35	RMSE: 37.28
Epoch 185	LOSS: 19.89	MAE: 21.25	RMSE: 37.23
Epoch 186	LOSS: 17.25	MAE: 20.89	RMSE: 37.19
Epoch 187	LOSS: 17.32	MAE: 20.85	RMSE: 37.20
Epoch 188	LOSS: 18.02	MAE: 21.00	RMSE: 37.25
Epoch 189	LOSS: 19.68	MAE: 21.33	RMSE: 37.35
Epoch 190	LOSS: 17.61	MAE: 20.90	RMSE: 37.20
Epoch 191	LOSS: 18.60	MAE: 21.17	RMSE: 37.32
Epoch 192	LOSS: 20.27	MAE: 21.30	RMSE: 37.33
Epoch 193	LOSS: 19.75	MAE: 21.30	RMSE: 37.35
Epoch 194	LOSS: 17.58	MAE: 20.94	RMSE: 37.30
Epoch 195	LOSS: 17.43	MAE: 20.89	RMSE: 37.31
Epoch 196	LOSS: 19.25	MAE: 21.23	RMSE: 37.41
Epoch 197	LOSS: 19.99	MAE: 21.29	RMSE: 37.42
Epoch 198	LOSS: 17.17	MAE: 20.84	RMSE: 37.31
Epoch 199	LOSS: 17.07	MAE: 20.92	RMSE: 37.28
Epoch 200	LOSS: 20.51	MAE: 21.49	RMSE: 37.51
Epoch 201	LOSS: 19.68	MAE: 21.24	RMSE: 37.41
