Epoch 000	LOSS: 260.10	MAE: 54.68	RMSE: 58.03
Epoch 001	LOSS: 217.34	MAE: 51.04	RMSE: 55.61
Epoch 002	LOSS: 203.53	MAE: 49.89	RMSE: 54.85
Epoch 003	LOSS: 193.22	MAE: 48.66	RMSE: 54.10
Epoch 004	LOSS: 190.07	MAE: 48.00	RMSE: 53.52
Epoch 005	LOSS: 181.34	MAE: 47.27	RMSE: 52.92
Epoch 006	LOSS: 180.63	MAE: 46.61	RMSE: 52.30
Epoch 007	LOSS: 177.59	MAE: 46.01	RMSE: 51.66
Epoch 008	LOSS: 175.19	MAE: 45.32	RMSE: 50.97
Epoch 009	LOSS: 170.66	MAE: 44.69	RMSE: 50.29
Epoch 010	LOSS: 168.62	MAE: 44.00	RMSE: 49.59
Epoch 011	LOSS: 166.57	MAE: 43.31	RMSE: 48.87
Epoch 012	LOSS: 163.25	MAE: 42.72	RMSE: 48.22
Epoch 013	LOSS: 163.70	MAE: 42.15	RMSE: 47.56
Epoch 014	LOSS: 161.32	MAE: 41.44	RMSE: 46.92
Epoch 015	LOSS: 158.59	MAE: 40.93	RMSE: 46.35
Epoch 016	LOSS: 155.83	MAE: 40.39	RMSE: 45.77
Epoch 017	LOSS: 155.01	MAE: 39.82	RMSE: 45.20
Epoch 018	LOSS: 153.36	MAE: 39.37	RMSE: 44.67
Epoch 019	LOSS: 151.48	MAE: 38.84	RMSE: 44.16
Epoch 020	LOSS: 150.24	MAE: 38.41	RMSE: 43.67
Epoch 021	LOSS: 148.65	MAE: 37.99	RMSE: 43.20
Epoch 022	LOSS: 147.82	MAE: 37.53	RMSE: 42.72
Epoch 023	LOSS: 147.47	MAE: 37.23	RMSE: 42.29
Epoch 024	LOSS: 144.05	MAE: 36.78	RMSE: 41.88
Epoch 025	LOSS: 142.71	MAE: 36.28	RMSE: 41.44
Epoch 026	LOSS: 143.10	MAE: 35.88	RMSE: 41.00
Epoch 027	LOSS: 140.61	MAE: 35.48	RMSE: 40.56
Epoch 028	LOSS: 140.46	MAE: 35.09	RMSE: 40.17
Epoch 029	LOSS: 138.15	MAE: 34.74	RMSE: 39.86
Epoch 030	LOSS: 138.14	MAE: 34.46	RMSE: 39.43
Epoch 031	LOSS: 137.03	MAE: 34.15	RMSE: 39.14
Epoch 032	LOSS: 137.01	MAE: 33.82	RMSE: 38.73
Epoch 033	LOSS: 134.74	MAE: 33.45	RMSE: 38.42
Epoch 034	LOSS: 133.40	MAE: 33.07	RMSE: 38.07
Epoch 035	LOSS: 132.95	MAE: 32.79	RMSE: 37.72
Epoch 036	LOSS: 132.47	MAE: 32.54	RMSE: 37.38
Epoch 037	LOSS: 129.80	MAE: 32.26	RMSE: 37.08
Epoch 038	LOSS: 130.15	MAE: 31.90	RMSE: 36.74
Epoch 039	LOSS: 129.13	MAE: 31.71	RMSE: 36.51
Epoch 040	LOSS: 128.58	MAE: 31.41	RMSE: 36.16
Epoch 041	LOSS: 127.34	MAE: 31.08	RMSE: 35.91
Epoch 042	LOSS: 126.10	MAE: 30.78	RMSE: 35.60
Epoch 043	LOSS: 125.49	MAE: 30.63	RMSE: 35.30
Epoch 044	LOSS: 124.72	MAE: 30.33	RMSE: 35.00
Epoch 045	LOSS: 123.28	MAE: 30.07	RMSE: 34.75
Epoch 046	LOSS: 122.05	MAE: 29.79	RMSE: 34.45
Epoch 047	LOSS: 120.98	MAE: 29.57	RMSE: 34.25
Epoch 048	LOSS: 120.32	MAE: 29.30	RMSE: 33.96
Epoch 049	LOSS: 119.16	MAE: 29.18	RMSE: 33.77
Epoch 050	LOSS: 118.47	MAE: 28.83	RMSE: 33.45
Epoch 051	LOSS: 118.65	MAE: 28.60	RMSE: 33.21
Epoch 052	LOSS: 118.34	MAE: 28.47	RMSE: 32.98
Epoch 053	LOSS: 116.97	MAE: 28.23	RMSE: 32.70
Epoch 054	LOSS: 115.99	MAE: 27.92	RMSE: 32.46
Epoch 055	LOSS: 114.52	MAE: 27.71	RMSE: 32.24
Epoch 056	LOSS: 114.39	MAE: 27.48	RMSE: 31.96
Epoch 057	LOSS: 113.70	MAE: 27.36	RMSE: 31.77
Epoch 058	LOSS: 112.30	MAE: 27.10	RMSE: 31.51
Epoch 059	LOSS: 111.73	MAE: 26.83	RMSE: 31.22
Epoch 060	LOSS: 111.74	MAE: 26.71	RMSE: 31.03
Epoch 061	LOSS: 109.48	MAE: 26.46	RMSE: 30.82
Epoch 062	LOSS: 109.93	MAE: 26.29	RMSE: 30.60
Epoch 063	LOSS: 108.52	MAE: 26.03	RMSE: 30.34
Epoch 064	LOSS: 108.59	MAE: 25.87	RMSE: 30.12
Epoch 065	LOSS: 106.62	MAE: 25.74	RMSE: 29.99
Epoch 066	LOSS: 106.53	MAE: 25.55	RMSE: 29.75
Epoch 067	LOSS: 105.46	MAE: 25.32	RMSE: 29.48
Epoch 068	LOSS: 105.59	MAE: 25.25	RMSE: 29.37
Epoch 069	LOSS: 104.38	MAE: 24.91	RMSE: 29.09
Epoch 070	LOSS: 102.99	MAE: 24.71	RMSE: 28.84
Epoch 071	LOSS: 102.56	MAE: 24.51	RMSE: 28.63
Epoch 072	LOSS: 102.23	MAE: 24.38	RMSE: 28.44
Epoch 073	LOSS: 100.90	MAE: 24.16	RMSE: 28.26
Epoch 074	LOSS: 99.50	MAE: 24.00	RMSE: 28.00
Epoch 075	LOSS: 99.31	MAE: 23.83	RMSE: 27.82
Epoch 076	LOSS: 99.03	MAE: 23.69	RMSE: 27.66
Epoch 077	LOSS: 97.98	MAE: 23.46	RMSE: 27.43
Epoch 078	LOSS: 97.52	MAE: 23.29	RMSE: 27.23
Epoch 079	LOSS: 97.01	MAE: 23.16	RMSE: 27.06
Epoch 080	LOSS: 96.08	MAE: 22.98	RMSE: 26.88
Epoch 081	LOSS: 95.26	MAE: 22.73	RMSE: 26.62
Epoch 082	LOSS: 95.28	MAE: 22.78	RMSE: 26.57
Epoch 083	LOSS: 94.24	MAE: 22.63	RMSE: 26.41
Epoch 084	LOSS: 93.35	MAE: 22.36	RMSE: 26.10
Epoch 085	LOSS: 92.79	MAE: 22.10	RMSE: 25.87
Epoch 086	LOSS: 91.83	MAE: 21.98	RMSE: 25.73
Epoch 087	LOSS: 91.15	MAE: 21.86	RMSE: 25.57
Epoch 088	LOSS: 89.75	MAE: 21.63	RMSE: 25.35
Epoch 089	LOSS: 90.17	MAE: 21.39	RMSE: 25.05
Epoch 090	LOSS: 88.63	MAE: 21.40	RMSE: 25.02
Epoch 091	LOSS: 88.17	MAE: 21.09	RMSE: 24.72
Epoch 092	LOSS: 87.46	MAE: 20.94	RMSE: 24.55
Epoch 093	LOSS: 86.23	MAE: 20.77	RMSE: 24.41
Epoch 094	LOSS: 85.48	MAE: 20.54	RMSE: 24.09
Epoch 095	LOSS: 85.47	MAE: 20.47	RMSE: 23.97
Epoch 096	LOSS: 84.24	MAE: 20.27	RMSE: 23.76
Epoch 097	LOSS: 83.27	MAE: 20.12	RMSE: 23.60
Epoch 098	LOSS: 83.80	MAE: 19.91	RMSE: 23.35
Epoch 099	LOSS: 82.41	MAE: 19.72	RMSE: 23.16
Epoch 100	LOSS: 81.21	MAE: 19.60	RMSE: 23.05
Epoch 101	LOSS: 80.96	MAE: 19.37	RMSE: 22.79
Epoch 102	LOSS: 79.84	MAE: 19.16	RMSE: 22.56
Epoch 103	LOSS: 79.25	MAE: 18.95	RMSE: 22.31
Epoch 104	LOSS: 78.47	MAE: 18.84	RMSE: 22.21
Epoch 105	LOSS: 77.74	MAE: 18.70	RMSE: 22.05
Epoch 106	LOSS: 77.71	MAE: 18.48	RMSE: 21.78
Epoch 107	LOSS: 76.91	MAE: 18.20	RMSE: 21.49
Epoch 108	LOSS: 76.02	MAE: 18.12	RMSE: 21.33
Epoch 109	LOSS: 74.71	MAE: 17.91	RMSE: 21.11
Epoch 110	LOSS: 74.33	MAE: 17.62	RMSE: 20.85
Epoch 111	LOSS: 73.80	MAE: 17.53	RMSE: 20.74
Epoch 112	LOSS: 72.20	MAE: 17.28	RMSE: 20.48
Epoch 113	LOSS: 72.32	MAE: 17.20	RMSE: 20.34
Epoch 114	LOSS: 71.61	MAE: 17.05	RMSE: 20.16
Epoch 115	LOSS: 70.69	MAE: 16.86	RMSE: 19.96
Epoch 116	LOSS: 69.82	MAE: 16.63	RMSE: 19.74
Epoch 117	LOSS: 69.07	MAE: 16.37	RMSE: 19.48
Epoch 118	LOSS: 68.82	MAE: 16.18	RMSE: 19.27
Epoch 119	LOSS: 67.77	MAE: 16.03	RMSE: 19.13
Epoch 120	LOSS: 67.25	MAE: 15.82	RMSE: 18.90
Epoch 121	LOSS: 66.08	MAE: 15.64	RMSE: 18.73
Epoch 122	LOSS: 65.30	MAE: 15.43	RMSE: 18.50
Epoch 123	LOSS: 64.94	MAE: 15.20	RMSE: 18.29
Epoch 124	LOSS: 63.41	MAE: 15.06	RMSE: 18.12
