Epoch 000	LOSS: 264.18	MAE: 47.19	RMSE: 51.41
Epoch 001	LOSS: 231.06	MAE: 45.04	RMSE: 49.52
Epoch 002	LOSS: 214.09	MAE: 41.06	RMSE: 46.14
Epoch 003	LOSS: 204.30	MAE: 39.57	RMSE: 44.84
Epoch 004	LOSS: 196.68	MAE: 37.19	RMSE: 42.76
Epoch 005	LOSS: 192.31	MAE: 34.52	RMSE: 40.67
Epoch 006	LOSS: 187.33	MAE: 32.03	RMSE: 38.71
Epoch 007	LOSS: 184.61	MAE: 29.62	RMSE: 36.91
Epoch 008	LOSS: 180.16	MAE: 27.39	RMSE: 35.23
Epoch 009	LOSS: 177.03	MAE: 26.12	RMSE: 34.23
Epoch 010	LOSS: 175.29	MAE: 24.99	RMSE: 33.30
Epoch 011	LOSS: 172.29	MAE: 24.09	RMSE: 32.54
Epoch 012	LOSS: 170.38	MAE: 23.38	RMSE: 31.80
Epoch 013	LOSS: 168.10	MAE: 23.00	RMSE: 31.29
Epoch 014	LOSS: 165.11	MAE: 22.09	RMSE: 30.58
Epoch 015	LOSS: 164.81	MAE: 21.40	RMSE: 29.79
Epoch 016	LOSS: 162.48	MAE: 20.92	RMSE: 29.29
Epoch 017	LOSS: 160.78	MAE: 20.45	RMSE: 28.79
Epoch 018	LOSS: 158.45	MAE: 20.02	RMSE: 28.27
Epoch 019	LOSS: 161.09	MAE: 19.64	RMSE: 27.70
Epoch 020	LOSS: 157.93	MAE: 19.46	RMSE: 27.45
Epoch 021	LOSS: 154.21	MAE: 19.41	RMSE: 27.15
Epoch 022	LOSS: 153.58	MAE: 18.77	RMSE: 26.62
Epoch 023	LOSS: 150.79	MAE: 18.38	RMSE: 26.06
Epoch 024	LOSS: 150.22	MAE: 17.96	RMSE: 25.55
Epoch 025	LOSS: 149.43	MAE: 17.53	RMSE: 25.12
Epoch 026	LOSS: 147.14	MAE: 17.47	RMSE: 25.00
Epoch 027	LOSS: 145.30	MAE: 17.18	RMSE: 24.58
Epoch 028	LOSS: 143.60	MAE: 16.88	RMSE: 24.32
Epoch 029	LOSS: 143.31	MAE: 16.49	RMSE: 23.75
Epoch 030	LOSS: 142.21	MAE: 16.08	RMSE: 23.35
Epoch 031	LOSS: 140.70	MAE: 15.76	RMSE: 22.95
Epoch 032	LOSS: 139.17	MAE: 15.56	RMSE: 22.56
Epoch 033	LOSS: 138.76	MAE: 15.40	RMSE: 22.30
