Epoch 000	LOSS: 263.90	MAE: 49.78	RMSE: 53.95
Epoch 001	LOSS: 235.28	MAE: 47.93	RMSE: 52.09
Epoch 002	LOSS: 217.49	MAE: 45.24	RMSE: 49.98
Epoch 003	LOSS: 207.22	MAE: 44.80	RMSE: 49.58
Epoch 004	LOSS: 199.36	MAE: 43.98	RMSE: 48.75
Epoch 005	LOSS: 192.84	MAE: 43.23	RMSE: 48.02
Epoch 006	LOSS: 188.93	MAE: 42.89	RMSE: 47.56
Epoch 007	LOSS: 184.42	MAE: 42.36	RMSE: 46.92
Epoch 008	LOSS: 181.13	MAE: 41.81	RMSE: 46.27
Epoch 009	LOSS: 178.40	MAE: 41.40	RMSE: 45.76
Epoch 010	LOSS: 175.88	MAE: 40.91	RMSE: 45.17
Epoch 011	LOSS: 172.97	MAE: 40.39	RMSE: 44.57
Epoch 012	LOSS: 170.50	MAE: 39.86	RMSE: 43.97
Epoch 013	LOSS: 168.06	MAE: 39.40	RMSE: 43.44
Epoch 014	LOSS: 166.05	MAE: 39.03	RMSE: 42.96
Epoch 015	LOSS: 163.47	MAE: 38.60	RMSE: 42.47
Epoch 016	LOSS: 161.74	MAE: 38.05	RMSE: 41.87
Epoch 017	LOSS: 159.84	MAE: 37.53	RMSE: 41.32
Epoch 018	LOSS: 157.53	MAE: 37.15	RMSE: 40.86
Epoch 019	LOSS: 156.09	MAE: 36.66	RMSE: 40.34
Epoch 020	LOSS: 154.73	MAE: 36.27	RMSE: 39.91
Epoch 021	LOSS: 153.01	MAE: 35.69	RMSE: 39.33
Epoch 022	LOSS: 151.59	MAE: 35.22	RMSE: 38.84
Epoch 023	LOSS: 150.00	MAE: 34.92	RMSE: 38.49
Epoch 024	LOSS: 147.59	MAE: 34.52	RMSE: 38.06
Epoch 025	LOSS: 146.30	MAE: 34.03	RMSE: 37.57
Epoch 026	LOSS: 145.17	MAE: 33.59	RMSE: 37.11
Epoch 027	LOSS: 144.00	MAE: 33.22	RMSE: 36.71
Epoch 028	LOSS: 142.62	MAE: 32.88	RMSE: 36.32
Epoch 029	LOSS: 141.08	MAE: 32.48	RMSE: 35.93
Epoch 030	LOSS: 139.63	MAE: 32.06	RMSE: 35.52
Epoch 031	LOSS: 138.30	MAE: 31.57	RMSE: 35.03
Epoch 032	LOSS: 135.98	MAE: 31.30	RMSE: 34.73
Epoch 033	LOSS: 135.92	MAE: 30.98	RMSE: 34.40
Epoch 034	LOSS: 134.94	MAE: 30.39	RMSE: 33.82
Epoch 035	LOSS: 133.38	MAE: 30.11	RMSE: 33.52
Epoch 036	LOSS: 131.98	MAE: 29.78	RMSE: 33.20
Epoch 037	LOSS: 130.85	MAE: 29.54	RMSE: 32.90
Epoch 038	LOSS: 129.65	MAE: 29.09	RMSE: 32.47
Epoch 039	LOSS: 128.26	MAE: 28.64	RMSE: 32.03
Epoch 040	LOSS: 127.09	MAE: 28.31	RMSE: 31.68
Epoch 041	LOSS: 125.83	MAE: 27.96	RMSE: 31.31
Epoch 042	LOSS: 124.82	MAE: 27.60	RMSE: 30.92
Epoch 043	LOSS: 123.37	MAE: 27.23	RMSE: 30.55
Epoch 044	LOSS: 121.86	MAE: 27.12	RMSE: 30.38
Epoch 045	LOSS: 121.07	MAE: 26.52	RMSE: 29.81
Epoch 046	LOSS: 119.57	MAE: 26.38	RMSE: 29.64
Epoch 047	LOSS: 118.91	MAE: 25.94	RMSE: 29.19
Epoch 048	LOSS: 116.67	MAE: 25.76	RMSE: 28.99
