Epoch 000	LOSS: 268.48	MAE: 48.27	RMSE: 52.31
Epoch 001	LOSS: 230.33	MAE: 45.85	RMSE: 50.06
Epoch 002	LOSS: 213.38	MAE: 43.63	RMSE: 48.09
Epoch 003	LOSS: 202.38	MAE: 42.84	RMSE: 47.34
Epoch 004	LOSS: 196.95	MAE: 42.21	RMSE: 46.82
Epoch 005	LOSS: 189.75	MAE: 41.70	RMSE: 46.34
Epoch 006	LOSS: 184.47	MAE: 41.10	RMSE: 45.73
Epoch 007	LOSS: 183.26	MAE: 40.38	RMSE: 44.96
Epoch 008	LOSS: 178.51	MAE: 39.99	RMSE: 44.49
Epoch 009	LOSS: 174.71	MAE: 39.49	RMSE: 43.92
Epoch 010	LOSS: 170.81	MAE: 39.04	RMSE: 43.36
Epoch 011	LOSS: 168.89	MAE: 38.46	RMSE: 42.73
Epoch 012	LOSS: 164.89	MAE: 37.99	RMSE: 42.22
Epoch 013	LOSS: 161.74	MAE: 37.44	RMSE: 41.60
Epoch 014	LOSS: 159.37	MAE: 36.77	RMSE: 40.88
Epoch 015	LOSS: 157.12	MAE: 36.25	RMSE: 40.29
Epoch 016	LOSS: 155.11	MAE: 35.56	RMSE: 39.58
Epoch 017	LOSS: 153.58	MAE: 34.79	RMSE: 38.78
Epoch 018	LOSS: 151.66	MAE: 34.38	RMSE: 38.32
Epoch 019	LOSS: 148.82	MAE: 33.86	RMSE: 37.81
Epoch 020	LOSS: 148.03	MAE: 33.08	RMSE: 36.99
Epoch 021	LOSS: 146.73	MAE: 32.65	RMSE: 36.55
Epoch 022	LOSS: 145.31	MAE: 32.05	RMSE: 35.93
Epoch 023	LOSS: 144.83	MAE: 31.30	RMSE: 35.18
Epoch 024	LOSS: 140.70	MAE: 30.96	RMSE: 34.83
Epoch 025	LOSS: 139.01	MAE: 30.46	RMSE: 34.28
Epoch 026	LOSS: 139.83	MAE: 29.81	RMSE: 33.63
Epoch 027	LOSS: 137.74	MAE: 29.38	RMSE: 33.19
Epoch 028	LOSS: 135.88	MAE: 28.93	RMSE: 32.71
Epoch 029	LOSS: 135.67	MAE: 28.38	RMSE: 32.16
Epoch 030	LOSS: 133.59	MAE: 27.85	RMSE: 31.62
Epoch 031	LOSS: 132.18	MAE: 27.43	RMSE: 31.20
Epoch 032	LOSS: 131.55	MAE: 26.98	RMSE: 30.72
Epoch 033	LOSS: 130.35	MAE: 26.52	RMSE: 30.25
Epoch 034	LOSS: 128.32	MAE: 26.22	RMSE: 29.93
Epoch 035	LOSS: 127.84	MAE: 25.81	RMSE: 29.49
Epoch 036	LOSS: 126.75	MAE: 25.35	RMSE: 29.04
Epoch 037	LOSS: 125.74	MAE: 25.14	RMSE: 28.79
Epoch 038	LOSS: 124.17	MAE: 24.61	RMSE: 28.30
Epoch 039	LOSS: 123.10	MAE: 24.30	RMSE: 27.99
Epoch 040	LOSS: 122.69	MAE: 23.98	RMSE: 27.62
Epoch 041	LOSS: 121.39	MAE: 23.75	RMSE: 27.36
Epoch 042	LOSS: 119.95	MAE: 23.49	RMSE: 27.06
Epoch 043	LOSS: 120.50	MAE: 23.06	RMSE: 26.61
Epoch 044	LOSS: 117.80	MAE: 22.93	RMSE: 26.51
Epoch 045	LOSS: 117.15	MAE: 22.57	RMSE: 26.13
Epoch 046	LOSS: 116.69	MAE: 22.06	RMSE: 25.62
Epoch 047	LOSS: 115.44	MAE: 22.17	RMSE: 25.67
Epoch 048	LOSS: 114.48	MAE: 21.70	RMSE: 25.22
Epoch 049	LOSS: 113.29	MAE: 21.45	RMSE: 24.96
Epoch 050	LOSS: 112.64	MAE: 21.23	RMSE: 24.71
Epoch 051	LOSS: 111.85	MAE: 20.98	RMSE: 24.40
Epoch 052	LOSS: 110.31	MAE: 20.88	RMSE: 24.28
Epoch 053	LOSS: 109.92	MAE: 20.46	RMSE: 23.86
Epoch 054	LOSS: 108.64	MAE: 20.30	RMSE: 23.69
Epoch 055	LOSS: 108.11	MAE: 20.11	RMSE: 23.43
Epoch 056	LOSS: 107.10	MAE: 19.81	RMSE: 23.14
Epoch 057	LOSS: 105.74	MAE: 19.76	RMSE: 23.05
Epoch 058	LOSS: 104.82	MAE: 19.60	RMSE: 22.88
Epoch 059	LOSS: 104.45	MAE: 19.26	RMSE: 22.52
Epoch 060	LOSS: 103.22	MAE: 19.02	RMSE: 22.30
Epoch 061	LOSS: 103.14	MAE: 18.96	RMSE: 22.18
Epoch 062	LOSS: 101.95	MAE: 18.84	RMSE: 22.04
Epoch 063	LOSS: 100.90	MAE: 18.61	RMSE: 21.82
Epoch 064	LOSS: 100.28	MAE: 18.46	RMSE: 21.62
Epoch 065	LOSS: 98.99	MAE: 18.14	RMSE: 21.29
Epoch 066	LOSS: 98.65	MAE: 17.86	RMSE: 21.01
Epoch 067	LOSS: 97.46	MAE: 17.81	RMSE: 20.91
Epoch 068	LOSS: 96.42	MAE: 17.65	RMSE: 20.73
Epoch 069	LOSS: 96.09	MAE: 17.45	RMSE: 20.55
Epoch 070	LOSS: 95.17	MAE: 17.35	RMSE: 20.42
Epoch 071	LOSS: 93.88	MAE: 17.36	RMSE: 20.38
Epoch 072	LOSS: 93.30	MAE: 17.06	RMSE: 20.09
Epoch 073	LOSS: 92.65	MAE: 16.99	RMSE: 19.96
Epoch 074	LOSS: 91.15	MAE: 16.68	RMSE: 19.67
Epoch 075	LOSS: 90.87	MAE: 16.43	RMSE: 19.37
Epoch 076	LOSS: 89.89	MAE: 16.45	RMSE: 19.37
Epoch 077	LOSS: 89.16	MAE: 16.19	RMSE: 19.11
Epoch 078	LOSS: 88.63	MAE: 15.94	RMSE: 18.83
Epoch 079	LOSS: 87.50	MAE: 15.82	RMSE: 18.71
Epoch 080	LOSS: 86.34	MAE: 15.74	RMSE: 18.63
Epoch 081	LOSS: 85.56	MAE: 15.54	RMSE: 18.41
Epoch 082	LOSS: 84.83	MAE: 15.24	RMSE: 18.10
Epoch 083	LOSS: 84.10	MAE: 15.18	RMSE: 18.04
Epoch 084	LOSS: 83.31	MAE: 14.99	RMSE: 17.82
Epoch 085	LOSS: 82.72	MAE: 14.86	RMSE: 17.66
Epoch 086	LOSS: 81.57	MAE: 14.78	RMSE: 17.59
Epoch 087	LOSS: 80.17	MAE: 14.64	RMSE: 17.43
Epoch 088	LOSS: 80.44	MAE: 14.19	RMSE: 16.99
Epoch 089	LOSS: 79.42	MAE: 14.21	RMSE: 16.96
Epoch 090	LOSS: 78.37	MAE: 13.94	RMSE: 16.71
Epoch 091	LOSS: 77.30	MAE: 13.82	RMSE: 16.58
Epoch 092	LOSS: 76.56	MAE: 13.73	RMSE: 16.46
Epoch 093	LOSS: 75.47	MAE: 13.61	RMSE: 16.36
Epoch 094	LOSS: 74.91	MAE: 13.48	RMSE: 16.21
Epoch 095	LOSS: 74.22	MAE: 13.16	RMSE: 15.90
Epoch 096	LOSS: 73.44	MAE: 13.07	RMSE: 15.78
Epoch 097	LOSS: 72.55	MAE: 12.92	RMSE: 15.63
Epoch 098	LOSS: 71.77	MAE: 12.88	RMSE: 15.55
Epoch 099	LOSS: 70.83	MAE: 12.56	RMSE: 15.25
Epoch 100	LOSS: 69.95	MAE: 12.39	RMSE: 15.08
Epoch 101	LOSS: 69.03	MAE: 12.52	RMSE: 15.17
Epoch 102	LOSS: 67.68	MAE: 12.13	RMSE: 14.82
Epoch 103	LOSS: 67.98	MAE: 12.04	RMSE: 14.73
Epoch 104	LOSS: 66.99	MAE: 11.97	RMSE: 14.62
Epoch 105	LOSS: 66.28	MAE: 11.84	RMSE: 14.50
Epoch 106	LOSS: 65.45	MAE: 11.72	RMSE: 14.37
Epoch 107	LOSS: 64.52	MAE: 11.29	RMSE: 14.02
Epoch 108	LOSS: 63.61	MAE: 11.31	RMSE: 14.03
Epoch 109	LOSS: 62.97	MAE: 11.06	RMSE: 13.78
Epoch 110	LOSS: 62.26	MAE: 10.88	RMSE: 13.60
Epoch 111	LOSS: 61.05	MAE: 10.72	RMSE: 13.46
Epoch 112	LOSS: 60.56	MAE: 10.85	RMSE: 13.55
Epoch 113	LOSS: 59.36	MAE: 10.51	RMSE: 13.26
Epoch 114	LOSS: 58.62	MAE: 10.44	RMSE: 13.15
Epoch 115	LOSS: 57.98	MAE: 10.25	RMSE: 13.00
Epoch 116	LOSS: 57.21	MAE: 10.07	RMSE: 12.84
Epoch 117	LOSS: 56.39	MAE: 10.11	RMSE: 12.85
Epoch 118	LOSS: 55.45	MAE: 9.79	RMSE: 12.58
Epoch 119	LOSS: 55.38	MAE: 9.64	RMSE: 12.44
Epoch 120	LOSS: 54.49	MAE: 9.44	RMSE: 12.28
Epoch 121	LOSS: 53.60	MAE: 9.41	RMSE: 12.22
Epoch 122	LOSS: 52.59	MAE: 9.34	RMSE: 12.17
Epoch 123	LOSS: 51.72	MAE: 9.07	RMSE: 11.96
Epoch 124	LOSS: 50.99	MAE: 8.84	RMSE: 11.77
Epoch 125	LOSS: 50.25	MAE: 8.83	RMSE: 11.75
Epoch 126	LOSS: 49.59	MAE: 8.77	RMSE: 11.71
