Epoch 000	LOSS: 261.95	MAE: 55.00	RMSE: 58.37
Epoch 001	LOSS: 219.09	MAE: 51.32	RMSE: 55.75
Epoch 002	LOSS: 206.42	MAE: 49.78	RMSE: 54.73
Epoch 003	LOSS: 197.15	MAE: 48.59	RMSE: 53.96
Epoch 004	LOSS: 191.19	MAE: 47.72	RMSE: 53.31
Epoch 005	LOSS: 186.50	MAE: 47.16	RMSE: 52.70
Epoch 006	LOSS: 181.53	MAE: 46.53	RMSE: 52.06
Epoch 007	LOSS: 178.64	MAE: 45.80	RMSE: 51.37
Epoch 008	LOSS: 174.88	MAE: 45.15	RMSE: 50.67
Epoch 009	LOSS: 173.57	MAE: 44.37	RMSE: 49.94
Epoch 010	LOSS: 172.48	MAE: 43.75	RMSE: 49.22
Epoch 011	LOSS: 169.27	MAE: 43.09	RMSE: 48.50
Epoch 012	LOSS: 165.38	MAE: 42.26	RMSE: 47.75
Epoch 013	LOSS: 162.17	MAE: 41.63	RMSE: 47.06
Epoch 014	LOSS: 161.89	MAE: 41.01	RMSE: 46.37
Epoch 015	LOSS: 160.03	MAE: 40.35	RMSE: 45.74
Epoch 016	LOSS: 157.02	MAE: 39.83	RMSE: 45.11
Epoch 017	LOSS: 155.14	MAE: 39.19	RMSE: 44.50
Epoch 018	LOSS: 154.20	MAE: 38.63	RMSE: 43.90
Epoch 019	LOSS: 151.73	MAE: 38.20	RMSE: 43.41
Epoch 020	LOSS: 150.44	MAE: 37.64	RMSE: 42.84
Epoch 021	LOSS: 149.44	MAE: 37.22	RMSE: 42.33
Epoch 022	LOSS: 146.95	MAE: 36.67	RMSE: 41.79
Epoch 023	LOSS: 146.94	MAE: 36.20	RMSE: 41.32
Epoch 024	LOSS: 143.94	MAE: 35.74	RMSE: 40.86
Epoch 025	LOSS: 140.99	MAE: 35.34	RMSE: 40.42
Epoch 026	LOSS: 143.17	MAE: 34.92	RMSE: 39.91
Epoch 027	LOSS: 141.21	MAE: 34.53	RMSE: 39.51
Epoch 028	LOSS: 139.98	MAE: 34.11	RMSE: 39.11
Epoch 029	LOSS: 138.78	MAE: 33.76	RMSE: 38.72
Epoch 030	LOSS: 137.90	MAE: 33.40	RMSE: 38.31
Epoch 031	LOSS: 135.26	MAE: 33.02	RMSE: 37.91
Epoch 032	LOSS: 134.62	MAE: 32.71	RMSE: 37.53
Epoch 033	LOSS: 133.87	MAE: 32.36	RMSE: 37.18
Epoch 034	LOSS: 133.34	MAE: 31.98	RMSE: 36.80
Epoch 035	LOSS: 131.13	MAE: 31.66	RMSE: 36.46
Epoch 036	LOSS: 129.09	MAE: 31.31	RMSE: 36.11
Epoch 037	LOSS: 130.04	MAE: 30.96	RMSE: 35.72
Epoch 038	LOSS: 127.87	MAE: 30.73	RMSE: 35.42
Epoch 039	LOSS: 127.05	MAE: 30.34	RMSE: 35.07
Epoch 040	LOSS: 126.26	MAE: 30.10	RMSE: 34.75
Epoch 041	LOSS: 124.85	MAE: 29.71	RMSE: 34.39
Epoch 042	LOSS: 125.19	MAE: 29.49	RMSE: 34.08
Epoch 043	LOSS: 123.10	MAE: 29.24	RMSE: 33.83
Epoch 044	LOSS: 122.79	MAE: 28.89	RMSE: 33.49
Epoch 045	LOSS: 121.77	MAE: 28.62	RMSE: 33.20
Epoch 046	LOSS: 119.74	MAE: 28.38	RMSE: 32.91
Epoch 047	LOSS: 118.95	MAE: 28.10	RMSE: 32.58
Epoch 048	LOSS: 117.94	MAE: 27.88	RMSE: 32.35
Epoch 049	LOSS: 118.45	MAE: 27.62	RMSE: 32.07
Epoch 050	LOSS: 116.94	MAE: 27.40	RMSE: 31.85
Epoch 051	LOSS: 115.50	MAE: 27.13	RMSE: 31.59
Epoch 052	LOSS: 114.94	MAE: 26.86	RMSE: 31.27
Epoch 053	LOSS: 113.29	MAE: 26.64	RMSE: 31.02
Epoch 054	LOSS: 113.47	MAE: 26.47	RMSE: 30.79
Epoch 055	LOSS: 110.98	MAE: 26.22	RMSE: 30.56
Epoch 056	LOSS: 110.80	MAE: 26.07	RMSE: 30.36
Epoch 057	LOSS: 111.03	MAE: 25.83	RMSE: 30.09
Epoch 058	LOSS: 110.63	MAE: 25.55	RMSE: 29.75
Epoch 059	LOSS: 108.18	MAE: 25.35	RMSE: 29.59
Epoch 060	LOSS: 107.34	MAE: 25.12	RMSE: 29.33
Epoch 061	LOSS: 106.90	MAE: 24.95	RMSE: 29.12
Epoch 062	LOSS: 106.47	MAE: 24.68	RMSE: 28.84
Epoch 063	LOSS: 106.10	MAE: 24.49	RMSE: 28.62
Epoch 064	LOSS: 104.74	MAE: 24.30	RMSE: 28.37
Epoch 065	LOSS: 104.54	MAE: 24.07	RMSE: 28.13
Epoch 066	LOSS: 102.77	MAE: 23.93	RMSE: 27.95
Epoch 067	LOSS: 102.78	MAE: 23.66	RMSE: 27.67
Epoch 068	LOSS: 101.41	MAE: 23.46	RMSE: 27.44
Epoch 069	LOSS: 100.47	MAE: 23.27	RMSE: 27.25
Epoch 070	LOSS: 99.72	MAE: 23.18	RMSE: 27.05
Epoch 071	LOSS: 99.20	MAE: 23.00	RMSE: 26.86
Epoch 072	LOSS: 98.82	MAE: 22.77	RMSE: 26.56
Epoch 073	LOSS: 97.50	MAE: 22.53	RMSE: 26.36
Epoch 074	LOSS: 96.64	MAE: 22.33	RMSE: 26.14
Epoch 075	LOSS: 96.41	MAE: 22.19	RMSE: 25.94
Epoch 076	LOSS: 94.72	MAE: 21.90	RMSE: 25.65
Epoch 077	LOSS: 93.62	MAE: 21.83	RMSE: 25.56
Epoch 078	LOSS: 93.14	MAE: 21.64	RMSE: 25.35
Epoch 079	LOSS: 91.91	MAE: 21.42	RMSE: 25.14
Epoch 080	LOSS: 90.86	MAE: 21.14	RMSE: 24.83
Epoch 081	LOSS: 91.12	MAE: 20.93	RMSE: 24.55
Epoch 082	LOSS: 90.12	MAE: 20.80	RMSE: 24.44
Epoch 083	LOSS: 88.96	MAE: 20.56	RMSE: 24.18
Epoch 084	LOSS: 88.13	MAE: 20.41	RMSE: 24.00
Epoch 085	LOSS: 87.19	MAE: 20.20	RMSE: 23.76
Epoch 086	LOSS: 86.27	MAE: 20.06	RMSE: 23.57
Epoch 087	LOSS: 86.02	MAE: 19.83	RMSE: 23.29
Epoch 088	LOSS: 84.87	MAE: 19.61	RMSE: 23.07
Epoch 089	LOSS: 84.00	MAE: 19.53	RMSE: 22.98
Epoch 090	LOSS: 83.46	MAE: 19.29	RMSE: 22.72
Epoch 091	LOSS: 82.67	MAE: 19.03	RMSE: 22.45
Epoch 092	LOSS: 80.96	MAE: 18.99	RMSE: 22.37
Epoch 093	LOSS: 80.77	MAE: 18.69	RMSE: 22.10
Epoch 094	LOSS: 80.01	MAE: 18.59	RMSE: 21.94
Epoch 095	LOSS: 79.46	MAE: 18.39	RMSE: 21.70
Epoch 096	LOSS: 78.62	MAE: 18.19	RMSE: 21.43
Epoch 097	LOSS: 77.92	MAE: 18.02	RMSE: 21.27
Epoch 098	LOSS: 76.76	MAE: 17.73	RMSE: 20.99
Epoch 099	LOSS: 76.25	MAE: 17.54	RMSE: 20.80
Epoch 100	LOSS: 75.60	MAE: 17.33	RMSE: 20.56
Epoch 101	LOSS: 74.54	MAE: 17.15	RMSE: 20.36
Epoch 102	LOSS: 73.99	MAE: 17.00	RMSE: 20.21
Epoch 103	LOSS: 73.31	MAE: 16.88	RMSE: 20.01
Epoch 104	LOSS: 71.49	MAE: 16.60	RMSE: 19.76
Epoch 105	LOSS: 71.03	MAE: 16.37	RMSE: 19.50
Epoch 106	LOSS: 71.21	MAE: 16.02	RMSE: 19.11
Epoch 107	LOSS: 69.97	MAE: 15.91	RMSE: 19.03
Epoch 108	LOSS: 69.45	MAE: 15.80	RMSE: 18.89
Epoch 109	LOSS: 68.31	MAE: 15.58	RMSE: 18.66
Epoch 110	LOSS: 67.91	MAE: 15.35	RMSE: 18.42
