Epoch 000	LOSS: 260.67	MAE: 54.95	RMSE: 58.29
Epoch 001	LOSS: 220.17	MAE: 51.88	RMSE: 56.21
Epoch 002	LOSS: 206.25	MAE: 50.56	RMSE: 55.12
Epoch 003	LOSS: 195.27	MAE: 48.77	RMSE: 54.09
Epoch 004	LOSS: 191.50	MAE: 48.11	RMSE: 53.52
Epoch 005	LOSS: 183.07	MAE: 47.30	RMSE: 52.91
Epoch 006	LOSS: 181.69	MAE: 46.70	RMSE: 52.30
Epoch 007	LOSS: 179.30	MAE: 45.96	RMSE: 51.62
Epoch 008	LOSS: 175.63	MAE: 45.36	RMSE: 50.98
Epoch 009	LOSS: 174.25	MAE: 44.59	RMSE: 50.23
Epoch 010	LOSS: 170.94	MAE: 43.90	RMSE: 49.50
Epoch 011	LOSS: 170.29	MAE: 43.32	RMSE: 48.81
Epoch 012	LOSS: 165.62	MAE: 42.69	RMSE: 48.12
Epoch 013	LOSS: 163.29	MAE: 41.94	RMSE: 47.42
Epoch 014	LOSS: 160.15	MAE: 41.32	RMSE: 46.75
Epoch 015	LOSS: 161.34	MAE: 40.82	RMSE: 46.13
Epoch 016	LOSS: 159.39	MAE: 40.24	RMSE: 45.52
Epoch 017	LOSS: 155.69	MAE: 39.62	RMSE: 44.91
Epoch 018	LOSS: 153.49	MAE: 39.03	RMSE: 44.33
Epoch 019	LOSS: 152.55	MAE: 38.51	RMSE: 43.79
Epoch 020	LOSS: 152.27	MAE: 38.17	RMSE: 43.27
Epoch 021	LOSS: 149.90	MAE: 37.62	RMSE: 42.73
Epoch 022	LOSS: 148.13	MAE: 37.13	RMSE: 42.22
Epoch 023	LOSS: 146.25	MAE: 36.68	RMSE: 41.77
Epoch 024	LOSS: 144.82	MAE: 36.19	RMSE: 41.26
Epoch 025	LOSS: 143.76	MAE: 35.78	RMSE: 40.78
Epoch 026	LOSS: 141.38	MAE: 35.31	RMSE: 40.31
Epoch 027	LOSS: 139.52	MAE: 34.99	RMSE: 39.93
Epoch 028	LOSS: 138.86	MAE: 34.50	RMSE: 39.45
Epoch 029	LOSS: 137.58	MAE: 34.15	RMSE: 39.00
Epoch 030	LOSS: 135.65	MAE: 33.77	RMSE: 38.60
Epoch 031	LOSS: 135.12	MAE: 33.29	RMSE: 38.18
Epoch 032	LOSS: 134.42	MAE: 33.08	RMSE: 37.80
Epoch 033	LOSS: 131.85	MAE: 32.71	RMSE: 37.43
Epoch 034	LOSS: 131.48	MAE: 32.29	RMSE: 37.04
Epoch 035	LOSS: 130.64	MAE: 31.97	RMSE: 36.65
Epoch 036	LOSS: 128.01	MAE: 31.58	RMSE: 36.28
Epoch 037	LOSS: 126.74	MAE: 31.35	RMSE: 35.95
Epoch 038	LOSS: 125.77	MAE: 30.96	RMSE: 35.59
Epoch 039	LOSS: 126.26	MAE: 30.68	RMSE: 35.27
Epoch 040	LOSS: 124.81	MAE: 30.38	RMSE: 34.92
Epoch 041	LOSS: 123.39	MAE: 30.09	RMSE: 34.66
Epoch 042	LOSS: 121.76	MAE: 29.79	RMSE: 34.30
Epoch 043	LOSS: 121.71	MAE: 29.47	RMSE: 33.97
Epoch 044	LOSS: 120.27	MAE: 29.31	RMSE: 33.71
Epoch 045	LOSS: 119.66	MAE: 29.01	RMSE: 33.44
Epoch 046	LOSS: 118.94	MAE: 28.79	RMSE: 33.16
Epoch 047	LOSS: 118.38	MAE: 28.54	RMSE: 32.93
Epoch 048	LOSS: 117.75	MAE: 28.30	RMSE: 32.62
Epoch 049	LOSS: 116.38	MAE: 28.13	RMSE: 32.38
Epoch 050	LOSS: 115.60	MAE: 27.81	RMSE: 32.11
Epoch 051	LOSS: 115.42	MAE: 27.63	RMSE: 31.85
Epoch 052	LOSS: 113.38	MAE: 27.32	RMSE: 31.62
Epoch 053	LOSS: 112.54	MAE: 27.11	RMSE: 31.38
Epoch 054	LOSS: 111.35	MAE: 26.91	RMSE: 31.12
Epoch 055	LOSS: 110.91	MAE: 26.67	RMSE: 30.86
Epoch 056	LOSS: 110.42	MAE: 26.50	RMSE: 30.69
Epoch 057	LOSS: 109.39	MAE: 26.28	RMSE: 30.44
Epoch 058	LOSS: 108.56	MAE: 26.05	RMSE: 30.19
Epoch 059	LOSS: 108.22	MAE: 25.81	RMSE: 29.91
Epoch 060	LOSS: 106.30	MAE: 25.60	RMSE: 29.71
Epoch 061	LOSS: 105.82	MAE: 25.42	RMSE: 29.50
Epoch 062	LOSS: 104.50	MAE: 25.13	RMSE: 29.19
Epoch 063	LOSS: 104.29	MAE: 24.98	RMSE: 29.01
Epoch 064	LOSS: 103.90	MAE: 24.83	RMSE: 28.81
Epoch 065	LOSS: 103.48	MAE: 24.59	RMSE: 28.57
Epoch 066	LOSS: 102.83	MAE: 24.41	RMSE: 28.36
Epoch 067	LOSS: 102.15	MAE: 24.21	RMSE: 28.16
Epoch 068	LOSS: 100.26	MAE: 24.01	RMSE: 27.97
Epoch 069	LOSS: 99.83	MAE: 23.80	RMSE: 27.70
Epoch 070	LOSS: 98.67	MAE: 23.58	RMSE: 27.47
Epoch 071	LOSS: 98.28	MAE: 23.48	RMSE: 27.32
Epoch 072	LOSS: 97.24	MAE: 23.27	RMSE: 27.09
Epoch 073	LOSS: 97.23	MAE: 23.09	RMSE: 26.90
Epoch 074	LOSS: 95.77	MAE: 22.87	RMSE: 26.68
Epoch 075	LOSS: 95.10	MAE: 22.72	RMSE: 26.47
Epoch 076	LOSS: 94.72	MAE: 22.46	RMSE: 26.23
Epoch 077	LOSS: 94.04	MAE: 22.35	RMSE: 26.05
Epoch 078	LOSS: 93.26	MAE: 22.28	RMSE: 25.96
Epoch 079	LOSS: 92.14	MAE: 22.04	RMSE: 25.72
Epoch 080	LOSS: 91.73	MAE: 21.83	RMSE: 25.50
Epoch 081	LOSS: 91.32	MAE: 21.62	RMSE: 25.30
Epoch 082	LOSS: 89.93	MAE: 21.54	RMSE: 25.18
Epoch 083	LOSS: 89.38	MAE: 21.38	RMSE: 24.98
Epoch 084	LOSS: 88.99	MAE: 21.17	RMSE: 24.76
Epoch 085	LOSS: 88.59	MAE: 21.06	RMSE: 24.62
Epoch 086	LOSS: 87.37	MAE: 20.95	RMSE: 24.47
Epoch 087	LOSS: 87.53	MAE: 20.83	RMSE: 24.34
Epoch 088	LOSS: 85.04	MAE: 20.61	RMSE: 24.13
Epoch 089	LOSS: 85.51	MAE: 20.41	RMSE: 23.91
Epoch 090	LOSS: 85.01	MAE: 20.41	RMSE: 23.83
Epoch 091	LOSS: 84.14	MAE: 20.13	RMSE: 23.60
Epoch 092	LOSS: 84.08	MAE: 19.91	RMSE: 23.33
Epoch 093	LOSS: 82.49	MAE: 19.85	RMSE: 23.25
Epoch 094	LOSS: 82.48	MAE: 19.65	RMSE: 23.01
Epoch 095	LOSS: 81.64	MAE: 19.50	RMSE: 22.86
Epoch 096	LOSS: 80.80	MAE: 19.40	RMSE: 22.71
Epoch 097	LOSS: 80.14	MAE: 19.21	RMSE: 22.55
Epoch 098	LOSS: 79.87	MAE: 19.09	RMSE: 22.42
Epoch 099	LOSS: 79.27	MAE: 18.76	RMSE: 22.07
Epoch 100	LOSS: 78.88	MAE: 18.65	RMSE: 21.92
Epoch 101	LOSS: 77.53	MAE: 18.53	RMSE: 21.80
Epoch 102	LOSS: 76.34	MAE: 18.37	RMSE: 21.65
Epoch 103	LOSS: 75.85	MAE: 18.25	RMSE: 21.50
Epoch 104	LOSS: 76.62	MAE: 18.00	RMSE: 21.19
Epoch 105	LOSS: 75.74	MAE: 17.81	RMSE: 21.00
Epoch 106	LOSS: 75.02	MAE: 17.75	RMSE: 20.91
Epoch 107	LOSS: 74.44	MAE: 17.55	RMSE: 20.72
Epoch 108	LOSS: 73.19	MAE: 17.39	RMSE: 20.54
Epoch 109	LOSS: 72.75	MAE: 17.17	RMSE: 20.34
Epoch 110	LOSS: 71.86	MAE: 17.00	RMSE: 20.17
Epoch 111	LOSS: 71.55	MAE: 16.93	RMSE: 20.06
Epoch 112	LOSS: 71.00	MAE: 16.65	RMSE: 19.78
Epoch 113	LOSS: 69.84	MAE: 16.42	RMSE: 19.56
Epoch 114	LOSS: 69.89	MAE: 16.50	RMSE: 19.56
Epoch 115	LOSS: 68.66	MAE: 16.29	RMSE: 19.35
Epoch 116	LOSS: 68.42	MAE: 16.08	RMSE: 19.14
Epoch 117	LOSS: 67.63	MAE: 15.91	RMSE: 18.95
Epoch 118	LOSS: 67.78	MAE: 15.67	RMSE: 18.67
Epoch 119	LOSS: 66.63	MAE: 15.50	RMSE: 18.55
Epoch 120	LOSS: 65.48	MAE: 15.39	RMSE: 18.43
Epoch 121	LOSS: 65.17	MAE: 15.14	RMSE: 18.18
Epoch 122	LOSS: 64.49	MAE: 14.95	RMSE: 17.96
Epoch 123	LOSS: 63.90	MAE: 14.78	RMSE: 17.78
Epoch 124	LOSS: 62.70	MAE: 14.67	RMSE: 17.69
Epoch 125	LOSS: 61.81	MAE: 14.50	RMSE: 17.55
Epoch 126	LOSS: 61.75	MAE: 14.32	RMSE: 17.34
Epoch 127	LOSS: 60.43	MAE: 14.15	RMSE: 17.16
Epoch 128	LOSS: 60.54	MAE: 13.95	RMSE: 16.95
Epoch 129	LOSS: 59.63	MAE: 13.79	RMSE: 16.79
Epoch 130	LOSS: 59.07	MAE: 13.64	RMSE: 16.66
Epoch 131	LOSS: 58.33	MAE: 13.45	RMSE: 16.46
Epoch 132	LOSS: 57.36	MAE: 13.30	RMSE: 16.29
Epoch 133	LOSS: 57.16	MAE: 13.09	RMSE: 16.09
Epoch 134	LOSS: 56.06	MAE: 12.92	RMSE: 15.93
Epoch 135	LOSS: 55.96	MAE: 12.81	RMSE: 15.77
Epoch 136	LOSS: 54.78	MAE: 12.62	RMSE: 15.62
Epoch 137	LOSS: 54.84	MAE: 12.50	RMSE: 15.51
Epoch 138	LOSS: 53.66	MAE: 12.24	RMSE: 15.27
Epoch 139	LOSS: 52.91	MAE: 12.13	RMSE: 15.15
Epoch 140	LOSS: 52.36	MAE: 11.99	RMSE: 15.01
Epoch 141	LOSS: 51.96	MAE: 11.83	RMSE: 14.84
Epoch 142	LOSS: 51.03	MAE: 11.59	RMSE: 14.65
Epoch 143	LOSS: 50.86	MAE: 11.39	RMSE: 14.45
Epoch 144	LOSS: 49.79	MAE: 11.29	RMSE: 14.37
Epoch 145	LOSS: 49.66	MAE: 11.12	RMSE: 14.21
Epoch 146	LOSS: 48.74	MAE: 10.92	RMSE: 14.03
Epoch 147	LOSS: 48.00	MAE: 10.78	RMSE: 13.88
Epoch 148	LOSS: 47.59	MAE: 10.66	RMSE: 13.78
Epoch 149	LOSS: 47.02	MAE: 10.41	RMSE: 13.56
Epoch 150	LOSS: 46.65	MAE: 10.24	RMSE: 13.42
Epoch 151	LOSS: 45.83	MAE: 10.04	RMSE: 13.24
Epoch 152	LOSS: 44.69	MAE: 9.96	RMSE: 13.17
Epoch 153	LOSS: 44.65	MAE: 9.84	RMSE: 13.04
Epoch 154	LOSS: 44.09	MAE: 9.56	RMSE: 12.80
Epoch 155	LOSS: 42.94	MAE: 9.41	RMSE: 12.67
Epoch 156	LOSS: 42.62	MAE: 9.23	RMSE: 12.51
Epoch 157	LOSS: 42.10	MAE: 9.12	RMSE: 12.43
Epoch 158	LOSS: 41.16	MAE: 8.95	RMSE: 12.30
Epoch 159	LOSS: 41.07	MAE: 8.77	RMSE: 12.17
Epoch 160	LOSS: 40.34	MAE: 8.63	RMSE: 12.06
Epoch 161	LOSS: 39.63	MAE: 8.46	RMSE: 11.92
Epoch 162	LOSS: 38.91	MAE: 8.32	RMSE: 11.80
Epoch 163	LOSS: 38.65	MAE: 8.15	RMSE: 11.68
Epoch 164	LOSS: 37.66	MAE: 8.03	RMSE: 11.58
Epoch 165	LOSS: 36.99	MAE: 7.86	RMSE: 11.45
Epoch 166	LOSS: 36.44	MAE: 7.70	RMSE: 11.31
Epoch 167	LOSS: 35.98	MAE: 7.60	RMSE: 11.22
Epoch 168	LOSS: 35.36	MAE: 7.36	RMSE: 11.05
Epoch 169	LOSS: 34.92	MAE: 7.13	RMSE: 10.89
Epoch 170	LOSS: 34.10	MAE: 7.05	RMSE: 10.84
Epoch 171	LOSS: 33.71	MAE: 6.91	RMSE: 10.74
Epoch 172	LOSS: 33.21	MAE: 6.87	RMSE: 10.70
Epoch 173	LOSS: 32.51	MAE: 6.71	RMSE: 10.57
Epoch 174	LOSS: 32.02	MAE: 6.60	RMSE: 10.48
Epoch 175	LOSS: 31.23	MAE: 6.44	RMSE: 10.38
Epoch 176	LOSS: 30.68	MAE: 6.39	RMSE: 10.34
Epoch 177	LOSS: 30.32	MAE: 6.20	RMSE: 10.23
Epoch 178	LOSS: 29.65	MAE: 6.12	RMSE: 10.16
Epoch 179	LOSS: 29.40	MAE: 5.99	RMSE: 10.08
Epoch 180	LOSS: 29.10	MAE: 5.97	RMSE: 10.05
Epoch 181	LOSS: 28.41	MAE: 5.86	RMSE: 9.96
Epoch 182	LOSS: 28.33	MAE: 5.75	RMSE: 9.89
Epoch 183	LOSS: 27.91	MAE: 5.70	RMSE: 9.85
Epoch 184	LOSS: 27.50	MAE: 5.59	RMSE: 9.80
Epoch 185	LOSS: 26.98	MAE: 5.49	RMSE: 9.73
Epoch 186	LOSS: 27.09	MAE: 5.46	RMSE: 9.68
Epoch 187	LOSS: 26.47	MAE: 5.41	RMSE: 9.64
Epoch 188	LOSS: 26.05	MAE: 5.30	RMSE: 9.60
Epoch 189	LOSS: 25.85	MAE: 5.22	RMSE: 9.54
Epoch 190	LOSS: 25.73	MAE: 5.23	RMSE: 9.54
Epoch 191	LOSS: 25.63	MAE: 5.17	RMSE: 9.50
Epoch 192	LOSS: 25.16	MAE: 5.09	RMSE: 9.45
Epoch 193	LOSS: 25.07	MAE: 5.03	RMSE: 9.43
Epoch 194	LOSS: 24.73	MAE: 5.02	RMSE: 9.41
Epoch 195	LOSS: 24.68	MAE: 5.00	RMSE: 9.40
Epoch 196	LOSS: 24.93	MAE: 4.92	RMSE: 9.37
Epoch 197	LOSS: 24.32	MAE: 4.86	RMSE: 9.34
Epoch 198	LOSS: 24.14	MAE: 4.86	RMSE: 9.33
Epoch 199	LOSS: 23.96	MAE: 4.80	RMSE: 9.32
Epoch 200	LOSS: 23.96	MAE: 4.78	RMSE: 9.30
Epoch 201	LOSS: 23.62	MAE: 4.78	RMSE: 9.29
Epoch 202	LOSS: 23.36	MAE: 4.74	RMSE: 9.26
Epoch 203	LOSS: 23.41	MAE: 4.76	RMSE: 9.26
Epoch 204	LOSS: 23.57	MAE: 4.71	RMSE: 9.25
Epoch 205	LOSS: 23.40	MAE: 4.69	RMSE: 9.25
Epoch 206	LOSS: 23.16	MAE: 4.64	RMSE: 9.24
Epoch 207	LOSS: 23.25	MAE: 4.64	RMSE: 9.22
Epoch 208	LOSS: 23.16	MAE: 4.64	RMSE: 9.21
Epoch 209	LOSS: 22.96	MAE: 4.64	RMSE: 9.21
Epoch 210	LOSS: 22.67	MAE: 4.63	RMSE: 9.21
Epoch 211	LOSS: 22.47	MAE: 4.59	RMSE: 9.19
Epoch 212	LOSS: 22.53	MAE: 4.60	RMSE: 9.18
Epoch 213	LOSS: 22.22	MAE: 4.57	RMSE: 9.20
Epoch 214	LOSS: 22.18	MAE: 4.56	RMSE: 9.19
Epoch 215	LOSS: 22.59	MAE: 4.54	RMSE: 9.19
Epoch 216	LOSS: 22.31	MAE: 4.58	RMSE: 9.19
Epoch 217	LOSS: 22.51	MAE: 4.57	RMSE: 9.18
Epoch 218	LOSS: 22.56	MAE: 4.54	RMSE: 9.19
Epoch 219	LOSS: 21.63	MAE: 4.54	RMSE: 9.17
Epoch 220	LOSS: 21.75	MAE: 4.54	RMSE: 9.19
Epoch 221	LOSS: 22.54	MAE: 4.54	RMSE: 9.18
Epoch 222	LOSS: 22.08	MAE: 4.53	RMSE: 9.16
Epoch 223	LOSS: 21.67	MAE: 4.52	RMSE: 9.17
Epoch 224	LOSS: 22.21	MAE: 4.57	RMSE: 9.20
Epoch 225	LOSS: 22.05	MAE: 4.53	RMSE: 9.18
Epoch 226	LOSS: 21.92	MAE: 4.51	RMSE: 9.17
Epoch 227	LOSS: 21.96	MAE: 4.48	RMSE: 9.18
Epoch 228	LOSS: 22.14	MAE: 4.51	RMSE: 9.19
Epoch 229	LOSS: 22.26	MAE: 4.52	RMSE: 9.17
Epoch 230	LOSS: 21.84	MAE: 4.50	RMSE: 9.17
Epoch 231	LOSS: 21.69	MAE: 4.50	RMSE: 9.17
Epoch 232	LOSS: 21.50	MAE: 4.51	RMSE: 9.17
Epoch 233	LOSS: 21.60	MAE: 4.49	RMSE: 9.17
Epoch 234	LOSS: 21.54	MAE: 4.50	RMSE: 9.17
Epoch 235	LOSS: 21.77	MAE: 4.50	RMSE: 9.18
Epoch 236	LOSS: 21.69	MAE: 4.51	RMSE: 9.17
Epoch 237	LOSS: 21.72	MAE: 4.47	RMSE: 9.16
Epoch 238	LOSS: 21.61	MAE: 4.50	RMSE: 9.18
Epoch 239	LOSS: 21.24	MAE: 4.47	RMSE: 9.18
