Epoch 000	LOSS: 260.95	MAE: 54.93	RMSE: 58.26
Epoch 001	LOSS: 219.65	MAE: 51.63	RMSE: 55.89
Epoch 002	LOSS: 202.95	MAE: 49.78	RMSE: 54.71
Epoch 003	LOSS: 195.88	MAE: 48.80	RMSE: 54.00
Epoch 004	LOSS: 190.17	MAE: 47.67	RMSE: 53.24
Epoch 005	LOSS: 182.86	MAE: 47.12	RMSE: 52.68
Epoch 006	LOSS: 182.44	MAE: 46.51	RMSE: 52.06
Epoch 007	LOSS: 177.82	MAE: 45.79	RMSE: 51.37
Epoch 008	LOSS: 174.73	MAE: 45.07	RMSE: 50.69
Epoch 009	LOSS: 171.92	MAE: 44.47	RMSE: 50.03
Epoch 010	LOSS: 172.23	MAE: 43.90	RMSE: 49.35
Epoch 011	LOSS: 168.35	MAE: 43.29	RMSE: 48.67
Epoch 012	LOSS: 167.08	MAE: 42.58	RMSE: 47.99
Epoch 013	LOSS: 165.04	MAE: 42.02	RMSE: 47.32
Epoch 014	LOSS: 162.64	MAE: 41.30	RMSE: 46.65
Epoch 015	LOSS: 160.57	MAE: 40.73	RMSE: 46.00
Epoch 016	LOSS: 157.49	MAE: 40.12	RMSE: 45.41
Epoch 017	LOSS: 156.60	MAE: 39.58	RMSE: 44.81
Epoch 018	LOSS: 155.24	MAE: 39.04	RMSE: 44.27
Epoch 019	LOSS: 153.93	MAE: 38.64	RMSE: 43.74
Epoch 020	LOSS: 149.84	MAE: 38.10	RMSE: 43.23
Epoch 021	LOSS: 150.53	MAE: 37.60	RMSE: 42.70
Epoch 022	LOSS: 149.31	MAE: 37.21	RMSE: 42.21
Epoch 023	LOSS: 145.49	MAE: 36.68	RMSE: 41.75
Epoch 024	LOSS: 144.65	MAE: 36.24	RMSE: 41.28
Epoch 025	LOSS: 144.53	MAE: 35.91	RMSE: 40.84
Epoch 026	LOSS: 140.77	MAE: 35.40	RMSE: 40.40
Epoch 027	LOSS: 140.04	MAE: 35.02	RMSE: 39.99
Epoch 028	LOSS: 141.73	MAE: 34.73	RMSE: 39.56
Epoch 029	LOSS: 138.50	MAE: 34.30	RMSE: 39.20
Epoch 030	LOSS: 136.97	MAE: 34.00	RMSE: 38.83
Epoch 031	LOSS: 137.50	MAE: 33.67	RMSE: 38.44
Epoch 032	LOSS: 136.59	MAE: 33.30	RMSE: 38.08
Epoch 033	LOSS: 134.51	MAE: 32.95	RMSE: 37.74
Epoch 034	LOSS: 132.10	MAE: 32.63	RMSE: 37.40
Epoch 035	LOSS: 132.74	MAE: 32.29	RMSE: 37.00
Epoch 036	LOSS: 132.13	MAE: 32.08	RMSE: 36.73
Epoch 037	LOSS: 130.61	MAE: 31.77	RMSE: 36.42
Epoch 038	LOSS: 128.83	MAE: 31.42	RMSE: 36.05
Epoch 039	LOSS: 128.20	MAE: 31.05	RMSE: 35.70
Epoch 040	LOSS: 127.36	MAE: 30.80	RMSE: 35.43
Epoch 041	LOSS: 126.11	MAE: 30.54	RMSE: 35.18
Epoch 042	LOSS: 125.22	MAE: 30.22	RMSE: 34.85
Epoch 043	LOSS: 122.84	MAE: 30.04	RMSE: 34.62
Epoch 044	LOSS: 122.78	MAE: 29.78	RMSE: 34.32
Epoch 045	LOSS: 122.33	MAE: 29.52	RMSE: 34.03
Epoch 046	LOSS: 120.60	MAE: 29.26	RMSE: 33.79
Epoch 047	LOSS: 120.47	MAE: 28.94	RMSE: 33.49
Epoch 048	LOSS: 119.27	MAE: 28.77	RMSE: 33.26
Epoch 049	LOSS: 119.14	MAE: 28.49	RMSE: 32.95
Epoch 050	LOSS: 118.64	MAE: 28.31	RMSE: 32.73
Epoch 051	LOSS: 116.62	MAE: 28.10	RMSE: 32.50
Epoch 052	LOSS: 116.21	MAE: 27.88	RMSE: 32.25
Epoch 053	LOSS: 115.10	MAE: 27.60	RMSE: 31.98
Epoch 054	LOSS: 113.74	MAE: 27.39	RMSE: 31.79
Epoch 055	LOSS: 113.39	MAE: 27.17	RMSE: 31.55
Epoch 056	LOSS: 113.79	MAE: 27.05	RMSE: 31.39
Epoch 057	LOSS: 112.84	MAE: 26.90	RMSE: 31.19
Epoch 058	LOSS: 111.37	MAE: 26.66	RMSE: 30.94
Epoch 059	LOSS: 110.63	MAE: 26.46	RMSE: 30.75
Epoch 060	LOSS: 110.50	MAE: 26.23	RMSE: 30.49
Epoch 061	LOSS: 109.80	MAE: 26.03	RMSE: 30.24
Epoch 062	LOSS: 108.38	MAE: 25.95	RMSE: 30.12
Epoch 063	LOSS: 109.21	MAE: 25.72	RMSE: 29.89
Epoch 064	LOSS: 107.90	MAE: 25.57	RMSE: 29.70
Epoch 065	LOSS: 107.05	MAE: 25.45	RMSE: 29.60
Epoch 066	LOSS: 106.08	MAE: 25.29	RMSE: 29.41
Epoch 067	LOSS: 105.64	MAE: 25.13	RMSE: 29.18
Epoch 068	LOSS: 104.57	MAE: 24.97	RMSE: 29.04
Epoch 069	LOSS: 103.83	MAE: 24.78	RMSE: 28.85
Epoch 070	LOSS: 102.82	MAE: 24.57	RMSE: 28.62
Epoch 071	LOSS: 102.25	MAE: 24.39	RMSE: 28.43
Epoch 072	LOSS: 101.17	MAE: 24.20	RMSE: 28.27
Epoch 073	LOSS: 101.53	MAE: 24.16	RMSE: 28.13
Epoch 074	LOSS: 101.45	MAE: 24.04	RMSE: 27.98
Epoch 075	LOSS: 99.56	MAE: 23.88	RMSE: 27.84
Epoch 076	LOSS: 99.80	MAE: 23.66	RMSE: 27.65
Epoch 077	LOSS: 98.68	MAE: 23.48	RMSE: 27.42
Epoch 078	LOSS: 99.05	MAE: 23.37	RMSE: 27.26
Epoch 079	LOSS: 98.64	MAE: 23.26	RMSE: 27.14
Epoch 080	LOSS: 96.83	MAE: 23.12	RMSE: 27.03
Epoch 081	LOSS: 96.06	MAE: 22.97	RMSE: 26.85
Epoch 082	LOSS: 96.18	MAE: 22.83	RMSE: 26.66
Epoch 083	LOSS: 95.58	MAE: 22.71	RMSE: 26.52
Epoch 084	LOSS: 94.59	MAE: 22.58	RMSE: 26.39
Epoch 085	LOSS: 93.36	MAE: 22.40	RMSE: 26.22
Epoch 086	LOSS: 92.91	MAE: 22.21	RMSE: 26.02
Epoch 087	LOSS: 92.74	MAE: 22.18	RMSE: 25.90
Epoch 088	LOSS: 91.89	MAE: 22.05	RMSE: 25.77
Epoch 089	LOSS: 91.48	MAE: 21.85	RMSE: 25.59
Epoch 090	LOSS: 90.05	MAE: 21.69	RMSE: 25.42
Epoch 091	LOSS: 89.89	MAE: 21.48	RMSE: 25.21
Epoch 092	LOSS: 89.27	MAE: 21.46	RMSE: 25.08
Epoch 093	LOSS: 89.47	MAE: 21.37	RMSE: 24.94
Epoch 094	LOSS: 89.32	MAE: 21.19	RMSE: 24.77
Epoch 095	LOSS: 88.04	MAE: 21.02	RMSE: 24.63
Epoch 096	LOSS: 87.91	MAE: 20.88	RMSE: 24.44
Epoch 097	LOSS: 87.10	MAE: 20.76	RMSE: 24.31
Epoch 098	LOSS: 85.58	MAE: 20.57	RMSE: 24.16
Epoch 099	LOSS: 86.04	MAE: 20.44	RMSE: 23.97
Epoch 100	LOSS: 84.68	MAE: 20.30	RMSE: 23.88
Epoch 101	LOSS: 83.89	MAE: 20.18	RMSE: 23.73
Epoch 102	LOSS: 83.61	MAE: 20.11	RMSE: 23.63
Epoch 103	LOSS: 83.57	MAE: 19.94	RMSE: 23.44
Epoch 104	LOSS: 82.20	MAE: 19.72	RMSE: 23.24
Epoch 105	LOSS: 82.48	MAE: 19.62	RMSE: 23.05
Epoch 106	LOSS: 80.95	MAE: 19.44	RMSE: 22.91
Epoch 107	LOSS: 80.99	MAE: 19.39	RMSE: 22.79
Epoch 108	LOSS: 80.49	MAE: 19.28	RMSE: 22.68
Epoch 109	LOSS: 79.62	MAE: 19.04	RMSE: 22.47
Epoch 110	LOSS: 79.14	MAE: 18.93	RMSE: 22.34
Epoch 111	LOSS: 78.97	MAE: 18.73	RMSE: 22.10
Epoch 112	LOSS: 78.05	MAE: 18.66	RMSE: 21.98
Epoch 113	LOSS: 77.66	MAE: 18.60	RMSE: 21.87
Epoch 114	LOSS: 76.98	MAE: 18.41	RMSE: 21.71
Epoch 115	LOSS: 76.44	MAE: 18.14	RMSE: 21.43
Epoch 116	LOSS: 74.90	MAE: 18.02	RMSE: 21.33
Epoch 117	LOSS: 74.47	MAE: 17.90	RMSE: 21.16
Epoch 118	LOSS: 75.06	MAE: 17.73	RMSE: 20.98
Epoch 119	LOSS: 74.00	MAE: 17.63	RMSE: 20.86
Epoch 120	LOSS: 73.50	MAE: 17.46	RMSE: 20.72
Epoch 121	LOSS: 72.40	MAE: 17.35	RMSE: 20.60
Epoch 122	LOSS: 72.35	MAE: 17.22	RMSE: 20.42
Epoch 123	LOSS: 71.82	MAE: 17.06	RMSE: 20.22
Epoch 124	LOSS: 70.40	MAE: 16.85	RMSE: 20.01
Epoch 125	LOSS: 70.29	MAE: 16.73	RMSE: 19.90
Epoch 126	LOSS: 69.69	MAE: 16.53	RMSE: 19.68
Epoch 127	LOSS: 68.77	MAE: 16.31	RMSE: 19.46
Epoch 128	LOSS: 69.04	MAE: 16.21	RMSE: 19.33
Epoch 129	LOSS: 67.74	MAE: 16.07	RMSE: 19.22
