Epoch 000	LOSS: 269.41	MAE: 48.86	RMSE: 53.26
Epoch 001	LOSS: 234.21	MAE: 45.66	RMSE: 50.28
Epoch 002	LOSS: 218.91	MAE: 43.95	RMSE: 48.80
Epoch 003	LOSS: 209.86	MAE: 43.02	RMSE: 47.77
Epoch 004	LOSS: 204.40	MAE: 42.50	RMSE: 47.26
Epoch 005	LOSS: 196.55	MAE: 41.89	RMSE: 46.63
Epoch 006	LOSS: 192.71	MAE: 41.21	RMSE: 45.95
Epoch 007	LOSS: 188.73	MAE: 40.65	RMSE: 45.37
Epoch 008	LOSS: 185.04	MAE: 40.04	RMSE: 44.64
Epoch 009	LOSS: 182.68	MAE: 39.45	RMSE: 43.94
Epoch 010	LOSS: 179.15	MAE: 38.71	RMSE: 43.11
Epoch 011	LOSS: 175.84	MAE: 38.32	RMSE: 42.67
Epoch 012	LOSS: 171.94	MAE: 37.84	RMSE: 42.10
Epoch 013	LOSS: 170.35	MAE: 37.22	RMSE: 41.37
Epoch 014	LOSS: 167.68	MAE: 36.55	RMSE: 40.70
Epoch 015	LOSS: 165.11	MAE: 36.19	RMSE: 40.25
Epoch 016	LOSS: 162.38	MAE: 35.52	RMSE: 39.56
Epoch 017	LOSS: 161.05	MAE: 34.90	RMSE: 38.93
Epoch 018	LOSS: 159.58	MAE: 34.20	RMSE: 38.20
Epoch 019	LOSS: 157.16	MAE: 33.75	RMSE: 37.70
Epoch 020	LOSS: 154.32	MAE: 33.26	RMSE: 37.21
Epoch 021	LOSS: 152.76	MAE: 32.58	RMSE: 36.54
Epoch 022	LOSS: 153.29	MAE: 31.83	RMSE: 35.76
Epoch 023	LOSS: 151.67	MAE: 31.16	RMSE: 35.09
Epoch 024	LOSS: 148.99	MAE: 30.83	RMSE: 34.74
Epoch 025	LOSS: 146.69	MAE: 30.30	RMSE: 34.21
Epoch 026	LOSS: 146.82	MAE: 29.54	RMSE: 33.42
Epoch 027	LOSS: 145.46	MAE: 29.14	RMSE: 33.02
Epoch 028	LOSS: 143.44	MAE: 28.71	RMSE: 32.57
Epoch 029	LOSS: 142.04	MAE: 28.26	RMSE: 32.15
Epoch 030	LOSS: 141.37	MAE: 27.79	RMSE: 31.66
Epoch 031	LOSS: 140.34	MAE: 27.34	RMSE: 31.22
Epoch 032	LOSS: 139.65	MAE: 26.78	RMSE: 30.66
Epoch 033	LOSS: 138.36	MAE: 26.43	RMSE: 30.31
Epoch 034	LOSS: 137.11	MAE: 26.03	RMSE: 29.90
Epoch 035	LOSS: 135.07	MAE: 25.88	RMSE: 29.73
Epoch 036	LOSS: 133.80	MAE: 25.37	RMSE: 29.22
Epoch 037	LOSS: 133.62	MAE: 24.94	RMSE: 28.79
Epoch 038	LOSS: 131.94	MAE: 24.81	RMSE: 28.62
Epoch 039	LOSS: 131.52	MAE: 24.46	RMSE: 28.30
Epoch 040	LOSS: 130.24	MAE: 24.01	RMSE: 27.81
Epoch 041	LOSS: 128.78	MAE: 23.92	RMSE: 27.72
Epoch 042	LOSS: 129.13	MAE: 23.33	RMSE: 27.14
Epoch 043	LOSS: 127.63	MAE: 23.21	RMSE: 27.02
Epoch 044	LOSS: 127.08	MAE: 22.97	RMSE: 26.76
Epoch 045	LOSS: 125.03	MAE: 22.79	RMSE: 26.58
Epoch 046	LOSS: 126.05	MAE: 22.27	RMSE: 26.02
Epoch 047	LOSS: 124.17	MAE: 22.10	RMSE: 25.91
Epoch 048	LOSS: 123.16	MAE: 21.78	RMSE: 25.58
Epoch 049	LOSS: 121.94	MAE: 21.72	RMSE: 25.48
Epoch 050	LOSS: 120.89	MAE: 21.40	RMSE: 25.16
Epoch 051	LOSS: 120.88	MAE: 21.12	RMSE: 24.86
Epoch 052	LOSS: 119.87	MAE: 20.79	RMSE: 24.53
Epoch 053	LOSS: 117.64	MAE: 20.71	RMSE: 24.46
Epoch 054	LOSS: 117.42	MAE: 20.52	RMSE: 24.24
Epoch 055	LOSS: 116.29	MAE: 20.47	RMSE: 24.13
Epoch 056	LOSS: 116.33	MAE: 19.89	RMSE: 23.58
Epoch 057	LOSS: 114.37	MAE: 19.88	RMSE: 23.57
Epoch 058	LOSS: 114.62	MAE: 19.79	RMSE: 23.40
Epoch 059	LOSS: 113.21	MAE: 19.76	RMSE: 23.37
Epoch 060	LOSS: 112.46	MAE: 19.37	RMSE: 23.02
Epoch 061	LOSS: 111.55	MAE: 19.17	RMSE: 22.75
Epoch 062	LOSS: 110.35	MAE: 19.19	RMSE: 22.77
Epoch 063	LOSS: 109.80	MAE: 18.93	RMSE: 22.49
Epoch 064	LOSS: 109.34	MAE: 18.76	RMSE: 22.32
Epoch 065	LOSS: 108.64	MAE: 18.49	RMSE: 22.03
Epoch 066	LOSS: 107.43	MAE: 18.40	RMSE: 21.94
Epoch 067	LOSS: 107.03	MAE: 18.39	RMSE: 21.88
Epoch 068	LOSS: 106.13	MAE: 18.07	RMSE: 21.54
Epoch 069	LOSS: 104.80	MAE: 18.10	RMSE: 21.57
Epoch 070	LOSS: 104.77	MAE: 17.91	RMSE: 21.32
Epoch 071	LOSS: 103.43	MAE: 17.78	RMSE: 21.21
Epoch 072	LOSS: 101.97	MAE: 17.58	RMSE: 21.01
Epoch 073	LOSS: 101.57	MAE: 17.50	RMSE: 20.92
Epoch 074	LOSS: 100.87	MAE: 17.25	RMSE: 20.62
Epoch 075	LOSS: 100.09	MAE: 17.27	RMSE: 20.61
Epoch 076	LOSS: 99.70	MAE: 16.91	RMSE: 20.26
Epoch 077	LOSS: 98.85	MAE: 16.78	RMSE: 20.11
Epoch 078	LOSS: 97.92	MAE: 16.71	RMSE: 20.04
Epoch 079	LOSS: 96.90	MAE: 16.61	RMSE: 19.92
Epoch 080	LOSS: 96.08	MAE: 16.44	RMSE: 19.74
Epoch 081	LOSS: 96.52	MAE: 16.05	RMSE: 19.33
Epoch 082	LOSS: 94.39	MAE: 16.10	RMSE: 19.37
Epoch 083	LOSS: 93.31	MAE: 16.00	RMSE: 19.26
