Epoch 000	LOSS: 266.20	MAE: 48.50	RMSE: 52.68
Epoch 001	LOSS: 229.22	MAE: 46.49	RMSE: 50.76
Epoch 002	LOSS: 212.09	MAE: 44.55	RMSE: 49.13
Epoch 003	LOSS: 203.63	MAE: 43.65	RMSE: 48.22
Epoch 004	LOSS: 196.39	MAE: 43.16	RMSE: 47.77
Epoch 005	LOSS: 189.72	MAE: 42.61	RMSE: 47.19
Epoch 006	LOSS: 185.87	MAE: 42.03	RMSE: 46.61
Epoch 007	LOSS: 181.53	MAE: 41.46	RMSE: 46.01
Epoch 008	LOSS: 178.14	MAE: 41.04	RMSE: 45.54
Epoch 009	LOSS: 175.78	MAE: 40.58	RMSE: 45.06
Epoch 010	LOSS: 172.73	MAE: 40.07	RMSE: 44.47
Epoch 011	LOSS: 168.69	MAE: 39.63	RMSE: 43.92
Epoch 012	LOSS: 165.90	MAE: 39.11	RMSE: 43.37
Epoch 013	LOSS: 163.89	MAE: 38.61	RMSE: 42.72
Epoch 014	LOSS: 160.28	MAE: 38.25	RMSE: 42.27
Epoch 015	LOSS: 158.60	MAE: 37.67	RMSE: 41.64
Epoch 016	LOSS: 155.11	MAE: 37.22	RMSE: 41.14
Epoch 017	LOSS: 152.11	MAE: 36.72	RMSE: 40.62
Epoch 018	LOSS: 151.50	MAE: 36.09	RMSE: 39.98
Epoch 019	LOSS: 149.05	MAE: 35.55	RMSE: 39.40
Epoch 020	LOSS: 147.44	MAE: 34.95	RMSE: 38.76
Epoch 021	LOSS: 145.89	MAE: 34.40	RMSE: 38.19
Epoch 022	LOSS: 144.14	MAE: 34.02	RMSE: 37.76
Epoch 023	LOSS: 142.26	MAE: 33.53	RMSE: 37.24
Epoch 024	LOSS: 141.15	MAE: 32.91	RMSE: 36.60
Epoch 025	LOSS: 139.55	MAE: 32.37	RMSE: 36.04
Epoch 026	LOSS: 137.04	MAE: 31.88	RMSE: 35.54
Epoch 027	LOSS: 136.41	MAE: 31.46	RMSE: 35.11
Epoch 028	LOSS: 134.68	MAE: 31.06	RMSE: 34.68
Epoch 029	LOSS: 134.47	MAE: 30.49	RMSE: 34.07
Epoch 030	LOSS: 133.46	MAE: 30.11	RMSE: 33.64
Epoch 031	LOSS: 130.66	MAE: 29.79	RMSE: 33.34
Epoch 032	LOSS: 130.47	MAE: 29.22	RMSE: 32.75
Epoch 033	LOSS: 128.84	MAE: 28.83	RMSE: 32.33
Epoch 034	LOSS: 127.82	MAE: 28.49	RMSE: 31.96
Epoch 035	LOSS: 126.80	MAE: 27.96	RMSE: 31.46
Epoch 036	LOSS: 123.75	MAE: 27.94	RMSE: 31.39
Epoch 037	LOSS: 122.53	MAE: 27.59	RMSE: 31.01
Epoch 038	LOSS: 122.56	MAE: 26.87	RMSE: 30.31
Epoch 039	LOSS: 121.08	MAE: 26.51	RMSE: 29.95
Epoch 040	LOSS: 119.70	MAE: 26.45	RMSE: 29.82
Epoch 041	LOSS: 119.09	MAE: 25.96	RMSE: 29.34
Epoch 042	LOSS: 117.31	MAE: 25.63	RMSE: 29.00
Epoch 043	LOSS: 116.82	MAE: 25.30	RMSE: 28.64
Epoch 044	LOSS: 116.31	MAE: 25.15	RMSE: 28.44
Epoch 045	LOSS: 114.52	MAE: 24.90	RMSE: 28.17
Epoch 046	LOSS: 114.27	MAE: 24.37	RMSE: 27.64
Epoch 047	LOSS: 112.67	MAE: 24.20	RMSE: 27.47
Epoch 048	LOSS: 111.17	MAE: 24.09	RMSE: 27.33
Epoch 049	LOSS: 110.52	MAE: 23.66	RMSE: 26.92
Epoch 050	LOSS: 108.69	MAE: 23.45	RMSE: 26.66
Epoch 051	LOSS: 108.86	MAE: 23.03	RMSE: 26.25
Epoch 052	LOSS: 106.91	MAE: 22.89	RMSE: 26.09
Epoch 053	LOSS: 106.69	MAE: 22.64	RMSE: 25.79
Epoch 054	LOSS: 105.82	MAE: 22.47	RMSE: 25.59
Epoch 055	LOSS: 105.18	MAE: 21.98	RMSE: 25.12
Epoch 056	LOSS: 104.03	MAE: 21.73	RMSE: 24.87
Epoch 057	LOSS: 101.61	MAE: 21.81	RMSE: 24.91
Epoch 058	LOSS: 101.74	MAE: 21.48	RMSE: 24.56
Epoch 059	LOSS: 100.89	MAE: 21.32	RMSE: 24.38
Epoch 060	LOSS: 100.23	MAE: 20.99	RMSE: 24.06
Epoch 061	LOSS: 99.42	MAE: 20.79	RMSE: 23.83
Epoch 062	LOSS: 98.92	MAE: 20.42	RMSE: 23.44
Epoch 063	LOSS: 97.50	MAE: 20.45	RMSE: 23.43
Epoch 064	LOSS: 96.53	MAE: 20.31	RMSE: 23.25
Epoch 065	LOSS: 95.97	MAE: 20.06	RMSE: 23.01
Epoch 066	LOSS: 95.37	MAE: 19.66	RMSE: 22.61
Epoch 067	LOSS: 94.38	MAE: 19.66	RMSE: 22.57
Epoch 068	LOSS: 93.46	MAE: 19.32	RMSE: 22.28
Epoch 069	LOSS: 92.89	MAE: 19.28	RMSE: 22.14
Epoch 070	LOSS: 91.85	MAE: 19.11	RMSE: 21.94
Epoch 071	LOSS: 90.81	MAE: 18.79	RMSE: 21.63
Epoch 072	LOSS: 90.37	MAE: 18.40	RMSE: 21.26
Epoch 073	LOSS: 89.69	MAE: 18.28	RMSE: 21.11
Epoch 074	LOSS: 88.44	MAE: 18.25	RMSE: 21.05
Epoch 075	LOSS: 87.38	MAE: 18.03	RMSE: 20.83
Epoch 076	LOSS: 87.12	MAE: 17.78	RMSE: 20.57
Epoch 077	LOSS: 85.56	MAE: 17.50	RMSE: 20.28
Epoch 078	LOSS: 85.48	MAE: 17.48	RMSE: 20.21
Epoch 079	LOSS: 84.54	MAE: 17.27	RMSE: 19.99
Epoch 080	LOSS: 83.65	MAE: 17.20	RMSE: 19.92
Epoch 081	LOSS: 83.12	MAE: 16.82	RMSE: 19.54
Epoch 082	LOSS: 83.10	MAE: 16.56	RMSE: 19.25
Epoch 083	LOSS: 81.90	MAE: 16.44	RMSE: 19.13
Epoch 084	LOSS: 80.96	MAE: 16.32	RMSE: 18.98
Epoch 085	LOSS: 80.28	MAE: 16.14	RMSE: 18.81
Epoch 086	LOSS: 79.05	MAE: 16.03	RMSE: 18.69
Epoch 087	LOSS: 78.32	MAE: 15.79	RMSE: 18.44
Epoch 088	LOSS: 77.94	MAE: 15.47	RMSE: 18.12
Epoch 089	LOSS: 77.00	MAE: 15.66	RMSE: 18.26
Epoch 090	LOSS: 76.19	MAE: 15.39	RMSE: 18.01
Epoch 091	LOSS: 75.33	MAE: 15.11	RMSE: 17.73
Epoch 092	LOSS: 74.84	MAE: 14.91	RMSE: 17.52
Epoch 093	LOSS: 74.24	MAE: 14.90	RMSE: 17.46
Epoch 094	LOSS: 73.10	MAE: 14.70	RMSE: 17.28
Epoch 095	LOSS: 72.75	MAE: 14.45	RMSE: 17.03
Epoch 096	LOSS: 71.82	MAE: 14.35	RMSE: 16.93
Epoch 097	LOSS: 71.58	MAE: 14.10	RMSE: 16.66
Epoch 098	LOSS: 71.07	MAE: 13.90	RMSE: 16.47
Epoch 099	LOSS: 70.08	MAE: 13.73	RMSE: 16.30
Epoch 100	LOSS: 68.96	MAE: 13.68	RMSE: 16.22
Epoch 101	LOSS: 68.32	MAE: 13.43	RMSE: 16.00
Epoch 102	LOSS: 67.57	MAE: 13.18	RMSE: 15.77
Epoch 103	LOSS: 66.91	MAE: 13.29	RMSE: 15.80
Epoch 104	LOSS: 65.82	MAE: 12.93	RMSE: 15.49
Epoch 105	LOSS: 65.96	MAE: 12.75	RMSE: 15.31
Epoch 106	LOSS: 64.78	MAE: 12.51	RMSE: 15.10
Epoch 107	LOSS: 63.62	MAE: 12.55	RMSE: 15.10
Epoch 108	LOSS: 63.00	MAE: 12.42	RMSE: 14.99
Epoch 109	LOSS: 62.54	MAE: 12.14	RMSE: 14.73
Epoch 110	LOSS: 61.93	MAE: 12.01	RMSE: 14.56
Epoch 111	LOSS: 61.20	MAE: 11.85	RMSE: 14.44
Epoch 112	LOSS: 60.82	MAE: 11.73	RMSE: 14.32
Epoch 113	LOSS: 59.86	MAE: 11.56	RMSE: 14.16
Epoch 114	LOSS: 59.13	MAE: 11.46	RMSE: 14.05
Epoch 115	LOSS: 58.37	MAE: 11.37	RMSE: 13.95
Epoch 116	LOSS: 58.07	MAE: 11.02	RMSE: 13.64
Epoch 117	LOSS: 57.08	MAE: 10.89	RMSE: 13.53
Epoch 118	LOSS: 56.16	MAE: 10.75	RMSE: 13.39
