Epoch 000	LOSS: 274.31	MAE: 49.26	RMSE: 53.57
Epoch 001	LOSS: 233.93	MAE: 47.04	RMSE: 51.49
Epoch 002	LOSS: 217.80	MAE: 44.48	RMSE: 49.17
Epoch 003	LOSS: 207.20	MAE: 43.52	RMSE: 48.27
Epoch 004	LOSS: 202.26	MAE: 42.88	RMSE: 47.63
Epoch 005	LOSS: 194.94	MAE: 42.27	RMSE: 47.02
Epoch 006	LOSS: 190.54	MAE: 41.68	RMSE: 46.38
Epoch 007	LOSS: 187.55	MAE: 41.20	RMSE: 45.83
Epoch 008	LOSS: 184.70	MAE: 40.67	RMSE: 45.18
Epoch 009	LOSS: 181.29	MAE: 40.10	RMSE: 44.57
Epoch 010	LOSS: 176.26	MAE: 39.73	RMSE: 44.15
Epoch 011	LOSS: 174.16	MAE: 39.30	RMSE: 43.57
Epoch 012	LOSS: 172.69	MAE: 38.70	RMSE: 42.86
Epoch 013	LOSS: 169.86	MAE: 38.19	RMSE: 42.32
Epoch 014	LOSS: 166.50	MAE: 37.92	RMSE: 42.00
Epoch 015	LOSS: 163.22	MAE: 37.46	RMSE: 41.48
Epoch 016	LOSS: 161.35	MAE: 36.90	RMSE: 40.89
Epoch 017	LOSS: 159.21	MAE: 36.40	RMSE: 40.38
Epoch 018	LOSS: 156.22	MAE: 35.98	RMSE: 39.90
Epoch 019	LOSS: 156.58	MAE: 35.18	RMSE: 39.09
Epoch 020	LOSS: 153.10	MAE: 34.93	RMSE: 38.85
Epoch 021	LOSS: 150.76	MAE: 34.24	RMSE: 38.12
Epoch 022	LOSS: 150.85	MAE: 33.72	RMSE: 37.61
Epoch 023	LOSS: 146.55	MAE: 33.69	RMSE: 37.50
Epoch 024	LOSS: 145.29	MAE: 33.07	RMSE: 36.88
Epoch 025	LOSS: 145.73	MAE: 32.38	RMSE: 36.19
Epoch 026	LOSS: 143.27	MAE: 31.94	RMSE: 35.72
Epoch 027	LOSS: 142.05	MAE: 31.46	RMSE: 35.22
Epoch 028	LOSS: 142.19	MAE: 30.83	RMSE: 34.60
Epoch 029	LOSS: 139.58	MAE: 30.47	RMSE: 34.24
Epoch 030	LOSS: 138.28	MAE: 30.17	RMSE: 33.86
Epoch 031	LOSS: 137.06	MAE: 29.74	RMSE: 33.42
Epoch 032	LOSS: 135.10	MAE: 29.33	RMSE: 33.04
Epoch 033	LOSS: 133.67	MAE: 29.01	RMSE: 32.70
Epoch 034	LOSS: 133.93	MAE: 28.33	RMSE: 31.98
Epoch 035	LOSS: 133.22	MAE: 27.87	RMSE: 31.52
Epoch 036	LOSS: 131.35	MAE: 27.71	RMSE: 31.33
Epoch 037	LOSS: 129.05	MAE: 27.30	RMSE: 30.94
Epoch 038	LOSS: 128.32	MAE: 27.07	RMSE: 30.67
Epoch 039	LOSS: 127.88	MAE: 26.58	RMSE: 30.13
Epoch 040	LOSS: 127.24	MAE: 26.23	RMSE: 29.81
Epoch 041	LOSS: 124.78	MAE: 26.11	RMSE: 29.64
Epoch 042	LOSS: 123.45	MAE: 25.80	RMSE: 29.34
Epoch 043	LOSS: 123.47	MAE: 25.20	RMSE: 28.72
Epoch 044	LOSS: 122.11	MAE: 24.99	RMSE: 28.53
Epoch 045	LOSS: 120.80	MAE: 24.82	RMSE: 28.26
Epoch 046	LOSS: 119.81	MAE: 24.58	RMSE: 28.00
Epoch 047	LOSS: 118.19	MAE: 24.22	RMSE: 27.71
Epoch 048	LOSS: 117.72	MAE: 23.93	RMSE: 27.39
Epoch 049	LOSS: 117.01	MAE: 23.56	RMSE: 27.00
Epoch 050	LOSS: 115.68	MAE: 23.44	RMSE: 26.86
Epoch 051	LOSS: 114.81	MAE: 23.22	RMSE: 26.61
Epoch 052	LOSS: 114.37	MAE: 22.85	RMSE: 26.22
Epoch 053	LOSS: 113.18	MAE: 22.70	RMSE: 26.07
Epoch 054	LOSS: 112.50	MAE: 22.52	RMSE: 25.84
Epoch 055	LOSS: 111.84	MAE: 22.20	RMSE: 25.54
Epoch 056	LOSS: 110.45	MAE: 22.17	RMSE: 25.45
Epoch 057	LOSS: 109.95	MAE: 21.74	RMSE: 25.02
