Epoch 000	LOSS: 1167.40	MAE: 240.97	RMSE: 286.78
Epoch 001	LOSS: 1015.34	MAE: 228.18	RMSE: 279.28
Epoch 002	LOSS: 949.12	MAE: 223.85	RMSE: 273.68
Epoch 003	LOSS: 916.89	MAE: 217.07	RMSE: 266.11
Epoch 004	LOSS: 892.67	MAE: 209.26	RMSE: 257.95
Epoch 005	LOSS: 865.56	MAE: 207.34	RMSE: 256.75
Epoch 006	LOSS: 822.12	MAE: 211.45	RMSE: 262.25
Epoch 007	LOSS: 822.72	MAE: 210.64	RMSE: 260.94
Epoch 008	LOSS: 799.49	MAE: 204.55	RMSE: 255.22
Epoch 009	LOSS: 782.49	MAE: 200.97	RMSE: 253.32
Epoch 010	LOSS: 772.53	MAE: 201.44	RMSE: 253.33
Epoch 011	LOSS: 770.69	MAE: 199.49	RMSE: 252.53
Epoch 012	LOSS: 765.44	MAE: 199.24	RMSE: 252.32
Epoch 013	LOSS: 744.87	MAE: 200.12	RMSE: 252.58
Epoch 014	LOSS: 747.90	MAE: 198.88	RMSE: 251.78
Epoch 015	LOSS: 744.46	MAE: 197.49	RMSE: 251.16
Epoch 016	LOSS: 741.93	MAE: 196.46	RMSE: 250.63
Epoch 017	LOSS: 732.01	MAE: 196.20	RMSE: 250.30
Epoch 018	LOSS: 740.89	MAE: 196.58	RMSE: 250.21
Epoch 019	LOSS: 735.57	MAE: 196.30	RMSE: 249.91
Epoch 020	LOSS: 721.40	MAE: 195.51	RMSE: 249.48
Epoch 021	LOSS: 722.73	MAE: 194.37	RMSE: 248.87
Epoch 022	LOSS: 710.63	MAE: 194.27	RMSE: 248.58
Epoch 023	LOSS: 722.39	MAE: 194.37	RMSE: 248.54
Epoch 024	LOSS: 718.43	MAE: 194.08	RMSE: 248.20
Epoch 025	LOSS: 708.04	MAE: 192.65	RMSE: 247.45
Epoch 026	LOSS: 714.92	MAE: 192.67	RMSE: 247.25
Epoch 027	LOSS: 710.70	MAE: 192.58	RMSE: 247.13
Epoch 028	LOSS: 697.75	MAE: 192.19	RMSE: 246.69
Epoch 029	LOSS: 698.27	MAE: 191.45	RMSE: 246.19
Epoch 030	LOSS: 704.80	MAE: 191.12	RMSE: 245.95
Epoch 031	LOSS: 691.42	MAE: 190.89	RMSE: 245.67
Epoch 032	LOSS: 700.13	MAE: 190.38	RMSE: 245.19
Epoch 033	LOSS: 685.56	MAE: 190.16	RMSE: 244.92
Epoch 034	LOSS: 689.33	MAE: 189.35	RMSE: 244.47
Epoch 035	LOSS: 695.86	MAE: 189.29	RMSE: 244.16
Epoch 036	LOSS: 691.73	MAE: 188.91	RMSE: 243.86
Epoch 037	LOSS: 681.47	MAE: 188.06	RMSE: 243.42
Epoch 038	LOSS: 682.81	MAE: 187.71	RMSE: 243.05
Epoch 039	LOSS: 674.81	MAE: 187.74	RMSE: 242.85
Epoch 040	LOSS: 675.06	MAE: 187.23	RMSE: 242.52
Epoch 041	LOSS: 686.50	MAE: 186.62	RMSE: 242.10
Epoch 042	LOSS: 682.97	MAE: 186.53	RMSE: 241.85
Epoch 043	LOSS: 681.55	MAE: 186.28	RMSE: 241.54
Epoch 044	LOSS: 673.25	MAE: 185.53	RMSE: 241.12
Epoch 045	LOSS: 667.92	MAE: 185.35	RMSE: 240.82
Epoch 046	LOSS: 669.86	MAE: 185.18	RMSE: 240.59
Epoch 047	LOSS: 673.22	MAE: 184.66	RMSE: 240.24
Epoch 048	LOSS: 664.99	MAE: 184.30	RMSE: 239.89
Epoch 049	LOSS: 683.63	MAE: 184.15	RMSE: 239.68
Epoch 050	LOSS: 658.95	MAE: 183.40	RMSE: 239.24
Epoch 051	LOSS: 659.43	MAE: 183.46	RMSE: 239.03
Epoch 052	LOSS: 652.46	MAE: 183.21	RMSE: 238.75
Epoch 053	LOSS: 664.71	MAE: 182.51	RMSE: 238.38
Epoch 054	LOSS: 652.83	MAE: 182.47	RMSE: 238.16
Epoch 055	LOSS: 655.07	MAE: 182.24	RMSE: 237.82
Epoch 056	LOSS: 660.02	MAE: 181.79	RMSE: 237.53
Epoch 057	LOSS: 668.21	MAE: 181.53	RMSE: 237.28
Epoch 058	LOSS: 658.63	MAE: 181.05	RMSE: 236.87
Epoch 059	LOSS: 653.94	MAE: 180.99	RMSE: 236.56
Epoch 060	LOSS: 642.73	MAE: 180.49	RMSE: 236.28
Epoch 061	LOSS: 650.64	MAE: 179.82	RMSE: 235.83
Epoch 062	LOSS: 653.58	MAE: 179.79	RMSE: 235.57
Epoch 063	LOSS: 644.83	MAE: 179.53	RMSE: 235.32
Epoch 064	LOSS: 651.72	MAE: 178.96	RMSE: 234.91
Epoch 065	LOSS: 645.85	MAE: 178.79	RMSE: 234.65
Epoch 066	LOSS: 644.18	MAE: 178.86	RMSE: 234.49
Epoch 067	LOSS: 643.31	MAE: 177.84	RMSE: 233.87
Epoch 068	LOSS: 645.00	MAE: 177.74	RMSE: 233.70
Epoch 069	LOSS: 641.11	MAE: 177.82	RMSE: 233.43
Epoch 070	LOSS: 646.37	MAE: 176.96	RMSE: 232.93
Epoch 071	LOSS: 638.82	MAE: 176.58	RMSE: 232.64
Epoch 072	LOSS: 639.29	MAE: 176.65	RMSE: 232.32
Epoch 073	LOSS: 638.57	MAE: 176.00	RMSE: 231.92
Epoch 074	LOSS: 630.22	MAE: 175.73	RMSE: 231.62
Epoch 075	LOSS: 631.66	MAE: 175.30	RMSE: 231.20
Epoch 076	LOSS: 628.48	MAE: 174.97	RMSE: 230.88
Epoch 077	LOSS: 627.21	MAE: 174.65	RMSE: 230.53
Epoch 078	LOSS: 627.56	MAE: 174.44	RMSE: 230.28
Epoch 079	LOSS: 639.70	MAE: 174.03	RMSE: 229.91
Epoch 080	LOSS: 628.01	MAE: 173.64	RMSE: 229.52
Epoch 081	LOSS: 628.15	MAE: 173.53	RMSE: 229.31
Epoch 082	LOSS: 627.96	MAE: 173.02	RMSE: 228.88
Epoch 083	LOSS: 631.98	MAE: 172.45	RMSE: 228.44
Epoch 084	LOSS: 634.01	MAE: 172.47	RMSE: 228.24
Epoch 085	LOSS: 622.93	MAE: 171.82	RMSE: 227.78
Epoch 086	LOSS: 626.16	MAE: 171.30	RMSE: 227.27
Epoch 087	LOSS: 629.13	MAE: 171.29	RMSE: 227.10
Epoch 088	LOSS: 643.58	MAE: 170.77	RMSE: 226.66
Epoch 089	LOSS: 633.14	MAE: 170.31	RMSE: 226.20
Epoch 090	LOSS: 631.22	MAE: 170.09	RMSE: 225.83
Epoch 091	LOSS: 621.09	MAE: 169.86	RMSE: 225.59
Epoch 092	LOSS: 625.48	MAE: 169.23	RMSE: 224.99
Epoch 093	LOSS: 613.02	MAE: 168.98	RMSE: 224.74
