Epoch 000	LOSS: 1138.20	MAE: 239.46	RMSE: 282.12
Epoch 001	LOSS: 1014.12	MAE: 223.05	RMSE: 267.68
Epoch 002	LOSS: 968.75	MAE: 210.66	RMSE: 259.13
Epoch 003	LOSS: 915.38	MAE: 211.44	RMSE: 259.12
Epoch 004	LOSS: 873.85	MAE: 212.47	RMSE: 260.16
Epoch 005	LOSS: 852.38	MAE: 209.50	RMSE: 258.13
Epoch 006	LOSS: 827.15	MAE: 205.79	RMSE: 256.79
Epoch 007	LOSS: 801.63	MAE: 205.00	RMSE: 256.52
Epoch 008	LOSS: 789.98	MAE: 203.97	RMSE: 255.33
Epoch 009	LOSS: 783.31	MAE: 202.37	RMSE: 254.48
Epoch 010	LOSS: 776.61	MAE: 201.25	RMSE: 253.75
Epoch 011	LOSS: 761.89	MAE: 200.91	RMSE: 253.52
Epoch 012	LOSS: 749.78	MAE: 201.19	RMSE: 253.29
Epoch 013	LOSS: 755.52	MAE: 199.90	RMSE: 252.61
Epoch 014	LOSS: 729.48	MAE: 198.64	RMSE: 252.21
Epoch 015	LOSS: 729.43	MAE: 198.39	RMSE: 252.03
Epoch 016	LOSS: 733.23	MAE: 198.26	RMSE: 251.74
Epoch 017	LOSS: 734.66	MAE: 198.18	RMSE: 251.51
Epoch 018	LOSS: 728.96	MAE: 196.43	RMSE: 250.72
Epoch 019	LOSS: 715.61	MAE: 196.36	RMSE: 250.54
Epoch 020	LOSS: 726.30	MAE: 196.76	RMSE: 250.56
Epoch 021	LOSS: 713.44	MAE: 195.61	RMSE: 249.99
Epoch 022	LOSS: 704.87	MAE: 195.30	RMSE: 249.62
Epoch 023	LOSS: 710.08	MAE: 194.94	RMSE: 249.27
Epoch 024	LOSS: 703.58	MAE: 194.63	RMSE: 249.06
Epoch 025	LOSS: 705.61	MAE: 193.67	RMSE: 248.52
Epoch 026	LOSS: 693.50	MAE: 193.64	RMSE: 248.27
Epoch 027	LOSS: 688.66	MAE: 193.08	RMSE: 247.83
Epoch 028	LOSS: 688.72	MAE: 192.66	RMSE: 247.53
Epoch 029	LOSS: 686.69	MAE: 192.47	RMSE: 247.20
Epoch 030	LOSS: 685.60	MAE: 191.88	RMSE: 246.84
Epoch 031	LOSS: 693.45	MAE: 191.53	RMSE: 246.48
Epoch 032	LOSS: 672.50	MAE: 191.17	RMSE: 246.13
Epoch 033	LOSS: 683.83	MAE: 190.72	RMSE: 245.80
Epoch 034	LOSS: 681.77	MAE: 190.52	RMSE: 245.51
Epoch 035	LOSS: 670.68	MAE: 190.18	RMSE: 245.20
Epoch 036	LOSS: 674.29	MAE: 189.61	RMSE: 244.81
Epoch 037	LOSS: 673.80	MAE: 189.62	RMSE: 244.58
Epoch 038	LOSS: 661.59	MAE: 188.88	RMSE: 244.17
Epoch 039	LOSS: 662.01	MAE: 188.77	RMSE: 243.90
Epoch 040	LOSS: 659.63	MAE: 188.37	RMSE: 243.59
Epoch 041	LOSS: 665.32	MAE: 188.02	RMSE: 243.27
Epoch 042	LOSS: 659.21	MAE: 187.84	RMSE: 243.03
Epoch 043	LOSS: 671.99	MAE: 187.40	RMSE: 242.66
Epoch 044	LOSS: 650.84	MAE: 187.18	RMSE: 242.43
Epoch 045	LOSS: 666.01	MAE: 186.77	RMSE: 242.10
Epoch 046	LOSS: 656.14	MAE: 186.61	RMSE: 241.83
Epoch 047	LOSS: 659.07	MAE: 186.15	RMSE: 241.51
Epoch 048	LOSS: 662.62	MAE: 185.97	RMSE: 241.24
Epoch 049	LOSS: 654.13	MAE: 185.68	RMSE: 240.98
Epoch 050	LOSS: 656.07	MAE: 185.30	RMSE: 240.64
Epoch 051	LOSS: 648.73	MAE: 185.25	RMSE: 240.48
Epoch 052	LOSS: 641.68	MAE: 184.70	RMSE: 240.10
Epoch 053	LOSS: 641.97	MAE: 184.49	RMSE: 239.81
Epoch 054	LOSS: 649.58	MAE: 184.33	RMSE: 239.62
Epoch 055	LOSS: 647.58	MAE: 184.04	RMSE: 239.34
Epoch 056	LOSS: 645.89	MAE: 183.72	RMSE: 239.03
Epoch 057	LOSS: 640.91	MAE: 183.56	RMSE: 238.84
Epoch 058	LOSS: 648.27	MAE: 182.97	RMSE: 238.45
Epoch 059	LOSS: 636.98	MAE: 183.11	RMSE: 238.32
Epoch 060	LOSS: 640.63	MAE: 182.63	RMSE: 238.00
Epoch 061	LOSS: 634.94	MAE: 182.55	RMSE: 237.76
Epoch 062	LOSS: 634.48	MAE: 182.23	RMSE: 237.55
Epoch 063	LOSS: 643.92	MAE: 181.97	RMSE: 237.24
Epoch 064	LOSS: 630.09	MAE: 181.62	RMSE: 237.01
Epoch 065	LOSS: 627.26	MAE: 181.35	RMSE: 236.74
Epoch 066	LOSS: 635.03	MAE: 181.29	RMSE: 236.57
Epoch 067	LOSS: 645.20	MAE: 180.70	RMSE: 236.16
Epoch 068	LOSS: 638.36	MAE: 180.92	RMSE: 236.15
Epoch 069	LOSS: 629.49	MAE: 180.13	RMSE: 235.67
Epoch 070	LOSS: 632.95	MAE: 180.52	RMSE: 235.69
Epoch 071	LOSS: 628.01	MAE: 179.72	RMSE: 235.21
Epoch 072	LOSS: 635.71	MAE: 179.83	RMSE: 235.13
Epoch 073	LOSS: 620.70	MAE: 179.31	RMSE: 234.74
Epoch 074	LOSS: 633.86	MAE: 179.40	RMSE: 234.62
Epoch 075	LOSS: 622.21	MAE: 179.03	RMSE: 234.35
Epoch 076	LOSS: 622.68	MAE: 178.77	RMSE: 234.07
Epoch 077	LOSS: 628.62	MAE: 178.63	RMSE: 233.93
Epoch 078	LOSS: 622.92	MAE: 178.27	RMSE: 233.58
Epoch 079	LOSS: 619.39	MAE: 178.20	RMSE: 233.48
Epoch 080	LOSS: 625.25	MAE: 177.87	RMSE: 233.14
