Epoch 000	LOSS: 1155.26	MAE: 232.29	RMSE: 278.93
Epoch 001	LOSS: 1043.64	MAE: 223.72	RMSE: 271.78
Epoch 002	LOSS: 1014.48	MAE: 219.55	RMSE: 267.52
Epoch 003	LOSS: 971.47	MAE: 218.73	RMSE: 264.09
Epoch 004	LOSS: 942.18	MAE: 214.65	RMSE: 261.21
Epoch 005	LOSS: 890.48	MAE: 210.90	RMSE: 259.36
Epoch 006	LOSS: 874.62	MAE: 209.52	RMSE: 259.53
Epoch 007	LOSS: 847.44	MAE: 209.94	RMSE: 260.21
Epoch 008	LOSS: 838.68	MAE: 209.84	RMSE: 259.78
Epoch 009	LOSS: 842.28	MAE: 208.38	RMSE: 257.71
Epoch 010	LOSS: 824.70	MAE: 205.32	RMSE: 255.35
Epoch 011	LOSS: 817.21	MAE: 203.32	RMSE: 254.36
Epoch 012	LOSS: 790.32	MAE: 202.05	RMSE: 253.77
Epoch 013	LOSS: 798.87	MAE: 200.21	RMSE: 252.69
Epoch 014	LOSS: 793.39	MAE: 201.03	RMSE: 252.84
Epoch 015	LOSS: 777.79	MAE: 199.83	RMSE: 251.92
Epoch 016	LOSS: 772.16	MAE: 197.91	RMSE: 251.17
Epoch 017	LOSS: 785.98	MAE: 197.71	RMSE: 251.14
Epoch 018	LOSS: 768.69	MAE: 198.02	RMSE: 250.98
Epoch 019	LOSS: 769.77	MAE: 198.10	RMSE: 250.68
Epoch 020	LOSS: 760.05	MAE: 196.72	RMSE: 250.04
Epoch 021	LOSS: 755.39	MAE: 195.52	RMSE: 249.49
Epoch 022	LOSS: 763.32	MAE: 196.05	RMSE: 249.43
Epoch 023	LOSS: 739.00	MAE: 195.75	RMSE: 249.06
Epoch 024	LOSS: 742.75	MAE: 194.16	RMSE: 248.33
Epoch 025	LOSS: 744.98	MAE: 194.19	RMSE: 248.14
Epoch 026	LOSS: 733.19	MAE: 193.60	RMSE: 247.67
Epoch 027	LOSS: 732.70	MAE: 193.16	RMSE: 247.26
Epoch 028	LOSS: 731.33	MAE: 192.56	RMSE: 246.87
Epoch 029	LOSS: 728.15	MAE: 192.04	RMSE: 246.46
Epoch 030	LOSS: 729.19	MAE: 191.83	RMSE: 246.12
Epoch 031	LOSS: 730.99	MAE: 191.41	RMSE: 245.72
Epoch 032	LOSS: 721.71	MAE: 190.32	RMSE: 245.23
Epoch 033	LOSS: 723.82	MAE: 190.19	RMSE: 244.88
Epoch 034	LOSS: 704.90	MAE: 189.64	RMSE: 244.47
Epoch 035	LOSS: 711.54	MAE: 189.83	RMSE: 244.20
Epoch 036	LOSS: 712.16	MAE: 188.69	RMSE: 243.69
Epoch 037	LOSS: 699.46	MAE: 188.98	RMSE: 243.41
Epoch 038	LOSS: 699.72	MAE: 187.75	RMSE: 242.91
Epoch 039	LOSS: 707.63	MAE: 187.99	RMSE: 242.61
Epoch 040	LOSS: 692.36	MAE: 187.29	RMSE: 242.23
Epoch 041	LOSS: 697.57	MAE: 186.79	RMSE: 241.76
Epoch 042	LOSS: 691.96	MAE: 186.77	RMSE: 241.48
Epoch 043	LOSS: 683.50	MAE: 185.93	RMSE: 241.02
Epoch 044	LOSS: 686.91	MAE: 185.41	RMSE: 240.58
Epoch 045	LOSS: 693.14	MAE: 185.73	RMSE: 240.42
Epoch 046	LOSS: 691.69	MAE: 184.74	RMSE: 239.87
Epoch 047	LOSS: 684.45	MAE: 184.52	RMSE: 239.57
Epoch 048	LOSS: 682.50	MAE: 184.27	RMSE: 239.23
Epoch 049	LOSS: 675.13	MAE: 183.68	RMSE: 238.88
Epoch 050	LOSS: 680.51	MAE: 183.57	RMSE: 238.58
Epoch 051	LOSS: 686.35	MAE: 183.16	RMSE: 238.18
Epoch 052	LOSS: 680.38	MAE: 183.02	RMSE: 237.91
Epoch 053	LOSS: 686.00	MAE: 182.38	RMSE: 237.49
Epoch 054	LOSS: 675.83	MAE: 182.20	RMSE: 237.19
Epoch 055	LOSS: 679.10	MAE: 181.72	RMSE: 236.82
Epoch 056	LOSS: 682.70	MAE: 181.42	RMSE: 236.52
Epoch 057	LOSS: 683.86	MAE: 181.06	RMSE: 236.18
Epoch 058	LOSS: 676.45	MAE: 180.71	RMSE: 235.84
Epoch 059	LOSS: 685.99	MAE: 180.82	RMSE: 235.62
Epoch 060	LOSS: 680.74	MAE: 179.71	RMSE: 235.11
Epoch 061	LOSS: 658.75	MAE: 179.97	RMSE: 234.94
Epoch 062	LOSS: 674.59	MAE: 179.40	RMSE: 234.51
Epoch 063	LOSS: 668.07	MAE: 179.13	RMSE: 234.22
Epoch 064	LOSS: 676.80	MAE: 178.82	RMSE: 233.89
Epoch 065	LOSS: 661.82	MAE: 178.24	RMSE: 233.51
Epoch 066	LOSS: 670.48	MAE: 178.40	RMSE: 233.26
Epoch 067	LOSS: 666.76	MAE: 177.70	RMSE: 232.90
Epoch 068	LOSS: 670.18	MAE: 177.70	RMSE: 232.58
Epoch 069	LOSS: 661.52	MAE: 177.15	RMSE: 232.31
Epoch 070	LOSS: 659.63	MAE: 176.94	RMSE: 231.92
Epoch 071	LOSS: 665.69	MAE: 176.44	RMSE: 231.63
Epoch 072	LOSS: 661.30	MAE: 176.69	RMSE: 231.39
Epoch 073	LOSS: 669.54	MAE: 175.98	RMSE: 231.01
Epoch 074	LOSS: 660.51	MAE: 175.72	RMSE: 230.73
Epoch 075	LOSS: 656.59	MAE: 175.54	RMSE: 230.43
Epoch 076	LOSS: 664.08	MAE: 175.30	RMSE: 230.19
Epoch 077	LOSS: 660.33	MAE: 175.13	RMSE: 229.88
Epoch 078	LOSS: 661.22	MAE: 174.48	RMSE: 229.58
Epoch 079	LOSS: 656.47	MAE: 174.57	RMSE: 229.33
Epoch 080	LOSS: 665.18	MAE: 173.97	RMSE: 228.96
Epoch 081	LOSS: 653.39	MAE: 174.02	RMSE: 228.81
Epoch 082	LOSS: 650.77	MAE: 173.59	RMSE: 228.44
Epoch 083	LOSS: 647.34	MAE: 173.41	RMSE: 228.24
Epoch 084	LOSS: 650.74	MAE: 173.14	RMSE: 227.90
Epoch 085	LOSS: 656.24	MAE: 172.72	RMSE: 227.68
Epoch 086	LOSS: 659.41	MAE: 172.62	RMSE: 227.33
Epoch 087	LOSS: 649.89	MAE: 172.49	RMSE: 227.22
Epoch 088	LOSS: 651.35	MAE: 172.09	RMSE: 226.84
Epoch 089	LOSS: 653.38	MAE: 171.87	RMSE: 226.55
Epoch 090	LOSS: 647.56	MAE: 171.54	RMSE: 226.33
Epoch 091	LOSS: 647.03	MAE: 171.37	RMSE: 226.05
Epoch 092	LOSS: 647.89	MAE: 171.20	RMSE: 225.77
Epoch 093	LOSS: 650.02	MAE: 170.80	RMSE: 225.50
Epoch 094	LOSS: 653.38	MAE: 170.73	RMSE: 225.20
Epoch 095	LOSS: 641.59	MAE: 170.65	RMSE: 225.09
Epoch 096	LOSS: 632.49	MAE: 169.98	RMSE: 224.62
Epoch 097	LOSS: 645.39	MAE: 169.99	RMSE: 224.47
Epoch 098	LOSS: 646.02	MAE: 169.48	RMSE: 224.12
Epoch 099	LOSS: 645.87	MAE: 169.66	RMSE: 223.99
Epoch 100	LOSS: 642.75	MAE: 168.88	RMSE: 223.54
Epoch 101	LOSS: 635.42	MAE: 169.03	RMSE: 223.41
Epoch 102	LOSS: 644.91	MAE: 168.48	RMSE: 223.04
Epoch 103	LOSS: 644.76	MAE: 168.55	RMSE: 222.83
Epoch 104	LOSS: 629.89	MAE: 168.21	RMSE: 222.57
Epoch 105	LOSS: 643.47	MAE: 167.98	RMSE: 222.30
Epoch 106	LOSS: 645.09	MAE: 167.38	RMSE: 221.95
Epoch 107	LOSS: 639.15	MAE: 167.59	RMSE: 221.82
Epoch 108	LOSS: 637.74	MAE: 167.13	RMSE: 221.48
Epoch 109	LOSS: 628.64	MAE: 166.89	RMSE: 221.23
Epoch 110	LOSS: 636.57	MAE: 167.18	RMSE: 221.08
Epoch 111	LOSS: 640.34	MAE: 166.29	RMSE: 220.62
Epoch 112	LOSS: 634.22	MAE: 166.60	RMSE: 220.58
Epoch 113	LOSS: 632.39	MAE: 166.06	RMSE: 220.18
Epoch 114	LOSS: 630.90	MAE: 166.04	RMSE: 220.09
Epoch 115	LOSS: 618.50	MAE: 165.49	RMSE: 219.69
Epoch 116	LOSS: 634.06	MAE: 165.59	RMSE: 219.54
Epoch 117	LOSS: 629.92	MAE: 165.16	RMSE: 219.27
Epoch 118	LOSS: 634.20	MAE: 165.19	RMSE: 219.13
Epoch 119	LOSS: 635.58	MAE: 165.09	RMSE: 218.85
Epoch 120	LOSS: 626.71	MAE: 164.55	RMSE: 218.62
Epoch 121	LOSS: 621.24	MAE: 164.46	RMSE: 218.35
Epoch 122	LOSS: 626.39	MAE: 164.49	RMSE: 218.20
Epoch 123	LOSS: 630.49	MAE: 163.89	RMSE: 217.87
Epoch 124	LOSS: 619.62	MAE: 163.61	RMSE: 217.60
Epoch 125	LOSS: 627.11	MAE: 164.30	RMSE: 217.74
Epoch 126	LOSS: 635.54	MAE: 163.21	RMSE: 217.14
Epoch 127	LOSS: 630.78	MAE: 163.09	RMSE: 216.94
Epoch 128	LOSS: 628.18	MAE: 164.19	RMSE: 217.27
Epoch 129	LOSS: 632.78	MAE: 162.83	RMSE: 216.44
Epoch 130	LOSS: 633.53	MAE: 163.73	RMSE: 216.79
Epoch 131	LOSS: 626.23	MAE: 162.35	RMSE: 216.02
Epoch 132	LOSS: 630.91	MAE: 161.94	RMSE: 215.71
Epoch 133	LOSS: 634.01	MAE: 162.61	RMSE: 215.84
Epoch 134	LOSS: 614.47	MAE: 161.55	RMSE: 215.30
Epoch 135	LOSS: 636.54	MAE: 162.02	RMSE: 215.29
Epoch 136	LOSS: 623.87	MAE: 161.31	RMSE: 214.89
Epoch 137	LOSS: 621.15	MAE: 161.52	RMSE: 214.81
Epoch 138	LOSS: 623.10	MAE: 160.85	RMSE: 214.43
Epoch 139	LOSS: 627.38	MAE: 160.92	RMSE: 214.26
Epoch 140	LOSS: 627.99	MAE: 160.60	RMSE: 214.03
Epoch 141	LOSS: 618.80	MAE: 160.48	RMSE: 213.87
Epoch 142	LOSS: 619.51	MAE: 160.38	RMSE: 213.67
Epoch 143	LOSS: 622.51	MAE: 160.08	RMSE: 213.39
Epoch 144	LOSS: 614.64	MAE: 160.05	RMSE: 213.28
Epoch 145	LOSS: 630.72	MAE: 159.51	RMSE: 212.90
Epoch 146	LOSS: 623.35	MAE: 159.85	RMSE: 212.89
Epoch 147	LOSS: 629.28	MAE: 159.17	RMSE: 212.44
Epoch 148	LOSS: 622.38	MAE: 159.35	RMSE: 212.41
Epoch 149	LOSS: 629.73	MAE: 158.91	RMSE: 212.11
Epoch 150	LOSS: 615.58	MAE: 158.96	RMSE: 211.98
Epoch 151	LOSS: 608.25	MAE: 158.64	RMSE: 211.74
Epoch 152	LOSS: 614.28	MAE: 158.52	RMSE: 211.57
Epoch 153	LOSS: 623.60	MAE: 158.49	RMSE: 211.29
Epoch 154	LOSS: 615.77	MAE: 158.18	RMSE: 211.15
Epoch 155	LOSS: 614.88	MAE: 158.34	RMSE: 210.99
Epoch 156	LOSS: 615.23	MAE: 157.69	RMSE: 210.74
Epoch 157	LOSS: 609.66	MAE: 157.55	RMSE: 210.54
Epoch 158	LOSS: 618.19	MAE: 157.72	RMSE: 210.38
Epoch 159	LOSS: 616.54	MAE: 157.44	RMSE: 210.23
Epoch 160	LOSS: 601.46	MAE: 156.95	RMSE: 209.86
Epoch 161	LOSS: 608.64	MAE: 157.34	RMSE: 209.98
Epoch 162	LOSS: 615.05	MAE: 156.77	RMSE: 209.49
Epoch 163	LOSS: 622.51	MAE: 157.10	RMSE: 209.58
Epoch 164	LOSS: 615.08	MAE: 156.54	RMSE: 209.20
Epoch 165	LOSS: 616.00	MAE: 156.19	RMSE: 208.98
Epoch 166	LOSS: 617.07	MAE: 156.82	RMSE: 209.10
Epoch 167	LOSS: 606.50	MAE: 155.62	RMSE: 208.48
Epoch 168	LOSS: 623.75	MAE: 156.57	RMSE: 208.79
Epoch 169	LOSS: 621.56	MAE: 155.44	RMSE: 208.19
Epoch 170	LOSS: 613.56	MAE: 156.11	RMSE: 208.36
Epoch 171	LOSS: 611.38	MAE: 155.37	RMSE: 207.98
