Epoch 000	LOSS: 1135.72	MAE: 239.12	RMSE: 283.00
Epoch 001	LOSS: 1011.02	MAE: 223.78	RMSE: 269.57
Epoch 002	LOSS: 958.22	MAE: 214.09	RMSE: 261.40
Epoch 003	LOSS: 932.85	MAE: 211.29	RMSE: 259.73
Epoch 004	LOSS: 900.88	MAE: 208.84	RMSE: 257.63
Epoch 005	LOSS: 850.46	MAE: 208.61	RMSE: 257.37
Epoch 006	LOSS: 811.81	MAE: 205.95	RMSE: 256.05
Epoch 007	LOSS: 796.90	MAE: 203.41	RMSE: 255.01
Epoch 008	LOSS: 780.09	MAE: 202.38	RMSE: 254.68
Epoch 009	LOSS: 791.96	MAE: 202.19	RMSE: 254.35
Epoch 010	LOSS: 778.46	MAE: 202.64	RMSE: 253.86
Epoch 011	LOSS: 756.99	MAE: 201.31	RMSE: 253.06
Epoch 012	LOSS: 749.71	MAE: 200.23	RMSE: 252.70
Epoch 013	LOSS: 745.29	MAE: 199.62	RMSE: 252.35
Epoch 014	LOSS: 741.80	MAE: 199.03	RMSE: 252.04
Epoch 015	LOSS: 727.50	MAE: 199.17	RMSE: 251.81
Epoch 016	LOSS: 735.36	MAE: 198.35	RMSE: 251.33
Epoch 017	LOSS: 733.60	MAE: 197.79	RMSE: 251.01
Epoch 018	LOSS: 719.53	MAE: 197.33	RMSE: 250.78
Epoch 019	LOSS: 712.57	MAE: 196.65	RMSE: 250.30
Epoch 020	LOSS: 712.80	MAE: 195.94	RMSE: 249.87
Epoch 021	LOSS: 712.93	MAE: 195.74	RMSE: 249.69
Epoch 022	LOSS: 714.65	MAE: 195.09	RMSE: 249.25
Epoch 023	LOSS: 708.17	MAE: 194.55	RMSE: 248.86
Epoch 024	LOSS: 696.66	MAE: 194.10	RMSE: 248.57
Epoch 025	LOSS: 698.71	MAE: 193.50	RMSE: 248.10
Epoch 026	LOSS: 697.25	MAE: 193.14	RMSE: 247.76
Epoch 027	LOSS: 678.98	MAE: 192.98	RMSE: 247.53
Epoch 028	LOSS: 683.04	MAE: 191.92	RMSE: 246.93
Epoch 029	LOSS: 675.68	MAE: 191.72	RMSE: 246.68
Epoch 030	LOSS: 685.88	MAE: 191.28	RMSE: 246.31
Epoch 031	LOSS: 682.23	MAE: 190.90	RMSE: 245.94
Epoch 032	LOSS: 687.67	MAE: 190.31	RMSE: 245.54
Epoch 033	LOSS: 677.10	MAE: 190.04	RMSE: 245.21
Epoch 034	LOSS: 667.24	MAE: 189.34	RMSE: 244.79
Epoch 035	LOSS: 673.22	MAE: 189.28	RMSE: 244.51
Epoch 036	LOSS: 678.51	MAE: 188.72	RMSE: 244.09
Epoch 037	LOSS: 664.47	MAE: 188.27	RMSE: 243.77
Epoch 038	LOSS: 670.68	MAE: 187.78	RMSE: 243.35
Epoch 039	LOSS: 671.10	MAE: 187.53	RMSE: 243.03
Epoch 040	LOSS: 661.22	MAE: 186.93	RMSE: 242.63
Epoch 041	LOSS: 653.84	MAE: 186.84	RMSE: 242.34
Epoch 042	LOSS: 667.83	MAE: 186.24	RMSE: 241.92
Epoch 043	LOSS: 660.02	MAE: 185.93	RMSE: 241.59
Epoch 044	LOSS: 651.39	MAE: 185.42	RMSE: 241.20
Epoch 045	LOSS: 653.05	MAE: 185.10	RMSE: 240.87
Epoch 046	LOSS: 655.58	MAE: 184.75	RMSE: 240.51
Epoch 047	LOSS: 646.64	MAE: 184.20	RMSE: 240.11
Epoch 048	LOSS: 646.05	MAE: 184.31	RMSE: 239.88
Epoch 049	LOSS: 641.50	MAE: 183.40	RMSE: 239.42
Epoch 050	LOSS: 644.06	MAE: 183.49	RMSE: 239.14
Epoch 051	LOSS: 650.45	MAE: 182.80	RMSE: 238.74
Epoch 052	LOSS: 642.45	MAE: 182.41	RMSE: 238.39
Epoch 053	LOSS: 642.44	MAE: 182.41	RMSE: 238.13
Epoch 054	LOSS: 650.14	MAE: 181.73	RMSE: 237.71
Epoch 055	LOSS: 644.93	MAE: 181.58	RMSE: 237.40
Epoch 056	LOSS: 635.81	MAE: 180.99	RMSE: 237.03
Epoch 057	LOSS: 638.17	MAE: 180.80	RMSE: 236.73
Epoch 058	LOSS: 634.75	MAE: 180.42	RMSE: 236.39
Epoch 059	LOSS: 646.00	MAE: 180.28	RMSE: 236.13
