Epoch 000	LOSS: 1187.47	MAE: 242.53	RMSE: 286.74
Epoch 001	LOSS: 1024.93	MAE: 231.91	RMSE: 276.35
Epoch 002	LOSS: 986.29	MAE: 223.55	RMSE: 267.93
Epoch 003	LOSS: 950.27	MAE: 217.58	RMSE: 263.96
Epoch 004	LOSS: 905.26	MAE: 213.84	RMSE: 261.71
Epoch 005	LOSS: 850.17	MAE: 212.67	RMSE: 260.53
Epoch 006	LOSS: 834.05	MAE: 214.88	RMSE: 261.19
Epoch 007	LOSS: 808.31	MAE: 212.85	RMSE: 259.32
Epoch 008	LOSS: 800.83	MAE: 208.62	RMSE: 256.71
Epoch 009	LOSS: 792.73	MAE: 205.04	RMSE: 254.78
Epoch 010	LOSS: 781.48	MAE: 202.95	RMSE: 254.01
Epoch 011	LOSS: 779.39	MAE: 201.71	RMSE: 253.56
Epoch 012	LOSS: 772.40	MAE: 200.88	RMSE: 252.95
Epoch 013	LOSS: 745.18	MAE: 201.67	RMSE: 253.01
Epoch 014	LOSS: 746.27	MAE: 203.22	RMSE: 253.49
Epoch 015	LOSS: 735.19	MAE: 201.58	RMSE: 252.71
Epoch 016	LOSS: 743.09	MAE: 197.73	RMSE: 251.26
Epoch 017	LOSS: 730.33	MAE: 197.04	RMSE: 250.79
Epoch 018	LOSS: 733.09	MAE: 198.07	RMSE: 250.88
Epoch 019	LOSS: 721.23	MAE: 198.71	RMSE: 251.15
Epoch 020	LOSS: 724.34	MAE: 197.11	RMSE: 250.38
Epoch 021	LOSS: 714.95	MAE: 195.96	RMSE: 249.73
Epoch 022	LOSS: 701.56	MAE: 195.83	RMSE: 249.53
Epoch 023	LOSS: 705.86	MAE: 195.50	RMSE: 249.25
Epoch 024	LOSS: 695.08	MAE: 194.17	RMSE: 248.69
Epoch 025	LOSS: 702.70	MAE: 194.94	RMSE: 248.72
Epoch 026	LOSS: 694.68	MAE: 193.64	RMSE: 248.06
Epoch 027	LOSS: 706.06	MAE: 193.20	RMSE: 247.76
Epoch 028	LOSS: 690.67	MAE: 193.59	RMSE: 247.73
Epoch 029	LOSS: 695.76	MAE: 191.83	RMSE: 246.89
Epoch 030	LOSS: 692.26	MAE: 192.10	RMSE: 246.75
Epoch 031	LOSS: 676.91	MAE: 192.13	RMSE: 246.67
Epoch 032	LOSS: 676.39	MAE: 190.49	RMSE: 245.88
Epoch 033	LOSS: 683.24	MAE: 190.84	RMSE: 245.75
Epoch 034	LOSS: 675.36	MAE: 189.99	RMSE: 245.30
Epoch 035	LOSS: 679.89	MAE: 189.61	RMSE: 244.95
Epoch 036	LOSS: 678.90	MAE: 189.71	RMSE: 244.75
Epoch 037	LOSS: 684.17	MAE: 188.62	RMSE: 244.26
Epoch 038	LOSS: 671.82	MAE: 188.77	RMSE: 244.05
Epoch 039	LOSS: 664.20	MAE: 188.21	RMSE: 243.66
Epoch 040	LOSS: 667.24	MAE: 188.04	RMSE: 243.43
Epoch 041	LOSS: 669.60	MAE: 187.67	RMSE: 243.10
Epoch 042	LOSS: 656.44	MAE: 186.83	RMSE: 242.61
Epoch 043	LOSS: 650.96	MAE: 186.59	RMSE: 242.35
Epoch 044	LOSS: 652.79	MAE: 186.43	RMSE: 242.09
