Epoch 000	LOSS: 1185.55	MAE: 235.75	RMSE: 282.29
Epoch 001	LOSS: 1049.18	MAE: 224.45	RMSE: 269.49
Epoch 002	LOSS: 1015.96	MAE: 218.61	RMSE: 264.18
Epoch 003	LOSS: 972.47	MAE: 219.86	RMSE: 266.72
Epoch 004	LOSS: 932.88	MAE: 218.97	RMSE: 269.66
Epoch 005	LOSS: 893.69	MAE: 216.86	RMSE: 266.18
Epoch 006	LOSS: 854.85	MAE: 210.75	RMSE: 259.69
Epoch 007	LOSS: 826.57	MAE: 205.02	RMSE: 255.96
Epoch 008	LOSS: 825.24	MAE: 202.57	RMSE: 254.35
Epoch 009	LOSS: 816.33	MAE: 202.31	RMSE: 253.71
Epoch 010	LOSS: 801.34	MAE: 203.97	RMSE: 254.82
Epoch 011	LOSS: 785.54	MAE: 203.78	RMSE: 255.02
Epoch 012	LOSS: 776.98	MAE: 202.78	RMSE: 254.25
Epoch 013	LOSS: 768.73	MAE: 202.56	RMSE: 253.87
Epoch 014	LOSS: 764.79	MAE: 201.44	RMSE: 253.06
Epoch 015	LOSS: 768.67	MAE: 200.21	RMSE: 252.37
Epoch 016	LOSS: 754.53	MAE: 199.51	RMSE: 252.03
Epoch 017	LOSS: 750.93	MAE: 200.33	RMSE: 252.38
Epoch 018	LOSS: 741.78	MAE: 200.18	RMSE: 252.18
Epoch 019	LOSS: 742.34	MAE: 198.36	RMSE: 251.08
Epoch 020	LOSS: 742.22	MAE: 198.12	RMSE: 250.86
Epoch 021	LOSS: 734.60	MAE: 198.98	RMSE: 251.21
Epoch 022	LOSS: 730.48	MAE: 197.32	RMSE: 250.25
Epoch 023	LOSS: 725.39	MAE: 196.14	RMSE: 249.48
Epoch 024	LOSS: 715.37	MAE: 197.26	RMSE: 249.85
Epoch 025	LOSS: 714.22	MAE: 195.88	RMSE: 249.11
Epoch 026	LOSS: 718.03	MAE: 195.23	RMSE: 248.66
Epoch 027	LOSS: 712.26	MAE: 195.54	RMSE: 248.59
Epoch 028	LOSS: 700.08	MAE: 194.35	RMSE: 247.84
Epoch 029	LOSS: 699.91	MAE: 193.78	RMSE: 247.48
Epoch 030	LOSS: 714.39	MAE: 193.61	RMSE: 247.29
Epoch 031	LOSS: 696.01	MAE: 192.78	RMSE: 246.57
Epoch 032	LOSS: 703.26	MAE: 193.08	RMSE: 246.81
Epoch 033	LOSS: 692.64	MAE: 192.17	RMSE: 246.06
Epoch 034	LOSS: 691.32	MAE: 191.64	RMSE: 245.60
Epoch 035	LOSS: 695.94	MAE: 191.46	RMSE: 245.50
Epoch 036	LOSS: 677.68	MAE: 190.14	RMSE: 244.60
Epoch 037	LOSS: 683.15	MAE: 191.07	RMSE: 244.85
Epoch 038	LOSS: 686.54	MAE: 189.31	RMSE: 243.95
Epoch 039	LOSS: 684.36	MAE: 189.22	RMSE: 243.70
Epoch 040	LOSS: 686.65	MAE: 189.41	RMSE: 243.59
