Epoch 000	LOSS: 1222.22	MAE: 195.65	RMSE: 243.40
Epoch 001	LOSS: 1122.67	MAE: 173.18	RMSE: 222.86
Epoch 002	LOSS: 1067.35	MAE: 160.88	RMSE: 210.10
Epoch 003	LOSS: 1032.14	MAE: 155.22	RMSE: 204.36
Epoch 004	LOSS: 981.57	MAE: 151.19	RMSE: 200.00
Epoch 005	LOSS: 957.99	MAE: 145.53	RMSE: 193.31
Epoch 006	LOSS: 926.01	MAE: 139.96	RMSE: 187.62
Epoch 007	LOSS: 907.93	MAE: 134.48	RMSE: 182.90
Epoch 008	LOSS: 883.27	MAE: 128.96	RMSE: 178.07
Epoch 009	LOSS: 866.51	MAE: 123.65	RMSE: 172.83
Epoch 010	LOSS: 854.30	MAE: 119.25	RMSE: 167.81
Epoch 011	LOSS: 833.75	MAE: 115.14	RMSE: 163.17
Epoch 012	LOSS: 822.35	MAE: 111.63	RMSE: 159.11
Epoch 013	LOSS: 823.46	MAE: 106.70	RMSE: 153.98
Epoch 014	LOSS: 825.25	MAE: 103.06	RMSE: 150.66
Epoch 015	LOSS: 815.94	MAE: 100.86	RMSE: 148.76
Epoch 016	LOSS: 800.54	MAE: 96.18	RMSE: 144.01
Epoch 017	LOSS: 794.21	MAE: 91.61	RMSE: 138.93
Epoch 018	LOSS: 790.06	MAE: 88.01	RMSE: 134.40
Epoch 019	LOSS: 790.81	MAE: 85.92	RMSE: 131.91
Epoch 020	LOSS: 782.35	MAE: 83.70	RMSE: 130.24
Epoch 021	LOSS: 771.98	MAE: 81.36	RMSE: 128.10
Epoch 022	LOSS: 776.13	MAE: 78.13	RMSE: 124.10
Epoch 023	LOSS: 767.71	MAE: 76.03	RMSE: 121.13
Epoch 024	LOSS: 774.40	MAE: 75.96	RMSE: 120.72
Epoch 025	LOSS: 765.20	MAE: 74.68	RMSE: 119.79
Epoch 026	LOSS: 763.90	MAE: 72.53	RMSE: 117.93
Epoch 027	LOSS: 765.69	MAE: 70.93	RMSE: 116.06
Epoch 028	LOSS: 748.89	MAE: 70.25	RMSE: 114.96
Epoch 029	LOSS: 752.72	MAE: 68.85	RMSE: 113.62
Epoch 030	LOSS: 740.85	MAE: 68.19	RMSE: 112.81
Epoch 031	LOSS: 755.53	MAE: 67.62	RMSE: 112.12
Epoch 032	LOSS: 746.20	MAE: 66.63	RMSE: 111.03
Epoch 033	LOSS: 750.38	MAE: 66.06	RMSE: 110.40
Epoch 034	LOSS: 745.62	MAE: 66.25	RMSE: 110.55
Epoch 035	LOSS: 734.03	MAE: 65.76	RMSE: 109.98
Epoch 036	LOSS: 745.80	MAE: 64.82	RMSE: 108.97
Epoch 037	LOSS: 736.64	MAE: 64.11	RMSE: 108.61
Epoch 038	LOSS: 731.77	MAE: 63.76	RMSE: 108.36
Epoch 039	LOSS: 721.46	MAE: 63.70	RMSE: 108.25
Epoch 040	LOSS: 728.70	MAE: 62.98	RMSE: 107.34
Epoch 041	LOSS: 725.95	MAE: 62.24	RMSE: 106.73
Epoch 042	LOSS: 710.80	MAE: 62.13	RMSE: 106.68
Epoch 043	LOSS: 716.78	MAE: 61.59	RMSE: 106.09
Epoch 044	LOSS: 712.06	MAE: 61.07	RMSE: 105.60
Epoch 045	LOSS: 722.19	MAE: 60.99	RMSE: 105.55
Epoch 046	LOSS: 723.23	MAE: 60.23	RMSE: 104.67
Epoch 047	LOSS: 708.43	MAE: 59.76	RMSE: 103.96
Epoch 048	LOSS: 707.14	MAE: 60.30	RMSE: 104.52
Epoch 049	LOSS: 709.38	MAE: 60.59	RMSE: 104.75
Epoch 050	LOSS: 712.91	MAE: 58.72	RMSE: 102.89
Epoch 051	LOSS: 718.63	MAE: 58.83	RMSE: 102.62
Epoch 052	LOSS: 700.11	MAE: 58.75	RMSE: 102.91
Epoch 053	LOSS: 696.79	MAE: 59.17	RMSE: 103.20
Epoch 054	LOSS: 699.95	MAE: 57.92	RMSE: 101.93
Epoch 055	LOSS: 705.67	MAE: 57.59	RMSE: 101.45
Epoch 056	LOSS: 699.90	MAE: 57.71	RMSE: 101.72
Epoch 057	LOSS: 695.22	MAE: 58.24	RMSE: 102.16
Epoch 058	LOSS: 702.01	MAE: 57.21	RMSE: 101.13
Epoch 059	LOSS: 707.55	MAE: 56.75	RMSE: 100.65
Epoch 060	LOSS: 700.68	MAE: 56.74	RMSE: 100.54
Epoch 061	LOSS: 690.86	MAE: 57.02	RMSE: 100.65
Epoch 062	LOSS: 693.61	MAE: 56.89	RMSE: 100.73
Epoch 063	LOSS: 696.37	MAE: 56.44	RMSE: 100.19
Epoch 064	LOSS: 688.52	MAE: 55.87	RMSE: 99.53
Epoch 065	LOSS: 693.72	MAE: 55.91	RMSE: 99.69
Epoch 066	LOSS: 701.34	MAE: 56.58	RMSE: 100.18
Epoch 067	LOSS: 690.15	MAE: 55.40	RMSE: 99.11
Epoch 068	LOSS: 690.10	MAE: 55.12	RMSE: 98.74
Epoch 069	LOSS: 684.28	MAE: 55.36	RMSE: 98.98
Epoch 070	LOSS: 689.82	MAE: 55.06	RMSE: 98.61
Epoch 071	LOSS: 691.95	MAE: 54.88	RMSE: 98.38
Epoch 072	LOSS: 684.45	MAE: 54.97	RMSE: 98.42
Epoch 073	LOSS: 684.92	MAE: 54.96	RMSE: 98.28
Epoch 074	LOSS: 680.99	MAE: 54.27	RMSE: 97.59
Epoch 075	LOSS: 675.32	MAE: 54.32	RMSE: 97.45
Epoch 076	LOSS: 677.73	MAE: 54.24	RMSE: 97.43
Epoch 077	LOSS: 683.98	MAE: 54.28	RMSE: 97.26
Epoch 078	LOSS: 674.25	MAE: 54.11	RMSE: 96.97
Epoch 079	LOSS: 679.35	MAE: 53.66	RMSE: 96.42
Epoch 080	LOSS: 666.56	MAE: 53.71	RMSE: 96.44
Epoch 081	LOSS: 668.05	MAE: 53.59	RMSE: 96.41
Epoch 082	LOSS: 664.92	MAE: 53.34	RMSE: 96.06
Epoch 083	LOSS: 675.84	MAE: 52.93	RMSE: 95.60
Epoch 084	LOSS: 676.43	MAE: 53.12	RMSE: 95.70
Epoch 085	LOSS: 670.20	MAE: 52.97	RMSE: 95.31
Epoch 086	LOSS: 676.49	MAE: 52.87	RMSE: 95.30
Epoch 087	LOSS: 659.50	MAE: 52.92	RMSE: 95.32
Epoch 088	LOSS: 672.89	MAE: 52.34	RMSE: 94.34
Epoch 089	LOSS: 674.74	MAE: 52.43	RMSE: 94.64
Epoch 090	LOSS: 663.46	MAE: 52.43	RMSE: 94.72
Epoch 091	LOSS: 666.53	MAE: 52.23	RMSE: 94.41
Epoch 092	LOSS: 662.29	MAE: 52.08	RMSE: 94.14
Epoch 093	LOSS: 667.21	MAE: 51.60	RMSE: 93.67
Epoch 094	LOSS: 665.90	MAE: 52.35	RMSE: 94.36
Epoch 095	LOSS: 650.53	MAE: 51.57	RMSE: 93.55
Epoch 096	LOSS: 661.84	MAE: 51.33	RMSE: 93.09
Epoch 097	LOSS: 667.27	MAE: 52.11	RMSE: 93.73
Epoch 098	LOSS: 656.16	MAE: 51.36	RMSE: 93.01
Epoch 099	LOSS: 661.11	MAE: 51.36	RMSE: 92.74
Epoch 100	LOSS: 666.31	MAE: 51.54	RMSE: 93.10
Epoch 101	LOSS: 663.46	MAE: 51.16	RMSE: 92.38
Epoch 102	LOSS: 674.48	MAE: 51.40	RMSE: 92.37
Epoch 103	LOSS: 665.03	MAE: 51.26	RMSE: 92.63
Epoch 104	LOSS: 654.27	MAE: 50.63	RMSE: 91.92
Epoch 105	LOSS: 655.54	MAE: 50.69	RMSE: 91.70
Epoch 106	LOSS: 652.74	MAE: 50.82	RMSE: 91.84
Epoch 107	LOSS: 660.35	MAE: 50.55	RMSE: 91.73
Epoch 108	LOSS: 653.85	MAE: 50.34	RMSE: 91.16
Epoch 109	LOSS: 652.59	MAE: 50.23	RMSE: 91.21
Epoch 110	LOSS: 652.37	MAE: 50.25	RMSE: 91.20
Epoch 111	LOSS: 658.61	MAE: 49.92	RMSE: 90.61
Epoch 112	LOSS: 652.27	MAE: 49.73	RMSE: 90.48
Epoch 113	LOSS: 645.50	MAE: 49.87	RMSE: 90.62
Epoch 114	LOSS: 644.47	MAE: 49.67	RMSE: 90.19
Epoch 115	LOSS: 651.30	MAE: 49.79	RMSE: 90.05
Epoch 116	LOSS: 637.18	MAE: 49.34	RMSE: 89.90
Epoch 117	LOSS: 653.76	MAE: 49.18	RMSE: 89.63
Epoch 118	LOSS: 645.34	MAE: 49.32	RMSE: 89.56
Epoch 119	LOSS: 643.14	MAE: 49.04	RMSE: 89.31
Epoch 120	LOSS: 642.09	MAE: 49.17	RMSE: 89.32
Epoch 121	LOSS: 644.75	MAE: 49.10	RMSE: 89.17
Epoch 122	LOSS: 645.93	MAE: 48.60	RMSE: 88.62
Epoch 123	LOSS: 641.86	MAE: 48.70	RMSE: 88.74
Epoch 124	LOSS: 643.82	MAE: 48.71	RMSE: 88.64
Epoch 125	LOSS: 632.30	MAE: 48.66	RMSE: 88.13
Epoch 126	LOSS: 642.03	MAE: 48.70	RMSE: 88.13
Epoch 127	LOSS: 641.32	MAE: 48.33	RMSE: 88.01
Epoch 128	LOSS: 647.14	MAE: 48.30	RMSE: 87.95
Epoch 129	LOSS: 629.21	MAE: 48.37	RMSE: 87.79
Epoch 130	LOSS: 634.84	MAE: 48.07	RMSE: 87.74
Epoch 131	LOSS: 631.76	MAE: 47.74	RMSE: 87.37
Epoch 132	LOSS: 636.00	MAE: 47.80	RMSE: 87.15
Epoch 133	LOSS: 635.37	MAE: 47.61	RMSE: 86.80
Epoch 134	LOSS: 630.55	MAE: 47.63	RMSE: 86.92
Epoch 135	LOSS: 633.96	MAE: 47.42	RMSE: 86.66
Epoch 136	LOSS: 631.45	MAE: 47.79	RMSE: 86.73
Epoch 137	LOSS: 626.35	MAE: 47.40	RMSE: 86.35
Epoch 138	LOSS: 627.79	MAE: 46.98	RMSE: 85.97
Epoch 139	LOSS: 634.43	MAE: 47.56	RMSE: 86.56
Epoch 140	LOSS: 623.08	MAE: 47.02	RMSE: 85.73
Epoch 141	LOSS: 633.05	MAE: 46.84	RMSE: 85.55
Epoch 142	LOSS: 618.94	MAE: 46.97	RMSE: 85.62
Epoch 143	LOSS: 624.54	MAE: 47.13	RMSE: 85.38
Epoch 144	LOSS: 624.51	MAE: 47.06	RMSE: 85.51
Epoch 145	LOSS: 621.60	MAE: 46.56	RMSE: 84.85
Epoch 146	LOSS: 623.84	MAE: 46.83	RMSE: 85.05
Epoch 147	LOSS: 621.31	MAE: 46.62	RMSE: 85.03
Epoch 148	LOSS: 627.94	MAE: 46.49	RMSE: 84.88
Epoch 149	LOSS: 619.18	MAE: 46.33	RMSE: 84.65
Epoch 150	LOSS: 631.12	MAE: 46.28	RMSE: 84.58
Epoch 151	LOSS: 625.05	MAE: 46.00	RMSE: 84.18
Epoch 152	LOSS: 618.59	MAE: 46.07	RMSE: 84.31
Epoch 153	LOSS: 631.92	MAE: 46.00	RMSE: 84.14
Epoch 154	LOSS: 617.65	MAE: 46.04	RMSE: 84.07
Epoch 155	LOSS: 614.14	MAE: 45.80	RMSE: 83.91
Epoch 156	LOSS: 619.36	MAE: 45.62	RMSE: 83.71
Epoch 157	LOSS: 624.12	MAE: 46.06	RMSE: 83.97
Epoch 158	LOSS: 616.33	MAE: 45.75	RMSE: 83.60
Epoch 159	LOSS: 624.33	MAE: 45.27	RMSE: 83.11
Epoch 160	LOSS: 621.87	MAE: 45.96	RMSE: 83.67
Epoch 161	LOSS: 628.15	MAE: 45.33	RMSE: 82.72
Epoch 162	LOSS: 614.14	MAE: 45.40	RMSE: 82.88
Epoch 163	LOSS: 618.11	MAE: 45.21	RMSE: 82.69
Epoch 164	LOSS: 615.58	MAE: 45.12	RMSE: 82.50
Epoch 165	LOSS: 616.79	MAE: 45.28	RMSE: 82.61
Epoch 166	LOSS: 616.98	MAE: 45.11	RMSE: 82.43
Epoch 167	LOSS: 614.41	MAE: 45.05	RMSE: 82.02
Epoch 168	LOSS: 614.35	MAE: 45.00	RMSE: 82.00
Epoch 169	LOSS: 615.52	MAE: 44.61	RMSE: 81.45
Epoch 170	LOSS: 609.99	MAE: 44.98	RMSE: 81.77
Epoch 171	LOSS: 607.58	MAE: 44.80	RMSE: 81.75
Epoch 172	LOSS: 607.33	MAE: 44.81	RMSE: 81.24
Epoch 173	LOSS: 607.64	MAE: 44.58	RMSE: 81.29
Epoch 174	LOSS: 612.72	MAE: 44.30	RMSE: 80.98
Epoch 175	LOSS: 603.07	MAE: 44.30	RMSE: 80.79
Epoch 176	LOSS: 618.12	MAE: 44.43	RMSE: 80.83
Epoch 177	LOSS: 603.29	MAE: 44.23	RMSE: 80.72
Epoch 178	LOSS: 607.51	MAE: 43.97	RMSE: 80.28
Epoch 179	LOSS: 603.57	MAE: 44.12	RMSE: 80.48
Epoch 180	LOSS: 604.41	MAE: 44.29	RMSE: 80.51
Epoch 181	LOSS: 613.06	MAE: 43.85	RMSE: 79.69
Epoch 182	LOSS: 619.65	MAE: 43.85	RMSE: 79.95
Epoch 183	LOSS: 601.63	MAE: 43.74	RMSE: 79.60
Epoch 184	LOSS: 608.88	MAE: 43.50	RMSE: 79.45
Epoch 185	LOSS: 609.27	MAE: 43.64	RMSE: 79.66
Epoch 186	LOSS: 605.49	MAE: 43.42	RMSE: 79.31
Epoch 187	LOSS: 602.36	MAE: 43.57	RMSE: 79.36
Epoch 188	LOSS: 596.13	MAE: 43.16	RMSE: 78.78
Epoch 189	LOSS: 606.96	MAE: 43.52	RMSE: 79.04
Epoch 190	LOSS: 601.09	MAE: 43.04	RMSE: 78.40
Epoch 191	LOSS: 606.83	MAE: 43.15	RMSE: 78.46
Epoch 192	LOSS: 607.84	MAE: 43.12	RMSE: 78.35
Epoch 193	LOSS: 602.30	MAE: 43.07	RMSE: 78.36
Epoch 194	LOSS: 591.43	MAE: 42.97	RMSE: 78.30
Epoch 195	LOSS: 597.02	MAE: 42.75	RMSE: 77.96
Epoch 196	LOSS: 597.89	MAE: 43.00	RMSE: 78.13
Epoch 197	LOSS: 600.30	MAE: 42.84	RMSE: 77.78
Epoch 198	LOSS: 605.54	MAE: 42.68	RMSE: 77.52
Epoch 199	LOSS: 595.74	MAE: 42.84	RMSE: 77.67
