Epoch 000	LOSS: 1191.02	MAE: 189.47	RMSE: 236.62
Epoch 001	LOSS: 1059.69	MAE: 170.54	RMSE: 218.45
Epoch 002	LOSS: 996.97	MAE: 160.36	RMSE: 206.00
Epoch 003	LOSS: 964.46	MAE: 153.04	RMSE: 197.58
Epoch 004	LOSS: 910.11	MAE: 149.45	RMSE: 194.30
Epoch 005	LOSS: 897.02	MAE: 148.87	RMSE: 194.85
Epoch 006	LOSS: 872.21	MAE: 147.43	RMSE: 194.53
Epoch 007	LOSS: 842.19	MAE: 145.66	RMSE: 193.10
Epoch 008	LOSS: 826.79	MAE: 144.96	RMSE: 191.56
Epoch 009	LOSS: 811.58	MAE: 143.59	RMSE: 189.53
Epoch 010	LOSS: 813.95	MAE: 142.07	RMSE: 188.02
Epoch 011	LOSS: 806.36	MAE: 141.34	RMSE: 187.68
Epoch 012	LOSS: 790.32	MAE: 140.30	RMSE: 187.36
Epoch 013	LOSS: 785.32	MAE: 140.35	RMSE: 187.24
Epoch 014	LOSS: 772.12	MAE: 140.25	RMSE: 186.78
Epoch 015	LOSS: 770.68	MAE: 139.81	RMSE: 186.14
Epoch 016	LOSS: 762.31	MAE: 139.31	RMSE: 185.79
Epoch 017	LOSS: 752.54	MAE: 138.99	RMSE: 185.74
Epoch 018	LOSS: 755.48	MAE: 138.98	RMSE: 185.71
Epoch 019	LOSS: 738.35	MAE: 138.98	RMSE: 185.80
Epoch 020	LOSS: 732.51	MAE: 138.34	RMSE: 185.08
Epoch 021	LOSS: 734.15	MAE: 137.77	RMSE: 184.61
Epoch 022	LOSS: 735.04	MAE: 138.16	RMSE: 185.14
Epoch 023	LOSS: 722.66	MAE: 137.92	RMSE: 184.70
Epoch 024	LOSS: 714.73	MAE: 137.62	RMSE: 184.53
Epoch 025	LOSS: 719.00	MAE: 137.73	RMSE: 184.61
Epoch 026	LOSS: 712.74	MAE: 136.77	RMSE: 183.65
Epoch 027	LOSS: 711.04	MAE: 137.43	RMSE: 184.28
Epoch 028	LOSS: 704.16	MAE: 136.83	RMSE: 183.89
Epoch 029	LOSS: 710.51	MAE: 136.12	RMSE: 182.87
Epoch 030	LOSS: 706.77	MAE: 136.74	RMSE: 183.73
Epoch 031	LOSS: 695.45	MAE: 135.91	RMSE: 182.73
Epoch 032	LOSS: 699.04	MAE: 135.95	RMSE: 182.81
Epoch 033	LOSS: 689.40	MAE: 135.41	RMSE: 182.29
Epoch 034	LOSS: 683.30	MAE: 135.21	RMSE: 182.04
Epoch 035	LOSS: 685.92	MAE: 134.56	RMSE: 181.38
Epoch 036	LOSS: 677.46	MAE: 134.84	RMSE: 181.57
Epoch 037	LOSS: 691.07	MAE: 134.01	RMSE: 180.76
Epoch 038	LOSS: 676.52	MAE: 134.01	RMSE: 180.67
Epoch 039	LOSS: 693.92	MAE: 133.87	RMSE: 180.51
Epoch 040	LOSS: 678.38	MAE: 132.96	RMSE: 179.50
Epoch 041	LOSS: 684.42	MAE: 133.44	RMSE: 180.02
Epoch 042	LOSS: 671.75	MAE: 132.52	RMSE: 178.95
Epoch 043	LOSS: 675.51	MAE: 132.78	RMSE: 179.21
Epoch 044	LOSS: 676.42	MAE: 132.34	RMSE: 178.77
Epoch 045	LOSS: 663.39	MAE: 131.86	RMSE: 178.11
Epoch 046	LOSS: 668.71	MAE: 131.90	RMSE: 178.23
Epoch 047	LOSS: 657.77	MAE: 131.46	RMSE: 177.59
Epoch 048	LOSS: 658.99	MAE: 131.05	RMSE: 177.23
Epoch 049	LOSS: 665.48	MAE: 130.93	RMSE: 176.98
Epoch 050	LOSS: 666.60	MAE: 130.66	RMSE: 176.74
Epoch 051	LOSS: 654.00	MAE: 130.74	RMSE: 176.65
Epoch 052	LOSS: 649.35	MAE: 129.85	RMSE: 175.81
Epoch 053	LOSS: 659.68	MAE: 129.98	RMSE: 175.89
Epoch 054	LOSS: 652.54	MAE: 129.50	RMSE: 175.22
Epoch 055	LOSS: 651.33	MAE: 129.43	RMSE: 175.24
Epoch 056	LOSS: 652.04	MAE: 129.07	RMSE: 174.76
Epoch 057	LOSS: 651.98	MAE: 129.10	RMSE: 174.71
Epoch 058	LOSS: 647.01	MAE: 128.85	RMSE: 174.45
Epoch 059	LOSS: 646.54	MAE: 128.45	RMSE: 173.97
Epoch 060	LOSS: 645.93	MAE: 128.03	RMSE: 173.45
Epoch 061	LOSS: 645.04	MAE: 127.97	RMSE: 173.48
