Epoch 000	LOSS: 1230.61	MAE: 196.57	RMSE: 243.61
Epoch 001	LOSS: 1108.54	MAE: 180.23	RMSE: 228.37
Epoch 002	LOSS: 1073.35	MAE: 167.97	RMSE: 216.51
Epoch 003	LOSS: 1015.87	MAE: 162.36	RMSE: 210.01
Epoch 004	LOSS: 959.61	MAE: 158.97	RMSE: 206.06
Epoch 005	LOSS: 942.19	MAE: 155.69	RMSE: 202.44
Epoch 006	LOSS: 925.81	MAE: 152.95	RMSE: 200.39
Epoch 007	LOSS: 897.62	MAE: 151.43	RMSE: 199.29
Epoch 008	LOSS: 865.92	MAE: 149.46	RMSE: 197.34
Epoch 009	LOSS: 846.41	MAE: 146.41	RMSE: 193.99
Epoch 010	LOSS: 849.09	MAE: 144.30	RMSE: 191.12
Epoch 011	LOSS: 838.09	MAE: 143.38	RMSE: 189.74
Epoch 012	LOSS: 831.32	MAE: 142.35	RMSE: 188.80
Epoch 013	LOSS: 813.59	MAE: 141.32	RMSE: 188.17
Epoch 014	LOSS: 812.44	MAE: 140.59	RMSE: 187.68
Epoch 015	LOSS: 808.17	MAE: 139.71	RMSE: 187.11
Epoch 016	LOSS: 786.01	MAE: 138.74	RMSE: 186.18
Epoch 017	LOSS: 777.55	MAE: 137.30	RMSE: 185.00
Epoch 018	LOSS: 777.73	MAE: 136.75	RMSE: 184.32
Epoch 019	LOSS: 771.04	MAE: 136.16	RMSE: 183.71
Epoch 020	LOSS: 769.40	MAE: 135.82	RMSE: 183.46
Epoch 021	LOSS: 756.91	MAE: 134.70	RMSE: 182.46
Epoch 022	LOSS: 751.44	MAE: 133.94	RMSE: 181.35
Epoch 023	LOSS: 750.19	MAE: 133.51	RMSE: 180.88
Epoch 024	LOSS: 752.30	MAE: 132.41	RMSE: 179.75
Epoch 025	LOSS: 748.18	MAE: 132.01	RMSE: 179.14
Epoch 026	LOSS: 741.01	MAE: 131.61	RMSE: 178.58
Epoch 027	LOSS: 726.00	MAE: 130.71	RMSE: 177.73
